date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,28.0,28.69,27.94,28.56,10.9206708832344,1148900,0.0,1.0
1999-11-02,28.31,28.94,28.13,28.31,10.825076775363,715400,0.0,1.0
1999-11-03,28.56,28.56,28.06,28.38,10.851843125567,921600,0.0,1.0
1999-11-04,28.5,29.13,28.38,28.94,11.065973927199,771600,0.0,1.0
1999-11-05,29.5,29.75,29.06,29.06,11.1118590989773,756900,0.0,1.0
1999-11-08,29.06,29.38,28.56,28.88,11.0430313413099,508900,0.0,1.0
1999-11-09,28.88,28.88,27.94,28.13,10.7562490176955,512500,0.0,1.0
1999-11-10,27.5,27.94,27.44,27.69,10.5880033878418,519000,0.0,1.0
1999-11-11,27.69,27.69,26.94,27.5,10.5153518658595,591600,0.0,1.0
1999-11-12,27.75,28.69,27.19,28.69,10.9703798193276,768300,0.0,1.0
1999-11-15,28.31,28.88,28.13,28.75,10.9933224052167,555300,0.0,1.0
1999-11-16,28.63,29.31,28.56,29.25,11.1845106209596,632500,0.0,1.0
1999-11-17,29.0,29.06,27.75,27.81,10.6338885596201,594500,0.0,1.0
1999-11-18,27.63,28.0,26.94,26.94,10.3012210642274,854000,0.0,1.0
1999-11-19,27.0,27.13,26.75,26.88,10.2782784783383,690000,0.0,1.0
1999-11-22,26.5,26.5,25.94,26.18,10.0106149762982,752700,0.0,1.0
1999-11-23,26.31,26.38,25.56,25.69,9.8232505248702,849700,0.0,1.0
1999-11-24,25.69,25.94,25.56,25.63,9.80030793898105,585600,0.0,1.0
1999-11-26,25.5,26.06,25.5,25.94,9.91884463274165,532100,0.0,1.0
1999-11-29,25.69,25.81,25.0,25.75,9.84619311075934,1461100,0.0,1.0
1999-11-30,25.25,27.06,25.13,27.0,10.3241636501166,1531500,0.0,1.0
1999-12-01,26.0,26.81,25.88,26.0,10.0412050908171,1290200,0.26,1.0
1999-12-02,26.13,26.25,24.94,25.54,9.8635530007488,1157100,0.0,1.0
1999-12-03,25.88,26.5,25.75,25.88,9.99486106732103,1250600,0.0,1.0
1999-12-06,25.88,25.88,24.31,24.63,9.5121108225702,1302500,0.0,1.0
1999-12-07,24.5,24.56,23.0,23.56,9.0988766130635,2229600,0.0,1.0
1999-12-08,23.06,23.38,22.88,22.94,8.85943249166709,1365100,0.0,1.0
1999-12-09,23.06,23.19,22.81,22.81,8.809226466213,1615100,0.0,1.0
1999-12-10,23.25,23.5,22.25,22.44,8.66633239376676,2765800,0.0,1.0
1999-12-13,22.44,22.56,22.0,22.5,8.6895044055148,2228900,0.0,1.0
1999-12-14,22.44,22.69,22.06,22.31,8.61612636831268,1278000,0.0,1.0
1999-12-15,21.75,22.5,21.5,22.06,8.51957631936251,2188200,0.0,1.0
1999-12-16,22.06,22.06,21.38,21.44,8.2801321979661,1314900,0.0,1.0
1999-12-17,21.44,21.81,21.31,21.44,8.2801321979661,1833700,0.0,1.0
1999-12-20,21.38,21.56,21.06,21.19,8.18358214901594,839100,0.0,1.0
1999-12-21,21.06,22.13,21.0,21.75,8.39985425866431,1344700,0.0,1.0
1999-12-22,21.75,22.06,21.56,21.88,8.45006028411839,954600,0.0,1.0
1999-12-23,21.94,22.63,21.88,22.06,8.51957631936251,1168900,0.0,1.0
1999-12-27,22.13,22.75,22.0,22.0,8.49640430761447,899800,0.0,1.0
