date,open,high,low,close,adjClose,volume,dividend,split
2015-07-06,71.0,74.29,71.0,72.96,45.7945214746644,3809713,16.5,1.0
2015-07-07,73.73,74.71,72.96,74.63,46.8427239261815,5794811,0.0,1.0
2015-07-08,74.3,75.5,74.04,75.4,47.3260268529289,4277461,0.0,1.0
2015-07-09,76.47,77.066,74.5,74.8,46.9494271697491,4267057,0.0,1.0
2015-07-10,75.05,77.8,75.0,77.31,48.524869177718,4982979,0.0,1.0
2015-07-13,79.5,79.7,77.91,78.83,49.4789217084401,9078901,0.0,1.0
2015-07-14,79.45,79.5,77.65,78.0,48.9579588133747,18746119,0.0,1.0
2015-07-15,77.65,78.17,76.4,76.71,48.1482694945381,6330496,0.0,1.0
2015-07-16,76.97,78.84,76.9501,78.75,49.4287084173495,5634050,0.0,1.0
2015-07-17,79.43,79.69,77.26,79.63,49.9810546193465,6100876,0.0,1.0
2015-07-20,79.95,81.2,79.13,80.11,50.2823343658904,10284545,0.0,1.0
2015-07-21,79.97,80.68,79.4,80.22,50.35137764114,6123210,0.0,1.0
2015-07-22,80.83,80.9,78.58,78.64,49.3596651420999,5201248,0.0,1.0
2015-07-23,78.42,78.57,76.64,76.74,48.5123158549453,2975649,0.55,1.0
2015-07-24,76.92,77.43,75.95,76.41,48.3037015178052,3116008,0.0,1.0
2015-07-27,76.63,77.98,76.29,77.38,48.9169012360655,5774342,0.0,1.0
2015-07-28,78.44,78.65,77.5,78.32,49.5111360145858,1895916,0.0,1.0
2015-07-29,78.26,78.2999,77.0,77.91,49.2519485048057,2278559,0.0,1.0
2015-07-30,78.21,79.69,77.6,79.21,50.0737625602061,3246987,0.0,1.0
2015-07-31,79.94,79.94,78.865,79.47,50.2381253712862,2685520,0.0,1.0
2015-08-03,80.0,81.03,79.91,80.37,50.8070735634865,2681801,0.0,1.0
2015-08-04,80.57,81.0,79.67,79.81,50.4530613550063,2429632,0.0,1.0
2015-08-05,80.01,81.0,79.85,80.48,50.8766116758665,2684886,0.0,1.0
2015-08-06,81.05,81.19,79.51,79.76,50.4214531221063,3708640,0.0,1.0
2015-08-07,79.14,79.38,77.29,78.46,49.5996390667059,3274134,0.0,1.0
2015-08-10,79.43,79.8,78.57,78.81,49.820896697006,3252284,0.0,1.0
2015-08-11,77.63,80.48,77.07,77.97,49.2898783842857,3889072,0.0,1.0
2015-08-12,77.83,78.31,76.09,76.69,48.4807076220453,3688888,0.0,1.0
2015-08-13,77.01,77.07,75.8,75.99,48.038192361445,2917485,0.0,1.0
2015-08-14,76.07,76.74,75.117,76.42,48.3100231643852,2573375,0.0,1.0
2015-08-17,75.86,76.41,75.51,75.8,47.918081076425,2260346,0.0,1.0
2015-08-18,75.72,75.953,75.06,75.19,47.5324606350448,2009695,0.0,1.0
2015-08-19,75.0,75.29,73.92,74.78,47.2732731252647,3026467,0.0,1.0
2015-08-20,74.02,74.7644,73.78,74.25,46.9382258565245,2206972,0.0,1.0
2015-08-21,73.31,74.25,72.26,72.27,45.6865398336838,5564549,0.0,1.0
2015-08-24,68.24,72.24,61.42,70.87,44.8015093124834,9844588,0.0,1.0
2015-08-25,71.54,72.4,70.0,70.21,44.3842806382031,4423354,0.0,1.0
2015-08-26,71.72,74.11,69.53,73.91,46.7232898728044,5356315,0.0,1.0
2015-08-27,73.17,75.25,73.12,75.18,47.5261389884648,5937763,0.0,1.0
2015-08-28,74.4,75.19,73.82,74.69,47.2163783060446,2150122,0.0,1.0
2015-08-31,74.21,74.43,72.57,72.66,45.9330840503039,2688401,0.0,1.0
2015-09-01,71.23,72.54,69.64,70.12,44.3273858189831,4671422,0.0,1.0
2015-09-02,70.84,72.07,70.31,72.07,45.5601069020838,2986466,0.0,1.0
