date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,63.75,63.75,61.88,62.0,25.2545285811464,1723900,0.0,1.0
1999-11-02,62.19,63.5,62.0,62.13,25.3074816249456,876400,0.0,1.0
1999-11-03,62.5,63.0,60.75,61.63,25.1038160718718,1110200,0.0,1.0
1999-11-04,61.88,64.31,61.88,64.0,26.0691907934414,1969100,0.0,1.0
1999-11-05,64.88,65.75,64.69,65.5,26.6801874526627,1863100,0.0,1.0
1999-11-08,64.5,66.06,64.5,65.06,26.5009617659578,1737100,0.0,1.0
1999-11-09,65.06,66.31,64.19,64.25,26.1710235699783,1668400,0.0,1.0
1999-11-10,63.69,64.38,63.69,64.13,26.1221438372406,910900,0.0,1.0
1999-11-11,64.0,65.69,63.31,65.06,26.5009617659578,1364500,0.0,1.0
1999-11-12,65.0,65.88,65.0,65.5,26.6801874526627,1934200,0.0,1.0
1999-11-15,66.94,67.0,65.38,65.94,26.8594131393676,1791400,0.0,1.0
1999-11-16,65.88,67.06,65.75,67.06,27.3156239782529,1364100,0.0,1.0
1999-11-17,68.38,69.56,68.06,68.25,27.8003479945684,2676900,0.0,1.0
1999-11-18,67.0,67.5,66.06,66.63,27.1404716026094,2903900,0.0,1.0
1999-11-19,66.44,66.81,65.88,66.0,26.8838530057365,1980800,0.0,1.0
1999-11-22,66.0,67.63,65.63,66.63,27.1404716026094,2106600,0.0,1.0
1999-11-23,67.31,67.38,65.63,65.63,26.7331404964619,1683000,0.0,1.0
1999-11-24,65.38,66.81,65.31,66.23,26.9775391601504,1474400,0.0,1.0
1999-11-26,66.13,67.19,66.13,66.19,26.9612459159045,465200,0.0,1.0
1999-11-29,65.94,66.19,64.63,65.13,26.5294749433881,1684300,0.0,1.0
1999-11-30,65.63,65.81,63.88,63.94,26.0447509270726,2424500,0.0,1.0
1999-12-01,63.63,63.81,62.75,62.88,25.6129799545562,1730400,0.0,1.0
1999-12-02,62.88,65.63,62.81,65.19,26.553914809757,1194400,0.0,1.0
1999-12-03,66.69,67.19,66.0,67.13,27.3441371556832,1910500,0.0,1.0
1999-12-06,67.13,67.63,66.81,66.94,27.2667442455151,986800,0.0,1.0
1999-12-07,67.13,67.81,65.13,65.13,26.5294749433881,1211400,0.0,1.0
1999-12-08,65.13,65.81,63.5,64.75,26.4805952106504,1602400,0.26,1.0
1999-12-09,64.25,65.44,63.0,63.81,26.0961664925344,1644100,0.0,1.0
1999-12-10,64.06,64.13,62.94,63.25,25.8671451285504,1181800,0.0,1.0
1999-12-13,62.75,63.06,61.13,62.08,25.3886540645124,1430900,0.0,1.0
1999-12-14,61.13,64.94,60.88,64.13,26.2270358433824,1966900,0.0,1.0
1999-12-15,64.0,65.44,64.0,64.91,26.5460298860744,1903400,0.0,1.0
1999-12-16,65.38,65.38,63.38,64.13,26.2270358433824,1950800,0.0,1.0
1999-12-17,63.19,64.5,62.5,63.19,25.8426071252664,2945200,0.0,1.0
1999-12-20,63.19,64.5,62.94,63.52,25.9775661433284,1519400,0.0,1.0
1999-12-21,64.0,65.56,63.75,65.19,26.6605405680664,1193100,0.0,1.0
1999-12-22,65.06,65.38,62.0,62.0,25.3559367268004,1389800,0.0,1.0
1999-12-23,63.0,64.88,62.88,64.5,26.3783535303004,959400,0.0,1.0
1999-12-27,64.56,65.94,64.31,65.81,26.9140999353344,964900,0.0,1.0
1999-12-28,65.56,66.5,64.13,65.0,26.5828368910004,1175000,0.0,1.0
1999-12-29,64.94,65.31,64.25,65.13,26.6360025647824,1354100,0.0,1.0
1999-12-30,65.25,65.81,64.5,65.0,26.5828368910004,1137700,0.0,1.0
1999-12-31,64.88,65.44,64.69,65.44,26.7627822484164,412400,0.0,1.0
2000-01-03,64.5,64.56,63.88,63.94,26.1493321663164,1120200,0.0,1.0
2000-01-04,63.44,63.81,62.31,63.38,25.9203108023324,1285300,0.0,1.0
2000-01-05,63.63,63.88,62.06,62.81,25.6871997711344,1681000,0.0,1.0
2000-01-06,63.06,64.31,62.38,64.0,26.1738701696004,1985500,0.0,1.0
2000-01-07,65.0,65.94,64.38,65.88,26.9427276058324,1780200,0.0,1.0
2000-01-10,66.5,68.0,65.56,67.38,27.5561776879325,1913200,0.0,1.0
2000-01-11,68.0,68.0,65.0,65.88,26.9427276058324,1293700,0.0,1.0
2000-01-12,65.81,66.0,64.75,65.38,26.7382442451324,1269000,0.0,1.0
2000-01-13,65.63,66.5,64.44,65.94,26.9672656091164,1589300,0.0,1.0
2000-01-14,66.0,66.0,64.69,65.44,26.7627822484164,1083600,0.0,1.0
2000-01-18,65.31,65.31,63.81,64.06,26.1984081728844,1879100,0.0,1.0
2000-01-19,65.25,65.38,63.13,64.19,26.2515738466664,1351200,0.0,1.0
2000-01-20,64.25,66.0,64.06,64.25,26.2761118499504,1713300,0.0,1.0
2000-01-21,66.13,66.13,63.94,64.69,26.4560572073664,2090800,0.0,1.0
2000-01-24,64.25,64.38,61.25,63.06,25.7894414514844,1819500,0.0,1.0
2000-01-25,64.25,64.25,60.88,62.25,25.4581784071504,1748000,0.0,1.0
2000-01-26,63.19,65.56,63.19,64.94,26.5582988877164,2641400,0.0,1.0
2000-01-27,64.94,66.06,64.63,65.06,26.6073748942844,2124100,0.0,1.0
2000-01-28,64.5,64.94,62.19,63.13,25.8180691219824,1013300,0.0,1.0
2000-01-31,63.13,63.13,60.75,62.13,25.4091024005824,1767200,0.0,1.0
2000-02-01,61.94,62.63,60.44,61.56,25.1759913693844,1392300,0.0,1.0
2000-02-02,60.69,61.69,60.38,61.63,25.2046190398824,1839500,0.0,1.0
2000-02-03,60.81,62.44,60.81,62.44,25.5358820842164,1813700,0.0,1.0
2000-02-04,62.44,63.0,60.63,61.56,25.1759913693844,1669600,0.0,1.0
2000-02-07,61.0,61.5,60.06,61.38,25.1023773595324,1206600,0.0,1.0
2000-02-08,62.0,62.94,61.75,61.94,25.3313987235164,1622200,0.0,1.0
2000-02-09,61.88,61.88,60.19,61.0,24.9469700054004,1742700,0.0,1.0
2000-02-10,60.63,60.63,57.25,58.63,23.9777188756824,1751900,0.0,1.0
2000-02-11,58.38,58.44,54.69,57.94,23.6955318379164,2823100,0.0,1.0
2000-02-14,58.75,59.0,56.75,57.31,23.4378828034344,1307800,0.0,1.0
2000-02-15,56.0,58.56,56.0,58.0,23.7200698412004,1739800,0.0,1.0
2000-02-16,57.56,58.06,56.0,57.0,23.3111031198004,1460100,0.0,1.0
2000-02-17,57.25,57.75,54.81,55.0,22.4931696770004,1875000,0.0,1.0
2000-02-18,54.25,54.88,51.88,52.88,21.6261602276324,1880500,0.0,1.0
2000-02-22,53.0,56.25,53.0,55.31,22.6199493606344,1646300,0.0,1.0
2000-02-23,55.06,56.13,54.44,54.88,22.4440936704324,2042400,0.0,1.0
2000-02-24,55.0,55.5,52.5,53.25,21.7774779145504,2503700,0.0,1.0
2000-02-25,52.13,52.69,51.06,51.44,21.0372481488163,1808800,0.0,1.0
2000-02-28,51.31,52.63,50.75,51.91,21.2294625078743,2315700,0.0,1.0
2000-02-29,52.0,52.5,51.5,51.5,21.0617861521003,2181800,0.0,1.0
