date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,70.63,70.69,66.88,67.0,9.16252414891212,306300,0.0,1.0
1999-11-02,67.0,68.25,66.13,66.13,9.04354808906803,212000,0.0,1.0
1999-11-03,65.63,68.13,65.25,67.5,9.23090119479952,592100,0.0,1.0
1999-11-04,67.63,69.25,66.94,67.0,9.16252414891212,274200,0.0,1.0
1999-11-05,67.0,68.19,67.0,67.88,9.28286774967395,363500,0.0,1.0
1999-11-08,67.38,68.63,67.38,68.25,9.33346676363063,357100,0.0,1.0
1999-11-09,68.19,68.38,67.31,67.56,9.23910644030601,259200,0.0,1.0
1999-11-10,67.38,67.63,66.63,66.69,9.12013038046193,248000,0.0,1.0
1999-11-11,66.88,66.88,65.94,66.0,9.02577005713731,230200,0.0,1.0
1999-11-12,66.19,66.63,66.0,66.19,9.05175333457452,239200,0.0,1.0
1999-11-15,66.19,66.63,65.38,65.44,8.94918776574342,369400,0.0,1.0
1999-11-16,65.44,66.81,65.13,66.75,9.12833562596842,310500,0.0,1.0
1999-11-17,66.88,67.44,66.13,66.31,9.0681638255875,192200,0.0,1.0
1999-11-18,66.56,66.69,65.63,66.19,9.05175333457452,177000,0.0,1.0
1999-11-19,66.06,66.38,65.31,65.31,8.93140973381269,319400,0.0,1.0
1999-11-22,65.13,66.13,65.0,65.56,8.9655982567564,289600,0.0,1.0
1999-11-23,65.31,66.0,65.0,65.94,9.01756481163082,466900,0.0,1.0
1999-11-24,64.94,65.5,64.38,64.69,8.84662219691231,161000,0.0,1.0
1999-11-26,64.44,64.63,64.38,64.38,8.80422842846212,80900,0.0,1.0
1999-11-29,63.81,64.0,62.75,63.31,8.65790155026308,268500,0.0,1.0
1999-11-30,63.31,64.44,63.31,64.0,8.7522618735877,529900,0.0,1.0
1999-12-01,63.75,65.13,63.5,64.25,8.7864503965314,641100,0.0,1.0
1999-12-02,64.25,65.44,64.06,64.94,8.88081071985601,270400,0.0,1.0
1999-12-03,65.13,66.0,64.69,64.88,8.87260547434953,280300,0.0,1.0
1999-12-06,66.0,66.0,64.75,64.94,8.88081071985601,210100,0.0,1.0
1999-12-07,64.94,64.94,63.06,63.25,8.64969630475659,164000,0.0,1.0
1999-12-08,63.44,63.44,61.75,62.75,8.58131925886918,386300,0.0,1.0
1999-12-09,62.63,62.81,62.0,62.06,8.48695893554457,246800,0.0,1.0
1999-12-10,62.13,63.13,61.75,61.75,8.44456516709438,452100,0.0,1.0
