date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,16.44,16.94,16.38,16.69,5.68195651828112,269100,0.0,1.0
1999-11-02,16.75,17.31,16.75,17.06,5.80791960466602,408600,0.0,1.0
1999-11-03,17.0,17.06,16.75,16.81,5.72723514122488,250400,0.013,1.0
1999-11-04,17.06,17.31,16.94,17.19,5.8567026815976,229200,0.0,1.0
1999-11-05,17.38,17.63,17.38,17.63,6.00661246518707,269900,0.0,1.0
1999-11-08,17.63,17.69,17.5,17.63,6.00661246518707,218200,0.0,1.0
1999-11-09,17.69,17.81,17.44,17.44,5.94187869500071,344600,0.0,1.0
1999-11-10,17.25,17.69,17.25,17.63,6.00661246518707,279100,0.0,1.0
1999-11-11,17.38,17.56,17.0,17.25,5.87714492481435,326900,0.0,1.0
1999-11-12,17.31,17.38,16.94,17.0,5.79196891141124,269700,0.0,1.0
1999-11-15,17.0,17.69,17.0,17.69,6.02705470840381,182600,0.0,1.0
1999-11-16,17.19,18.5,17.19,18.5,6.30302499182988,294800,0.0,1.0
1999-11-17,18.38,18.38,17.63,17.63,6.00661246518707,187700,0.0,1.0
1999-11-18,17.56,17.63,17.06,17.5,5.96232093821745,343000,0.0,1.0
1999-11-19,17.38,17.5,17.0,17.25,5.87714492481435,309900,0.0,1.0
1999-11-22,17.13,17.31,16.88,17.06,5.81241115462799,141500,0.0,1.0
1999-11-23,16.81,17.5,16.5,17.13,5.83626043838086,300100,0.0,1.0
1999-11-24,17.06,17.19,16.38,16.44,5.60117464138828,184000,0.0,1.0
1999-11-26,16.5,17.13,16.44,16.94,5.7715266681945,56100,0.0,1.0
1999-11-29,16.69,16.69,16.25,16.5,5.62161688460503,169300,0.0,1.0
1999-11-30,16.44,17.0,16.31,16.31,5.55688311441867,202900,0.0,1.0
1999-12-01,16.56,16.69,16.19,16.19,5.51599862798518,135300,0.0,1.0
1999-12-02,16.25,17.06,16.25,16.44,5.60117464138828,176800,0.0,1.0
1999-12-03,16.56,17.0,16.56,16.94,5.7715266681945,232700,0.0,1.0
1999-12-06,17.19,17.19,16.75,16.88,5.75108442497775,265500,0.0,1.0
1999-12-07,16.94,16.94,16.56,16.56,5.64205912782177,83100,0.0,1.0
1999-12-08,16.63,16.63,15.63,15.69,5.34564660117896,280900,0.0,1.0
1999-12-09,15.94,15.94,15.5,15.56,5.30135507420935,202700,0.0,1.0
1999-12-10,15.81,15.94,15.38,15.56,5.30135507420935,297500,0.0,1.0
1999-12-13,15.75,16.5,15.44,16.5,5.62161688460503,260000,0.0,1.0
1999-12-14,16.38,16.38,15.56,15.75,5.36608884439571,394400,0.0,1.0
1999-12-15,15.56,15.81,15.44,15.56,5.30135507420935,816700,0.0,1.0
1999-12-16,15.63,15.81,15.5,15.56,5.30135507420935,514800,0.0,1.0
1999-12-17,15.5,15.5,15.5,15.5,5.2809128309926,411800,0.0,1.0
1999-12-20,15.5,16.19,15.5,15.75,5.36608884439571,219600,0.0,1.0
1999-12-21,15.56,16.5,15.56,16.0,5.45126485779881,379900,0.0,1.0
1999-12-22,15.81,16.06,15.69,15.81,5.38653108761245,359000,0.0,1.0
1999-12-23,15.81,16.06,15.75,16.0,5.45126485779881,526300,0.0,1.0
1999-12-27,15.94,16.13,15.75,15.81,5.38653108761245,366900,0.0,1.0
1999-12-28,15.81,16.06,15.75,15.88,5.41038037136532,174800,0.0,1.0
1999-12-29,15.94,16.38,15.88,16.38,5.58073239817154,162400,0.0,1.0
1999-12-30,16.38,16.56,15.75,16.44,5.60117464138828,197100,0.0,1.0
1999-12-31,16.38,16.5,16.0,16.25,5.53644087120192,166800,0.0,1.0
2000-01-03,16.13,16.25,15.75,15.94,5.43082261458207,190300,0.0,1.0
2000-01-04,15.69,16.0,15.69,15.81,5.38653108761245,269500,0.0,1.0
2000-01-05,15.88,16.06,15.81,15.88,5.41038037136532,109500,0.0,1.0
2000-01-06,15.81,15.94,15.69,15.88,5.41038037136532,251300,0.0,1.0
2000-01-07,15.88,16.31,15.81,16.19,5.51599862798518,449500,0.0,1.0
2000-01-10,16.19,16.5,16.0,16.31,5.55688311441867,1035400,0.0,1.0
2000-01-11,16.38,16.38,16.0,16.0,5.45126485779881,285400,0.0,1.0
2000-01-12,16.25,16.56,15.75,16.13,5.49555638476843,446700,0.0,1.0
2000-01-13,16.38,16.75,16.38,16.5,5.62161688460503,153400,0.0,1.0
2000-01-14,16.63,17.0,16.56,16.56,5.64205912782177,197300,0.0,1.0
2000-01-18,16.63,16.69,16.44,16.44,5.60117464138828,335100,0.0,1.0
2000-01-19,16.06,16.63,16.06,16.31,5.55688311441867,221000,0.0,1.0
2000-01-20,16.31,16.5,16.25,16.44,5.60117464138828,333000,0.0,1.0
2000-01-21,16.38,16.5,16.13,16.31,5.55688311441867,546400,0.0,1.0
2000-01-24,16.31,16.5,16.25,16.31,5.55688311441867,538600,0.0,1.0
2000-01-25,16.38,16.44,16.13,16.19,5.51599862798518,524900,0.0,1.0
2000-01-26,16.31,16.31,16.06,16.13,5.49555638476843,659800,0.0,1.0
2000-01-27,16.13,16.38,16.06,16.19,5.51599862798518,402000,0.0,1.0
2000-01-28,16.31,16.31,15.75,15.75,5.36608884439571,319200,0.0,1.0
2000-01-31,16.0,16.13,15.88,15.94,5.43082261458207,223800,0.0,1.0
2000-02-01,16.0,16.13,15.94,16.0,5.45126485779881,314500,0.0,1.0
2000-02-02,16.0,16.06,16.0,16.0,5.45126485779881,153300,0.0,1.0
2000-02-03,16.06,17.0,16.0,16.38,5.5851615508685,316000,0.013,1.0
2000-02-04,16.44,16.75,16.31,16.63,5.67040516428224,1185600,0.0,1.0
2000-02-07,16.5,16.75,16.25,16.31,5.56129333911265,667200,0.0,1.0
2000-02-08,16.19,17.25,16.13,16.13,5.49991793745475,233600,0.0,1.0
2000-02-09,16.38,16.63,16.38,16.56,5.64653695252639,176900,0.0,1.0
2000-02-10,16.5,16.5,16.06,16.19,5.52037640467405,264700,0.0,1.0
2000-02-11,16.06,16.13,15.81,15.81,5.39080611228516,149300,0.0,1.0
2000-02-14,16.0,16.0,15.75,15.88,5.41467432404101,119700,0.0,1.0
2000-02-15,15.88,16.63,15.88,16.63,5.67040516428224,286400,0.0,1.0
2000-02-16,16.38,16.44,16.0,16.0,5.45559125847961,107000,0.0,1.0
2000-02-17,16.06,18.63,16.06,16.94,5.77610724491528,1420000,0.0,1.0
2000-02-18,17.13,17.5,16.38,16.63,5.67040516428224,461900,0.0,1.0
2000-02-22,16.75,16.88,16.31,16.31,5.56129333911265,260300,0.0,1.0
2000-02-23,16.31,16.38,15.75,15.94,5.43513279126031,591500,0.0,1.0
2000-02-24,16.19,16.19,15.25,15.75,5.37034764506586,408000,0.0,1.0
2000-02-25,15.75,15.75,15.56,15.63,5.32943071062727,130700,0.0,1.0
2000-02-28,15.56,15.94,15.44,15.94,5.43513279126031,116200,0.0,1.0
2000-02-29,15.69,16.5,15.69,16.5,5.62607848530709,137100,0.0,1.0
2000-03-01,16.44,16.88,16.31,16.88,5.75564877769598,157100,0.0,1.0
2000-03-02,16.88,17.13,16.81,16.88,5.75564877769598,129300,0.0,1.0
2000-03-03,17.13,17.5,17.0,17.06,5.81702417935388,163900,0.0,1.0
2000-03-06,17.06,17.38,16.63,16.94,5.77610724491528,157800,0.0,1.0
2000-03-07,16.69,17.06,16.25,16.25,5.54083487189335,94400,0.0,1.0
2000-03-08,16.38,16.69,16.38,16.56,5.64653695252639,167400,0.0,1.0
