date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,3.0,3.0,2.875,3.0,6.14077102590573,146000,0.0,1.0
1999-11-02,2.875,3.0,2.875,2.938,6.01386175803701,536000,0.0,1.0
1999-11-03,2.938,3.0,2.938,2.938,6.01386175803701,96000,0.0,1.0
1999-11-04,2.938,3.0,2.938,2.938,6.01386175803701,429000,0.0,1.0
1999-11-05,2.938,3.0,2.938,3.0,6.14077102590573,225000,0.0,1.0
1999-11-08,3.0,3.063,2.938,3.063,6.26972721744975,455000,0.0,1.0
1999-11-09,3.0,3.188,2.938,3.188,6.52559267686248,1122000,0.0,1.0
1999-11-10,3.125,3.188,3.0,3.125,6.39663648531846,259000,0.0,1.0
1999-11-11,3.125,3.125,3.063,3.125,6.39663648531846,392000,0.0,1.0
1999-11-12,3.063,3.125,2.938,3.0,6.14077102590573,398000,0.0,1.0
1999-11-15,3.0,3.188,3.0,3.188,6.52559267686248,463000,0.0,1.0
1999-11-16,3.125,3.375,3.125,3.375,6.90836740414394,1341000,0.0,1.0
1999-11-17,3.313,3.438,3.313,3.438,7.03732359568796,653000,0.0,1.0
1999-11-18,3.438,3.438,3.375,3.438,7.03732359568796,185000,0.0,1.0
1999-11-19,3.375,3.5,3.375,3.5,7.16423286355668,867000,0.0,1.0
1999-11-22,3.75,3.875,3.5,3.563,7.2931890551007,892000,0.0,1.0
1999-11-23,3.5,3.688,3.5,3.688,7.54905451451344,362000,0.0,1.0
1999-11-24,3.625,3.688,3.625,3.688,7.54905451451344,471000,0.0,1.0
1999-11-26,3.688,3.688,3.625,3.688,7.54905451451344,101000,0.0,1.0
1999-11-29,3.688,3.688,3.563,3.688,7.54905451451344,271000,0.0,1.0
1999-11-30,3.625,3.75,3.625,3.75,7.67596378238216,550000,0.0,1.0
1999-12-01,3.688,3.75,3.625,3.625,7.42009832296942,346000,0.0,1.0
1999-12-02,3.625,3.688,3.625,3.688,7.54905451451344,101000,0.0,1.0
1999-12-03,3.688,3.688,3.625,3.688,7.54905451451344,116000,0.0,1.0
1999-12-06,3.688,3.688,3.5,3.625,7.42009832296942,400000,0.0,1.0
1999-12-07,3.563,3.625,3.563,3.625,7.42009832296942,81000,0.0,1.0
1999-12-08,3.563,3.625,3.563,3.625,7.42009832296942,135000,0.0,1.0
1999-12-09,3.625,3.688,3.563,3.625,7.42009832296942,291000,0.0,1.0
1999-12-10,3.563,3.688,3.563,3.688,7.54905451451344,302000,0.0,1.0
1999-12-13,3.688,3.688,3.5,3.625,7.42009832296942,252000,0.0,1.0
1999-12-14,3.563,3.625,3.563,3.563,7.2931890551007,885000,0.0,1.0
1999-12-15,3.563,3.563,3.5,3.5,7.16423286355668,1286000,0.0,1.0
1999-12-16,3.438,3.5,3.25,3.313,6.78145813627522,656000,0.0,1.0
1999-12-17,3.25,3.25,3.25,3.25,6.6525019447312,244000,0.0,1.0
1999-12-20,3.125,3.5,3.063,3.5,7.16423286355668,273000,0.0,1.0
1999-12-21,3.5,3.563,3.375,3.563,7.2931890551007,150000,0.0,1.0
1999-12-22,3.5,3.5,3.438,3.5,7.16423286355668,95000,0.0,1.0
1999-12-23,3.375,3.5,3.188,3.5,7.16423286355668,276000,0.0,1.0
1999-12-27,3.375,3.438,3.313,3.375,6.90836740414394,163000,0.0,1.0
1999-12-28,3.313,3.563,3.25,3.5,7.16423286355668,169000,0.0,1.0
1999-12-29,3.5,3.75,3.5,3.75,7.67596378238216,310000,0.0,1.0
1999-12-30,3.625,3.75,3.625,3.75,7.67596378238216,215000,0.0,1.0
1999-12-31,3.625,3.688,3.625,3.688,7.54905451451344,245000,0.0,1.0
2000-01-03,3.688,3.688,3.563,3.625,7.42009832296942,130000,0.0,1.0
2000-01-04,3.563,3.563,3.375,3.5,7.16423286355668,165000,0.0,1.0
2000-01-05,3.438,3.5,3.375,3.375,6.90836740414394,60000,0.0,1.0
2000-01-06,3.438,3.5,3.375,3.438,7.03732359568796,96000,0.0,1.0
2000-01-07,3.438,3.563,3.375,3.563,7.2931890551007,198000,0.0,1.0
2000-01-10,3.625,3.625,3.5,3.5,7.16423286355668,341000,0.0,1.0
2000-01-11,3.438,3.5,3.375,3.375,6.90836740414394,96000,0.0,1.0
2000-01-12,3.375,3.438,3.375,3.375,6.90836740414394,95000,0.0,1.0
2000-01-13,3.375,3.563,3.313,3.563,7.2931890551007,672000,0.0,1.0
2000-01-14,3.5,3.563,3.5,3.563,7.2931890551007,119000,0.0,1.0
2000-01-18,3.5,3.563,3.375,3.5,7.16423286355668,239000,0.0,1.0
2000-01-19,3.5,3.5,3.438,3.5,7.16423286355668,128000,0.0,1.0
2000-01-20,3.438,3.5,3.438,3.438,7.03732359568796,302000,0.0,1.0
2000-01-21,3.438,3.438,3.313,3.438,7.03732359568796,503000,0.0,1.0
2000-01-24,3.375,3.375,3.313,3.375,6.90836740414394,247000,0.0,1.0
2000-01-25,3.313,3.375,3.25,3.313,6.78145813627522,230000,0.0,1.0
2000-01-26,3.313,3.313,3.125,3.313,6.78145813627522,414000,0.0,1.0
2000-01-27,3.375,3.375,3.188,3.25,6.6525019447312,1868000,0.0,1.0
2000-01-28,3.313,3.375,3.313,3.375,6.90836740414394,166000,0.0,1.0
2000-01-31,3.25,3.313,3.188,3.313,6.78145813627522,211000,0.0,1.0
2000-02-01,3.313,3.375,3.25,3.313,6.78145813627522,142000,0.0,1.0
2000-02-02,3.313,3.438,3.313,3.375,6.90836740414394,272000,0.0,1.0
2000-02-03,3.438,3.438,3.375,3.438,7.03732359568796,103000,0.0,1.0
2000-02-04,3.38,3.44,3.31,3.38,6.91860202252045,107000,0.0,1.0
2000-02-07,3.375,3.813,3.313,3.813,7.80491997392618,2460000,0.0,1.0
2000-02-08,3.875,4.25,3.875,4.125,8.44356016062037,1993000,0.0,1.0
2000-02-09,4.125,4.125,3.875,4.0,8.18769470120763,423000,0.0,1.0
2000-02-10,4.0,4.0,3.875,3.875,7.93182924179489,414000,0.0,1.0
2000-02-11,3.938,3.938,3.875,3.875,7.93182924179489,340000,0.0,1.0
2000-02-14,3.75,3.938,3.688,3.938,8.06078543333892,522000,0.0,1.0
2000-02-15,4.0,4.063,3.563,4.0,8.18769470120763,3292000,0.0,1.0
2000-02-16,3.875,4.0,3.813,3.938,8.06078543333892,1567000,0.0,1.0
2000-02-17,3.938,3.938,3.813,3.938,8.06078543333892,625000,0.0,1.0
2000-02-18,3.938,3.938,3.875,3.938,8.06078543333892,1557000,0.0,1.0
2000-02-22,3.938,4.0,3.813,3.938,8.06078543333892,1218000,0.0,1.0
2000-02-23,3.938,3.938,3.688,3.813,7.80491997392618,376000,0.0,1.0
2000-02-24,3.813,3.875,3.625,3.75,7.67596378238216,310000,0.0,1.0
2000-02-25,3.813,3.813,3.688,3.75,7.67596378238216,340000,0.0,1.0
2000-02-28,3.75,3.813,3.5,3.625,7.42009832296942,694000,0.0,1.0
2000-02-29,3.625,4.0,3.625,4.0,8.18769470120763,1329000,0.0,1.0
2000-03-01,4.0,4.063,3.938,4.063,8.31665089275165,2803000,0.0,1.0
2000-03-02,4.063,4.25,4.0,4.25,8.69942562003311,3038000,0.0,1.0
2000-03-03,4.25,4.25,4.188,4.188,8.57251635216439,934000,0.0,1.0
2000-03-06,4.25,4.438,4.188,4.438,9.08424727098987,3686000,0.0,1.0
2000-03-07,4.5,4.688,4.25,4.313,8.82838181157713,2103000,0.0,1.0
2000-03-08,4.375,4.375,4.188,4.25,8.69942562003311,744000,0.0,1.0
