date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,68.94,70.0,68.25,68.75,34.0665543800329,2400000,0.0,1.0
1999-11-02,69.63,69.88,68.56,68.88,34.130971137406,2254400,0.0,1.0
1999-11-03,70.88,72.38,70.81,71.88,35.6175116921711,4182500,0.0,1.0
1999-11-04,73.13,76.56,72.75,76.13,37.723444144755,5294600,0.0,1.0
1999-11-05,77.19,78.75,76.75,77.0,38.1545409056368,5094000,0.0,1.0
1999-11-08,76.0,76.38,74.63,75.25,37.2873922486905,2621800,0.0,1.0
1999-11-09,75.25,75.69,73.56,74.0,36.6680003508718,1899100,0.0,1.0
1999-11-10,74.31,76.69,73.5,75.94,37.7432646854852,1994100,0.23,1.0
1999-11-11,77.88,77.88,76.44,76.88,38.2104581119318,1843200,0.0,1.0
1999-11-12,77.38,77.56,75.75,77.38,38.4589652536587,1410900,0.0,1.0
1999-11-15,76.75,76.88,73.88,73.88,36.7194152615702,2285000,0.0,1.0
1999-11-16,74.25,77.0,74.25,77.0,38.2700998259462,2093600,0.0,1.0
1999-11-17,75.25,76.31,74.63,75.06,37.3058921160458,2534200,0.0,1.0
1999-11-18,74.06,75.13,73.5,73.63,36.5951616907068,2084700,0.0,1.0
1999-11-19,72.0,73.19,72.0,72.88,36.2224009781164,2393600,0.0,1.0
1999-11-22,72.5,75.13,71.63,75.06,37.3058921160458,1413000,0.0,1.0
1999-11-23,75.25,75.31,73.06,73.5,36.5305498338578,2051900,0.0,1.0
1999-11-24,73.0,73.94,72.81,73.56,36.560370690865,1178500,0.0,1.0
1999-11-26,72.56,72.81,72.19,72.44,36.0037146933967,651800,0.0,1.0
1999-11-29,71.63,75.63,71.13,75.38,37.464936686751,1966600,0.0,1.0
1999-11-30,73.5,74.44,71.0,71.75,35.6607748378135,3008900,0.0,1.0
1999-12-01,71.13,71.88,70.13,71.44,35.5067004099429,2420400,0.0,1.0
1999-12-02,72.0,72.0,70.5,71.32,35.4470586959284,2120900,0.0,1.0
1999-12-03,72.25,73.88,71.38,71.88,35.7253866946625,2493500,0.0,1.0
1999-12-06,71.31,71.31,69.25,69.5,34.5424927000424,2545900,0.0,1.0
1999-12-07,69.69,69.94,66.0,66.5,33.0514498496808,3834100,0.0,1.0
1999-12-08,67.19,67.38,66.13,66.25,32.9271962788174,1914500,0.0,1.0
1999-12-09,66.38,68.94,65.75,66.88,33.2403152773933,1900200,0.0,1.0
1999-12-10,66.25,67.69,65.63,65.88,32.7433009939395,1866400,0.0,1.0
1999-12-13,65.25,65.56,63.63,64.13,31.8735259978952,4143000,0.0,1.0
1999-12-14,64.0,67.25,63.63,66.38,32.9918081356664,3542800,0.0,1.0
1999-12-15,65.75,68.63,65.69,68.56,34.0752992735958,3189500,0.0,1.0
1999-12-16,67.5,68.5,66.38,66.88,33.2403152773933,3546200,0.0,1.0
1999-12-17,66.94,67.5,65.94,67.06,33.329777848415,3341600,0.0,1.0
1999-12-20,65.63,66.38,64.5,65.0,32.3059284245001,3192500,0.0,1.0
1999-12-21,64.81,65.56,63.75,65.44,32.5246147092198,2384600,0.0,1.0
1999-12-22,65.31,67.5,64.81,66.88,33.2403152773933,1943400,0.0,1.0
1999-12-23,67.44,68.5,67.19,68.25,33.9212248457251,1904500,0.0,1.0
1999-12-27,67.25,70.5,67.06,70.5,35.0395069834962,2152300,0.0,1.0
1999-12-28,69.63,69.63,67.75,68.44,34.0156575595813,1548700,0.0,1.0
1999-12-29,68.75,68.75,66.63,67.31,33.4540314192785,955900,0.0,1.0
1999-12-30,66.75,68.25,66.31,67.25,33.4242105622712,1089600,0.0,1.0
1999-12-31,67.44,67.44,66.19,66.5,33.0514498496808,906200,0.0,1.0
2000-01-03,65.0,67.0,65.0,65.56,32.5842564232342,2645000,0.0,1.0
2000-01-04,64.25,65.44,62.75,63.5,31.5604069993193,3701000,0.0,1.0
2000-01-05,63.13,65.31,63.0,64.44,32.0276004257659,3411000,0.0,1.0
2000-01-06,65.0,66.19,64.31,66.19,32.8973754218102,2460100,0.0,1.0
2000-01-07,68.0,71.06,67.5,71.06,35.3178349822304,5863300,0.0,1.0
2000-01-10,71.06,71.06,67.94,68.13,33.8615831317106,2830500,0.0,1.0
2000-01-11,67.0,69.38,67.0,68.5,34.0454784165885,3309700,0.0,1.0
2000-01-12,67.63,68.31,66.94,67.5,33.5484641331347,3573600,0.0,1.0
2000-01-13,65.75,68.38,65.63,66.69,33.1458825635371,3639400,0.0,1.0
2000-01-14,68.94,69.25,68.0,68.31,33.9510457027323,3750300,0.0,1.0
2000-01-18,69.38,69.38,66.5,67.31,33.4540314192785,2082900,0.0,1.0
2000-01-19,66.0,68.0,65.75,67.75,33.6727177039982,2193700,0.0,1.0
2000-01-20,67.69,68.25,65.56,66.78,33.1906138490479,2136400,0.0,1.0
2000-01-21,65.13,65.63,64.13,64.75,32.1816748536366,4051000,0.0,1.0
2000-01-24,64.63,64.81,61.56,62.13,30.8794974309875,4206900,0.0,1.0
2000-01-25,62.38,63.25,61.75,62.31,30.9689600020092,3148700,0.0,1.0
2000-01-26,62.94,63.38,62.13,62.75,31.1876462867289,2233100,0.0,1.0
2000-01-27,62.0,64.38,61.5,64.25,31.9331677119097,3052200,0.0,1.0
2000-01-28,65.0,67.38,64.88,65.31,32.4600028523708,4284500,0.0,1.0
2000-01-31,65.94,67.0,62.38,66.88,33.2403152773933,3334100,0.0,1.0
2000-02-01,65.88,66.5,64.69,65.56,32.5842564232342,2981300,0.0,1.0
2000-02-02,65.5,66.06,63.88,65.06,32.3357492815073,2066300,0.0,1.0
2000-02-03,65.31,65.81,63.63,65.25,32.4301819953635,2643600,0.0,1.0
2000-02-04,64.88,65.25,64.5,64.88,32.2462867104856,1717600,0.0,1.0
2000-02-07,65.44,65.44,62.75,63.31,31.4659742854631,1957400,0.0,1.0
