date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,83.94,85.13,82.25,82.25,2.33361619659663,816400,0.0,1.0
1999-11-02,82.97,84.44,80.88,81.69,2.3177277458964,920600,0.0,1.0
1999-11-03,82.88,87.19,82.81,86.38,2.45079352051085,2242600,0.0,1.0
1999-11-04,86.56,86.63,83.63,85.19,2.41703056277285,625000,0.0,1.0
1999-11-05,85.75,89.38,85.13,88.81,2.5197380476565,1456900,0.0,1.0
1999-11-08,88.38,90.13,87.75,88.75,2.5180357136529,546700,0.0,1.0
1999-11-09,89.56,89.94,86.13,87.25,2.47547736356299,753700,0.0,1.0
1999-11-10,87.31,89.75,87.0,89.63,2.54300327903898,649300,0.0,1.0
1999-11-11,90.0,93.5,90.0,92.5,2.62443158887767,1001200,0.0,1.0
1999-11-12,92.5,92.63,89.0,92.63,2.6281199792188,843200,0.0,1.0
1999-11-15,93.38,93.38,85.38,86.13,2.44370046216253,1715600,0.0,1.0
1999-11-16,86.13,89.38,84.38,87.69,2.48796114625603,1088100,0.0,1.0
1999-11-17,88.56,91.75,84.69,85.0,2.41163983842813,1657800,0.0,1.0
1999-11-18,85.31,85.5,78.81,82.81,2.34950464729687,2323800,0.0,1.0
1999-11-19,82.44,83.38,78.06,78.25,2.22012726302354,2146700,0.0,1.0
1999-11-22,78.88,80.5,77.13,80.5,2.28396478815841,1692800,0.0,1.0
1999-11-23,80.0,80.19,72.25,73.75,2.09245221275382,3418400,0.0,1.0
1999-11-24,75.06,77.69,73.25,75.63,2.14579201153317,1991400,0.0,1.0
1999-11-26,76.75,78.13,75.88,76.38,2.16707118657813,367300,0.0,1.0
1999-11-29,77.31,78.0,74.38,75.94,2.15458740388509,1215500,0.0,1.0
1999-11-30,76.25,79.25,74.75,77.63,2.20253647831972,1573200,0.0,1.0
1999-12-01,78.38,85.13,78.13,84.88,2.40823517042094,2488100,0.0,1.0
1999-12-02,83.88,88.25,83.0,87.63,2.48625881225244,1542200,0.0,1.0
1999-12-03,88.38,89.31,86.25,87.25,2.47547736356299,1769300,0.0,1.0
1999-12-06,86.5,95.0,85.19,94.38,2.67777138765702,2107000,0.0,1.0
1999-12-07,93.69,94.56,91.25,94.13,2.67067832930871,1518600,0.0,1.0
1999-12-08,93.38,94.25,89.75,90.38,2.56428245408394,1345700,0.0,1.0
1999-12-09,92.63,94.5,87.0,88.56,2.51264498930818,1874200,0.0,1.0
1999-12-10,88.69,89.5,84.75,87.38,2.47916575390412,1068100,0.0,1.0
1999-12-13,86.94,90.75,86.38,89.81,2.54811028104977,798100,0.0,1.0
1999-12-14,89.56,90.19,83.75,84.13,2.38695599537598,1201500,0.0,1.0
1999-12-15,84.44,86.56,80.25,85.19,2.41703056277285,1660500,0.0,1.0
1999-12-16,85.5,88.69,85.5,88.13,2.50044492894907,642200,0.0,1.0
1999-12-17,90.69,92.5,89.38,89.56,2.54101722270145,801000,0.0,1.0
1999-12-20,91.25,107.0,91.25,106.5,3.02164285638348,2147800,0.0,1.0
1999-12-21,105.4,110.6,102.3,109.0,3.09257343986666,1606000,0.0,1.0
1999-12-22,108.9,112.5,107.5,110.1,3.12378289659926,785400,0.0,1.0
1999-12-23,108.9,111.4,107.0,108.3,3.07271287649137,686700,0.0,1.0
1999-12-27,108.1,109.6,104.9,108.5,3.07838732317003,440600,0.0,1.0
1999-12-28,108.1,108.1,103.9,105.2,2.98475895297223,385300,0.0,1.0
1999-12-29,104.3,104.9,101.7,102.9,2.9195028161677,626100,0.0,1.0
1999-12-30,103.0,103.6,100.6,102.9,2.9195028161677,353200,0.0,1.0
1999-12-31,102.9,111.9,102.6,111.6,3.16634124668917,472800,0.0,1.0
2000-01-03,113.0,113.0,109.3,112.4,3.18903903340379,1061300,0.0,1.0
2000-01-04,109.2,111.5,106.1,107.5,3.05001508977675,1098600,0.0,1.0
2000-01-05,107.0,109.0,102.8,105.1,2.9819217296329,1031600,0.0,1.0
