date,open,high,low,close,adjClose,volume,dividend,split
2007-07-27,25.0,28.64,24.92,28.0,14.0,14628600,0.0,1.0
2007-07-30,28.86,31.85,28.36,29.98,14.99,2883600,0.0,1.0
2007-07-31,32.0,34.17,30.21,32.14,16.07,2220800,0.0,1.0
2007-08-01,32.98,33.25,30.4,31.08,15.54,1531800,0.0,1.0
2007-08-02,32.0,33.83,31.98,33.05,16.525,984700,0.0,1.0
2007-08-03,34.45,34.5,30.09,31.0,15.5,1174700,0.0,1.0
2007-08-06,32.0,32.85,30.09,32.75,16.375,1501100,0.0,1.0
2007-08-07,33.0,37.03,32.13,36.24,18.12,1990400,0.0,1.0
2007-08-08,37.0,38.85,36.4,37.75,18.875,2033400,0.0,1.0
2007-08-09,36.65,37.75,34.5,35.35,17.675,914100,0.0,1.0
2007-08-10,34.0,36.2,32.26,36.15,18.075,1116400,0.0,1.0
2007-08-13,38.0,38.0,36.51,36.88,18.44,481400,0.0,1.0
2007-08-14,37.0,37.19,33.49,33.5,16.75,1076700,0.0,1.0
2007-08-15,35.25,35.25,32.113,33.45,16.725,764600,0.0,1.0
2007-08-16,31.95,33.39,28.7,32.03,16.015,1366200,0.0,1.0
2007-08-17,34.99,34.99,31.68,32.94,16.47,575000,0.0,1.0
2007-08-20,34.0,34.17,32.0,33.0,16.5,291100,0.0,1.0
2007-08-21,33.76,34.7,32.3,34.02,17.01,625500,0.0,1.0
2007-08-22,34.8,36.0,34.098,34.29,17.145,409700,0.0,1.0
2007-08-23,35.24,35.24,33.62,33.79,16.895,309500,0.0,1.0
2007-08-24,34.23,34.49,33.2857,34.37,17.185,177100,0.0,1.0
2007-08-27,34.5,34.5,32.87,33.05,16.525,187500,0.0,1.0
2007-08-28,32.92,32.98,32.08,32.3,16.15,318500,0.0,1.0
2007-08-29,32.35,33.75,32.35,33.49,16.745,534800,0.0,1.0
2007-08-30,32.38,33.79,32.38,33.57,16.785,341100,0.0,1.0
2007-08-31,33.8,34.77,33.67,34.07,17.035,388100,0.0,1.0
2007-09-04,34.0,35.25,33.99,34.96,17.48,332700,0.0,1.0
2007-09-05,34.89,35.21,33.31,34.84,17.42,310700,0.0,1.0
2007-09-06,35.25,37.24,34.2723,36.95,18.475,688400,0.0,1.0
2007-09-07,35.55,36.6,34.76,35.9,17.95,526800,0.0,1.0
2007-09-10,36.98,36.98,35.64,36.66,18.33,926200,0.0,1.0
2007-09-11,34.5,36.44,34.36,35.62,17.81,1494200,0.0,1.0
2007-09-12,35.19,36.53,35.07,35.8292,17.9146,337000,0.0,1.0
2007-09-13,36.72,36.73,34.83,35.03,17.515,281700,0.0,1.0
2007-09-14,34.73,35.6,33.5,34.18,17.09,443700,0.0,1.0
2007-09-17,34.8,34.8,33.34,34.71,17.355,336800,0.0,1.0
2007-09-18,34.7,36.23,34.5,36.2,18.1,328100,0.0,1.0
2007-09-19,36.75,40.36,36.3,39.33,19.665,1777800,0.0,1.0
2007-09-20,39.74,41.34,39.0,39.79,19.895,922000,0.0,1.0
2007-09-21,41.89,41.9,39.89,39.89,19.945,1335800,0.0,1.0
2007-09-24,41.09,41.48,39.05,39.37,19.685,566600,0.0,1.0
2007-09-25,39.37,42.49,38.5,42.3001,21.15005,852200,0.0,1.0
2007-09-26,43.15,44.23,42.79,43.03,21.515,1120000,0.0,1.0
2007-09-27,43.97,43.99,41.1,41.3,20.65,529100,0.0,1.0
2007-09-28,42.0,42.15,40.79,42.03,21.015,2069400,0.0,1.0
2007-10-01,42.83,43.3,41.73,43.06,21.53,580100,0.0,1.0
2007-10-02,43.1,47.28,43.08,45.6,22.8,1476300,0.0,1.0
2007-10-03,45.25,47.72,44.0,46.3899,23.19495,971200,0.0,1.0
2007-10-04,47.0,47.18,44.08,44.5,22.25,717200,0.0,1.0
2007-10-05,46.0,46.0,44.12,44.2601,22.13005,534000,0.0,1.0
2007-10-08,44.51,46.5,44.3,46.2,23.1,471700,0.0,1.0
2007-10-09,46.5,47.25,45.07,45.85,22.925,508000,0.0,1.0
2007-10-10,45.54,47.05,44.59,46.7,23.35,399900,0.0,1.0
