date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,16.63,16.75,16.13,16.38,9.33497115606211,1751067,0.0,1.0
1999-11-02,16.38,17.25,16.25,16.94,9.65411546908988,2209800,0.0,1.0
1999-11-03,17.19,17.19,16.75,16.88,9.61992143555118,1514067,0.0,1.0
1999-11-04,16.81,17.13,16.75,16.88,9.61992143555118,1120200,0.0,1.0
1999-11-05,17.13,17.5,17.06,17.44,9.93906574857895,2026800,0.0,1.0
1999-11-08,17.13,17.5,17.13,17.44,9.93906574857895,1002400,0.0,1.0
1999-11-09,17.69,17.69,16.63,16.75,9.54583436288402,1468467,0.0,1.0
1999-11-10,16.5,17.31,16.5,17.13,9.76239657529572,1847467,0.0,1.0
1999-11-11,17.13,17.38,16.75,16.75,9.54583436288402,1167600,0.0,1.0
1999-11-12,17.0,17.19,16.88,17.06,9.72250353616725,1600600,0.0,1.0
1999-11-15,17.0,17.13,16.5,16.5,9.40335922313949,1268600,0.0,1.0
1999-11-16,16.75,17.25,16.75,17.25,9.8307846423731,1611200,0.0,1.0
1999-11-17,17.0,17.19,16.88,17.0,9.68830950262856,1607467,0.0,1.0
1999-11-18,16.94,16.94,16.25,16.63,9.47744629580665,2661200,0.0,1.0
1999-11-19,16.44,16.69,16.25,16.5,9.40335922313949,1436000,0.0,1.0
1999-11-22,16.5,16.69,16.25,16.5,9.40335922313949,1493267,0.0,1.0
1999-11-23,16.44,17.0,16.25,16.63,9.47744629580665,2117067,0.0,1.0
1999-11-24,16.56,16.75,16.25,16.25,9.26088408339495,1823400,0.0,1.0
1999-11-26,16.31,16.38,16.25,16.25,9.26088408339495,688000,0.0,1.0
1999-11-29,16.25,16.5,16.19,16.38,9.33497115606211,1874000,0.0,1.0
1999-11-30,16.5,16.81,16.25,16.31,9.29507811693364,1754000,0.0,1.0
1999-12-01,16.31,16.69,16.31,16.5,9.40335922313949,1320467,0.0,1.0
1999-12-02,16.38,16.75,16.38,16.6,9.4603492790373,1486867,0.0,1.0
1999-12-03,16.75,17.13,16.38,16.56,9.43755325667818,2296800,0.0,1.0
1999-12-06,16.44,16.81,16.44,16.81,9.58344779977658,1893000,0.006,1.0
1999-12-07,16.94,17.19,16.06,16.31,9.29839581287067,2761800,0.0,1.0
1999-12-08,16.44,16.75,16.25,16.25,9.26418957444197,1974000,0.0,1.0
1999-12-09,16.13,16.44,15.69,15.88,9.0532511041316,2930200,0.0,1.0
1999-12-10,15.94,16.13,15.63,15.81,9.01334382596477,2121867,0.0,1.0
1999-12-13,15.75,16.19,15.63,15.97,9.10456046177466,2115667,0.0,1.0
1999-12-14,15.94,16.19,15.81,16.0,9.12166358098901,1920467,0.0,1.0
1999-12-15,15.94,16.06,15.69,16.0,9.12166358098901,1939067,0.0,1.0
1999-12-16,15.94,16.0,15.56,15.63,8.91072511067864,1827467,0.0,1.0
1999-12-17,15.87,16.0,15.63,15.63,8.91072511067864,3099400,0.0,1.0
1999-12-20,15.63,15.81,15.38,15.44,8.8024053556544,1808000,0.0,1.0
1999-12-21,15.38,16.06,15.31,16.0,9.12166358098901,3141067,0.0,1.0
1999-12-22,15.88,16.31,15.63,15.81,9.01334382596477,1938600,0.0,1.0
1999-12-23,16.06,16.19,15.94,16.13,9.19577709758455,1422067,0.0,1.0
