date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,67.0,67.5,64.5,64.88,5.23231916304405,411644,0.0,1.0
1999-11-02,65.06,65.5,63.44,63.75,5.14118906664701,558667,0.0,1.0
1999-11-03,64.06,68.25,64.0,68.0,5.48393500442348,802044,0.0,1.0
1999-11-04,68.31,70.0,67.38,68.81,5.54925834785852,590430,0.0,1.0
1999-11-05,69.44,69.69,67.75,69.0,5.5645811074297,725452,0.0,1.0
1999-11-08,69.19,69.19,67.69,68.5,5.52425805592659,397600,0.0,1.0
1999-11-09,68.75,68.88,65.63,66.25,5.34280432416258,638667,0.0,1.0
1999-11-10,66.44,67.5,64.56,65.13,5.2524806887956,610578,0.0,1.0
1999-11-11,66.25,68.25,64.75,65.13,5.2524806887956,468444,0.0,1.0
1999-11-12,65.25,65.75,61.38,65.38,5.27264221454716,522578,0.0,1.0
1999-11-15,65.75,66.06,62.56,64.13,5.17183458578938,366252,0.0,1.0
1999-11-16,64.19,66.25,63.69,66.0,5.32264279841102,544800,0.0,1.0
1999-11-17,66.03,68.03,63.5,63.75,5.14118906664701,599467,0.0,1.0
1999-11-18,64.69,67.88,64.0,67.44,5.43877318673999,447230,0.0,1.0
1999-11-19,67.81,69.25,66.5,67.0,5.40328890141725,677244,0.0,1.0
1999-11-22,66.94,67.5,64.63,66.06,5.3274815645914,354252,0.0,1.0
1999-11-23,67.31,67.38,62.88,63.25,5.1008660151439,807585,0.0,1.0
1999-11-24,63.25,65.0,62.25,65.0,5.24199669540479,396178,0.0,1.0
1999-11-26,65.06,67.0,64.75,65.63,5.29280374029872,68652,0.0,1.0
1999-11-29,65.28,65.38,63.25,63.63,5.13151153428626,379763,0.0,1.0
1999-11-30,64.44,64.5,62.25,63.38,5.11135000853471,370667,0.0,1.0
1999-12-01,63.0,68.5,63.0,67.13,5.41377289480806,1451644,0.0,1.0
1999-12-02,69.0,71.44,68.19,71.16,5.73877668992316,995052,0.0,1.0
1999-12-03,72.31,75.25,70.44,72.0,5.80651941644839,1385985,0.0,1.0
1999-12-06,73.13,77.0,71.75,73.06,5.89200428563499,1116978,0.0,1.0
1999-12-07,72.94,73.25,69.5,70.88,5.71619578108141,658785,0.0,1.0
1999-12-08,71.38,71.38,66.75,69.0,5.5645811074297,1069778,0.0,1.0
1999-12-09,69.0,72.38,69.0,70.0,5.64522721043593,929778,0.0,1.0
1999-12-10,69.63,72.5,68.5,70.25,5.66538873618749,477067,0.0,1.0
1999-12-13,70.13,72.38,68.69,69.31,5.58958139936164,387763,0.0,1.0
1999-12-14,69.44,69.47,61.13,62.0,5.00005838638611,777600,0.0,1.0
1999-12-15,61.75,64.5,59.75,60.69,4.89441199144795,1344830,0.0,1.0
1999-12-16,64.13,65.75,63.5,64.63,5.21215763729249,1215644,0.0,1.0
1999-12-17,65.38,67.0,64.38,66.19,5.3379655579822,1084978,0.0,1.0
1999-12-20,67.0,67.0,65.5,65.81,5.30732003883984,502667,0.0,1.0
1999-12-21,65.81,68.81,64.19,68.81,5.54925834785852,764978,0.0,1.0
1999-12-22,69.75,70.88,66.69,68.31,5.50893529635541,345778,0.0,1.0
1999-12-23,69.63,70.5,66.88,66.94,5.39845013523688,402044,0.0,1.0
1999-12-27,68.75,70.0,66.69,67.0,5.40328890141725,486044,0.0,1.0
1999-12-28,68.44,68.5,67.0,67.25,5.42345042716881,244800,0.0,1.0
1999-12-29,66.88,69.75,66.06,69.0,5.5645811074297,268030,0.0,1.0
1999-12-30,69.13,69.63,67.56,67.88,5.47425747206273,153363,0.0,1.0
1999-12-31,68.38,69.25,67.5,68.44,5.51941928974622,178785,0.0,1.0
2000-01-03,68.53,69.38,64.88,68.13,5.49441899781429,866252,0.0,1.0
2000-01-04,69.19,69.38,63.0,63.06,5.08554325557271,914785,0.0,1.0
2000-01-05,63.75,64.63,61.0,63.25,5.1008660151439,637185,0.0,1.0
2000-01-06,62.56,63.63,60.38,61.88,4.99038085402536,729452,0.0,1.0
2000-01-07,62.31,62.31,58.75,60.25,4.85892770612521,1020830,0.0,1.0
2000-01-10,61.88,65.5,61.5,64.63,5.21215763729249,1223852,0.0,1.0
2000-01-11,64.13,65.69,61.56,62.31,5.02505867831804,783052,0.0,1.0
2000-01-12,63.13,68.5,62.5,67.31,5.42828919334918,1358844,0.0,1.0
2000-01-13,69.38,71.5,67.25,71.25,5.74603483919372,1111763,0.0,1.0
2000-01-14,72.25,72.75,66.5,66.69,5.37828860948532,2857363,0.0,1.0
2000-01-18,67.5,68.31,65.5,65.94,5.31780403223065,950163,0.0,1.0
2000-01-19,66.88,69.0,66.0,67.44,5.43877318673999,577363,0.0,1.0
2000-01-20,68.75,70.25,68.0,70.19,5.66054997000712,609867,0.0,1.0
2000-01-21,70.31,70.31,65.88,66.25,5.34280432416258,914578,0.0,1.0
2000-01-24,66.19,69.75,64.0,64.75,5.22183516965324,385600,0.0,1.0
2000-01-25,65.06,67.5,63.31,67.5,5.44361195292036,486252,0.0,1.0
2000-01-26,67.56,68.63,63.5,64.38,5.19199611154093,428000,0.0,1.0
2000-01-27,64.81,67.69,61.13,62.13,5.01054237977692,811585,0.0,1.0
2000-01-28,62.0,62.13,56.5,58.19,4.69279673393238,858785,0.0,1.0
2000-01-31,58.13,62.88,56.25,62.88,5.07102695703159,886578,0.0,1.0
2000-02-01,62.19,64.23,60.0,62.94,5.07586572321197,539585,0.0,1.0
2000-02-02,63.25,65.5,61.56,64.25,5.18151211815012,365452,0.0,1.0
2000-02-03,65.25,70.0,65.25,69.5,5.60490415893282,854963,0.0,1.0
2000-02-04,68.5,70.13,67.0,67.84,5.47103162794248,1030963,0.0,1.0
2000-02-07,67.25,70.13,66.94,69.5,5.60490415893282,315852,0.0,1.0
2000-02-08,47.0,49.94,46.63,47.34,5.72667977447222,814163,0.0,1.5
2000-02-09,48.0,48.88,45.88,47.56,5.75329298846428,725378,0.0,1.0
2000-02-10,47.94,50.0,47.56,49.75,6.01821543683974,827378,0.0,1.0
2000-02-11,49.88,50.38,47.13,47.75,5.77627712782105,792800,0.0,1.0
2000-02-14,47.63,50.81,47.5,49.25,5.95773085958506,559778,0.0,1.0
2000-02-15,48.88,49.5,47.0,47.94,5.79926126717783,939867,0.0,1.0
2000-02-16,49.0,50.0,48.0,48.13,5.8222454065346,828000,0.0,1.0
2000-02-17,50.0,50.0,47.5,49.75,6.01821543683974,566178,0.0,1.0
2000-02-18,49.63,49.69,47.0,47.63,5.76176082927993,627067,0.0,1.0
2000-02-22,47.63,48.5,45.38,47.13,5.70127625202526,635244,0.0,1.0
2000-02-23,46.88,50.75,46.88,49.44,5.98071499894184,738978,0.0,1.0
2000-02-24,49.47,54.13,49.44,53.81,6.50935020414766,1165200,0.0,1.0
2000-02-25,54.5,55.31,51.06,51.06,6.17668502924697,871378,0.0,1.0
2000-02-28,51.19,54.0,49.38,53.31,6.44886562689299,1017600,0.0,1.0
2000-02-29,55.25,63.56,55.25,62.44,7.55331400756328,2398578,0.0,1.0
2000-03-01,62.31,63.25,59.88,61.91,7.48920035567333,1999067,0.0,1.0
2000-03-02,62.36,65.5,59.13,61.81,7.47710344022239,1347778,0.0,1.0
2000-03-03,63.0,67.5,62.88,67.31,8.14243379002377,1188844,0.0,1.0
2000-03-06,67.75,75.0,67.5,70.13,8.48356680574011,1298000,0.0,1.0
2000-03-07,72.38,77.38,67.0,72.25,8.74002141329992,1372800,0.0,1.0
2000-03-08,75.0,77.0,68.0,69.5,8.40735623839923,1405067,0.0,1.0
2000-03-09,70.0,70.88,65.69,68.63,8.3021130739761,1120044,0.0,1.0
2000-03-10,69.0,71.0,68.69,69.19,8.36985580050133,1407644,0.0,1.0
2000-03-13,66.5,68.13,63.5,64.63,7.81823645593873,512044,0.0,1.0
2000-03-14,66.75,70.63,60.0,60.38,7.30411754927403,1546000,0.0,1.0
2000-03-15,59.88,62.0,57.25,59.38,7.18314839476469,1637600,0.0,1.0
2000-03-16,60.25,61.5,53.75,60.81,7.35613428571305,1165467,0.0,1.0
2000-03-17,58.5,63.88,58.25,63.5,7.68154131134318,1475200,0.0,1.0
2000-03-20,64.25,66.25,61.75,61.94,7.49282943030861,1032844,0.0,1.0
2000-03-21,62.44,67.25,60.31,64.69,7.8254946052093,651644,0.0,1.0
2000-03-22,65.38,66.5,64.33,65.19,7.88597918246397,810400,0.0,1.0
2000-03-23,64.38,67.38,63.25,63.56,7.68879946061374,1971778,0.0,1.0
2000-03-24,63.56,68.0,63.5,65.38,7.90896332182074,1196000,0.0,1.0
2000-03-27,66.0,67.75,64.81,65.94,7.97670604834597,490800,0.0,1.0
2000-03-28,65.47,66.0,61.06,61.81,7.47710344022239,855778,0.0,1.0
2000-03-29,62.13,62.25,58.0,58.94,7.12992196678058,1110978,0.0,1.0
2000-03-30,58.81,62.25,57.5,58.5,7.07669553879647,1170044,0.0,1.0
2000-03-31,60.75,66.0,58.75,65.75,7.9537219089892,1351644,0.0,1.0
2000-04-03,65.25,65.69,55.88,55.94,6.76701450325256,1531467,0.0,1.0
2000-04-04,58.63,62.06,49.5,57.94,7.00895281227124,1627778,0.0,1.0
2000-04-05,62.0,66.38,58.25,65.19,7.88597918246397,2943200,0.0,1.0
2000-04-06,66.38,69.19,64.63,67.06,8.11219150139643,1345067,0.0,1.0
2000-04-07,68.81,73.88,67.19,72.75,8.80050599055459,2292978,0.0,1.0
2000-04-10,75.0,75.75,65.88,66.19,8.00694833697331,1040800,0.0,1.0
2000-04-11,65.38,71.38,62.13,68.56,8.29364523316045,1030267,0.0,1.0
2000-04-12,68.69,69.44,62.5,62.55,7.56662061455931,622844,0.0,1.0
2000-04-13,64.25,68.0,61.06,62.38,7.54605585829272,1134800,0.0,1.0
2000-04-14,61.0,61.5,52.38,52.63,6.36660660182664,1421378,0.0,1.0
2000-04-17,51.38,60.38,51.0,59.88,7.24363297201936,1154444,0.0,1.0
2000-04-18,62.0,66.0,60.5,65.13,7.87872103319341,789644,0.0,1.0
2000-04-19,65.06,65.75,57.19,59.06,7.1444382653217,1243644,0.0,1.0
2000-04-20,60.69,62.31,55.0,59.0,7.13718011605114,1173200,0.0,1.0
2000-04-24,55.94,58.75,53.81,57.56,6.96298453355769,580800,0.0,1.0
2000-04-25,59.0,61.25,56.75,61.06,7.38637657434039,1027467,0.0,1.0
2000-04-26,60.88,61.75,56.75,57.0,6.89524180703246,874444,0.0,1.0
2000-04-27,56.06,62.38,54.94,60.19,7.28113340991726,869778,0.0,1.0
2000-04-28,61.0,63.52,60.25,62.06,7.50734572884973,560800,0.0,1.0
2000-05-01,63.44,64.5,61.75,62.0,7.50008757957917,518800,0.0,1.0
2000-05-02,62.63,64.5,57.88,58.19,7.03919510089858,640267,0.0,1.0
2000-05-03,58.38,60.75,56.5,59.94,7.25089112128992,978667,0.0,1.0
