date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,22.12,22.12,21.62,21.62,6.09214224036973,469900,0.0,1.0
1999-11-02,21.62,21.62,21.25,21.38,6.02451438941281,1372800,0.0,1.0
1999-11-03,21.5,21.88,21.5,21.88,6.16540574557307,948100,0.0,1.0
1999-11-04,21.88,22.25,21.62,21.75,6.1287739929714,609400,0.0,1.0
1999-11-05,21.75,22.0,21.5,21.88,6.16540574557307,1077800,0.0,1.0
1999-11-08,21.88,22.88,21.75,22.5,6.34011102721179,612700,0.0,1.0
1999-11-09,22.5,22.62,21.12,21.75,6.1287739929714,2768800,0.0,1.0
1999-11-10,21.62,21.62,21.12,21.5,6.05832831489127,1718200,0.0,1.0
1999-11-11,21.5,21.75,21.12,21.12,5.95125088420947,411400,0.0,1.0
1999-11-12,21.12,21.62,21.12,21.38,6.02451438941281,743100,0.0,1.0
1999-11-15,21.38,21.38,21.12,21.25,5.98788263681114,368500,0.0,1.0
1999-11-16,21.25,21.62,21.12,21.25,5.98788263681114,784100,0.0,1.0
1999-11-17,21.25,21.25,20.62,20.88,5.93575283503184,509000,0.185,1.0
1999-11-18,20.88,21.0,20.12,20.75,5.89879651948806,1103800,0.0,1.0
1999-11-19,20.75,21.0,20.38,20.75,5.89879651948806,602200,0.0,1.0
1999-11-22,20.62,20.62,20.12,20.38,5.79361315986345,1231300,0.0,1.0
1999-11-23,20.25,20.25,20.0,20.12,5.71970052877589,1217100,0.0,1.0
1999-11-24,20.12,20.75,20.0,20.38,5.79361315986345,1335800,0.0,1.0
1999-11-26,20.38,20.5,20.25,20.38,5.79361315986345,386700,0.0,1.0
1999-11-29,20.38,20.5,20.0,20.38,5.79361315986345,1114800,0.0,1.0
1999-11-30,20.38,20.38,20.12,20.25,5.75665684431968,1528900,0.0,1.0
1999-12-01,20.25,20.38,20.25,20.25,5.75665684431968,1023700,0.0,1.0
1999-12-02,20.25,20.38,20.25,20.38,5.79361315986345,768600,0.0,1.0
1999-12-03,20.38,20.5,20.25,20.25,5.75665684431968,2642700,0.0,1.0
1999-12-06,20.25,20.38,20.12,20.12,5.71970052877589,689400,0.0,1.0
1999-12-07,20.12,20.12,19.62,19.75,5.61451716915129,1150300,0.0,1.0
1999-12-08,19.75,20.0,19.5,19.75,5.61451716915129,767700,0.0,1.0
1999-12-09,19.75,19.88,19.25,19.5,5.54344733156709,830900,0.0,1.0
1999-12-10,19.5,19.75,19.38,19.38,5.50933380952668,764600,0.0,1.0
1999-12-13,19.62,20.12,19.62,20.0,5.68558700673548,586300,0.0,1.0
1999-12-14,20.12,20.38,20.12,20.38,5.79361315986345,1459700,0.0,1.0
1999-12-15,21.62,22.38,21.62,22.38,6.362171860537,1469500,0.0,1.0
1999-12-16,22.38,22.75,22.0,22.12,6.28825922944944,1648800,0.0,1.0
1999-12-17,22.12,22.38,21.88,22.0,6.25414570740903,843900,0.0,1.0
1999-12-20,22.0,22.12,21.75,21.88,6.22003218536862,782300,0.0,1.0
1999-12-21,21.88,22.0,21.88,22.0,6.25414570740903,1231700,0.0,1.0
1999-12-22,22.0,22.38,21.88,21.88,6.22003218536862,1193600,0.0,1.0
1999-12-23,21.88,22.25,21.88,22.25,6.32521554499322,465000,0.0,1.0
1999-12-27,22.25,22.25,22.0,22.12,6.28825922944944,418900,0.0,1.0
1999-12-28,22.12,22.12,21.88,22.0,6.25414570740903,653100,0.0,1.0
1999-12-29,22.0,22.25,22.0,22.0,6.25414570740903,1108400,0.0,1.0
1999-12-30,22.0,22.25,22.0,22.12,6.28825922944944,319600,0.0,1.0
1999-12-31,22.12,22.25,22.0,22.12,6.28825922944944,127800,0.0,1.0
2000-01-03,22.12,22.12,21.62,21.62,6.14611955428106,678400,0.0,1.0
2000-01-04,21.62,21.75,20.88,21.0,5.96986635707225,563300,0.0,1.0
2000-01-05,21.0,21.0,20.38,20.62,5.86184020394428,639400,0.0,1.0
2000-01-06,20.62,20.88,20.62,20.62,5.86184020394428,1071400,0.0,1.0
2000-01-07,21.0,21.25,21.0,21.12,6.00397987911267,1392100,0.0,1.0
2000-01-10,21.12,21.25,21.0,21.12,6.00397987911267,482100,0.0,1.0
2000-01-11,21.12,21.5,21.12,21.38,6.07789251020023,828200,0.0,1.0
2000-01-12,21.38,21.5,21.25,21.25,6.04093619465645,859700,0.0,1.0
2000-01-13,21.38,21.88,21.38,21.62,6.14611955428106,473900,0.0,1.0
2000-01-14,21.62,21.75,21.38,21.38,6.07789251020023,369700,0.0,1.0
2000-01-18,21.25,21.25,20.88,20.88,5.93575283503184,401400,0.0,1.0
2000-01-19,20.88,21.88,20.88,21.25,6.04093619465645,573000,0.0,1.0
2000-01-20,21.25,21.25,21.0,21.0,5.96986635707225,516400,0.0,1.0
2000-01-21,21.0,21.38,21.0,21.12,6.00397987911267,980700,0.0,1.0
2000-01-24,21.12,21.25,20.88,20.88,5.93575283503184,830500,0.0,1.0
2000-01-25,20.88,21.0,20.25,20.38,5.79361315986345,1289300,0.0,1.0
2000-01-26,20.25,20.25,19.38,19.38,5.50933380952668,1037300,0.0,1.0
2000-01-27,19.38,19.75,19.12,19.62,5.57756085360751,937900,0.0,1.0
2000-01-28,19.5,19.5,19.12,19.12,5.43542117843912,795000,0.0,1.0
2000-01-31,19.12,19.12,18.88,18.88,5.36719413435829,901400,0.0,1.0
2000-02-01,18.88,19.62,18.88,19.5,5.54344733156709,752300,0.0,1.0
2000-02-02,19.5,19.62,19.38,19.5,5.54344733156709,477600,0.0,1.0
2000-02-03,19.5,20.0,19.38,19.62,5.57756085360751,660100,0.0,1.0
2000-02-04,19.62,19.62,19.5,19.5,5.54344733156709,1054000,0.0,1.0
2000-02-07,19.5,19.75,19.5,19.62,5.57756085360751,380400,0.0,1.0
2000-02-08,19.62,20.12,19.62,19.88,5.65147348469507,598500,0.0,1.0
2000-02-09,19.88,19.88,19.62,19.62,5.57756085360751,950700,0.0,1.0
2000-02-10,19.62,19.75,18.88,19.25,5.4723774939829,970900,0.0,1.0
2000-02-11,19.12,19.12,18.5,18.88,5.36719413435829,2208100,0.0,1.0
2000-02-14,18.88,19.75,18.88,19.75,5.61451716915129,1148700,0.0,1.0
2000-02-15,20.12,21.38,20.12,20.38,5.79361315986345,1389000,0.0,1.0
2000-02-16,20.38,20.38,19.88,20.12,5.7722922085882,1480400,0.185,1.0
2000-02-17,20.12,20.62,20.0,20.5,5.88131164393927,2333100,0.0,1.0
2000-02-18,20.5,21.0,20.25,20.38,5.8468844538284,1125000,0.0,1.0
2000-02-22,20.38,20.75,20.0,20.62,5.91573883405013,581000,0.0,1.0
2000-02-23,20.62,21.0,20.38,20.5,5.88131164393927,2690300,0.0,1.0
2000-02-24,20.5,20.5,20.25,20.38,5.8468844538284,619100,0.0,1.0
2000-02-25,20.38,20.62,20.0,20.12,5.7722922085882,920600,0.0,1.0
2000-02-28,20.12,20.12,19.75,20.0,5.73786501847733,542800,0.0,1.0
2000-02-29,19.75,19.75,19.38,19.62,5.62884558312626,1252000,0.0,1.0
2000-03-01,19.62,19.88,19.5,19.88,5.70343782836647,574000,0.0,1.0
2000-03-02,19.88,19.88,19.5,19.62,5.62884558312626,668600,0.0,1.0
2000-03-03,19.62,20.12,19.5,19.88,5.70343782836647,498100,0.0,1.0
2000-03-06,19.88,20.12,19.5,19.62,5.62884558312626,364000,0.0,1.0
2000-03-07,19.62,19.62,19.12,19.25,5.52269508028443,420800,0.0,1.0
2000-03-08,19.25,19.75,19.12,19.38,5.55999120290454,538500,0.0,1.0
2000-03-09,19.38,20.0,19.38,20.0,5.73786501847733,612700,0.0,1.0
2000-03-10,20.0,20.12,19.5,19.75,5.66614170574637,401300,0.0,1.0
2000-03-13,19.75,21.0,19.75,20.12,5.7722922085882,773100,0.0,1.0
2000-03-14,20.38,21.0,20.38,20.62,5.91573883405013,571100,0.0,1.0
2000-03-15,20.62,21.75,20.25,21.62,6.202632084974,682500,0.0,1.0
2000-03-16,21.62,22.0,21.5,21.88,6.2772243302142,1408300,0.0,1.0
2000-03-17,21.88,21.88,21.25,21.5,6.16820489486313,799700,0.0,1.0
2000-03-20,21.5,21.88,21.25,21.5,6.16820489486313,611500,0.0,1.0
2000-03-21,21.5,21.75,21.38,21.5,6.16820489486313,684800,0.0,1.0
2000-03-22,21.62,22.25,21.62,22.25,6.38337483305603,1064700,0.0,1.0
2000-03-23,22.25,22.88,22.25,22.5,6.455098145787,594100,0.0,1.0
2000-03-24,22.5,22.88,22.38,22.5,6.455098145787,1204800,0.0,1.0
2000-03-27,22.5,22.75,22.5,22.5,6.455098145787,391600,0.0,1.0
2000-03-28,22.5,22.62,22.0,22.12,6.34607871043593,382800,0.0,1.0
2000-03-29,22.12,22.25,21.12,21.5,6.16820489486313,550000,0.0,1.0
2000-03-30,21.5,21.5,21.25,21.38,6.13377770475227,713200,0.0,1.0
2000-03-31,21.38,21.75,21.0,21.5,6.16820489486313,530500,0.0,1.0
2000-04-03,21.5,21.5,21.0,21.12,6.05918545951206,415900,0.0,1.0
