date,open,high,low,close,adjClose,volume,dividend,split
2001-06-13,31.5,32.0,31.09,31.25,11.1826728256036,69567200,0.0,1.0
2001-06-14,30.5,31.0,29.5,30.15,10.7890427421423,31979800,0.0,1.0
2001-06-15,30.0,30.75,29.95,30.6,10.950073230831,14369300,0.0,1.0
2001-06-18,30.5,30.6,30.06,30.32,10.8498764823136,4019800,0.0,1.0
2001-06-19,30.6,30.71,30.21,30.4,10.8785041247472,5690300,0.0,1.0
2001-06-20,30.4,30.59,30.18,30.3,10.8427195717052,3791600,0.0,1.0
2001-06-21,30.35,30.35,30.0,30.0,10.7353659125795,6027200,0.0,1.0
2001-06-22,30.0,30.02,29.76,30.0,10.7353659125795,4847700,0.0,1.0
2001-06-25,30.0,30.15,29.85,30.15,10.7890427421423,2420300,0.0,1.0
2001-06-26,30.0,30.08,29.81,30.04,10.7496797337962,3333300,0.0,1.0
2001-06-27,29.95,30.0,29.81,29.94,10.7138951807543,3182300,0.0,1.0
2001-06-28,29.98,30.44,29.97,30.41,10.8820825800514,2778100,0.0,1.0
2001-06-29,30.5,31.0,30.33,31.0,11.0932114429988,5777800,0.0,1.0
2001-07-02,30.7,30.7,30.42,30.47,10.9035533118765,3167600,0.0,1.0
2001-07-03,30.46,30.64,30.42,30.56,10.9357594096143,608700,0.0,1.0
2001-07-05,30.75,31.03,30.63,30.93,11.0681622558694,2085500,0.0,1.0
2001-07-06,30.98,30.98,30.5,30.65,10.967965507352,945300,0.0,1.0
2001-07-09,30.6,30.74,30.25,30.38,10.8713472141388,2295300,0.0,1.0
2001-07-10,30.45,30.85,30.28,30.35,10.8606118482262,3301300,0.0,1.0
2001-07-11,30.36,30.36,30.0,30.3,10.8427195717052,2023000,0.0,1.0
2001-07-12,30.65,30.9,30.2,30.9,11.0574268899568,1912500,0.0,1.0
2001-07-13,30.9,30.98,30.46,30.73,10.9965931497856,995400,0.0,1.0
2001-07-16,30.73,31.01,30.65,30.71,10.9894362391772,1198100,0.0,1.0
2001-07-17,30.89,31.45,30.85,31.45,11.2542419316875,3792700,0.0,1.0
2001-07-18,31.45,31.5,30.8,31.49,11.2685557529042,5645100,0.0,1.0
2001-07-19,31.74,31.74,30.19,31.32,11.2077220127329,3326000,0.0,1.0
2001-07-20,31.25,31.34,31.01,31.2,11.1647805490826,1390900,0.0,1.0
2001-07-23,31.1,31.19,30.92,31.0,11.0932114429988,1756000,0.0,1.0
2001-07-24,31.18,31.19,30.9,31.07,11.1182606301281,1146500,0.0,1.0
2001-07-25,31.0,31.0,30.51,30.7,10.985857783873,860600,0.0,1.0
2001-07-26,30.95,31.19,30.62,31.12,11.1361529066491,1901900,0.0,1.0
2001-07-27,31.2,31.2,30.81,30.91,11.061005345261,1541800,0.0,1.0
2001-07-30,31.09,31.1,30.5,30.6,10.950073230831,1233900,0.0,1.0
2001-07-31,30.5,31.16,30.5,30.95,11.0753191664778,2020200,0.0,1.0
2001-08-01,30.9,31.01,30.58,30.78,11.0144854263065,2302200,0.0,1.0
2001-08-02,30.7,31.17,30.65,30.95,11.0753191664778,2700000,0.0,1.0
2001-08-03,30.86,30.98,30.5,30.7,10.985857783873,456800,0.0,1.0
2001-08-06,30.71,30.84,30.25,30.35,10.8606118482262,847600,0.0,1.0
2001-08-07,30.45,30.54,30.28,30.5,10.9142886777891,991400,0.0,1.0
2001-08-08,30.7,30.7,30.0,30.01,10.7389443678836,1517200,0.0,1.0
2001-08-09,30.05,30.37,30.0,30.37,10.8677687588346,752900,0.0,1.0
2001-08-10,30.25,31.12,30.15,30.8,11.0216423369149,1119700,0.0,1.0
2001-08-13,30.96,31.19,30.92,31.1,11.1289959960407,1749200,0.0,1.0
2001-08-14,31.2,31.25,31.0,31.1,11.1289959960407,1365300,0.0,1.0
2001-08-15,31.1,31.2,30.97,30.98,11.0860545323904,2106500,0.0,1.0
2001-08-16,30.98,31.27,30.95,31.15,11.1468882725617,1351200,0.0,1.0
2001-08-17,31.15,31.35,30.91,31.35,11.2184573786455,1164200,0.0,1.0
2001-08-20,31.39,31.76,31.27,31.72,11.3508602249007,2020900,0.0,1.0
2001-08-21,31.95,32.1,31.75,32.08,11.4796846158516,2699600,0.0,1.0
2001-08-22,32.8,33.01,32.42,32.9,11.7731179507955,3184700,0.0,1.0
2001-08-23,32.89,32.94,32.57,32.89,11.7695394954913,2358900,0.0,1.0
2001-08-24,32.89,32.89,32.35,32.35,11.5763029090648,1173700,0.0,1.0
2001-08-27,32.0,32.47,32.0,32.3,11.5584106325439,866500,0.0,1.0
2001-08-28,32.5,32.58,31.75,31.9,11.4152724203761,965300,0.0,1.0
2001-08-29,31.9,32.29,31.58,32.29,11.5548321772397,1504200,0.0,1.0
2001-08-30,32.65,32.65,32.05,32.65,11.6836565681906,1569700,0.0,1.0
2001-08-31,32.65,32.98,32.19,32.25,11.5405183560229,1536500,0.0,1.0
2001-09-04,32.7,33.29,32.2,33.05,11.8267947803584,1841800,0.0,1.0
2001-09-05,33.0,33.35,32.87,33.35,11.9341484394842,1770400,0.0,1.0
2001-09-06,33.4,34.8,33.35,34.0,12.1667480342567,3816000,0.0,1.0
2001-09-07,33.5,34.2,33.44,34.0,12.1667480342567,2900700,0.0,1.0
2001-09-10,33.75,33.88,33.29,33.75,12.0772866516519,1463500,0.0,1.0
2001-09-17,33.15,34.27,32.77,32.9,11.81963786975,3904000,0.13,1.0
2001-09-18,32.95,33.38,32.9,32.9,11.81963786975,4516300,0.0,1.0
2001-09-19,33.05,33.05,31.93,32.4,11.6400081148906,3134900,0.0,1.0
2001-09-20,32.69,32.69,32.0,32.53,11.686711851154,1987000,0.0,1.0
2001-09-21,32.0,32.0,31.0,32.0,11.496304311003,2464200,0.0,1.0
2001-09-24,33.5,33.5,32.28,33.5,12.0351935755813,3665200,0.0,1.0
2001-09-25,33.5,33.5,32.69,33.3,11.9633416736375,2239500,0.0,1.0
2001-09-26,33.42,33.42,32.96,33.3,11.9633416736375,1247200,0.0,1.0
2001-09-27,33.25,33.6,33.25,33.51,12.0387861706785,1626200,0.0,1.0
2001-09-28,33.75,34.81,33.7,34.37,12.3477493490367,3542000,0.0,1.0
2001-10-01,34.6,34.62,33.72,33.92,12.1860825696632,1087400,0.0,1.0
2001-10-02,33.92,34.23,33.75,34.15,12.2687122568985,1101700,0.0,1.0
2001-10-03,34.93,34.93,34.15,34.7,12.4663049872439,1332200,0.0,1.0
2001-10-04,34.32,34.32,33.82,34.0,12.2148233304407,1311100,0.0,1.0
2001-10-05,33.9,33.9,33.5,33.73,12.1178232628166,915800,0.0,1.0
2001-10-08,34.0,34.0,33.5,33.9,12.1788973794688,625700,0.0,1.0
2001-10-09,34.0,34.0,33.6,33.95,12.1968603549548,2067500,0.0,1.0
2001-10-10,33.9,34.05,33.82,33.97,12.2040455451491,1416600,0.0,1.0
2001-10-11,33.97,33.99,32.4,33.0,11.8555638207219,3550200,0.0,1.0
2001-10-12,33.05,33.4,32.84,33.4,11.9992676246094,2580000,0.0,1.0
2001-10-15,33.15,33.77,33.13,33.35,11.9813046491235,1082200,0.0,1.0
2001-10-16,33.4,33.62,32.59,33.6,12.0711195265532,2040800,0.0,1.0
2001-10-17,34.0,34.06,33.45,34.0,12.2148233304407,1842900,0.0,1.0
2001-10-18,34.1,34.46,33.95,34.01,12.2184159255379,1197800,0.0,1.0
2001-10-19,34.0,34.7,33.96,34.52,12.4016382754945,1249500,0.0,1.0
2001-10-22,34.6,35.28,34.56,35.26,12.6674903126864,1885500,0.0,1.0
2001-10-23,35.3,35.57,35.26,35.39,12.7141940489499,1734000,0.0,1.0
