date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,12.88,13.25,12.88,13.19,9.59650995063576,512000,0.0,1.0
1999-11-02,14.25,14.38,13.75,14.25,10.3677230323396,960600,0.0,1.0
1999-11-03,14.25,15.0,14.19,14.5,10.5496129101,776200,0.0,1.0
1999-11-04,14.75,14.75,14.12,14.19,10.3240694616771,197500,0.0,1.0
1999-11-05,14.19,14.38,13.81,13.88,10.0985260132543,254300,0.0,1.0
1999-11-08,13.88,14.12,13.5,13.62,9.90936054038355,196400,0.0,1.0
1999-11-09,13.75,13.88,13.5,13.69,9.96028970615645,441800,0.0,1.0
1999-11-10,13.69,13.81,12.75,13.5,9.82205339905859,247100,0.0,1.0
1999-11-11,13.12,14.56,13.12,14.5,10.5496129101,645600,0.0,1.0
1999-11-12,15.0,15.06,14.25,14.56,10.5932664807624,959800,0.0,1.0
1999-11-15,14.62,14.75,14.38,14.56,10.5932664807624,716600,0.0,1.0
1999-11-16,14.44,15.19,14.44,15.06,10.9570462362831,511300,0.0,1.0
1999-11-17,15.0,16.5,15.0,15.69,11.4154087282392,1234400,0.0,1.0
1999-11-18,15.94,16.12,15.75,16.06,11.6846057473245,790700,0.0,1.0
1999-11-19,16.0,16.0,15.5,15.69,11.4154087282392,493600,0.0,1.0
1999-11-22,15.44,16.12,15.44,16.06,11.6846057473245,601800,0.0,1.0
1999-11-23,16.12,16.25,15.81,15.88,11.5536450353371,572900,0.0,1.0
1999-11-24,16.0,16.06,15.69,16.0,11.640952176662,1092300,0.0,1.0
1999-11-26,15.94,16.0,15.81,16.0,11.640952176662,204300,0.0,1.0
1999-11-29,16.06,16.06,15.72,15.75,11.4590622989017,720800,0.0,1.0
1999-11-30,15.81,16.31,15.75,16.12,11.728259317987,867200,0.0,1.0
1999-12-01,16.0,16.0,15.56,15.94,11.5972986059995,726900,0.0,1.0
1999-12-02,15.81,15.94,15.62,15.88,11.5536450353371,465900,0.0,1.0
1999-12-03,15.94,16.0,15.62,15.81,11.5027158695642,847200,0.0,1.0
1999-12-06,15.88,16.0,15.75,15.94,11.5972986059995,482100,0.0,1.0
1999-12-07,16.5,17.06,16.12,16.31,11.8664956250849,1169500,0.0,1.0
1999-12-08,16.38,16.38,15.5,15.62,11.3644795624663,290200,0.0,1.0
1999-12-09,16.0,16.06,14.88,15.25,11.095282543381,405200,0.0,1.0
1999-12-10,15.56,15.56,14.88,14.88,10.8260855242957,687200,0.0,1.0
1999-12-13,14.75,15.94,14.75,15.62,11.3644795624663,1187400,0.0,1.0
1999-12-14,15.62,16.12,15.62,15.94,11.5972986059995,667500,0.0,1.0
1999-12-15,15.81,16.12,15.75,16.12,11.728259317987,386600,0.0,1.0
1999-12-16,15.88,16.94,15.62,16.69,12.1429682392806,1034600,0.0,1.0
1999-12-17,16.69,16.69,15.62,15.94,11.5972986059995,302600,0.0,1.0
1999-12-20,16.0,16.0,14.81,15.06,10.9570462362831,588900,0.0,1.0
1999-12-21,14.94,15.5,14.94,15.06,10.9570462362831,799700,0.0,1.0
1999-12-22,15.12,15.44,15.0,15.44,11.2335188504789,223000,0.0,1.0
1999-12-23,15.38,15.69,15.38,15.5,11.2771724211413,423500,0.0,1.0
1999-12-27,15.38,15.88,15.31,15.62,11.3644795624663,282900,0.0,1.0
1999-12-28,15.62,15.69,15.25,15.56,11.3208259918038,387700,0.0,1.0
1999-12-29,15.5,16.81,15.5,16.38,11.9174247908578,246200,0.0,1.0
1999-12-30,16.44,16.62,16.06,16.5,12.0047319321827,452800,0.0,1.0
1999-12-31,16.44,16.69,16.25,16.38,11.9174247908578,312800,0.0,1.0
2000-01-03,17.0,17.06,16.5,16.75,12.1866218099431,816800,0.0,1.0
2000-01-04,16.38,16.62,16.19,16.38,11.9174247908578,484600,0.0,1.0
2000-01-05,16.38,17.19,16.31,17.0,12.3685116877034,703600,0.0,1.0
2000-01-06,17.25,17.81,17.0,17.25,12.5504015654638,871300,0.0,1.0
2000-01-07,17.5,17.94,17.38,17.5,12.7322914432241,890200,0.0,1.0
2000-01-10,17.75,18.81,17.75,18.62,13.5471580955904,900900,0.0,1.0
2000-01-11,18.5,18.75,18.19,18.19,13.2343075058426,367900,0.0,1.0
2000-01-12,18.12,18.38,17.94,18.0,13.0960711987448,318600,0.0,1.0
2000-01-13,19.38,19.38,18.5,18.75,13.6417408320258,1169700,0.0,1.0
2000-01-14,18.69,18.75,18.06,18.12,13.1833783400697,692900,0.0,1.0
2000-01-18,18.12,18.69,18.12,18.38,13.3725438129405,578200,0.0,1.0
2000-01-19,18.44,18.62,17.69,17.81,12.9578348916469,465300,0.0,1.0
2000-01-20,17.88,17.94,17.25,17.25,12.5504015654638,314900,0.0,1.0
2000-01-21,17.5,18.0,17.12,17.19,12.5067479948013,646700,0.0,1.0
2000-01-24,17.5,17.88,16.94,17.31,12.5940551361262,500900,0.0,1.0
2000-01-25,17.06,17.38,16.75,17.12,12.4558188290284,407800,0.0,1.0
2000-01-26,17.25,17.25,16.88,16.94,12.3248581170409,374300,0.0,1.0
2000-01-27,16.81,16.94,16.19,16.31,11.8664956250849,542600,0.0,1.0
2000-01-28,16.5,16.94,16.31,16.88,12.2812045463784,335800,0.0,1.0
2000-01-31,16.88,16.88,15.88,16.38,11.9174247908578,821100,0.0,1.0
2000-02-01,17.25,17.44,17.0,17.25,12.5504015654638,622500,0.0,1.0
2000-02-02,17.06,17.44,17.06,17.19,12.5067479948013,720000,0.0,1.0
2000-02-03,17.12,17.31,16.44,16.69,12.1429682392806,542600,0.0,1.0
2000-02-04,16.69,16.88,16.25,16.38,11.9174247908578,336700,0.0,1.0
2000-02-07,16.75,16.88,16.44,16.56,12.0483855028452,377700,0.0,1.0
2000-02-08,16.5,17.0,16.25,16.94,12.3248581170409,903300,0.0,1.0
2000-02-09,16.88,16.94,15.88,15.94,11.5972986059995,505600,0.0,1.0
2000-02-10,16.06,16.12,15.44,15.62,11.3644795624663,509500,0.0,1.0
2000-02-11,15.62,15.88,15.0,15.0,10.9133926656207,676200,0.0,1.0
2000-02-14,15.25,16.12,15.12,15.88,11.5536450353371,290400,0.0,1.0
2000-02-15,15.94,16.44,15.94,16.0,11.640952176662,475500,0.0,1.0
2000-02-16,16.0,16.19,15.56,15.62,11.3644795624663,516900,0.0,1.0
2000-02-17,15.88,16.19,15.5,15.5,11.2771724211413,487800,0.0,1.0
2000-02-18,15.38,15.56,14.5,15.0,10.9133926656207,701600,0.0,1.0
2000-02-22,14.94,15.38,14.69,15.38,11.1898652798164,464300,0.0,1.0
2000-02-23,15.31,15.38,14.56,15.0,10.9133926656207,608300,0.0,1.0
2000-02-24,15.0,15.12,14.69,14.75,10.7315027878603,295000,0.0,1.0
2000-02-25,14.94,15.06,14.75,14.75,10.7315027878603,282800,0.0,1.0
2000-02-28,14.12,15.0,14.12,14.56,10.5932664807624,451500,0.0,1.0
2000-02-29,14.62,14.94,13.5,13.5,9.82205339905859,2301000,0.0,1.0
2000-03-01,13.62,13.88,13.5,13.75,10.0039432768189,343000,0.0,1.0
2000-03-02,13.69,13.94,13.5,13.81,10.0475968474814,214100,0.0,1.0
2000-03-03,13.81,14.25,13.75,13.88,10.0985260132543,222600,0.0,1.0
2000-03-06,13.81,13.88,12.94,13.06,9.50192721420038,514900,0.0,1.0
