date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,110.0,112.62,109.12,110.62,27.1377651857052,2501800,0.0,1.0
1999-11-02,110.62,113.06,109.75,110.12,27.015103075844,1842100,0.0,1.0
1999-11-03,110.12,110.12,107.69,108.88,26.710901043388,1935900,0.0,1.0
1999-11-04,110.19,113.75,110.0,113.19,27.7682484303921,2254900,0.0,1.0
1999-11-05,116.12,117.38,115.25,115.81,28.4109978860651,2413400,0.0,1.0
1999-11-08,115.75,116.38,113.0,114.0,27.9669610483674,1145500,0.0,1.0
1999-11-09,114.0,114.12,109.31,110.56,27.1230457325219,1991500,0.0,1.0
1999-11-10,110.19,112.38,109.12,110.19,27.0322757712245,1488200,0.0,1.0
1999-11-11,110.62,112.88,110.5,112.31,27.5523631170363,1396700,0.0,1.0
1999-11-12,114.94,121.0,114.69,120.0,29.4389063667025,2641700,0.0,1.0
1999-11-15,122.0,122.19,118.12,121.06,29.6989500396083,2148400,0.0,1.0
1999-11-16,122.19,127.5,121.38,127.25,31.2175069596908,3019200,0.0,1.0
1999-11-17,124.5,124.88,121.12,121.44,29.7921732431029,3012300,0.0,1.0
1999-11-18,123.0,125.0,121.12,124.12,30.4496421519593,2579000,0.0,1.0
1999-11-19,124.12,124.75,123.0,124.38,30.5134264490871,1080900,0.0,1.0
1999-11-22,121.88,123.25,119.5,122.81,30.1282674241228,1916900,0.0,1.0
1999-11-23,123.0,123.0,119.69,120.5,29.5615684765637,1026600,0.0,1.0
1999-11-24,121.0,121.0,118.06,118.62,29.1003589434854,1284400,0.0,1.0
1999-11-26,119.38,119.75,117.88,118.0,28.9482579272574,329600,0.0,1.0
1999-11-29,116.75,118.0,115.94,117.0,28.7029337075349,1604800,0.0,1.0
1999-11-30,116.69,121.25,116.56,120.62,29.5910073829304,2132300,0.0,1.0
1999-12-01,119.5,121.56,119.25,119.94,29.4241869135191,1830500,0.0,1.0
1999-12-02,119.94,123.0,119.94,121.81,29.8829432044002,1210100,0.0,1.0
1999-12-03,124.81,129.0,124.56,128.19,31.4481117262299,2397100,0.0,1.0
