date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,72.25,74.38,71.75,72.63,35.4419342541802,5175400,0.0,1.0
1999-11-02,74.94,76.75,74.69,75.25,36.7204399370379,6003600,0.0,1.0
1999-11-03,76.5,76.5,74.5,74.94,36.5691663638753,4698400,0.0,1.0
1999-11-04,76.25,77.13,75.13,76.0,37.0864243882376,5065400,0.0,1.0
1999-11-05,78.25,79.63,76.56,76.88,37.5158461443119,5218100,0.0,1.0
1999-11-08,77.25,78.75,76.44,78.44,38.2770938028073,3219300,0.0,1.0
1999-11-09,78.69,79.06,76.44,76.63,37.3938513272454,2742000,0.0,1.0
1999-11-10,76.5,79.94,75.13,77.81,37.9696668637996,5727400,0.0,1.0
1999-11-11,77.81,77.81,75.44,75.5,36.8424347541045,5544900,0.0,1.0
1999-11-12,75.56,75.56,71.31,73.5,35.8664762175719,5030200,0.0,1.0
1999-11-15,72.63,73.13,68.38,69.38,33.8560016323148,4555100,0.0,1.0
1999-11-16,68.5,69.06,66.69,68.38,33.3680223640485,6491800,0.0,1.0
1999-11-17,68.38,69.75,63.13,63.81,31.1379571080716,9323600,0.0,1.0
1999-11-18,64.25,70.38,64.25,70.38,34.3439809005811,8819000,0.0,1.0
1999-11-19,69.5,72.25,68.06,70.0,34.1585487786399,7783700,0.0,1.0
1999-11-22,70.69,70.69,67.13,68.0,33.1825902421073,4272600,0.0,1.0
1999-11-23,68.25,69.19,65.75,67.5,32.9386006079742,4466300,0.0,1.0
1999-11-24,67.25,68.5,66.0,67.94,33.1533114860114,3381000,0.0,1.0
1999-11-26,68.06,71.06,68.0,69.94,34.1292700225439,2248700,0.0,1.0
1999-11-29,70.25,70.25,66.56,66.94,32.6653322177451,3387100,0.0,1.0
1999-11-30,67.5,69.25,66.81,67.06,32.723889729937,4692000,0.0,1.0
1999-12-01,67.0,67.06,64.69,65.13,31.7820897421831,6219900,0.0,1.0
1999-12-02,65.06,65.88,63.5,64.0,31.2306731690422,5630300,0.0,1.0
1999-12-03,66.5,69.19,64.0,68.0,33.1825902421073,8132800,0.0,1.0
1999-12-06,68.75,70.75,67.13,68.78,33.563214071355,4830600,0.0,1.0
1999-12-07,68.81,69.75,66.06,66.94,32.6653322177451,4677800,0.0,1.0
1999-12-08,66.94,68.5,66.75,67.94,33.1533114860114,4671100,0.0,1.0
1999-12-09,68.5,68.5,63.0,63.5,30.9866835349091,6398000,0.0,1.0
1999-12-10,60.13,62.88,58.5,60.25,29.4007509130436,10825400,0.0,1.0
1999-12-13,61.31,65.19,60.19,62.39,30.4450265471335,6663600,0.0,1.0
1999-12-14,64.69,64.69,61.38,62.38,30.4401467544508,5575500,0.0,1.0
1999-12-15,62.44,67.75,61.44,66.0,32.2066317055748,7783400,0.0,1.0
1999-12-16,67.75,73.0,67.75,73.0,35.6224865834388,9018300,0.0,1.0
1999-12-17,74.0,74.0,69.75,71.5,34.8905176810393,6514400,0.0,1.0
1999-12-20,72.75,76.69,72.63,75.88,37.0278668760456,5852300,0.0,1.0
1999-12-21,75.88,81.13,74.5,81.0,39.526320729569,6506800,0.0,1.0
1999-12-22,80.88,88.0,76.0,76.0,37.0864243882376,6608000,0.0,1.0
1999-12-23,77.0,78.25,72.75,74.63,36.4178927907128,7855800,0.0,1.0
1999-12-27,74.06,78.38,73.44,77.98,38.0526233394049,3763500,0.0,1.0
1999-12-28,77.75,79.25,76.5,78.06,38.0916616808662,3382300,0.0,1.0
1999-12-29,77.69,79.13,76.13,76.63,37.3938513272454,1495800,0.0,1.0
1999-12-30,76.75,79.0,76.38,78.63,38.3698098637779,2295700,0.0,1.0
1999-12-31,78.69,78.81,77.63,78.13,38.1258202296448,653600,0.0,1.0
2000-01-03,77.38,78.13,75.69,75.94,37.0571456321416,3282300,0.0,1.0
2000-01-04,74.75,75.81,72.88,73.0,35.6224865834388,3610400,0.0,1.0
2000-01-05,72.13,73.19,70.06,71.75,35.0125124981059,3381900,0.0,1.0
2000-01-06,72.75,75.31,71.75,74.0,36.110465851705,3169200,0.0,1.0
2000-01-07,73.75,73.75,68.0,70.5,34.402538412773,4733600,0.0,1.0
2000-01-10,72.25,75.5,71.06,74.38,36.2958979736462,3288600,0.0,1.0
2000-01-11,74.25,76.75,71.75,72.31,35.285780888335,2811500,0.0,1.0
2000-01-12,73.25,76.31,71.13,74.0,36.110465851705,4655700,0.0,1.0
2000-01-13,74.88,77.88,73.75,77.88,38.0038254125782,4118500,0.0,1.0
2000-01-14,77.13,78.38,72.5,73.25,35.7444814005053,6109400,0.0,1.0
2000-01-18,73.44,74.5,72.06,73.56,35.8957549736679,4646500,0.0,1.0
2000-01-19,73.5,74.38,71.5,72.13,35.1979446200471,5326600,0.0,1.0
2000-01-20,72.38,72.88,69.5,69.75,34.0365539615733,6000900,0.0,1.0
2000-01-21,71.5,71.5,65.13,67.13,32.7580482787157,7735100,0.0,1.0
2000-01-24,67.31,71.0,67.31,69.5,33.9145591445068,5974500,0.0,1.0
2000-01-25,68.94,69.75,64.5,65.88,32.1480741933828,8512700,0.0,1.0
2000-01-26,65.94,67.75,63.0,63.56,31.015962291005,6568600,0.0,1.0
2000-01-27,63.81,65.75,63.56,64.75,31.5966576202419,3895400,0.0,1.0
2000-01-28,63.88,66.0,59.06,59.5,29.0347664618439,6889300,0.0,1.0
2000-01-31,60.75,62.5,58.25,62.19,30.3474306934802,5584400,0.0,1.0
2000-02-01,62.13,64.0,60.5,63.5,30.9866835349091,4173400,0.0,1.0
2000-02-02,64.94,66.69,63.63,65.88,32.1480741933828,6095500,0.0,1.0
2000-02-03,66.0,69.0,64.88,68.0,33.1825902421073,4587700,0.0,1.0
2000-02-04,68.19,68.19,65.5,67.38,32.8800430957822,4096500,0.0,1.0
2000-02-07,67.5,74.19,67.5,74.0,36.110465851705,7216600,0.0,1.0
2000-02-08,74.06,76.38,72.88,76.06,37.1157031443336,6610600,0.0,1.0
2000-02-09,76.06,77.63,73.25,73.25,35.7444814005053,6428300,0.0,1.0
2000-02-10,74.25,74.31,69.88,72.38,35.3199394371137,5945900,0.0,1.0
2000-02-11,71.5,73.75,69.25,71.13,34.7099653517808,4904400,0.0,1.0
2000-02-14,68.5,70.25,67.0,67.75,33.0605954250408,3919800,0.0,1.0
