date,open,high,low,close,adjClose,volume,dividend,split
2002-07-01,15.0,15.0,15.0,15.0,3.99035567653318,1300,0.0,1.0
2002-07-02,15.5,16.5,15.0,15.13,4.02493875906313,7000,0.0,1.0
2002-07-03,14.0,16.0,14.0,15.0,3.99035567653318,10200,0.0,1.0
2002-07-05,15.0,15.0,15.0,15.0,3.99035567653318,500,0.0,1.0
2002-07-08,14.0,14.0,14.0,14.0,3.7243319647643,300,0.0,1.0
2002-07-09,14.0,15.5,14.0,15.5,4.12336753241762,2300,0.0,1.0
2002-07-10,13.75,15.5,13.75,15.5,4.12336753241762,500,0.0,1.0
2002-07-11,15.5,15.5,15.5,15.5,4.12336753241762,0,0.0,1.0
2002-07-12,15.0,15.0,15.0,15.0,3.99035567653318,100,0.0,1.0
2002-07-15,14.75,14.75,12.5,12.75,3.3918023250532,42700,0.0,1.0
2002-07-16,12.75,12.75,12.5,12.5,3.32529639711098,5900,0.0,1.0
2002-07-17,12.5,12.5,12.25,12.5,3.32529639711098,2400,0.0,1.0
2002-07-18,12.3,12.3,11.75,11.75,3.12577861328432,1400,0.0,1.0
2002-07-19,11.6,11.6,10.05,10.5,2.79324897357322,10700,0.0,1.0
2002-07-22,10.5,10.5,10.0,10.2,2.71344186004256,4600,0.0,1.0
2002-07-23,10.2,10.2,10.2,10.2,2.71344186004256,100,0.0,1.0
2002-07-24,10.2,10.5,10.2,10.5,2.79324897357322,2200,0.0,1.0
2002-07-25,10.15,10.5,10.15,10.15,2.70014067445412,1300,0.0,1.0
2002-07-26,10.15,10.15,10.15,10.15,2.70014067445412,0,0.0,1.0
2002-07-29,10.5,11.1,10.45,11.1,2.95286320063455,4100,0.0,1.0
2002-07-30,11.25,11.85,11.25,11.5,3.0592726853421,8900,0.0,1.0
2002-07-31,11.9,12.0,11.75,12.0,3.19228454122654,5000,0.0,1.0
2002-08-01,11.8,11.9,11.8,11.8,3.13907979887277,4300,0.0,1.0
2002-08-02,11.8,11.8,11.8,11.8,3.13907979887277,0,0.0,1.0
2002-08-05,11.9,12.0,11.85,11.85,3.15238098446121,28600,0.0,1.0
2002-08-06,12.0,12.0,12.0,12.0,3.19228454122654,10000,0.0,1.0
2002-08-07,11.98,12.05,11.95,12.05,3.20558572681499,4400,0.0,1.0
2002-08-08,12.1,12.1,12.05,12.1,3.21888691240343,12300,0.0,1.0
2002-08-09,12.15,12.15,12.15,12.15,3.23218809799187,3400,0.0,1.0
2002-08-12,12.15,12.15,12.1,12.15,3.23218809799187,24400,0.0,1.0
2002-08-13,12.2,12.2,12.1,12.2,3.24548928358032,3900,0.0,1.0
2002-08-14,12.15,12.2,12.15,12.2,3.24548928358032,3700,0.0,1.0
2002-08-15,12.15,12.15,12.1,12.1,3.21888691240343,700,0.0,1.0
2002-08-16,12.0,12.15,12.0,12.15,3.23218809799187,8600,0.0,1.0
2002-08-19,12.15,12.15,11.65,11.65,3.09917624210743,8700,0.0,1.0
2002-08-20,11.6,11.6,11.6,11.6,3.08587505651899,100,0.0,1.0
2002-08-21,11.9,12.0,11.75,11.75,3.12577861328432,16400,0.0,1.0
2002-08-22,11.75,11.75,11.0,11.0,2.92626082945766,35500,0.0,1.0
2002-08-23,11.0,11.1,11.0,11.1,2.95286320063455,3700,0.0,1.0
2002-08-26,11.0,11.0,10.85,10.87,2.89167774692771,11900,0.0,1.0
2002-08-27,10.85,11.0,10.51,10.51,2.79590921069091,23900,0.0,1.0
2002-08-28,10.5,10.5,10.0,10.1,2.68683948886567,24700,0.0,1.0
2002-08-29,10.2,10.2,10.1,10.2,2.71344186004256,8500,0.0,1.0
2002-08-30,10.3,10.3,10.0,10.0,2.66023711768878,4200,0.0,1.0
2002-09-03,9.95,10.0,9.3,9.9,2.6336347465119,8000,0.0,1.0
2002-09-04,9.35,9.5,8.9,9.3,2.47402051945057,89100,0.0,1.0
2002-09-05,9.3,9.3,9.3,9.3,2.47402051945057,3100,0.0,1.0
2002-09-06,9.3,9.7,9.3,9.7,2.58043000415812,30400,0.0,1.0
2002-09-09,9.75,9.9,9.7,9.8,2.60703237533501,26000,0.0,1.0
2002-09-10,9.9,9.95,9.82,9.9,2.6336347465119,36200,0.0,1.0
2002-09-11,10.0,10.05,9.9,10.05,2.67353830327723,2400,0.0,1.0
2002-09-12,10.1,10.1,9.9,9.9,2.6336347465119,4000,0.0,1.0
2002-09-13,9.9,9.94,9.9,9.94,2.64427569498265,2800,0.0,1.0
2002-09-16,9.94,10.0,9.85,10.0,2.66023711768878,10300,0.0,1.0
2002-09-17,9.75,9.9,9.75,9.9,2.6336347465119,4800,0.0,1.0
2002-09-18,9.87,9.87,9.87,9.87,2.62565403515883,1500,0.0,1.0
2002-09-19,9.8,9.8,9.8,9.8,2.60703237533501,6200,0.0,1.0
2002-09-20,9.65,9.65,9.4,9.4,2.50062289062746,2700,0.0,1.0
2002-09-23,9.75,9.75,9.7,9.7,2.58043000415812,1200,0.0,1.0
2002-09-24,9.4,9.4,9.4,9.4,2.50062289062746,2000,0.0,1.0
2002-09-25,9.6,9.7,9.5,9.6,2.55382763298123,7000,0.0,1.0
2002-09-26,9.7,9.7,9.7,9.7,2.58043000415812,1000,0.0,1.0
2002-09-27,9.6,9.6,9.3,9.49,2.52456502468666,6200,0.0,1.0
2002-09-30,9.3,9.35,9.3,9.35,2.48732170503901,3100,0.0,1.0
2002-10-01,9.5,9.5,9.5,9.5,2.52722526180434,2000,0.0,1.0
2002-10-02,9.5,9.5,9.3,9.47,2.51924455045128,8700,0.0,1.0
2002-10-03,9.55,9.55,9.55,9.55,2.54052644739279,100,0.0,1.0
2002-10-04,9.55,9.55,9.55,9.55,2.54052644739279,500,0.0,1.0
2002-10-07,9.4,9.5,9.4,9.5,2.52722526180434,1000,0.0,1.0
2002-10-08,9.3,9.3,9.25,9.25,2.46071933386213,3200,0.0,1.0
2002-10-09,9.25,9.3,9.0,9.0,2.39421340591991,19100,0.0,1.0
2002-10-10,9.0,9.0,9.0,9.0,2.39421340591991,3000,0.0,1.0
2002-10-11,9.1,9.1,8.95,9.0,2.39421340591991,19900,0.0,1.0
2002-10-14,8.95,9.0,8.9,8.99,2.39155316880222,13500,0.0,1.0
2002-10-15,8.8,8.8,8.45,8.65,2.3011051068008,23600,0.0,1.0
2002-10-16,8.45,8.5,8.25,8.35,2.22129799327013,14700,0.0,1.0
2002-10-17,8.21,8.3,8.0,8.25,2.19469562209325,9900,0.0,1.0
2002-10-18,8.25,8.25,8.25,8.25,2.19469562209325,12400,0.0,1.0
2002-10-21,8.25,8.25,7.9,8.05,2.14149087973947,4200,0.0,1.0
2002-10-22,8.0,8.1,8.0,8.0,2.12818969415103,10900,0.0,1.0
2002-10-23,7.8,7.8,7.7,7.8,2.07498495179725,2100,0.0,1.0
2002-10-24,7.7,7.7,7.2,7.25,1.92867191032437,7500,0.0,1.0
2002-10-25,7.0,7.2,6.35,7.2,1.91537072473592,43700,0.0,1.0
2002-10-28,7.5,7.5,7.0,7.0,1.86216598238215,3200,0.0,1.0
2002-10-29,7.5,7.75,7.3,7.75,2.06168376620881,7700,0.0,1.0
2002-10-30,7.3,7.65,7.25,7.55,2.00847902385503,11400,0.0,1.0
2002-10-31,7.55,7.55,7.45,7.5,1.99517783826659,9000,0.0,1.0
2002-11-01,7.35,7.5,7.35,7.5,1.99517783826659,9200,0.0,1.0
2002-11-04,7.7,7.7,7.5,7.5,1.99517783826659,4400,0.0,1.0
2002-11-05,7.5,7.5,7.5,7.5,1.99517783826659,500,0.0,1.0
2002-11-06,7.6,7.6,7.6,7.6,2.02178020944348,300,0.0,1.0
2002-11-07,7.7,7.7,7.5,7.5,1.99517783826659,2700,0.0,1.0
2002-11-08,7.5,7.5,7.5,7.5,1.99517783826659,0,0.0,1.0
2002-11-11,7.7,7.9,7.67,7.9,2.10158732297414,11200,0.0,1.0
2002-11-12,7.9,7.9,7.9,7.9,2.10158732297414,5300,0.0,1.0
2002-11-13,7.9,8.38,7.9,8.38,2.2292787046232,38300,0.0,1.0
2002-11-14,8.38,8.45,8.38,8.45,2.24790036444702,5400,0.0,1.0
2002-11-15,8.5,8.5,8.4,8.4,2.23459917885858,3400,0.0,1.0
2002-11-18,8.45,8.5,8.42,8.5,2.26120155003547,12400,0.0,1.0
2002-11-19,8.4,8.4,8.25,8.27,2.20001609632862,4200,0.0,1.0
2002-11-20,8.4,8.4,8.4,8.4,2.23459917885858,500,0.0,1.0
