date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,44.44,44.94,44.13,44.44,7.7593400203128,33200,0.0,1.0
1999-11-02,44.31,45.25,44.31,44.31,7.73664168091945,20000,0.0,1.0
1999-11-03,45.13,45.13,43.63,43.88,7.66156255831066,11400,0.0,1.0
1999-11-04,45.13,45.13,43.5,43.81,7.64934037556039,46500,0.0,1.0
1999-11-05,43.25,44.13,43.0,43.88,7.66156255831066,38300,0.0,1.0
1999-11-08,43.56,45.0,43.13,45.0,7.85711748231495,9600,0.0,1.0
1999-11-09,44.25,45.0,43.0,44.88,7.83616516902877,12700,0.0,1.0
1999-11-10,44.06,44.06,43.25,43.25,7.55156291355825,8500,0.0,1.0
1999-11-11,45.0,45.0,43.25,45.0,7.85711748231495,4500,0.0,1.0
1999-11-12,45.0,45.0,43.25,44.25,7.72616552427636,11400,0.0,1.0
1999-11-15,44.5,44.5,43.25,44.0,7.68251487159684,8900,0.0,1.0
1999-11-16,45.0,45.25,44.19,45.06,7.86759363895803,41800,0.0,1.0
1999-11-17,45.13,45.13,44.25,45.0,7.85711748231495,22500,0.0,1.0
1999-11-18,45.0,49.22,44.5,49.22,8.59394049954537,188400,0.0,1.0
1999-11-19,49.06,49.38,48.0,49.25,8.59917857786691,32300,0.0,1.0
1999-11-22,49.31,49.5,47.63,48.5,8.46822661982833,7300,0.0,1.0
1999-11-23,49.44,49.44,47.44,47.94,8.37044915782619,26700,0.0,1.0
1999-11-24,47.25,48.31,46.63,47.94,8.37044915782619,53500,0.0,1.0
1999-11-26,47.0,49.13,47.0,49.13,8.57822626458074,10800,0.0,1.0
1999-11-29,49.31,49.34,47.5,48.06,8.39140147111236,31500,0.0,1.0
1999-11-30,48.44,49.13,48.13,49.06,8.56600408183047,64500,0.0,1.0
1999-12-01,48.81,52.0,48.81,51.38,8.97108213869649,26100,0.0,1.0
1999-12-02,50.88,51.5,49.75,50.25,8.77378118858502,30700,0.0,1.0
1999-12-03,50.38,50.44,49.0,49.0,8.55552792518739,36600,0.0,1.0
1999-12-06,49.06,49.88,49.0,49.0,8.55552792518739,16800,0.0,1.0
1999-12-07,49.0,49.25,49.0,49.13,8.57822626458074,85000,0.0,1.0
1999-12-08,49.75,50.0,49.13,49.5,8.64282923054644,23100,0.0,1.0
1999-12-09,49.0,50.38,49.0,50.0,8.7301305359055,17500,0.0,1.0
1999-12-10,50.13,50.38,49.75,50.25,8.77378118858502,20900,0.0,1.0
1999-12-13,49.81,51.25,49.06,51.25,8.94838379930313,29300,0.0,1.0
1999-12-14,50.0,50.5,49.25,49.25,8.59917857786691,31400,0.0,1.0
1999-12-15,48.5,49.5,48.0,48.0,8.42632199325598,27300,0.26,1.0
1999-12-16,48.0,50.13,48.0,50.13,8.80024003170672,19100,0.0,1.0
1999-12-17,48.56,50.0,48.5,48.88,8.58080456313234,53500,0.0,1.0
1999-12-20,48.94,49.25,48.25,48.25,8.47020908697086,20200,0.0,1.0
1999-12-21,48.63,49.0,48.0,48.19,8.45967618447929,26500,0.0,1.0
1999-12-22,48.0,48.5,47.5,47.5,8.33854780582623,9000,0.0,1.0
1999-12-23,47.75,48.25,47.0,48.25,8.47020908697086,20300,0.0,1.0
1999-12-27,48.19,48.19,47.38,47.5,8.33854780582623,20900,0.0,1.0
1999-12-28,47.38,47.88,47.13,47.13,8.27359490712822,14400,0.0,1.0
1999-12-29,47.16,48.75,46.88,48.75,8.55798327440061,22200,0.0,1.0
1999-12-30,48.69,49.94,48.5,49.25,8.64575746183036,38600,0.0,1.0
1999-12-31,48.0,50.0,48.0,48.25,8.47020908697086,11100,0.0,1.0
2000-01-03,49.97,49.97,48.5,49.13,8.62469165684722,38200,0.0,1.0
2000-01-04,49.72,49.75,48.0,48.0,8.42632199325598,21600,0.0,1.0
2000-01-05,48.0,49.5,47.69,48.33,8.48425295695962,6700,0.0,1.0
2000-01-06,48.31,48.31,47.63,47.66,8.36663554580375,16700,0.0,1.0
2000-01-07,47.75,48.31,47.0,47.81,8.39296780203268,22000,0.0,1.0
2000-01-10,46.88,47.88,46.88,47.13,8.27359490712822,20300,0.0,1.0
2000-01-11,47.5,48.5,47.5,48.19,8.45967618447929,7500,0.0,1.0
2000-01-12,47.75,48.75,47.25,48.44,8.50356327819416,8700,0.0,1.0
2000-01-13,49.0,49.48,48.0,48.38,8.49303037570259,42800,0.0,1.0
2000-01-14,49.23,49.23,47.25,48.13,8.44914328198772,25600,0.0,1.0
2000-01-18,47.31,47.31,46.69,46.69,8.19635362219004,16100,0.0,1.0
2000-01-19,46.69,48.0,46.69,48.0,8.42632199325598,17800,0.0,1.0
2000-01-20,47.13,47.75,46.25,47.5,8.33854780582623,24400,0.0,1.0
2000-01-21,47.16,47.16,45.5,46.25,8.11911233725186,41800,0.0,1.0
2000-01-24,45.56,46.25,45.31,45.63,8.01027234483897,28100,0.0,1.0
2000-01-25,45.31,46.25,43.25,43.63,7.65917559511997,22200,0.0,1.0
2000-01-26,46.0,46.0,41.25,42.0,7.37303174409899,46200,0.0,1.0
2000-01-27,43.06,43.5,42.75,43.0,7.54858011895849,28300,0.0,1.0
2000-01-28,43.25,44.25,42.5,42.56,7.47133883402031,25800,0.0,1.0
2000-01-31,42.25,43.75,42.25,43.0,7.54858011895849,34400,0.0,1.0
2000-02-01,43.13,43.38,42.5,42.5,7.46080593152874,15900,0.0,1.0
2000-02-02,44.0,44.0,41.0,41.0,7.19748336923949,66200,0.0,1.0
2000-02-03,41.88,42.13,40.75,40.81,7.16412917801618,29500,0.0,1.0
2000-02-04,40.13,41.38,40.13,41.38,7.2641917516861,23300,0.0,1.0
2000-02-07,41.0,42.5,41.0,42.25,7.41691883781386,19000,0.0,1.0
2000-02-08,42.0,42.5,39.38,40.0,7.02193499437999,25600,0.0,1.0
2000-02-09,39.69,42.13,39.69,41.0,7.19748336923949,15900,0.0,1.0
2000-02-10,41.56,42.13,41.0,41.02,7.20099433673668,29000,0.0,1.0
2000-02-11,41.0,42.5,40.94,41.0,7.19748336923949,23400,0.0,1.0
2000-02-14,42.5,42.5,38.88,38.88,6.82532081453735,32900,0.0,1.0
2000-02-15,39.0,40.19,38.25,38.31,6.72525824086743,28600,0.0,1.0
2000-02-16,39.5,39.5,37.38,37.38,6.5619982522481,54500,0.0,1.0
2000-02-17,37.06,38.25,37.06,38.25,6.71472533837586,43400,0.0,1.0
2000-02-18,39.25,39.25,36.81,37.0,6.49528986980149,50200,0.0,1.0
2000-02-22,37.0,37.0,36.27,36.81,6.46193567857818,76600,0.0,1.0
2000-02-23,36.69,36.75,36.44,36.69,6.44086987359504,32200,0.0,1.0
2000-02-24,36.5,37.0,36.38,36.56,6.41804858486331,42400,0.0,1.0
2000-02-25,36.19,36.88,36.19,36.66,6.43560342234926,61300,0.0,1.0
2000-02-28,36.63,37.25,36.13,36.19,6.35309568616529,41400,0.0,1.0
2000-02-29,36.72,39.06,36.38,38.75,6.80249952580561,67500,0.0,1.0
2000-03-01,38.13,40.5,38.13,40.38,7.13428595429007,65300,0.26,1.0
2000-03-02,40.31,40.31,38.5,38.63,6.82509822719726,48800,0.0,1.0
2000-03-03,37.81,40.75,37.81,40.31,7.12191844520635,35900,0.0,1.0
2000-03-06,39.25,40.13,39.25,39.5,6.97880869723768,46300,0.0,1.0
2000-03-07,39.5,40.0,39.5,39.81,7.03357909460841,40000,0.0,1.0
2000-03-08,39.5,42.38,39.5,42.19,7.45407440345463,26400,0.0,1.0
2000-03-09,41.38,44.75,41.38,44.31,7.82863324998992,55800,0.0,1.0
2000-03-10,44.63,44.75,44.31,44.48,7.85866862919322,80000,0.0,1.0
2000-03-13,43.63,44.13,43.0,43.44,7.67492277994949,44300,0.0,1.0
2000-03-14,43.0,43.38,40.5,40.5,7.15548739843357,56900,0.0,1.0
2000-03-15,41.06,42.5,39.5,42.5,7.50884480082535,80900,0.0,1.0
2000-03-16,41.5,43.0,41.06,42.13,7.44347368138288,63500,0.0,1.0
2000-03-17,40.88,42.5,40.63,41.44,7.32156537755771,50900,0.0,1.0
2000-03-20,41.44,43.0,40.5,40.5,7.15548739843357,33200,0.0,1.0
