date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,21.19,21.44,20.5,20.63,13.5240340670703,1742300,0.0,1.0
1999-11-02,20.75,21.56,20.63,21.56,14.1336972605931,1551700,0.0,1.0
1999-11-03,21.81,21.81,21.19,21.5,14.0943641513336,914100,0.0,1.0
1999-11-04,21.5,21.5,20.94,21.38,14.0156979328145,1502200,0.0,1.0
1999-11-05,21.13,21.25,20.56,20.56,13.4781454396008,1063800,0.0,1.0
1999-11-08,20.5,21.31,20.38,21.31,13.969809305345,2036100,0.0,1.0
1999-11-09,21.25,22.25,21.0,21.63,14.1795858880626,2618100,0.0,1.0
1999-11-10,21.81,23.25,21.75,23.0,15.077691882822,2713400,0.0,1.0
1999-11-11,22.88,22.88,21.94,22.25,14.5860280170778,1462200,0.0,1.0
1999-11-12,22.0,22.56,21.06,21.94,14.3828069525702,1138200,0.0,1.0
1999-11-15,22.0,23.25,21.94,23.0,15.077691882822,1346600,0.0,1.0
1999-11-16,23.38,23.5,22.5,22.75,14.9138039275739,1226400,0.0,1.0
1999-11-17,22.75,23.19,21.75,21.94,14.3828069525702,1344800,0.0,1.0
1999-11-18,21.81,22.38,21.81,22.0,14.4221400618297,463200,0.0,1.0
1999-11-19,21.94,22.38,21.5,21.81,14.2975852158412,951900,0.0,1.0
1999-11-22,21.75,22.19,21.25,21.25,13.9304761960855,1090200,0.0,1.0
1999-11-23,21.81,23.25,21.69,23.25,15.24157983807,1776000,0.0,1.0
1999-11-24,23.69,25.0,23.38,24.94,16.3494624155469,2410100,0.0,1.0
1999-11-26,24.81,25.13,24.31,24.94,16.3494624155469,968800,0.0,1.0
1999-11-29,23.0,23.63,22.25,23.56,15.4644674572074,2629200,0.03,1.0
1999-11-30,23.5,23.69,23.25,23.69,15.5497977105791,974600,0.0,1.0
1999-12-01,23.44,23.56,22.94,22.94,15.0575077872809,940400,0.0,1.0
1999-12-02,22.88,22.88,22.0,22.63,14.8540279523176,1101800,0.0,1.0
1999-12-03,22.31,22.75,22.0,22.13,14.5258346701188,954600,0.0,1.0
1999-12-06,21.25,21.81,21.25,21.69,14.2370245817839,909600,0.0,1.0
1999-12-07,21.88,23.56,21.88,23.5,15.4250842633435,2179700,0.0,1.0
1999-12-08,23.13,23.63,22.88,23.06,15.1362741750086,982700,0.0,1.0
1999-12-09,22.88,22.88,22.13,22.19,14.5652178639827,668600,0.0,1.0
1999-12-10,22.63,22.75,22.38,22.44,14.7293145050821,445600,0.0,1.0
1999-12-13,22.31,23.5,22.31,23.5,15.4250842633435,976400,0.0,1.0
1999-12-14,23.31,23.38,22.25,22.44,14.7293145050821,778100,0.0,1.0
1999-12-15,22.38,23.69,22.19,23.13,15.1822212345164,1280400,0.0,1.0
1999-12-16,23.19,24.75,23.06,24.44,16.0420876338773,1638000,0.0,1.0
1999-12-17,25.0,25.19,24.31,24.44,16.0420876338773,1478800,0.0,1.0
1999-12-20,24.5,24.63,23.69,23.81,15.6285640983068,576900,0.0,1.0
1999-12-21,23.25,24.5,23.13,24.25,15.9173741866417,1180400,0.0,1.0
1999-12-22,24.19,24.19,23.13,23.25,15.2609876222441,1001700,0.0,1.0
1999-12-23,23.63,24.0,23.5,23.63,15.5104145167152,576800,0.0,1.0
1999-12-27,24.0,24.94,23.75,24.75,16.2455674688405,1135800,0.0,1.0
1999-12-28,25.0,25.44,24.69,24.81,16.2849506627044,949200,0.0,1.0
1999-12-29,25.0,25.38,24.38,24.81,16.2849506627044,875400,0.0,1.0
1999-12-30,24.75,25.0,24.25,24.25,15.9173741866417,842300,0.0,1.0
1999-12-31,24.75,24.75,24.25,24.5,16.0814708277411,298600,0.0,1.0
2000-01-03,24.0,24.19,23.75,24.06,15.7926607394062,906900,0.0,1.0
2000-01-04,23.25,23.63,22.19,22.25,14.6046010578465,1783800,0.0,1.0
2000-01-05,22.5,23.19,22.5,23.06,15.1362741750086,1180300,0.0,1.0
2000-01-06,22.06,22.38,21.94,22.25,14.6046010578465,1688400,0.0,1.0
