date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,54.94,55.0,54.63,54.81,14.5386480657959,334350,0.0,1.0
1999-11-02,54.88,55.0,54.38,54.75,14.5227327422428,154250,0.0,1.0
1999-11-03,55.0,55.25,54.38,55.0,14.5890465903809,341400,0.0,1.0
1999-11-04,55.06,55.25,54.5,55.0,14.5890465903809,429100,0.0,1.0
1999-11-05,55.25,55.38,54.56,54.69,14.5068174186896,112100,0.0,1.0
1999-11-08,54.69,54.69,53.5,53.56,14.2070788251055,244050,0.0,1.0
1999-11-09,53.75,53.94,52.25,53.75,14.2574773496904,201100,0.0,1.0
1999-11-10,53.75,55.25,53.75,54.88,14.5572159432746,292500,0.0,1.0
1999-11-11,54.94,56.0,52.0,52.56,13.9418234325531,538350,0.0,1.0
1999-11-12,52.13,53.38,50.63,53.31,14.1407649769674,843700,0.0,1.0
1999-11-15,53.31,54.06,53.0,53.88,14.2919605507222,235300,0.0,1.0
1999-11-16,54.0,54.13,52.5,53.5,14.1911635015523,786350,0.0,1.0
1999-11-17,53.75,55.5,53.0,55.38,14.6898436395508,295250,0.0,1.0
1999-11-18,55.19,57.63,55.19,57.13,15.1540405765175,326500,0.0,1.0
1999-11-19,56.13,58.94,56.13,57.81,15.3344142434531,409500,0.0,1.0
1999-11-22,57.63,57.94,56.34,56.5,14.9869296792095,261300,0.0,1.0
1999-11-23,56.38,56.56,55.31,55.75,14.7879881347952,200750,0.0,1.0
1999-11-24,55.19,55.38,54.0,54.25,14.4962072029876,94950,0.4,1.0
1999-11-26,54.25,54.5,54.0,54.06,14.445437076378,38700,0.0,1.0
1999-11-29,53.81,53.81,52.0,53.25,14.2289960103058,226850,0.0,1.0
1999-11-30,53.0,56.19,53.0,56.19,15.0145969167902,308900,0.0,1.0
1999-12-01,55.88,55.94,54.25,55.38,14.798155850718,432650,0.0,1.0
1999-12-02,55.75,56.13,55.5,55.75,14.8970239920102,337750,0.0,1.0
1999-12-03,56.0,58.5,56.0,58.19,15.5490193021538,381700,0.0,1.0
1999-12-06,57.81,58.0,55.25,57.31,15.3138734525939,348950,0.0,1.0
1999-12-07,56.94,57.13,52.5,53.5,14.2957988084762,1076800,0.0,1.0
1999-12-08,53.25,53.5,51.63,51.63,13.7961138781612,1070600,0.0,1.0
1999-12-09,51.75,51.75,47.0,50.5,13.4941652304308,1126050,0.0,1.0
1999-12-10,51.0,52.38,50.88,51.63,13.7961138781612,467500,0.0,1.0
1999-12-13,51.5,51.56,49.88,50.63,13.5289026854794,640600,0.0,1.0
1999-12-14,50.88,51.56,50.31,50.88,13.5957054836499,495800,0.0,1.0
1999-12-15,50.94,51.0,50.5,50.69,13.5449353570403,539200,0.0,1.0
1999-12-16,50.94,53.25,50.5,51.13,13.6625082818203,529350,0.0,1.0
1999-12-17,51.19,51.69,50.06,50.25,13.4273624322604,456750,0.0,1.0
