date,open,high,low,close,adjClose,volume,dividend,split
2003-12-02,19.0,19.25,19.0,19.25,7.21882817874199,80000,0.0,1.0
2003-12-03,19.5,19.5,19.5,19.5,7.31257919405033,150000,0.0,1.0
2003-12-04,20.25,20.25,20.25,20.25,7.59383223997534,25000,0.0,1.0
2003-12-05,20.25,20.25,20.25,20.25,7.59383223997534,0,0.0,1.0
2003-12-08,21.0,21.8,21.0,21.8,8.17508853488704,477000,0.0,1.0
2003-12-09,21.8,22.75,21.8,22.125,8.29696485478788,1507100,0.0,1.0
2003-12-10,22.25,23.0,22.25,22.5,8.43759137775038,1497300,0.0,1.0
2003-12-11,22.75,23.0,22.625,22.9,8.58759300224372,1101600,0.0,1.0
2003-12-12,23.0,23.05,22.92,22.95,8.60634320530539,354500,0.0,1.0
2003-12-15,22.9,22.9,22.4,22.4,8.40009097162705,643500,0.0,1.0
2003-12-16,22.35,22.35,21.8,21.95,8.23133914407204,442800,0.0,1.0
2003-12-17,21.9,21.9,21.4,21.45,8.04383711345536,575400,0.0,1.0
2003-12-18,21.45,21.55,21.45,21.55,8.0813375195787,1212600,0.0,1.0
2003-12-19,21.55,21.8,21.55,21.8,8.17508853488704,710900,0.0,1.0
2003-12-22,21.65,21.8,21.65,21.65,8.11883792570203,2600,0.0,1.0
2003-12-23,21.7,21.85,21.7,21.8,8.17508853488704,66900,0.0,1.0
2003-12-24,21.8,21.85,21.8,21.85,8.1938387379487,10100,0.0,1.0
2003-12-26,21.85,21.85,21.85,21.85,8.1938387379487,500,0.0,1.0
2003-12-29,21.8,21.8,21.8,21.8,8.17508853488704,600,0.0,1.0
2003-12-30,21.85,21.9,21.85,21.9,8.21258894101037,15800,0.0,1.0
2003-12-31,21.9,22.0,21.9,21.9,8.21258894101037,7100,0.0,1.0
2004-01-02,22.0,22.45,21.95,22.45,8.41884117468871,278800,0.0,1.0
2004-01-05,22.45,22.5,22.3,22.4,8.40009097162705,68000,0.0,1.0
2004-01-06,22.4,22.5,22.39,22.45,8.41884117468871,80300,0.0,1.0
2004-01-07,22.4,22.4,22.0,22.25,8.34384036244204,141700,0.0,1.0
2004-01-08,22.35,22.35,22.2,22.26,8.34759040305438,192600,0.0,1.0
2004-01-09,22.3,22.3,21.15,21.15,7.93133589508536,1728100,0.0,1.0
2004-01-12,21.25,21.25,21.2,21.2,7.95008609814703,8900,0.0,1.0
2004-01-13,21.25,21.35,20.96,21.0,7.87508528590036,534800,0.0,1.0
2004-01-14,21.05,21.1,21.0,21.0,7.87508528590036,104300,0.0,1.0
2004-01-15,21.0,21.0,20.75,20.85,7.81883467671535,27100,0.0,1.0
2004-01-16,20.75,20.9,20.75,20.8,7.80008447365369,246900,0.0,1.0
2004-01-20,21.0,21.05,20.97,21.0,7.87508528590036,428300,0.0,1.0
2004-01-21,21.05,21.15,21.0,21.0,7.87508528590036,484800,0.0,1.0
2004-01-22,21.1,21.6,21.1,21.5,8.06258731651703,431800,0.0,1.0
2004-01-23,21.5,21.5,21.1,21.2,7.95008609814703,374200,0.0,1.0
2004-01-26,21.2,21.2,20.85,20.85,7.81883467671535,145800,0.0,1.0
2004-01-27,20.85,20.85,20.7,20.73,7.77383418936735,497300,0.0,1.0
2004-01-28,20.75,20.75,20.45,20.5,7.68758325528368,50000,0.0,1.0
2004-01-29,20.5,20.5,19.75,20.0,7.50008122466701,584500,0.0,1.0
2004-01-30,20.0,20.25,20.0,20.0,7.50008122466701,170600,0.0,1.0
2004-02-02,20.0,20.35,20.0,20.15,7.55633183385201,40400,0.0,1.0
2004-02-03,20.0,20.31,20.0,20.3,7.61258244303701,689600,0.0,1.0
2004-02-04,20.25,20.3,20.25,20.25,7.59383223997534,287600,0.0,1.0
2004-02-05,20.27,20.27,20.02,20.05,7.51883142772867,324500,0.0,1.0
2004-02-06,20.15,20.15,20.0,20.05,7.51883142772867,243300,0.0,1.0
2004-02-09,20.05,20.05,20.0,20.0,7.50008122466701,303700,0.0,1.0
2004-02-10,20.0,20.1,20.0,20.03,7.51133134650401,272300,0.0,1.0
2004-02-11,20.08,20.08,20.0,20.0,7.50008122466701,507800,0.0,1.0
2004-02-12,20.02,20.05,20.0,20.0,7.50008122466701,94300,0.0,1.0
2004-02-13,20.02,20.04,20.0,20.04,7.51508138711634,463700,0.0,1.0
2004-02-17,20.03,20.04,19.8,19.8,7.42508041242034,138100,0.0,1.0
2004-02-18,19.75,19.85,19.5,19.51,7.31632923466266,221400,0.0,1.0
2004-02-19,19.53,19.55,19.5,19.54,7.32757935649966,340400,0.0,1.0
2004-02-20,19.55,19.57,19.5,19.54,7.32757935649966,105100,0.0,1.0
2004-02-23,19.5,19.52,19.0,19.25,7.21882817874199,47400,0.0,1.0
2004-02-24,19.2,19.6,18.1,18.44,6.91507488914298,1428400,0.0,1.0
2004-02-25,18.5,19.25,18.4,19.2,7.20007797568033,1089100,0.0,1.0
2004-02-26,19.2,19.35,19.1,19.15,7.18132777261866,514600,0.0,1.0
2004-02-27,19.1,19.3,19.1,19.3,7.23757838180366,758300,0.0,1.0
2004-03-01,19.2,20.2,19.2,20.0,7.50008122466701,665200,0.0,1.0
2004-03-02,20.0,20.05,19.75,19.9,7.46258081854367,151900,0.0,1.0
2004-03-03,19.9,19.99,19.8,19.97,7.48883110283001,232800,0.0,1.0
2004-03-04,19.95,19.95,18.85,19.8,7.42508041242034,192600,0.0,1.0
