date,open,high,low,close,adjClose,volume,dividend,split
2010-08-06,13.0,14.08,12.99,14.0,12.4470623431203,10678500,0.0,1.0
2010-08-09,14.0,14.0,13.7,14.0,12.4470623431203,1819500,0.0,1.0
2010-08-10,13.77,13.84,13.58,13.6,12.0914319904597,1579300,0.0,1.0
2010-08-11,13.25,13.38,12.45,12.75,11.335717491056,2588200,0.0,1.0
2010-08-12,12.26,12.51,12.1,12.39,11.0156501736615,1780300,0.0,1.0
2010-08-13,12.25,12.53,11.85,12.0,10.6689105798174,957600,0.0,1.0
2010-08-16,11.79,12.23,11.69,11.78,10.4733138858541,551600,0.0,1.0
2010-08-17,11.86,12.3,11.75,12.22,10.8645072737807,1086700,0.0,1.0
2010-08-18,12.08,12.6,12.0,12.0,10.6689105798174,1010600,0.0,1.0
2010-08-19,11.95,12.1,11.3104,11.55,10.2688264330743,746000,0.0,1.0
2010-08-20,11.45,11.5,11.03,11.15,9.91319608041368,450600,0.0,1.0
2010-08-23,11.28,11.5,10.46,10.98,9.76205318053294,761800,0.0,1.0
2010-08-24,10.76,11.3,10.5,10.68,9.4953304160375,746700,0.0,1.0
2010-08-25,10.5,11.13,10.23,10.75,9.5575657277531,1112200,0.0,1.0
2010-08-26,10.94,11.15,10.8,11.0,9.77983469816597,581400,0.0,1.0
2010-08-27,11.15,11.49,10.99,11.11,9.87763304514762,370900,0.0,1.0
2010-08-30,11.01,11.27,11.01,11.095,9.86429690692285,226900,0.0,1.0
2010-08-31,11.01,11.23,10.87,11.075,9.84651538928982,236000,0.0,1.0
2010-09-01,11.08,11.95,10.76,11.73,10.4288600917715,412800,0.0,1.0
2010-09-02,11.08,11.91,11.08,11.87,10.5533307152027,98500,0.0,1.0
2010-09-03,11.9,12.32,11.58,11.89,10.5711122328358,231400,0.0,1.0
2010-09-07,12.0,12.36,11.78,12.03,10.695582856267,468400,0.0,1.0
2010-09-08,11.49,12.18,11.42,12.16,10.8111627208816,1483700,0.0,1.0
2010-09-09,12.21,12.625,11.51,11.9,10.5800029916523,235600,0.0,1.0
2010-09-10,11.98,12.125,11.81,11.98,10.6511290621844,362900,0.0,1.0
2010-09-13,12.09,12.24,11.8401,11.94,10.6155660269183,303900,0.0,1.0
2010-09-14,11.85,12.25,11.85,12.24,10.8822887914138,250600,0.0,1.0
2010-09-15,12.52,12.92,12.3501,12.47,11.0867762441936,561100,0.0,1.0
2010-09-16,12.46,12.64,12.01,12.02,10.6866920974504,323300,0.0,1.0
2010-09-17,12.01,12.25,11.82,12.08,10.7400366503495,252300,0.0,1.0
2010-09-20,12.21,12.97,12.1,12.69,11.2823729381569,404100,0.0,1.0
2010-09-21,12.61,12.85,12.36,12.51,11.1223392794597,178800,0.0,1.0
2010-09-22,12.4,12.6,12.01,12.18,10.8289442385147,184600,0.0,1.0
2010-09-23,12.0,12.49,11.89,12.0,10.6689105798174,320800,0.0,1.0
2010-09-24,12.1,12.37,11.82,12.22,10.8645072737807,146900,0.0,1.0
2010-09-27,12.17,12.39,12.02,12.25,10.8911795502303,186600,0.0,1.0
2010-09-28,12.21,12.62,12.11,12.61,11.2112468676248,168800,0.0,1.0
2010-09-29,12.63,12.88,12.49,12.55,11.1579023147257,238500,0.0,1.0
2010-09-30,12.62,12.95,12.26,12.39,11.0156501736615,196800,0.0,1.0
2010-10-01,12.47,12.77,12.26,12.36,10.9889778972119,170500,0.0,1.0
2010-10-04,12.38,12.7099,12.25,12.35,10.9800871383954,140700,0.0,1.0
2010-10-05,12.43,12.69,12.22,12.35,10.9800871383954,256900,0.0,1.0
2010-10-06,12.32,12.49,12.13,12.47,11.0867762441936,90400,0.0,1.0
2010-10-07,12.5,12.5,11.61,11.85,10.5355491975697,252800,0.0,1.0
2010-10-08,11.8,12.11,11.72,11.98,10.6511290621844,251900,0.0,1.0
2010-10-11,11.95,12.15,11.91,12.05,10.7133643739,63700,0.0,1.0
2010-10-12,12.01,12.3,11.9118,12.3,10.9356333443129,59600,0.0,1.0
2010-10-13,12.31,12.33,12.02,12.07,10.731145891533,222000,0.0,1.0
2010-10-14,12.07,12.23,12.0,12.15,10.8022719620651,223700,0.0,1.0
2010-10-15,12.35,12.35,11.855,11.94,10.6155660269183,396200,0.0,1.0
2010-10-18,11.96,12.29,11.65,12.24,10.8822887914138,53500,0.0,1.0
2010-10-19,12.06,12.25,12.01,12.11,10.7667089267991,130100,0.0,1.0
2010-10-20,12.17,12.45,11.52,12.2,10.8467257561477,124800,0.0,1.0
2010-10-21,12.11,12.4,12.11,12.25,10.8911795502303,58800,0.0,1.0
2010-10-22,12.2,12.61,12.18,12.33,10.9623056207624,94200,0.0,1.0
2010-10-25,12.201,12.59,12.201,12.37,10.9978686560285,128300,0.0,1.0
2010-10-26,12.25,12.49,11.91,12.28,10.9178518266798,186100,0.0,1.0
2010-10-27,12.28,12.8,12.28,12.77,11.353499008689,263800,0.0,1.0
2010-10-28,12.82,13.35,12.6,13.19,11.7269108789826,409900,0.0,1.0
2010-10-29,13.16,13.47,12.88,13.19,11.7269108789826,434600,0.0,1.0
2010-11-01,13.27,13.5,12.56,12.69,11.2823729381569,432100,0.0,1.0
2010-11-02,12.9,13.43,12.47,13.27,11.7980369495148,300900,0.0,1.0
2010-11-03,13.21,13.8,13.11,13.6356,12.1230830918465,359900,0.0,1.0
2010-11-04,13.74,14.0,13.5304,13.97,12.4203900666708,274600,0.0,1.0
2010-11-05,13.9,14.0,13.64,13.97,12.4203900666708,175600,0.0,1.0
2010-11-08,14.0,14.0,13.61,13.77,12.2425748903405,179900,0.0,1.0
2010-11-09,13.72,13.95,13.2,13.63,12.1181042669093,269800,0.0,1.0
2010-11-10,13.6,13.73,13.05,13.32,11.8424907435973,172300,0.0,1.0
