date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,29.44,29.44,29.06,29.06,1.86475461026273,52075,0.0,1.0
1999-11-02,29.19,30.0,28.63,28.75,1.84486218324341,177375,0.0,1.0
1999-11-03,28.75,29.31,28.5,28.69,1.84101203607838,130650,0.0,1.0
1999-11-04,29.0,29.44,29.0,29.0,1.8609044630977,56400,0.0,1.0
1999-11-05,29.19,29.25,28.56,28.56,1.83267005055415,65675,0.0,1.0
1999-11-08,28.69,29.56,28.69,29.5,1.89298902280628,79375,0.0,1.0
1999-11-09,29.44,29.75,29.06,29.13,1.86924644862193,65325,0.0,1.0
1999-11-10,29.06,29.44,28.94,29.0,1.8609044630977,91025,0.0,1.0
1999-11-11,29.13,29.44,29.0,29.13,1.86924644862193,44425,0.0,1.0
1999-11-12,29.13,29.19,28.69,28.88,1.85320416876764,108600,0.0,1.0
1999-11-15,28.81,29.63,28.38,29.44,1.88913887564125,217925,0.0,1.0
1999-11-16,29.69,30.13,29.56,29.81,1.9128814498256,154875,0.0,1.0
1999-11-17,29.75,30.0,29.13,29.44,1.88913887564125,63500,0.0,1.0
1999-11-18,29.44,29.69,29.13,29.19,1.87309659578696,63825,0.0,1.0
1999-11-19,29.31,29.31,28.38,28.56,1.83267005055415,118900,0.0,1.0
1999-11-22,28.31,28.31,26.81,27.44,1.76080063680692,154425,0.0,1.0
1999-11-23,27.44,27.5,26.44,26.69,1.71267379724405,100500,0.0,1.0
1999-11-24,26.94,27.63,26.88,27.25,1.74860850411766,59725,0.0,1.0
1999-11-26,27.19,27.5,27.13,27.13,1.7409082097876,23525,0.0,1.0
1999-11-29,26.94,26.94,26.5,26.56,1.70433181171982,74575,0.0,1.0
1999-11-30,26.56,26.94,26.25,26.94,1.72871607709834,114425,0.0,1.0
1999-12-01,26.94,27.31,26.75,27.25,1.74860850411766,94550,0.0,1.0
1999-12-02,27.31,28.0,27.13,27.13,1.7409082097876,94900,0.0,1.0
1999-12-03,27.13,28.94,27.13,28.56,1.83267005055415,145850,0.0,1.0
1999-12-06,28.44,29.25,28.25,28.75,1.84486218324341,283475,0.0,1.0
1999-12-07,28.69,28.69,27.63,27.81,1.78454321099127,95600,0.0,1.0
1999-12-08,27.69,27.69,27.06,27.56,1.76850093113698,62800,0.0,1.0
1999-12-09,27.81,27.94,27.19,27.25,1.74860850411766,74575,0.0,1.0
1999-12-10,27.31,27.31,26.69,26.81,1.72037409157411,70575,0.0,1.0
1999-12-13,26.69,27.06,26.56,26.88,1.72486592993331,83950,0.0,1.0
1999-12-14,26.81,27.0,26.31,26.56,1.70433181171982,204100,0.0,1.0
1999-12-15,26.38,26.75,26.31,26.56,1.70433181171982,121975,0.0,1.0
1999-12-16,26.69,26.69,26.25,26.38,1.69278137022473,110900,0.0,1.0
1999-12-17,26.44,26.44,26.44,26.44,1.69663151738976,208675,0.0,1.0
1999-12-20,26.25,26.75,26.25,26.31,1.68828953186553,57450,0.0,1.0
1999-12-21,26.25,26.94,26.13,26.44,1.69663151738976,39625,0.0,1.0
1999-12-22,26.31,26.69,26.06,26.56,1.70433181171982,53100,0.0,1.0
1999-12-23,26.5,26.5,26.13,26.13,1.67673909037044,58800,0.0,1.0
1999-12-27,26.25,26.63,25.81,26.0,1.66839710484621,72525,0.0,1.0
1999-12-28,26.0,26.38,26.0,26.19,1.68058923753547,78225,0.0,1.0
1999-12-29,26.06,26.19,25.44,25.75,1.65235482499192,57200,0.0,1.0
1999-12-30,25.69,25.69,25.0,25.31,1.62412041244837,69775,0.0,1.0
1999-12-31,25.19,25.19,25.0,25.13,1.61256997095328,90450,0.0,1.0
2000-01-03,25.25,25.25,24.63,24.81,1.59203585273979,230375,0.0,1.0
2000-01-04,24.69,25.0,24.38,24.5,1.57214342572047,100850,0.0,1.0
2000-01-05,24.75,24.81,24.5,24.69,1.58433555840973,251950,0.0,1.0
2000-01-06,24.81,25.13,24.56,24.75,1.58818570557476,142650,0.0,1.0
2000-01-07,24.88,25.69,24.88,25.69,1.64850467782689,117175,0.0,1.0
2000-01-10,25.63,25.81,25.5,25.63,1.64465453066186,96275,0.0,1.0
2000-01-11,25.56,25.75,25.31,25.31,1.62412041244837,98550,0.0,1.0
2000-01-12,25.5,26.0,25.5,25.94,1.66454695768118,176125,0.0,1.0
2000-01-13,25.94,26.56,25.94,26.5,1.70048166455479,122650,0.0,1.0
2000-01-14,26.44,26.75,25.88,26.25,1.6844393847005,104500,0.0,1.0
2000-01-18,26.0,26.25,25.75,25.81,1.65620497215695,65675,0.0,1.0
2000-01-19,26.0,26.88,26.0,26.13,1.67673909037044,71825,0.0,1.0
2000-01-20,26.25,26.38,26.0,26.31,1.68828953186553,56075,0.0,1.0
2000-01-21,26.31,27.69,26.13,27.56,1.76850093113698,106325,0.0,1.0
2000-01-24,27.56,28.25,27.31,27.56,1.76850093113698,143225,0.0,1.0
2000-01-25,27.56,28.0,27.06,27.06,1.7364163714284,84850,0.0,1.0
2000-01-26,27.31,27.69,26.94,27.0,1.73256622426337,79950,0.0,1.0
2000-01-27,26.69,26.75,26.06,26.06,1.69213967903056,60750,0.31,1.0
2000-01-28,26.06,26.38,25.94,26.06,1.69213967903056,65775,0.0,1.0
2000-01-31,26.13,26.56,25.5,26.13,1.6966849506166,86000,0.0,1.0
2000-02-01,26.0,26.5,25.25,26.25,1.70447684476409,64625,0.0,1.0
2000-02-02,26.5,26.69,26.13,26.5,1.72070995757137,73550,0.0,1.0
2000-02-03,26.38,26.69,25.63,26.5,1.72070995757137,67725,0.0,1.0
2000-02-04,26.5,26.5,25.5,25.81,1.67590656622328,67600,0.0,1.0
2000-02-07,25.81,25.81,25.19,25.25,1.63954439353498,126550,0.0,1.0
2000-02-08,25.25,25.25,24.06,24.88,1.61551938658021,234600,0.0,1.0
2000-02-09,24.63,24.88,24.19,24.44,1.58694910803941,141050,0.0,1.0
2000-02-10,24.31,24.88,24.31,24.69,1.60318222084668,53550,0.0,1.0
2000-02-11,24.5,24.75,23.5,23.75,1.54214571669132,105300,0.0,1.0
2000-02-14,24.0,24.63,23.44,24.31,1.57850788937962,69100,0.0,1.0
2000-02-15,24.38,25.0,24.38,24.88,1.61551938658021,116950,0.0,1.0
2000-02-16,24.88,24.94,24.06,24.19,1.57071599523213,99250,0.0,1.0
2000-02-17,24.31,24.81,24.25,24.31,1.57850788937962,66925,0.0,1.0
2000-02-18,24.31,24.38,23.94,23.94,1.55448288242485,73325,0.0,1.0
2000-02-22,23.81,23.81,23.13,23.5,1.52591260388404,48875,0.0,1.0
2000-02-23,23.5,23.5,23.0,23.19,1.50578354400302,37900,0.0,1.0
2000-02-24,23.0,23.19,22.19,22.44,1.45708420558119,120825,0.0,1.0
2000-02-25,22.44,22.75,21.75,21.75,1.4122808142331,100725,0.0,1.0
2000-02-28,21.88,22.5,21.81,22.38,1.45318825850744,78450,0.0,1.0
2000-02-29,22.19,22.81,22.13,22.69,1.47331731838847,82350,0.0,1.0
2000-03-01,22.69,23.0,22.69,23.0,1.49344637826949,100500,0.0,1.0
2000-03-02,22.81,23.13,22.69,22.75,1.47721326546221,142200,0.0,1.0
2000-03-03,22.63,23.13,22.31,22.81,1.48110921253596,91025,0.0,1.0
2000-03-06,22.69,22.75,22.38,22.5,1.46098015265494,64300,0.0,1.0
2000-03-07,22.56,23.31,22.31,22.88,1.485654484122,79725,0.0,1.0
2000-03-08,23.06,23.69,23.0,23.56,1.52980855095779,98000,0.0,1.0
2000-03-09,23.38,23.75,23.06,23.75,1.54214571669132,109075,0.0,1.0
2000-03-10,23.63,23.94,23.25,23.81,1.54604166376507,98675,0.0,1.0
2000-03-13,23.56,23.94,23.19,23.94,1.55448288242485,144925,0.0,1.0
2000-03-14,23.75,23.75,22.63,22.69,1.47331731838847,146525,0.0,1.0
2000-03-15,22.88,23.63,22.38,23.13,1.50188759692927,111125,0.0,1.0
2000-03-16,23.06,24.63,23.06,24.63,1.59928627377294,103125,0.0,1.0
2000-03-17,24.38,24.38,23.31,24.31,1.57850788937962,136700,0.0,1.0
2000-03-20,24.56,24.63,24.25,24.63,1.59928627377294,76750,0.0,1.0
2000-03-21,24.44,25.0,24.31,25.0,1.62331128072771,76275,0.0,1.0
2000-03-22,25.0,25.56,23.88,24.19,1.57071599523213,85300,0.0,1.0
2000-03-23,24.44,24.81,23.94,24.13,1.56682004815838,43175,0.0,1.0
2000-03-24,24.0,24.44,23.94,24.44,1.58694910803941,57675,0.0,1.0
2000-03-27,24.31,24.75,24.25,24.44,1.58694910803941,46125,0.0,1.0
2000-03-28,24.44,24.5,23.75,23.75,1.54214571669132,54700,0.0,1.0
2000-03-29,23.5,24.69,23.5,24.38,1.58305316096566,48300,0.0,1.0
2000-03-30,24.5,24.75,24.25,24.69,1.60318222084668,98100,0.0,1.0
2000-03-31,24.69,25.25,24.31,25.0,1.62331128072771,83375,0.0,1.0
2000-04-03,25.06,25.06,24.75,25.06,1.62720722780145,44875,0.0,1.0
2000-04-04,24.94,25.13,24.13,24.94,1.61941533365396,63025,0.0,1.0
2000-04-05,25.13,25.19,24.44,24.63,1.59928627377294,144600,0.0,1.0
2000-04-06,24.75,25.06,24.44,25.06,1.62720722780145,58125,0.0,1.0
2000-04-07,25.19,25.31,24.56,24.88,1.61551938658021,46475,0.0,1.0
2000-04-10,25.06,25.13,24.63,24.69,1.60318222084668,63725,0.0,1.0
2000-04-11,24.69,24.81,24.25,24.69,1.60318222084668,90100,0.0,1.0
2000-04-12,24.69,25.0,24.44,24.75,1.60707816792043,179550,0.0,1.0
2000-04-13,24.81,25.88,24.75,25.56,1.65967345341601,76400,0.0,1.0
2000-04-14,25.75,26.38,25.25,25.31,1.64344034060873,84850,0.0,1.0
2000-04-17,25.5,25.81,25.13,25.69,1.66811467207579,67725,0.0,1.0
2000-04-18,25.56,25.56,25.0,25.44,1.65188155926851,51625,0.0,1.0
2000-04-19,25.44,25.5,25.13,25.38,1.64798561219477,46250,0.0,1.0
2000-04-20,25.0,26.06,25.0,25.94,1.68434778488307,62575,0.0,1.0
2000-04-24,25.81,25.88,25.25,25.44,1.65188155926851,64175,0.0,1.0
2000-04-25,25.5,26.06,25.25,26.06,1.69213967903056,61550,0.0,1.0
2000-04-26,25.63,25.88,25.5,25.69,1.68824373195681,48525,0.31,1.0
2000-04-27,25.75,25.75,24.81,25.06,1.64684265951101,64300,0.0,1.0
2000-04-28,25.06,25.75,24.94,25.25,1.65932869723276,58350,0.0,1.0
2000-05-01,24.75,25.69,24.69,25.44,1.67181473495451,51375,0.0,1.0
2000-05-02,25.25,25.75,25.19,25.44,1.67181473495451,68300,0.0,1.0
2000-05-03,25.38,25.47,25.25,25.31,1.66327165651331,62700,0.0,1.0
2000-05-04,25.31,25.5,25.25,25.25,1.65932869723276,31750,0.0,1.0
2000-05-05,25.31,25.63,25.25,25.63,1.68430077267626,25000,0.0,1.0
2000-05-08,25.81,26.31,25.44,25.56,1.67970065351562,44750,0.0,1.0
2000-05-09,25.44,25.56,25.0,25.13,1.65144277867165,99825,0.0,1.0
2000-05-10,25.13,25.63,25.0,25.19,1.65538573795221,87025,0.0,1.0
2000-05-11,25.56,26.0,25.38,25.81,1.69612965051792,49900,0.0,1.0
2000-05-12,25.75,26.06,25.5,25.75,1.69218669123737,23975,0.0,1.0
2000-05-15,25.75,27.38,25.25,26.88,1.76644575768778,119225,0.0,1.0
2000-05-16,27.31,27.31,26.75,26.94,1.77038871696834,120950,0.0,1.0
2000-05-17,26.81,26.88,26.0,26.44,1.73753072296373,64075,0.0,1.0
2000-05-18,26.44,26.94,26.06,26.25,1.72504468524198,44300,0.0,1.0
