date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,87.75,87.81,85.81,87.0,23.9326267194905,789300,0.0,1.0
1999-11-02,86.0,86.38,81.19,82.0,22.5571884022784,805200,0.0,1.0
1999-11-03,82.5,83.0,81.56,82.19,22.6094550583325,727100,0.0,1.0
1999-11-04,83.19,83.5,82.75,83.0,22.8322760657208,773200,0.0,1.0
1999-11-05,83.25,83.88,80.13,80.5,22.1445569071148,1322000,0.0,1.0
1999-11-08,80.75,82.44,80.25,82.0,22.5571884022784,637800,0.0,1.0
1999-11-09,81.25,81.56,80.0,81.13,22.3178621350835,427000,0.0,1.0
1999-11-10,81.31,85.0,81.0,84.69,23.2971742169385,771800,0.0,1.0
1999-11-11,84.94,89.25,84.88,88.69,24.3975248707082,1145800,0.0,1.0
1999-11-12,88.69,89.44,86.44,89.0,24.4828020463753,481000,0.0,1.0
1999-11-15,89.0,90.88,88.75,89.81,24.7056230537637,807500,0.0,1.0
1999-11-16,89.5,90.0,88.88,89.5,24.6203458780965,601100,0.0,1.0
1999-11-17,89.63,91.75,89.63,90.88,24.9999668536471,609100,0.0,1.0
1999-11-18,90.88,93.0,90.75,92.81,25.5308860440909,931400,0.0,1.0
1999-11-19,92.56,93.31,92.06,92.75,25.5143807842844,598300,0.0,1.0
1999-11-22,92.69,93.94,91.5,92.75,25.5143807842844,484800,0.0,1.0
1999-11-23,93.0,93.06,90.63,91.31,25.1182545489273,419100,0.0,1.0
1999-11-24,91.56,92.25,91.13,92.06,25.3245702965091,609300,0.0,1.0
1999-11-26,92.31,93.0,92.0,92.88,25.5501421805319,190000,0.0,1.0
1999-11-29,93.0,93.81,92.56,93.19,25.6354193561991,307100,0.0,1.0
1999-11-30,91.5,91.81,87.69,88.13,24.2434757791804,689700,0.0,1.0
1999-12-01,88.13,90.75,87.13,89.13,24.5185634426228,608800,0.0,1.0
1999-12-02,88.88,90.0,88.88,89.88,24.7248791902047,676300,0.0,1.0
1999-12-03,91.25,92.56,91.13,91.63,25.2062826012289,506900,0.0,1.0
1999-12-06,91.69,92.19,90.25,90.31,24.8431668854849,772400,0.0,1.0
1999-12-07,91.31,97.63,90.63,95.13,26.1690894232774,912500,0.0,1.0
1999-12-08,97.0,99.75,95.5,98.25,27.0273629332177,1449100,0.0,1.0
1999-12-09,100.0,106.0,97.38,100.5,27.6463101759632,2243400,0.0,1.0
1999-12-10,101.5,101.5,97.38,99.06,27.2501839406061,870900,0.0,1.0
