date,open,high,low,close,adjClose,volume,dividend,split
2001-10-23,20.5,21.39,20.4,21.0,10.9445480876783,32584000,0.0,1.0
2001-10-24,22.2,22.2,21.0,22.15,11.5438923877178,5847500,0.0,1.0
2001-10-25,22.0,22.15,21.65,21.95,11.4396585964066,2038800,0.0,1.0
2001-10-26,21.95,22.0,21.4,21.5,11.2051325659563,3339100,0.0,1.0
2001-10-29,22.0,22.0,21.0,21.2,11.0487818789895,1758700,0.0,1.0
2001-10-30,22.25,22.25,21.0,22.04,11.4865638024966,2225300,0.0,1.0
2001-10-31,22.4,23.99,21.95,22.5,11.7263015225125,5101800,0.0,1.0
2001-11-01,22.63,22.63,21.7,21.95,11.4396585964066,2747400,0.0,1.0
2001-11-02,22.1,22.25,21.95,22.18,11.5595274564145,1183800,0.0,1.0
2001-11-05,22.1,22.2,21.75,22.0,11.4657170442344,1144000,0.0,1.0
2001-11-06,21.92,22.7,21.85,22.6,11.7784184181681,695100,0.0,1.0
2001-11-07,22.65,22.65,21.65,21.85,11.387541700751,1002900,0.0,1.0
2001-11-08,21.95,22.0,21.59,21.82,11.3719066320543,1642800,0.0,1.0
2001-11-09,21.5,21.77,21.5,21.6,11.257249461612,1601000,0.0,1.0
2001-11-12,21.61,22.0,21.31,21.98,11.4552936651033,1101400,0.0,1.0
2001-11-13,22.0,22.0,21.75,21.85,11.387541700751,687300,0.0,1.0
2001-11-14,22.1,22.1,21.4,21.75,11.3354248050954,1964000,0.0,1.0
2001-11-15,21.65,21.99,21.6,21.93,11.4292352172755,867300,0.0,1.0
2001-11-16,22.0,22.88,21.98,22.25,11.5960092833734,1851600,0.0,1.0
2001-11-19,22.0,22.74,22.0,22.33,11.6377027998979,1231800,0.0,1.0
2001-11-20,22.25,22.75,22.25,22.72,11.8409586929548,1182300,0.0,1.0
2001-11-21,22.9,22.9,22.65,22.87,11.9191340364382,1016400,0.0,1.0
2001-11-23,22.88,22.88,22.2,22.38,11.6637612477257,328800,0.0,1.0
2001-11-26,22.1,22.48,21.98,22.33,11.6377027998979,2417500,0.0,1.0
2001-11-27,22.25,22.6,22.25,22.4,11.6741846268568,1536000,0.0,1.0
2001-11-28,22.93,22.93,22.48,22.8,11.8826522094793,871900,0.0,1.0
2001-11-29,22.8,22.95,22.5,22.88,11.9243457260038,523100,0.0,1.0
2001-11-30,22.9,23.0,22.7,22.95,11.9608275529627,2255100,0.0,1.0
2001-12-03,23.2,23.2,22.25,22.95,11.9608275529627,1037600,0.0,1.0
2001-12-04,22.95,22.99,22.65,22.95,11.9608275529627,578700,0.0,1.0
2001-12-05,23.03,23.3,22.95,23.2,12.0911197921017,1370400,0.0,1.0
2001-12-06,23.81,23.81,23.12,23.45,12.2214120312408,509400,0.0,1.0
