date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,105.1,108.6,104.9,108.0,27.4020734796343,2810500,0.0,1.0
1999-11-02,107.8,108.4,106.0,106.0,26.8946276744559,2550100,0.0,1.0
1999-11-03,106.6,107.6,105.3,106.8,27.0976059965273,2503300,0.0,1.0
1999-11-04,107.3,107.4,104.0,105.3,26.7170216426435,2124000,0.0,1.0
1999-11-05,106.0,106.8,105.5,105.9,26.869255384197,1653100,0.0,1.0
1999-11-08,105.9,108.8,105.6,108.6,27.5543072211879,1654300,0.0,1.0
1999-11-09,108.6,108.6,105.8,107.5,27.2752120283397,1507000,0.0,1.0
1999-11-10,107.5,107.8,105.6,107.4,27.2498397380808,1351800,0.0,1.0
1999-11-11,107.1,107.8,105.1,106.4,26.9961168354916,1723000,0.0,1.0
1999-11-12,106.5,107.0,105.4,107.0,27.1483505770451,1714700,0.0,1.0
1999-11-15,104.9,107.5,104.9,106.6,27.0468614160094,2000500,0.0,1.0
1999-11-16,107.2,107.4,106.0,107.4,27.2498397380808,1784400,0.0,1.0
1999-11-17,107.1,109.8,107.0,109.0,27.6557963822235,1759300,0.0,1.0
1999-11-18,108.6,109.7,108.3,109.6,27.8080301237771,2735600,0.0,1.0
1999-11-19,109.3,110.7,108.3,110.5,28.0363807361074,3128400,0.0,1.0
1999-11-22,109.9,111.9,109.5,110.8,28.1124976068841,2030400,0.0,1.0
1999-11-23,110.8,113.1,110.3,112.0,28.4169650899912,2770400,0.0,1.0
1999-11-24,112.3,112.6,109.9,112.4,28.5184542510268,1993200,0.0,1.0
1999-11-26,112.4,113.3,111.7,113.0,28.6706879925804,731700,0.0,1.0
1999-11-29,111.9,112.5,110.1,111.5,28.2901036386966,1933700,0.0,1.0
1999-11-30,110.7,112.8,108.0,108.5,27.5289349309289,2007700,0.0,1.0
1999-12-01,108.8,112.3,108.6,112.3,28.4930819607679,1910400,0.0,1.0
1999-12-02,112.3,112.9,111.8,112.5,28.5438265412858,1785000,0.0,1.0
