date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,59.44,60.06,59.13,59.88,26.9569327767004,678700,0.0,1.0
1999-11-02,60.06,61.31,59.56,59.81,26.9254199962333,860000,0.0,1.0
1999-11-03,59.94,59.94,58.31,58.5,26.3356808189207,734600,0.0,1.0
1999-11-04,58.63,60.06,58.56,59.81,26.9254199962333,565200,0.0,1.0
1999-11-05,60.25,61.94,60.25,61.0,27.4611372641738,1090500,0.0,1.0
1999-11-08,60.88,62.0,60.63,62.0,27.911319842275,867000,0.0,1.0
1999-11-09,62.0,62.0,59.5,59.88,26.9569327767004,577100,0.0,1.0
1999-11-10,59.5,59.5,58.38,58.38,26.2816589095486,652700,0.0,1.0
1999-11-11,58.38,58.75,57.81,58.13,26.1691132650233,724600,0.0,1.0
1999-11-12,58.38,60.69,58.38,60.69,27.3215806649624,573700,0.0,1.0
1999-11-15,60.31,60.69,60.13,60.63,27.2945697102763,376900,0.0,1.0
1999-11-16,60.5,61.19,60.38,61.0,27.4611372641738,825400,0.0,1.0
1999-11-17,60.75,60.81,59.38,59.63,26.8443871321751,538600,0.0,1.0
1999-11-18,59.63,60.0,59.31,59.44,26.7588524423359,853500,0.0,1.0
1999-11-19,59.38,59.5,59.06,59.38,26.7318414876498,618200,0.0,1.0
1999-11-22,59.0,59.06,58.06,58.13,26.1691132650233,573100,0.0,1.0
1999-11-23,58.13,58.25,56.94,57.13,25.7189306869221,419300,0.0,1.0
1999-11-24,56.5,56.94,56.06,56.13,25.2687481088209,304600,0.0,1.0
1999-11-26,56.13,56.81,56.06,56.5,25.4353156627183,152000,0.0,1.0
1999-11-29,56.56,56.56,54.5,54.5,24.5349505065159,432100,0.0,1.0
1999-11-30,54.0,56.56,53.94,55.75,25.0976787291424,772700,0.0,1.0
1999-12-01,55.0,55.63,54.88,55.63,25.0436568197703,636700,0.0,1.0
1999-12-02,55.44,55.63,54.5,54.75,24.6474961510412,364900,0.0,1.0
1999-12-03,55.25,56.5,54.63,55.19,24.8455764854057,2999300,0.0,1.0
1999-12-06,55.0,55.0,50.5,51.06,22.9863224378477,2164400,0.0,1.0
1999-12-07,49.5,49.88,46.25,48.0,21.608763748858,2476300,0.0,1.0
1999-12-08,47.5,48.88,47.31,47.5,21.3836724598074,979500,0.0,1.0
1999-12-09,47.5,48.63,47.38,48.13,21.6672874840112,1022600,0.0,1.0
1999-12-10,48.5,49.31,47.75,47.75,21.4962181043327,1339800,0.0,1.0
1999-12-13,47.63,48.13,47.25,47.75,21.4962181043327,1035700,0.0,1.0
1999-12-14,47.94,48.0,46.69,46.94,21.1315702160708,806500,0.0,1.0
1999-12-15,47.13,47.31,45.69,45.69,20.5688419934442,1143800,0.0,1.0
1999-12-16,45.88,46.13,43.0,43.0,19.357850858352,2385400,0.0,1.0
1999-12-17,43.13,43.13,43.13,43.13,19.4163745935052,2326500,0.0,1.0
1999-12-20,43.38,44.25,43.25,43.81,19.722498746614,1446400,0.0,1.0
1999-12-21,43.94,44.75,43.38,43.88,19.7540115270811,2016600,0.0,1.0
1999-12-22,43.88,44.38,43.69,43.75,19.6954877919279,976200,0.0,1.0
1999-12-23,43.88,44.63,43.88,44.06,19.8350443911393,1031400,0.0,1.0
1999-12-27,44.31,44.81,43.81,44.06,19.8350443911393,1240400,0.0,1.0
1999-12-28,44.0,44.69,44.0,44.19,19.8935681262924,1053200,0.0,1.0
1999-12-29,44.19,44.88,44.13,44.69,20.118659415343,575000,0.0,1.0
1999-12-30,44.56,45.5,44.31,44.75,20.1456703700291,607300,0.0,1.0
1999-12-31,44.56,45.0,44.44,44.5,20.0331247255038,280900,0.0,1.0
2000-01-03,44.0,44.0,41.69,42.19,18.99320297009,703500,0.0,1.0
2000-01-04,42.13,42.13,40.0,40.88,18.4034637927774,1318500,0.0,1.0
2000-01-05,40.81,41.56,40.81,41.31,18.597042301361,1078900,0.0,1.0
2000-01-06,40.88,43.5,40.88,43.0,19.357850858352,1490700,0.0,1.0
2000-01-07,43.0,43.5,42.56,43.06,19.3848618130381,1128000,0.0,1.0
2000-01-10,44.0,44.0,41.5,41.56,18.7095879458863,945800,0.0,1.0
2000-01-11,41.5,41.63,40.88,41.13,18.5160094373027,548000,0.0,1.0
2000-01-12,41.25,42.25,41.13,42.0,19.1102504403963,831400,0.45,1.0
2000-01-13,43.5,46.0,42.94,45.81,20.843823158918,1703500,0.0,1.0
2000-01-14,47.25,47.38,45.75,46.75,21.2715287640126,1377200,0.0,1.0
2000-01-18,46.75,46.75,45.81,45.94,20.9029739340907,1056000,0.0,1.0
2000-01-19,45.94,46.88,45.31,45.31,20.6163201774847,845200,0.0,1.0
2000-01-20,45.5,45.5,43.63,44.0,20.0202623661295,998900,0.0,1.0
2000-01-21,44.06,44.13,42.94,43.88,19.9656616505855,1203300,0.0,1.0
2000-01-24,44.0,44.13,43.25,43.44,19.7654590269242,1352700,0.0,1.0
2000-01-25,43.69,44.25,43.63,44.06,20.0475627239015,1014300,0.0,1.0
2000-01-26,43.88,45.19,43.75,45.19,20.5617194619407,989300,0.0,1.0
2000-01-27,45.5,46.94,45.06,46.69,21.2442284062406,1424300,0.0,1.0
2000-01-28,46.25,46.5,45.56,45.88,20.8756735763187,1545700,0.0,1.0
2000-01-31,45.88,48.0,45.75,48.0,21.8402862175958,1292500,0.0,1.0
2000-02-01,48.0,48.5,47.5,48.25,21.9540377083125,802400,0.0,1.0
2000-02-02,48.0,48.19,46.63,46.75,21.2715287640126,1043000,0.0,1.0
2000-02-03,46.5,46.81,45.25,45.5,20.7027713104294,1148700,0.0,1.0
2000-02-04,45.63,45.94,44.44,44.56,20.2750657053348,757400,0.0,1.0
2000-02-07,44.56,44.56,43.06,44.13,20.0794131413021,611800,0.0,1.0
2000-02-08,44.38,45.94,44.38,45.06,20.5025686867681,786200,0.0,1.0
2000-02-09,44.88,45.19,44.06,44.06,20.0475627239015,682700,0.0,1.0
2000-02-10,44.25,44.5,42.25,42.69,19.4242045547743,733400,0.0,1.0
2000-02-11,42.69,43.5,41.81,42.13,19.169401215569,554600,0.0,1.0
2000-02-14,42.13,42.31,41.38,41.63,18.9418982341357,464800,0.0,1.0
2000-02-15,41.56,43.25,41.5,43.13,19.6244071784356,570800,0.0,1.0
2000-02-16,43.06,43.13,41.94,42.0,19.1102504403963,559400,0.0,1.0
2000-02-17,43.13,43.13,41.38,41.75,18.9964989496797,635000,0.0,1.0
2000-02-18,41.0,41.19,39.0,40.0,18.2002385146632,1069600,0.0,1.0
2000-02-22,39.63,40.0,38.81,39.5,17.9727355332299,854600,0.0,1.0
2000-02-23,39.56,39.63,38.38,39.13,17.8043833269692,671000,0.0,1.0
2000-02-24,39.06,39.13,38.0,38.0,17.29022658893,755000,0.0,1.0
2000-02-25,38.25,39.25,37.63,37.63,17.1218743826694,847900,0.0,1.0
2000-02-28,38.13,39.69,38.06,39.06,17.7725329095686,922400,0.0,1.0
2000-02-29,39.25,39.25,38.63,38.69,17.604180703308,955200,0.0,1.0
2000-03-01,38.63,39.0,37.88,38.75,17.6314810610799,755900,0.0,1.0
2000-03-02,38.69,39.0,38.0,38.88,17.6906318362526,703100,0.0,1.0
2000-03-03,39.5,39.5,38.38,38.94,17.7179321940246,565800,0.0,1.0
2000-03-06,39.0,39.25,38.13,38.13,17.3493773641027,442600,0.0,1.0
2000-03-07,38.13,38.13,36.5,36.69,16.6941687775748,698800,0.0,1.0
2000-03-08,36.94,37.25,36.0,36.63,16.6668684198028,862400,0.0,1.0
2000-03-09,36.81,37.38,36.69,37.0,16.8352206260634,1005300,0.0,1.0
2000-03-10,37.25,37.63,37.0,37.44,17.0354232497247,1005700,0.0,1.0
2000-03-13,36.88,37.94,36.81,37.13,16.8943714012361,618400,0.0,1.0
2000-03-14,37.06,37.63,36.88,36.94,16.8079202682914,667400,0.0,1.0
2000-03-15,37.0,40.5,37.0,40.0,18.2002385146632,1550200,0.0,1.0
2000-03-16,43.5,45.25,42.19,44.94,20.4479679712241,1954500,0.0,1.0
2000-03-17,43.88,44.88,42.94,43.69,19.8792105176408,1209600,0.0,1.0
2000-03-20,43.81,43.88,41.5,42.06,19.1375507981683,596000,0.0,1.0
2000-03-21,42.19,44.75,41.94,44.19,20.1067134990741,1484300,0.0,1.0
2000-03-22,44.38,45.0,43.69,44.81,20.3888171960514,587600,0.0,1.0
2000-03-23,44.31,46.19,43.75,45.94,20.9029739340907,710000,0.0,1.0
2000-03-24,45.69,46.63,44.63,45.31,20.6163201774847,821300,0.0,1.0
2000-03-27,45.31,45.44,43.38,43.63,19.8519101598689,755100,0.0,1.0
2000-03-28,43.38,44.88,43.25,44.31,20.1613142146181,802600,0.0,1.0
2000-03-29,44.56,44.56,43.88,44.13,20.0794131413021,739300,0.0,1.0
2000-03-30,45.5,45.5,43.5,44.13,20.0794131413021,900000,0.0,1.0
2000-03-31,45.0,46.38,43.81,45.06,20.5025686867681,856200,0.0,1.0
2000-04-03,45.56,47.5,45.56,47.38,21.5581825206185,1020400,0.0,1.0
2000-04-04,47.38,47.94,45.31,45.88,20.8756735763187,1066700,0.0,1.0
2000-04-05,46.0,46.44,45.31,45.44,20.6754709526574,883200,0.0,1.0
2000-04-06,45.5,46.0,45.19,45.63,20.761922085602,745200,0.0,1.0
2000-04-07,45.63,46.0,44.13,44.31,20.1613142146181,746000,0.0,1.0
2000-04-10,44.19,45.81,44.06,45.5,20.7027713104294,649800,0.0,1.0
2000-04-11,45.5,46.88,45.38,46.75,21.2715287640126,784200,0.0,1.0
2000-04-12,46.0,48.75,46.0,47.31,21.7310847865078,1628600,0.45,1.0
2000-04-13,47.56,47.56,46.69,46.88,21.5335712278902,638100,0.0,1.0
2000-04-14,45.5,46.0,44.63,44.75,20.5551901119473,1537100,0.0,1.0
2000-04-17,44.69,45.25,43.5,44.5,20.4403566476347,905900,0.0,1.0
2000-04-18,43.5,45.38,43.25,45.19,20.7572970091374,831500,0.0,1.0
2000-04-19,45.0,45.0,43.5,43.75,20.0958562546971,625400,0.0,1.0
2000-04-20,44.25,44.81,43.63,44.06,20.2382497504446,504600,0.0,1.0
2000-04-24,44.88,46.0,44.63,45.75,21.0145239691975,993500,0.0,1.0
2000-04-25,46.25,48.0,45.75,47.5,21.8183582193854,778600,0.0,1.0
2000-04-26,47.5,47.5,45.75,46.44,21.3314643307001,817000,0.0,1.0
2000-04-27,45.06,45.38,43.31,44.88,20.6149035133898,965200,0.0,1.0
2000-04-28,44.5,44.75,42.0,43.63,20.040736191827,1174600,0.0,1.0
2000-05-01,43.0,44.81,42.5,43.94,20.1831296875746,847700,0.0,1.0
2000-05-02,43.94,44.25,42.94,43.0,19.7513558617594,1178500,0.0,1.0
2000-05-03,43.38,43.75,42.38,42.44,19.4941289016993,653900,0.0,1.0
2000-05-04,42.44,42.44,41.38,41.69,19.1496285087616,470900,0.0,1.0
2000-05-05,41.13,42.06,41.0,41.69,19.1496285087616,371500,0.0,1.0
2000-05-08,41.63,43.63,41.63,43.19,19.8386292946369,528500,0.0,1.0
2000-05-09,43.0,44.56,42.75,43.06,19.7789158931944,483900,0.0,1.0
2000-05-10,43.25,43.38,42.81,43.0,19.7513558617594,559800,0.0,1.0
2000-05-11,43.88,45.13,43.81,44.63,20.5000700490772,706400,0.0,1.0
2000-05-12,44.38,45.75,44.25,45.25,20.7848570405724,404100,0.0,1.0
2000-05-15,45.25,45.81,45.06,45.25,20.7848570405724,706100,0.0,1.0
2000-05-16,45.38,45.69,44.5,44.88,20.6149035133898,523200,0.0,1.0
2000-05-17,44.0,45.31,44.0,44.63,20.5000700490772,381400,0.0,1.0
2000-05-18,44.63,46.25,44.63,45.63,20.9594039063275,491600,0.0,1.0
2000-05-19,45.0,45.56,43.75,44.06,20.2382497504446,368500,0.0,1.0
2000-05-22,44.31,45.88,44.19,45.69,20.9869639377625,835500,0.0,1.0
2000-05-23,46.0,47.69,45.75,47.38,21.7632381565153,729800,0.0,1.0
2000-05-24,48.38,49.25,48.19,48.56,22.3052521080706,757500,0.0,1.0
2000-05-25,47.63,48.44,46.44,47.06,21.6162513221953,691400,0.0,1.0
2000-05-26,47.25,49.13,47.0,48.31,22.190418643758,649300,0.0,1.0
2000-05-30,48.88,49.94,48.63,49.75,22.8518593981984,726800,0.0,1.0
2000-05-31,49.75,50.44,49.63,50.0,22.9666928625109,1124100,0.0,1.0
2000-06-01,50.5,53.75,50.44,53.56,24.6019213943217,1932100,0.0,1.0
2000-06-02,57.5,57.5,55.88,56.5,25.9523629346373,2178300,0.0,1.0
2000-06-05,56.0,56.44,54.5,54.5,25.0336952201369,1689900,0.0,1.0
2000-06-06,54.5,54.5,52.56,53.08,24.3814411428416,1352200,0.0,1.0
2000-06-07,53.63,55.44,53.63,55.25,25.3781956130746,794800,0.0,1.0
2000-06-08,54.5,54.56,53.81,54.31,24.9464217872594,733900,0.0,1.0
2000-06-09,54.19,55.0,53.75,54.31,24.9464217872594,962700,0.0,1.0
2000-06-12,54.25,55.25,54.25,55.13,25.3230755502045,844200,0.0,1.0
2000-06-13,55.0,55.25,54.13,54.88,25.208242085892,701900,0.0,1.0
2000-06-14,55.0,56.5,54.88,55.88,25.6675759431422,1293600,0.0,1.0
2000-06-15,54.0,54.19,52.0,53.5,24.5743613628867,3158300,0.0,1.0
2000-06-16,53.0,53.0,50.0,51.13,23.4857401212037,2073300,0.0,1.0
2000-06-19,51.13,52.63,49.88,51.63,23.7154070498288,1509400,0.0,1.0
2000-06-20,51.94,52.13,51.56,51.88,23.8302405141413,1002000,0.0,1.0
2000-06-21,51.63,52.25,50.63,52.25,24.0001940413239,1636800,0.0,1.0
2000-06-22,52.0,52.25,51.06,51.56,23.6832536798213,899500,0.0,1.0
2000-06-23,51.75,52.25,51.13,51.13,23.4857401212037,620400,0.0,1.0
2000-06-26,51.13,51.5,50.84,51.13,23.4857401212037,955500,0.0,1.0
2000-06-27,51.0,51.38,50.13,50.44,23.168799759701,1588000,0.0,1.0
2000-06-28,50.56,52.19,50.5,50.86,23.3617199797461,821300,0.0,1.0
2000-06-29,50.38,50.38,49.06,49.25,22.6221924695732,937500,0.0,1.0
2000-06-30,49.13,49.25,46.38,46.88,21.5335712278902,1983800,0.0,1.0
2000-07-03,48.0,49.19,47.81,48.75,22.3925255409481,851600,0.0,1.0
2000-07-05,48.81,49.94,48.5,48.94,22.4797989738257,869200,0.0,1.0
2000-07-06,49.19,49.19,47.63,48.94,22.4797989738257,576900,0.0,1.0
2000-07-07,49.13,51.5,49.13,51.31,23.5684202155087,928900,0.0,1.0
2000-07-10,50.81,51.88,50.75,50.88,23.3709066568911,635900,0.0,1.0
2000-07-11,50.88,51.31,50.63,51.19,23.5133001526387,459400,0.0,1.0
2000-07-12,50.69,52.38,50.69,51.19,23.7200003884013,810400,0.45,1.0
2000-07-13,50.94,51.0,48.94,49.0,22.7052162342579,818600,0.0,1.0
2000-07-14,50.5,51.81,50.06,51.0,23.6319597540235,884300,0.0,1.0
2000-07-17,50.88,51.38,50.0,50.44,23.3724715684892,1045200,0.0,1.0
2000-07-18,50.5,51.38,49.81,50.5,23.4002738740821,611800,0.0,1.0
2000-07-19,50.44,51.31,50.44,50.69,23.4883145084599,462600,0.0,1.0
2000-07-20,50.75,53.31,50.75,52.44,24.2992150882548,1030600,0.0,1.0
2000-07-21,52.69,53.38,52.31,52.44,24.2992150882548,788200,0.0,1.0
2000-07-24,52.44,53.81,52.31,53.38,24.7347845425446,755900,0.0,1.0
2000-07-25,53.5,53.94,53.44,53.69,24.8784297881083,675900,0.0,1.0
2000-07-26,53.44,53.44,51.63,51.88,24.0397269027204,848500,0.0,1.0
2000-07-27,52.19,53.19,51.5,52.0,24.0953315139064,505300,0.0,1.0
2000-07-28,52.0,52.0,50.63,50.69,23.4883145084599,415100,0.0,1.0
2000-07-31,51.25,51.81,50.56,50.88,23.5763551428376,494600,0.0,1.0
2000-08-01,51.13,52.44,51.13,52.38,24.2714127826618,587200,0.0,1.0
2000-08-02,52.88,52.88,51.94,52.31,24.23897675947,645400,0.0,1.0
2000-08-03,52.19,54.56,52.19,54.56,25.2815632192064,646900,0.0,1.0
2000-08-04,55.81,57.81,55.75,57.63,26.7041145220466,1619300,0.0,1.0
2000-08-07,57.5,57.94,56.0,57.88,26.8199574620173,945900,0.0,1.0
2000-08-08,57.63,58.0,57.19,58.0,26.8755620732032,905100,0.0,1.0
2000-08-09,58.5,58.5,57.5,58.06,26.9033643787962,1332700,0.0,1.0
2000-08-10,58.13,59.44,57.69,58.81,27.2508931987083,1245400,0.0,1.0
2000-08-11,58.69,58.75,58.06,58.63,27.1674862819294,679000,0.0,1.0
2000-08-14,58.5,59.0,57.25,59.0,27.3389338330861,812100,0.0,1.0
2000-08-15,59.0,59.19,58.31,58.88,27.2833292219001,773500,0.0,1.0
2000-08-16,58.88,59.38,57.81,58.0,26.8755620732032,396400,0.0,1.0
2000-08-17,57.75,58.5,57.63,57.88,26.8199574620173,424500,0.0,1.0
2000-08-18,57.63,57.69,56.75,56.94,26.3843880077275,479600,0.0,1.0
2000-08-21,56.75,57.19,56.56,57.13,26.4724286421052,453100,0.0,1.0
2000-08-22,57.13,59.69,57.06,59.13,27.3991721618708,730800,0.0,1.0
2000-08-23,58.38,59.38,58.0,58.56,27.1350502587376,558200,0.0,1.0
2000-08-24,58.38,58.63,57.63,57.94,26.8477597676103,487100,0.0,1.0
2000-08-25,57.94,58.31,57.69,58.19,26.963602707581,636800,0.0,1.0
2000-08-28,57.94,58.44,57.75,58.38,27.0516433419587,738200,0.0,1.0
2000-08-29,58.38,58.38,56.44,57.0,26.4121903133204,968600,0.0,1.0
2000-08-30,57.0,58.5,57.0,57.94,26.8477597676103,1171800,0.0,1.0
2000-08-31,58.06,59.75,58.06,58.96,27.3203989626907,1286000,0.0,1.0
2000-09-01,59.88,59.88,58.81,59.0,27.3389338330861,738600,0.0,1.0
2000-09-05,58.81,59.38,58.63,59.19,27.4269744674638,549700,0.0,1.0
2000-09-06,59.88,60.31,59.63,59.88,27.7467009817829,1272900,0.0,1.0
2000-09-07,59.69,59.69,58.75,59.5,27.5706197130275,787100,0.0,1.0
2000-09-08,59.5,60.94,59.38,60.94,28.2378750472587,817700,0.0,1.0
2000-09-11,60.75,61.63,60.75,61.44,28.4695609272001,805000,0.0,1.0
2000-09-12,61.94,62.25,61.38,61.88,28.6734445015486,1070400,0.0,1.0
2000-09-13,61.94,64.13,61.94,63.44,29.3963044469657,1543200,0.0,1.0
2000-09-14,63.19,63.38,62.25,62.5,28.9607349926759,1111100,0.0,1.0
2000-09-15,62.94,62.94,60.75,61.13,28.3259156816364,1174700,0.0,1.0
2000-09-18,61.13,61.13,58.56,58.63,27.1674862819294,773200,0.0,1.0
2000-09-19,58.94,60.13,58.69,59.81,27.7142649585911,697300,0.0,1.0
2000-09-20,59.56,59.56,56.88,57.69,26.7319168276396,1396900,0.0,1.0
2000-09-21,57.75,57.75,54.88,56.44,26.152702127786,1598200,0.0,1.0
2000-09-22,55.94,58.75,55.75,58.75,27.2230908931153,1057900,0.0,1.0
2000-09-25,59.0,61.19,59.0,60.5,28.0339914729103,1213500,0.0,1.0
2000-09-26,60.56,61.88,60.56,61.75,28.6132061727638,1291400,0.0,1.0
2000-09-27,61.88,64.0,61.88,63.81,29.5677519981224,1638800,0.0,1.0
2000-09-28,63.63,65.81,63.56,63.56,29.4519090581517,1305500,0.0,1.0
2000-09-29,65.5,66.38,65.0,65.0,30.1191643923829,1474000,0.0,1.0
2000-10-02,65.13,66.44,64.94,66.31,30.7261813978294,948900,0.0,1.0
2000-10-03,67.38,67.75,66.25,66.94,31.0181056065556,1026200,0.0,1.0
2000-10-04,66.81,67.75,66.5,66.81,30.9578672777708,1281900,0.0,1.0
2000-10-05,66.5,67.88,66.31,67.38,31.221989180904,1128700,0.0,1.0
2000-10-06,67.25,67.81,65.63,66.31,30.7261813978294,2269500,0.0,1.0
2000-10-09,65.0,65.69,64.13,64.75,30.0033214524122,873500,0.0,1.0
2000-10-10,64.75,64.94,61.75,62.94,29.1646185670243,1988100,0.0,1.0
2000-10-11,62.38,62.38,59.0,61.19,28.5761364319732,1553100,0.48,1.0
