date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,60.69,60.69,59.38,59.75,15.7553553612909,167700,0.0,1.0
1999-11-02,59.25,60.88,58.94,59.06,15.573410671763,479400,0.0,1.0
1999-11-03,59.0,59.88,58.69,59.69,15.7395340839406,255400,0.0,1.0
1999-11-04,59.88,60.88,59.69,60.38,15.9214787734685,218100,0.0,1.0
1999-11-05,60.5,60.5,60.06,60.25,15.8871993392096,277600,0.0,1.0
1999-11-08,59.88,59.88,58.5,58.69,15.5760475513214,232700,0.38,1.0
1999-11-09,59.5,59.63,58.25,58.69,15.5760475513214,305900,0.0,1.0
1999-11-10,58.44,59.06,58.25,58.94,15.642396365222,279300,0.0,1.0
1999-11-11,58.56,59.25,58.56,59.06,15.6742437958944,260200,0.0,1.0
1999-11-12,59.38,59.88,59.0,59.25,15.7246688944589,474700,0.0,1.0
1999-11-15,59.31,60.56,59.13,60.13,15.9582167193892,422500,0.0,1.0
1999-11-16,60.13,60.75,59.5,59.94,15.9077916208247,277000,0.0,1.0
1999-11-17,59.94,60.69,59.5,60.5,16.0564129639622,411900,0.0,1.0
1999-11-18,60.75,60.75,59.63,59.94,15.9077916208247,259700,0.0,1.0
1999-11-19,60.0,60.13,59.25,60.13,15.9582167193892,244200,0.0,1.0
1999-11-22,59.5,59.81,58.94,59.38,15.7591702776872,270900,0.0,1.0
1999-11-23,59.5,59.5,57.56,57.88,15.3610773942832,484100,0.0,1.0
1999-11-24,58.25,59.13,57.88,58.44,15.5096987374207,158600,0.0,1.0
1999-11-26,58.25,58.38,57.63,57.81,15.342499726391,67200,0.0,1.0
1999-11-29,57.25,57.5,56.94,57.25,15.1938783832535,383700,0.0,1.0
1999-11-30,57.0,59.0,57.0,58.56,15.541546168093,317600,0.0,1.0
1999-12-01,58.0,58.56,57.44,57.81,15.342499726391,198500,0.0,1.0
1999-12-02,57.25,59.69,57.25,59.0,15.6583200805582,395300,0.0,1.0
1999-12-03,59.0,60.88,59.0,60.31,16.0059878653977,352400,0.0,1.0
1999-12-06,59.75,60.0,58.38,58.44,15.5096987374207,241500,0.0,1.0
1999-12-07,58.19,58.31,56.88,56.88,15.0956821386805,352800,0.0,1.0
1999-12-08,57.25,57.38,56.19,57.13,15.1620309525812,293800,0.0,1.0
1999-12-09,57.19,57.25,55.94,56.06,14.8780580290863,375100,0.0,1.0
1999-12-10,56.31,57.19,55.5,57.06,15.143453284689,427200,0.0,1.0
1999-12-13,57.25,58.19,57.13,57.6,15.2867667227145,263000,0.0,1.0
1999-12-14,57.44,59.19,57.31,59.0,15.6583200805582,382400,0.0,1.0
1999-12-15,58.75,60.0,58.25,58.94,15.642396365222,444600,0.0,1.0
1999-12-16,59.0,59.25,58.56,59.25,15.7246688944589,295900,0.0,1.0
1999-12-17,59.25,59.88,58.69,59.25,15.7246688944589,569300,0.0,1.0
1999-12-20,59.81,59.81,58.13,58.31,15.4751973541924,299700,0.0,1.0
1999-12-21,58.06,58.88,57.75,57.88,15.3610773942832,477900,0.0,1.0
1999-12-22,58.0,58.94,57.88,58.06,15.4088485402917,202000,0.0,1.0
1999-12-23,58.19,60.25,58.13,59.44,15.7750939930234,294600,0.0,1.0
1999-12-27,59.38,60.31,58.81,59.88,15.8918679054886,368400,0.0,1.0
1999-12-28,59.69,62.0,59.69,61.63,16.3563096027933,336200,0.0,1.0
1999-12-29,61.5,62.94,61.31,62.44,16.5712797598314,280800,0.0,1.0
1999-12-30,62.25,63.0,61.81,62.25,16.5208546612669,216300,0.0,1.0
1999-12-31,62.0,62.56,61.94,62.56,16.6031271905038,140400,0.0,1.0
2000-01-03,62.63,62.63,59.69,60.0,15.9237153361609,550000,0.0,1.0
2000-01-04,59.75,59.94,57.81,57.94,15.3770011096194,589800,0.0,1.0
2000-01-05,58.0,59.63,58.0,59.63,15.8255190915879,830200,0.0,1.0
2000-01-06,60.13,64.44,60.13,63.0,16.7199011029689,1075700,0.0,1.0
2000-01-07,63.44,64.5,63.25,64.13,17.0197977418,812300,0.0,1.0
2000-01-10,63.88,63.88,61.81,62.13,16.4890072305946,572700,0.0,1.0
2000-01-11,61.88,62.13,60.94,61.88,16.4226584166939,559300,0.0,1.0
2000-01-12,61.88,63.63,61.88,62.81,16.6694760044044,581600,0.0,1.0
2000-01-13,63.0,65.06,62.88,64.38,17.0861465557006,847200,0.0,1.0
2000-01-14,64.25,64.5,62.38,63.0,16.7199011029689,957800,0.0,1.0
2000-01-18,62.13,62.75,61.5,61.5,16.3218082195649,809900,0.0,1.0
2000-01-19,60.88,61.44,59.38,60.31,16.0059878653977,791300,0.0,1.0
2000-01-20,60.56,60.56,57.5,57.88,15.3610773942832,435100,0.0,1.0
2000-01-21,58.13,59.31,57.13,58.63,15.5601238359852,766500,0.0,1.0
2000-01-24,59.13,59.5,57.63,58.0,15.3929248249555,564600,0.0,1.0
2000-01-25,58.25,58.81,55.5,56.56,15.0107556568877,854300,0.0,1.0
2000-01-26,56.75,58.13,56.5,57.44,15.244303481818,861500,0.0,1.0
2000-01-27,58.0,58.81,57.81,58.13,15.4274262081839,759800,0.0,1.0
2000-01-28,57.94,57.94,54.75,56.69,15.045257040116,563100,0.0,1.0
2000-01-31,56.75,56.94,54.81,55.06,14.6126627734836,558400,0.0,1.0
2000-02-01,55.31,56.25,55.13,56.06,14.8780580290863,590100,0.0,1.0
2000-02-02,55.75,55.81,54.63,55.06,14.6126627734836,270500,0.0,1.0
2000-02-03,55.06,55.25,54.13,54.75,14.5303902442468,313600,0.0,1.0
2000-02-04,55.06,55.06,53.88,54.06,14.347267517881,400400,0.0,1.0
2000-02-07,54.13,54.13,52.0,52.31,13.8828258205763,663700,0.0,1.0
2000-02-08,52.5,52.75,51.63,51.88,13.7687058606671,418500,0.0,1.0
2000-02-09,51.5,51.88,51.0,51.0,13.5351580357368,591600,0.0,1.0
2000-02-10,51.5,51.63,50.13,50.5,13.4024604079354,505300,0.0,1.0
2000-02-11,50.75,50.88,48.19,48.63,12.9061712799584,700900,0.0,1.0
2000-02-14,49.13,50.63,48.31,50.63,13.4369617911638,793800,0.0,1.0
2000-02-15,50.63,52.81,50.38,52.5,13.9332509191408,697100,0.0,1.0
2000-02-16,53.5,53.5,52.19,53.0,14.0659485469421,543400,0.0,1.0
2000-02-17,53.0,53.5,51.75,52.5,14.0394090213819,595900,0.4,1.0
2000-02-18,52.31,52.31,50.63,51.06,13.654328088224,463700,0.0,1.0
2000-02-22,51.06,53.56,51.06,52.63,14.0741732722919,359400,0.0,1.0
2000-02-23,52.06,53.81,51.63,53.38,14.2747362583117,589300,0.0,1.0
2000-02-24,53.13,53.13,49.69,50.25,13.4377200633226,661600,0.0,1.0
2000-02-25,50.31,50.31,48.56,49.06,13.119493458838,694800,0.0,1.0
2000-02-28,49.31,50.25,48.63,49.06,13.119493458838,782900,0.0,1.0
2000-02-29,49.0,49.38,48.19,49.38,13.2050669995397,694300,0.0,1.0
2000-03-01,49.13,49.13,47.56,48.31,12.9189304728182,406300,0.0,1.0
2000-03-02,47.75,48.19,46.63,47.13,12.6033780414805,288000,0.0,1.0
2000-03-03,47.19,50.63,47.0,49.06,13.119493458838,965200,0.0,1.0
2000-03-06,48.25,48.5,46.81,48.0,12.8360311052634,493800,0.0,1.0
2000-03-07,47.25,47.63,46.0,46.5,12.4349051332239,457100,0.0,1.0
2000-03-08,46.0,46.69,45.63,46.06,12.317241514759,581400,0.0,1.0
2000-03-09,45.63,45.88,44.38,45.56,12.1835328574125,484800,0.0,1.0
2000-03-10,45.63,47.19,45.13,46.69,12.4857144230156,389700,0.0,1.0
2000-03-13,46.0,46.69,45.13,45.94,12.2851514369959,368100,0.0,1.0
2000-03-14,46.13,46.94,45.56,46.0,12.3011964758774,344900,0.0,1.0
2000-03-15,45.5,50.38,45.25,50.19,13.4216750244411,714500,0.0,1.0
2000-03-16,49.94,52.81,49.88,52.81,14.1223083889367,713500,0.0,1.0
2000-03-17,51.25,51.56,49.63,50.06,13.386910773531,626000,0.0,1.0
