date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,27.63,27.63,27.38,27.44,17.9488662618631,16600,0.0,1.0
1999-11-02,27.44,27.75,27.38,27.38,17.9096194697454,17000,0.0,1.0
1999-11-03,27.63,28.25,27.63,28.13,18.4002043712176,69667,0.0,1.0
1999-11-04,30.0,33.0,30.0,31.88,20.8531288785786,793700,0.0,1.0
1999-11-05,33.25,34.69,31.56,31.69,20.7288473702056,388200,0.0,1.0
1999-11-08,31.69,33.0,31.69,32.06,20.9708692549319,152800,0.0,1.0
1999-11-09,32.13,32.25,31.75,32.0,20.9316224628141,292867,0.0,1.0
1999-11-10,32.0,32.0,31.13,31.25,20.4410375613419,146867,0.0,1.0
1999-11-11,31.38,31.38,30.63,30.94,20.2382624687334,52600,0.0,1.0
1999-11-12,31.0,31.25,30.69,30.88,20.1990156766156,100067,0.0,1.0
1999-11-15,31.0,31.0,28.75,29.38,19.2178458736712,163067,0.0,1.0
1999-11-16,29.38,30.0,29.38,29.75,19.4598677583975,131067,0.0,1.0
1999-11-17,29.75,30.94,29.75,30.88,20.1990156766156,148400,0.0,1.0
1999-11-18,31.0,31.13,30.56,31.0,20.2775092608512,102200,0.0,1.0
1999-11-19,31.0,31.06,30.69,31.0,20.2775092608512,79267,0.0,1.0
1999-11-22,31.0,31.0,30.75,30.88,20.1990156766156,90600,0.0,1.0
1999-11-23,30.69,30.81,29.0,29.13,19.0543175731805,72267,0.0,1.0
1999-11-24,29.13,29.13,28.63,28.75,18.8057545564346,79067,0.0,1.0
1999-11-26,28.94,28.94,28.88,28.88,18.8907892726898,14400,0.0,1.0
1999-11-29,28.94,28.94,28.63,28.75,18.8057545564346,41467,0.0,1.0
1999-11-30,28.75,28.75,27.63,28.0,18.3151696549624,178467,0.0,1.0
1999-12-01,27.88,28.0,25.63,26.44,17.2947530599002,233400,0.0,1.0
1999-12-02,26.25,26.94,25.75,26.25,17.1704715515272,185667,0.0,1.0
1999-12-03,26.13,27.31,26.06,27.19,17.7853379613724,93000,0.0,1.0
1999-12-06,27.38,29.5,27.38,28.75,18.8057545564346,87600,0.0,1.0
1999-12-07,28.63,28.63,27.63,28.5,18.6422262559438,101800,0.0,1.0
1999-12-08,28.25,31.19,28.25,31.19,20.4017907692242,190400,0.0,1.0
1999-12-09,31.13,31.44,30.31,31.0,20.2775092608512,429600,0.0,1.0
1999-12-10,31.06,31.69,29.63,31.44,20.5653190697149,245667,0.0,1.0
1999-12-13,31.69,31.88,31.19,31.56,20.6438126539504,98000,0.0,1.0
1999-12-14,31.81,32.0,30.94,31.0,20.2775092608512,45867,0.0,1.0
1999-12-15,31.0,31.0,29.44,29.69,19.4206209662797,43267,0.0,1.0
1999-12-16,29.75,29.75,28.31,28.94,18.9300360648075,58467,0.0,1.0
1999-12-17,28.94,28.94,28.38,28.62,18.7207198401794,80400,0.0,1.0
1999-12-20,28.5,28.5,27.5,27.75,18.1516413544716,67467,0.0,1.0
1999-12-21,27.69,27.69,25.06,25.31,16.5556051416821,271467,0.0,1.0
1999-12-22,25.06,25.88,24.13,24.5,16.0257734480921,260467,0.0,1.0
1999-12-23,24.75,26.13,24.75,25.5,16.679886650055,183600,0.0,1.0
1999-12-27,25.75,27.56,25.75,27.38,17.9096194697454,94000,0.0,1.0
1999-12-28,27.63,28.25,27.38,28.06,18.3544164470802,134067,0.0,1.0
1999-12-29,27.94,28.13,27.88,28.0,18.3151696549624,62667,0.0,1.0
1999-12-30,28.13,28.38,28.0,28.0,18.3151696549624,34867,0.0,1.0
1999-12-31,27.75,28.25,27.5,28.25,18.4786979554531,53067,0.0,1.0
2000-01-03,28.25,28.25,27.75,28.19,18.4394511633353,64000,0.0,1.0
2000-01-04,27.94,28.13,27.5,28.13,18.4002043712176,164267,0.0,1.0
2000-01-05,27.88,28.88,27.75,28.63,18.727260972199,146600,0.0,1.0
2000-01-06,28.44,28.75,27.99,27.99,18.3086285229427,106600,0.0,1.0
2000-01-07,28.63,28.63,27.38,27.88,18.2366760707268,65467,0.0,1.0
2000-01-10,27.75,28.06,26.88,28.06,18.3544164470802,61467,0.0,1.0
2000-01-11,28.31,30.31,28.31,29.31,19.1720579495338,179267,0.0,1.0
2000-01-12,29.44,30.13,29.19,29.75,19.4598677583975,87067,0.0,1.0
2000-01-13,29.88,29.94,29.44,29.88,19.5449024746527,169400,0.0,1.0
2000-01-14,30.0,30.5,29.94,30.38,19.8719590756342,155800,0.0,1.0
2000-01-18,30.31,30.31,29.25,29.31,19.1720579495338,76000,0.0,1.0
2000-01-19,29.25,29.88,28.06,29.81,19.4991145505153,82667,0.0,1.0
2000-01-20,34.88,38.0,34.06,36.06,23.5873220627837,1298700,0.0,1.0
2000-01-21,36.31,37.38,34.5,35.25,23.0574903691937,318000,0.0,1.0
2000-01-24,35.5,36.13,34.63,35.25,23.0574903691937,163400,0.0,1.0
2000-01-25,35.38,36.75,35.06,35.69,23.3453001780574,134667,0.0,1.0
2000-01-26,35.63,35.69,35.19,35.69,23.3453001780574,90667,0.0,1.0
2000-01-27,35.75,35.75,34.0,34.13,22.3248835829952,51667,0.0,1.0
2000-01-28,34.13,34.13,33.38,33.63,21.9978269820137,47600,0.0,1.0
2000-01-31,33.38,33.38,32.44,32.75,21.4222073642864,40800,0.0,1.0
2000-02-01,32.63,34.13,32.5,33.56,21.9520390578763,136867,0.0,1.0
2000-02-02,33.63,34.88,33.38,34.88,22.8154684844674,275667,0.0,1.0
2000-02-03,34.81,35.75,34.5,35.06,22.9332088608207,224000,0.0,1.0
2000-02-04,35.19,35.19,34.0,34.13,22.3248835829952,118867,0.0,1.0
2000-02-07,34.25,34.75,34.25,34.5,22.5669054677215,65600,0.0,1.0
2000-02-08,34.56,35.94,34.56,35.88,23.4695816864304,136067,0.0,1.0
2000-02-09,36.0,37.88,35.94,36.63,23.9601665879026,217867,0.0,1.0
2000-02-10,36.63,37.25,35.88,36.0,23.5480752706659,63000,0.0,1.0
2000-02-11,36.06,36.25,35.5,35.69,23.3453001780574,28067,0.0,1.0
2000-02-14,35.44,35.44,35.0,35.13,22.9789967849582,95600,0.0,1.0
2000-02-15,34.88,35.13,34.69,34.88,22.8154684844674,86267,0.0,1.0
2000-02-16,35.0,35.0,34.5,34.5,22.5669054677215,92200,0.0,1.0
2000-02-17,34.63,34.75,34.19,34.44,22.5276586756037,82400,0.0,1.0
2000-02-18,34.5,35.5,34.38,35.31,23.0967371613115,190667,0.0,1.0
2000-02-22,35.38,38.0,35.38,37.13,24.287223188884,342067,0.0,1.0
2000-02-23,37.88,40.88,37.81,40.31,26.3673031711262,862667,0.0,1.0
2000-02-24,41.75,41.88,39.5,39.75,26.0009997780269,430800,0.0,1.0
2000-02-25,39.75,40.0,38.56,38.88,25.4319212923192,181400,0.0,1.0
2000-02-28,39.0,39.44,38.5,39.06,25.5496616686725,155400,0.0,1.0
2000-02-29,39.25,40.88,39.13,40.5,26.4915846794991,308600,0.0,1.0
2000-03-01,40.88,44.5,40.81,44.0,28.7809808863694,874467,0.0,1.0
2000-03-02,44.25,48.0,44.0,47.0,30.7433204922583,814267,0.0,1.0
2000-03-03,47.44,47.5,46.0,46.38,30.3377703070413,282600,0.0,1.0
2000-03-06,46.63,46.75,45.25,45.75,29.9256789898046,123600,0.0,1.0
2000-03-07,46.0,46.75,44.75,46.0,30.0892072902953,392867,0.0,1.0
2000-03-08,46.25,47.25,45.88,46.88,30.6648269080227,244600,0.0,1.0
2000-03-09,47.13,47.31,45.5,46.5,30.4162638912768,346667,0.0,1.0
2000-03-10,47.75,51.63,47.69,50.75,33.1962449996193,541200,0.0,1.0
2000-03-13,50.75,53.25,49.75,52.25,34.1774148025637,520800,0.0,1.0
2000-03-14,55.0,56.25,54.38,54.94,35.936979315844,495800,0.0,1.0
2000-03-15,55.5,56.88,51.25,56.56,36.996642703024,604000,0.0,1.0
2000-03-16,56.44,58.0,56.0,57.94,37.8993189217329,428267,0.0,1.0
2000-03-17,58.0,59.44,58.0,59.13,38.6777136320688,213800,0.0,1.0
2000-03-20,59.69,60.0,58.5,58.63,38.3506570310873,277067,0.0,1.0
2000-03-21,58.38,58.5,57.44,57.75,37.7750374133599,466667,0.0,1.0
2000-03-22,57.5,57.5,56.0,56.5,36.9573959109062,330067,0.0,1.0
2000-03-23,56.25,62.0,56.13,62.0,40.5550185217024,543400,0.0,1.0
2000-03-24,62.0,65.62,62.0,65.0,42.5173581275912,344200,0.0,1.0
2000-03-27,67.88,70.25,63.0,63.0,41.2091317236653,671600,0.0,1.0
2000-03-28,63.13,63.5,59.75,60.0,39.2467921177765,358667,0.0,1.0
2000-03-29,60.0,60.13,56.75,58.06,37.9778125059684,335800,0.0,1.0
2000-03-30,58.13,60.88,57.25,60.0,39.2467921177765,432400,0.0,1.0
2000-03-31,60.75,62.0,60.0,60.69,39.6981302271309,304200,0.0,1.0
2000-04-03,61.25,63.94,60.75,63.0,41.2091317236653,311467,0.0,1.0
2000-04-04,63.0,63.31,53.0,53.88,35.2436193217633,589400,0.0,1.0
2000-04-05,53.88,59.63,51.0,58.88,38.514185331578,551200,0.0,1.0
2000-04-06,59.13,61.88,58.88,61.63,40.3129966369761,356267,0.0,1.0
2000-04-07,61.88,63.0,59.25,61.19,40.0251868281124,349867,0.0,1.0
2000-04-10,41.38,43.44,41.25,41.94,41.1502615354887,240300,0.0,1.5
2000-04-11,41.75,41.75,39.56,40.0,39.2467921177765,419600,0.0,1.0
2000-04-12,40.25,42.88,40.19,41.5,40.7185468221931,277000,0.0,1.0
2000-04-13,41.5,42.0,39.0,40.25,39.4920845685126,347100,0.0,1.0
2000-04-14,39.25,39.25,37.0,39.25,38.5109147655682,692300,0.0,1.0
2000-04-17,38.5,38.75,36.25,37.38,36.6761272340622,587300,0.0,1.0
2000-04-18,37.0,39.69,36.75,39.31,38.5697849537449,371800,0.0,1.0
2000-04-19,39.56,41.38,39.0,41.0,40.2279619207209,288900,0.0,1.0
2000-04-20,41.06,42.69,41.06,42.0,41.2091317236653,226200,0.0,1.0
2000-04-24,41.75,41.81,39.19,39.5,38.7562072163043,288900,0.0,1.0
2000-04-25,39.5,41.81,39.5,41.75,40.9638392729292,211000,0.0,1.0
