date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,221.6,229.6,220.0,225.2,17.4603478888933,4081000,0.0,1.0
1999-11-02,229.5,229.5,219.3,224.8,17.4293348375809,4925000,0.0,1.0
1999-11-03,247.9,260.8,241.0,260.5,20.1972496672145,14136300,0.0,1.0
1999-11-04,268.7,269.1,257.6,263.9,20.4608606033701,6659400,0.0,1.0
1999-11-05,272.8,298.9,271.1,294.4,22.8256057659423,11566800,0.0,1.0
1999-11-08,294.5,295.9,286.0,289.4,22.437942624537,5972700,0.0,1.0
1999-11-09,301.0,306.0,290.3,299.8,23.24428195866,6097800,0.0,1.0
1999-11-10,302.5,328.3,298.2,319.6,24.7794279986248,9584100,0.0,1.0
1999-11-11,326.1,346.0,322.0,345.5,26.7875230711041,9111000,0.0,1.0
1999-11-12,354.6,395.5,350.0,378.0,29.3073334902384,18211500,0.0,1.0
1999-11-15,390.3,406.1,350.0,368.0,28.5320072074278,16398800,0.0,1.0
1999-11-16,367.0,373.5,355.0,365.5,28.3381756367252,8984000,0.0,1.0
1999-11-17,364.5,368.5,328.0,342.9,26.5859382375734,14377600,0.0,1.0
1999-11-18,343.8,363.0,330.0,355.8,27.586109142399,7526900,0.0,1.0
1999-11-19,356.7,369.0,349.0,367.1,28.4622278419749,5223700,0.0,1.0
1999-11-22,365.5,366.0,356.7,360.0,27.9117461811794,3458100,0.0,1.0
1999-11-23,360.5,365.9,344.8,360.3,27.9350059696637,4807000,0.0,1.0
1999-11-24,359.8,376.1,354.0,375.3,29.0979953938795,4321800,0.0,1.0
1999-11-26,381.2,390.4,379.0,384.8,29.8345553625495,2295200,0.0,1.0
1999-11-29,382.5,389.8,370.0,371.3,28.7878648807553,3845600,0.0,1.0
1999-11-30,371.0,378.0,359.3,362.3,28.0900712262258,4226600,0.0,1.0
1999-12-01,363.5,368.3,355.0,364.1,28.2296299571317,3235100,0.0,1.0
1999-12-02,368.5,374.8,368.5,374.0,28.9972029771142,3332500,0.0,1.0
1999-12-03,381.0,392.5,379.1,384.4,29.8035423112371,3957700,0.0,1.0
1999-12-06,387.4,401.4,385.0,394.8,30.6098816453601,4901200,0.0,1.0
1999-12-07,399.8,407.5,395.5,398.9,30.9277654213124,4088500,0.0,1.0
1999-12-08,396.1,407.0,388.8,389.3,30.1834521898143,3813000,0.0,1.0
1999-12-09,400.0,400.9,379.5,395.0,30.6253881710163,3003200,0.0,1.0
1999-12-10,396.0,400.9,383.9,391.5,30.3540239720326,3338700,0.0,1.0
1999-12-13,393.0,419.5,390.0,417.6,32.3776255701681,5931700,0.0,1.0
1999-12-14,420.0,437.6,414.0,421.3,32.664496294808,5885700,0.0,1.0
1999-12-15,414.1,425.1,405.0,423.2,32.811808288542,4785800,0.0,1.0
1999-12-16,431.5,440.0,424.0,439.3,34.060083603867,3474300,0.0,1.0
1999-12-17,453.0,456.0,442.0,455.0,35.2773458678795,5066800,0.0,1.0
1999-12-20,455.9,479.5,451.6,466.8,36.192230881596,5684700,0.0,1.0
1999-12-21,479.6,500.9,479.0,496.9,38.5259629928557,6262700,0.0,1.0
1999-12-22,516.3,522.1,485.0,485.4,37.6343377676235,7117200,0.0,1.0
1999-12-23,478.8,479.0,464.4,466.5,36.1689710931116,5426100,0.0,1.0
1999-12-27,478.3,520.1,458.3,513.4,39.8052513594931,6259300,0.0,1.0
1999-12-28,527.8,528.5,470.0,503.0,38.9989120253701,4975400,0.0,1.0
1999-12-29,562.5,662.1,560.0,659.0,51.0940020372145,14760400,0.0,1.0
1999-12-30,734.4,740.1,638.9,647.0,50.1636104978419,16125400,0.0,1.0
1999-12-31,170.9,181.1,166.5,176.1,54.6139833611743,9084275,0.0,4.0
2000-01-03,199.0,200.0,174.0,179.3,55.6064010031718,45667000,0.0,1.0
2000-01-04,171.8,175.1,160.0,162.1,50.2721561774353,31783700,0.0,1.0
2000-01-05,159.9,163.0,139.0,158.0,49.000621073626,46889200,0.0,1.0
2000-01-06,148.5,156.0,139.8,140.1,43.4492848887026,29391300,0.0,1.0
2000-01-07,134.0,150.5,132.9,150.0,46.5195769686323,34099300,0.0,1.0
2000-01-10,161.6,163.0,152.5,159.4,49.434803792,17680400,0.0,1.0
2000-01-11,156.0,157.9,141.5,145.8,45.2170288135106,15287900,0.0,1.0
2000-01-12,145.0,147.5,136.1,138.3,42.891049965079,17227800,0.0,1.0
2000-01-13,144.4,145.6,137.6,143.1,44.3796764280752,12573400,0.0,1.0
2000-01-14,147.6,148.9,139.5,140.4,43.5423240426399,13104600,0.0,1.0
2000-01-18,137.4,141.3,135.0,139.1,43.1391543755784,14251500,0.0,1.0
