date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,52.88,53.19,52.5,52.94,36.8917718160587,374500,0.0,1.0
1999-11-02,53.62,55.88,53.38,54.0,37.6304434844573,870500,0.0,1.0
1999-11-03,53.19,53.88,51.31,51.94,36.1949117515317,1178700,0.0,1.0
1999-11-04,51.94,51.94,48.25,51.0,35.5398632908764,791000,0.0,1.0
1999-11-05,51.25,51.94,49.0,49.56,34.5363847979575,491500,0.0,1.0
1999-11-08,49.38,49.62,48.56,49.31,34.3621697818258,612600,0.0,1.0
1999-11-09,49.44,50.81,49.44,50.69,35.323836670873,428800,0.0,1.0
1999-11-10,50.62,53.0,50.62,52.0,36.2367233554033,295400,0.0,1.0
1999-11-11,52.25,53.75,52.12,52.75,36.7593684037986,470300,0.0,1.0
1999-11-12,52.62,52.62,50.88,51.69,36.0206967354,134900,0.0,1.0
1999-11-15,51.44,53.06,51.44,53.06,36.975395023802,197900,0.0,1.0
1999-11-16,54.5,56.44,54.12,56.44,39.3307820419032,546300,0.0,1.0
1999-11-17,56.5,58.88,55.5,55.81,38.8917602012512,479500,0.0,1.0
1999-11-18,55.88,55.94,54.38,54.75,38.1530885328526,251400,0.0,1.0
1999-11-19,54.88,54.94,54.25,54.25,37.8046585005891,143400,0.0,1.0
1999-11-22,54.5,54.81,52.81,53.0,36.9335834199303,307000,0.0,1.0
1999-11-23,52.75,52.75,51.0,51.38,35.8046701153966,292800,0.0,1.0
1999-11-24,50.12,50.94,49.5,50.5,35.1914332586129,248200,0.0,1.0
1999-11-26,50.81,51.0,50.62,50.94,35.4980516870047,74500,0.0,1.0
1999-11-29,50.94,51.0,49.62,49.88,34.7593800186061,202200,0.0,1.0
1999-11-30,49.62,50.31,49.38,49.38,34.4109499863426,282100,0.0,1.0
1999-12-01,49.25,50.56,48.5,48.5,33.8743677366569,290200,0.11,1.0
1999-12-02,49.0,52.44,49.0,51.81,36.1862060296122,483500,0.0,1.0
1999-12-03,51.38,53.19,51.38,52.5,36.6681300242162,226400,0.0,1.0
1999-12-06,52.38,52.75,51.88,52.0,36.3189097382713,99800,0.0,1.0
1999-12-07,53.0,54.0,52.5,52.62,36.751942892843,233400,0.0,1.0
1999-12-08,52.75,53.12,45.5,47.62,33.2597400333938,2345100,0.0,1.0
1999-12-09,48.0,48.88,46.81,48.38,33.7905548680301,1404000,0.0,1.0
1999-12-10,48.12,49.75,47.31,49.75,34.7474184515192,420400,0.0,1.0
1999-12-13,49.12,49.12,47.75,48.25,33.6997575936844,450200,0.0,1.0
1999-12-14,49.0,49.88,48.56,49.31,34.4401045998876,402500,0.0,1.0
1999-12-15,50.25,50.25,47.25,48.62,33.9581806052836,1047000,0.0,1.0
1999-12-16,48.25,48.38,46.0,46.44,32.4355801585638,1603800,0.0,1.0
1999-12-17,46.19,46.94,45.56,46.75,32.6520967358497,1267800,0.0,1.0
1999-12-20,46.5,46.75,46.25,46.38,32.3936737242504,475900,0.0,1.0
1999-12-21,46.38,46.5,46.0,46.12,32.2120791755591,412600,0.0,1.0
1999-12-22,46.31,47.0,46.25,47.0,32.8267068788221,428300,0.0,1.0
1999-12-23,47.12,48.0,47.12,47.5,33.175927164767,168500,0.0,1.0
1999-12-27,47.25,47.5,46.38,46.44,32.4355801585638,214600,0.0,1.0
1999-12-28,46.31,46.44,45.88,46.19,32.2609700155913,325800,0.0,1.0
1999-12-29,45.94,45.94,45.31,45.44,31.737139586674,261800,0.0,1.0
1999-12-30,45.69,47.81,45.44,47.81,33.3924437420529,294900,0.0,1.0
1999-12-31,47.5,49.62,47.38,49.31,34.4401045998876,122300,0.0,1.0
2000-01-03,49.06,49.19,45.38,46.38,32.3936737242504,592200,0.0,1.0
2000-01-04,46.38,46.38,44.81,44.81,31.2971220263834,330200,0.0,1.0
2000-01-05,45.06,47.62,44.5,47.56,33.2178335990804,525300,0.0,1.0
2000-01-06,47.31,49.12,46.94,48.5,33.8743677366569,511100,0.0,1.0
2000-01-07,48.25,49.5,48.0,49.25,34.3981981655742,421900,0.0,1.0
2000-01-10,49.5,52.44,49.25,51.94,36.2770033039579,528500,0.0,1.0
2000-01-11,54.5,54.5,51.31,52.12,36.4027226068981,516000,0.0,1.0
