date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,7.938,7.969,7.688,7.688,7.64644852155365,18200,0.0,1.0
1999-11-02,7.688,7.875,7.688,7.75,7.70811342898554,31400,0.0,1.0
1999-11-03,7.688,7.875,7.438,7.688,7.64644852155365,21400,0.0,1.0
1999-11-04,7.563,7.75,7.5,7.75,7.70811342898554,16400,0.0,1.0
1999-11-05,7.625,8.0,7.625,7.938,7.89509734184351,35300,0.0,1.0
1999-11-08,7.875,8.0,7.75,7.813,7.77077293169858,21300,0.0,1.0
1999-11-09,7.813,7.875,7.688,7.813,7.77077293169858,18600,0.0,1.0
1999-11-10,7.719,7.75,7.563,7.563,7.52212411140872,14800,0.0,1.0
1999-11-11,7.375,7.406,7.313,7.313,7.27347529111887,18800,0.0,1.0
1999-11-12,7.313,7.563,7.313,7.5,7.45946460869568,19700,0.0,1.0
1999-11-15,7.625,8.188,7.438,8.125,8.08108665942032,113200,0.0,1.0
1999-11-16,8.188,9.25,8.125,9.0,8.95135753043482,229900,0.0,1.0
1999-11-17,9.188,9.188,8.75,8.75,8.70270871014496,100500,0.0,1.0
1999-11-18,8.75,8.875,8.688,8.75,8.70270871014496,60100,0.0,1.0
1999-11-19,8.563,8.625,7.875,8.125,8.08108665942032,55400,0.0,1.0
1999-11-22,8.063,8.125,7.375,7.688,7.64644852155365,60500,0.0,1.0
1999-11-23,7.594,7.75,7.375,7.5,7.45946460869568,68400,0.0,1.0
1999-11-24,7.5,7.625,7.375,7.625,7.58378901884061,63900,0.0,1.0
1999-11-26,7.438,7.688,7.375,7.563,7.52212411140872,31400,0.0,1.0
1999-11-29,7.5,7.75,7.5,7.688,7.64644852155365,77000,0.0,1.0
1999-11-30,7.5,7.813,7.5,7.625,7.58378901884061,83200,0.0,1.0
1999-12-01,7.875,7.875,7.563,7.875,7.83243783913047,14900,0.0,1.0
1999-12-02,7.75,8.0,7.75,8.0,7.95676224927539,56500,0.0,1.0
1999-12-03,7.875,8.125,7.875,7.906,7.86327029284641,26700,0.0,1.0
1999-12-06,7.875,8.219,7.75,8.094,8.05025420570438,61300,0.0,1.0
1999-12-07,8.0,8.563,8.0,8.5,8.45405988985511,126400,0.0,1.0
1999-12-08,8.625,8.75,8.438,8.5,8.45405988985511,185400,0.0,1.0
1999-12-09,8.688,11.63,8.5,10.0,9.94595281159424,416300,0.0,1.0
1999-12-10,9.938,10.0,8.0,9.063,9.01401703314786,221100,0.0,1.0
1999-12-13,8.875,9.063,8.75,9.063,9.01401703314786,80700,0.0,1.0
1999-12-14,9.125,9.125,8.875,9.063,9.01401703314786,109300,0.0,1.0
1999-12-15,8.938,9.0,8.688,8.875,8.82703312028989,210700,0.0,1.0
1999-12-16,8.844,8.938,8.375,8.625,8.57838430000003,127900,0.0,1.0
1999-12-17,8.625,8.688,8.375,8.594,8.54755184628409,112600,0.0,1.0
1999-12-20,8.5,9.031,8.5,8.75,8.70270871014496,72000,0.0,1.0
1999-12-21,9.0,9.0,8.563,8.75,8.70270871014496,50300,0.0,1.0
1999-12-22,8.875,8.969,8.5,8.938,8.88969262300293,72100,0.0,1.0
1999-12-23,8.938,10.0,8.875,9.313,9.26266585343772,139900,0.0,1.0
1999-12-27,9.875,10.94,9.875,10.56,10.5029261690435,214500,0.0,1.0
1999-12-28,10.53,10.63,10.0,10.28,10.2244394903189,143300,0.0,1.0
1999-12-29,10.31,12.25,10.13,12.25,12.1837921942029,186400,0.0,1.0
1999-12-30,11.88,12.69,11.81,12.13,12.0644407604638,163100,0.0,1.0
1999-12-31,12.38,13.0,12.25,12.75,12.6810898347827,51500,0.0,1.0
