date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,38.94,39.56,37.0,38.88,18.7504795350767,4008667,0.0,1.0
1999-11-02,38.31,40.38,38.31,39.31,18.9578536657372,5051600,0.0,1.0
1999-11-03,39.63,39.75,37.56,38.5,18.5672186754231,3544467,0.0,1.0
1999-11-04,38.38,42.0,38.31,42.0,20.2551476459161,5564867,0.0,1.0
1999-11-05,41.81,43.5,39.81,40.13,19.3533113102527,7064667,0.0,1.0
1999-11-08,39.75,40.75,39.63,40.25,19.4111831606696,2150800,0.0,1.0
1999-11-09,40.13,40.25,38.0,38.0,18.3328376812347,3056867,0.014,1.0
1999-11-10,38.06,39.81,38.0,38.0,18.3328376812347,2696867,0.0,1.0
1999-11-11,38.44,38.44,36.81,36.94,17.8214479985476,2472267,0.0,1.0
1999-11-12,39.88,42.88,39.0,42.88,20.6871599939827,7089800,0.0,1.0
1999-11-15,42.0,44.75,41.81,44.75,21.5893285851382,6393000,0.0,1.0
1999-11-16,43.38,46.75,42.75,46.0,22.1923824562315,5405667,0.0,1.0
1999-11-17,45.75,45.94,41.44,41.94,20.2336634829206,4970867,0.0,1.0
1999-11-18,43.88,45.94,43.31,45.94,22.163435870419,4560067,0.0,1.0
1999-11-19,45.44,46.0,44.56,45.5,21.9511609077942,2925667,0.0,1.0
1999-11-22,45.38,45.38,43.38,44.0,21.2274962624823,2408600,0.0,1.0
1999-11-23,44.0,44.13,40.44,40.94,19.751220386046,5480800,0.0,1.0
1999-11-24,40.0,40.25,39.75,40.0,19.2977238749839,4087067,0.0,1.0
1999-11-26,40.0,40.06,39.69,40.0,19.2977238749839,1174600,0.0,1.0
1999-11-29,40.0,40.56,37.75,38.5,18.574059229672,3665800,0.0,1.0
1999-11-30,37.75,39.25,37.25,37.94,18.3038910954222,4080067,0.0,1.0
1999-12-01,38.63,39.5,36.88,37.5,18.0916161327974,3155467,0.0,1.0
1999-12-02,37.31,38.25,37.31,38.19,18.4245018696408,2093800,0.0,1.0
1999-12-03,40.0,41.0,39.25,39.56,19.085448912359,3657867,0.0,1.0
1999-12-06,40.0,40.06,38.5,39.06,18.8442273639217,1814000,0.0,1.0
1999-12-07,39.06,40.25,37.56,39.25,18.9358915523279,3745067,0.0,1.0
1999-12-08,38.19,38.44,37.19,38.0,18.3328376812347,3745867,0.0,1.0
1999-12-09,38.75,40.25,36.63,40.25,19.4183346492025,4966000,0.0,1.0
1999-12-10,40.44,40.75,38.13,40.75,19.6595561976398,4065200,0.0,1.0
1999-12-13,40.19,40.25,38.5,39.3,18.9600137071717,7092800,0.0,1.0
1999-12-14,38.5,39.0,36.75,37.5,18.0916161327974,2890200,0.0,1.0
1999-12-15,36.88,37.75,36.0,37.75,18.212226907016,2546400,0.0,1.0
1999-12-16,36.88,37.5,34.81,36.13,17.4306690900792,3418267,0.0,1.0
1999-12-17,36.13,36.38,34.94,36.13,17.4306690900792,4654467,0.0,1.0
1999-12-20,35.38,35.38,33.0,33.13,15.9833397994554,5435467,0.0,1.0
1999-12-21,33.63,34.25,33.0,34.0,16.4030652937363,5157200,0.0,1.0
1999-12-22,32.88,33.38,32.0,33.0,15.9206221968617,6145667,0.0,1.0
1999-12-23,32.75,34.13,32.75,34.0,16.4030652937363,3523600,0.0,1.0
1999-12-27,34.75,35.63,34.56,35.38,17.0688367674232,3752800,0.0,1.0
1999-12-28,35.0,35.13,33.75,34.31,16.5526226537674,2075067,0.0,1.0
1999-12-29,33.94,42.0,33.94,42.0,20.2626100687331,7853267,0.0,1.0
1999-12-30,40.94,40.94,38.0,38.13,18.3955552838284,4489400,0.0,1.0
1999-12-31,38.56,38.69,37.81,38.25,18.4534484554533,1994800,0.0,1.0
2000-01-03,38.5,39.0,37.0,37.0,17.8503945843601,5825800,0.0,1.0
2000-01-04,37.0,37.38,35.19,36.5,17.6091730359228,5816867,0.0,1.0
2000-01-05,36.44,36.56,34.5,36.31,17.5175088475166,4469400,0.0,1.0
2000-01-06,36.38,38.13,36.31,36.75,17.7297838101414,5045067,0.0,1.0
2000-01-07,38.19,38.88,37.63,38.88,18.7573876064843,2863067,0.0,1.0
2000-01-10,39.81,39.94,38.75,39.0,18.8152807781093,3854200,0.0,1.0
2000-01-11,39.5,39.88,38.94,39.44,19.0275557407341,2673267,0.0,1.0
2000-01-12,39.0,39.0,37.56,37.63,18.1543337353911,2769600,0.0,1.0
2000-01-13,34.0,41.0,33.88,40.5,19.5389454234212,15694800,0.0,1.0
2000-01-14,41.94,43.25,40.69,41.0,19.7801669718585,9360000,0.0,1.0
2000-01-18,40.56,40.63,38.81,39.0,18.8152807781093,4391800,0.0,1.0
2000-01-19,39.94,41.0,39.31,40.0,19.2977238749839,4881067,0.0,1.0
2000-01-20,40.06,40.25,39.06,39.25,18.9358915523279,3130000,0.0,1.0
2000-01-21,39.25,39.25,37.06,38.5,18.574059229672,4846200,0.0,1.0
2000-01-24,37.88,38.0,36.56,38.0,18.3328376812347,2268800,0.0,1.0
2000-01-25,36.94,37.63,36.25,36.81,17.7587303959539,2625467,0.0,1.0
2000-01-26,36.69,38.38,35.88,38.13,18.3955552838284,3755400,0.0,1.0
2000-01-27,38.06,38.44,36.38,37.31,17.9999519443912,2872067,0.0,1.0
2000-01-28,37.06,38.0,35.06,38.0,18.3328376812347,2569067,0.0,1.0
2000-01-31,35.25,36.13,35.0,35.88,17.3100583158605,3139000,0.0,1.0
2000-02-01,36.44,37.0,34.81,35.63,17.1894475416419,2887400,0.0,1.0
2000-02-02,35.5,36.13,33.69,35.75,17.2473407132668,5412267,0.0,1.0
2000-02-03,36.0,36.13,34.5,35.63,17.1894475416419,3189000,0.0,1.0
2000-02-04,35.69,38.13,35.69,37.94,18.3038910954222,7636200,0.0,1.0
2000-02-07,38.44,40.75,37.63,40.5,19.5389454234212,4644267,0.0,1.0
2000-02-08,40.0,40.0,39.0,39.5,19.0632565299028,4645267,0.014,1.0
2000-02-09,39.25,39.31,37.56,37.75,18.2186818735147,2511200,0.0,1.0
2000-02-10,38.63,38.88,38.0,38.5,18.5806424405382,3035467,0.0,1.0
2000-02-11,38.88,39.88,38.5,39.0,18.8219494852205,3486000,0.0,1.0
2000-02-14,39.94,39.94,37.63,38.19,18.4310320728352,2648467,0.0,1.0
2000-02-15,37.69,38.44,37.06,38.44,18.5516855951763,2308600,0.0,1.0
2000-02-16,38.5,39.25,38.0,38.0,18.3393353958559,2157467,0.0,1.0
2000-02-17,38.5,39.75,38.44,39.44,19.0342996845409,3784200,0.0,1.0
2000-02-18,39.44,39.44,38.0,38.25,18.459988918197,2485800,0.0,1.0
2000-02-22,38.25,38.5,36.06,37.5,18.0980283511736,3040067,0.0,1.0
2000-02-23,37.69,40.06,37.06,39.56,19.0922133752647,4387200,0.0,1.0
2000-02-24,39.38,39.38,37.69,37.94,18.310378550494,4222400,0.0,1.0
2000-02-25,38.31,38.31,36.56,38.0,18.3393353958559,2544467,0.0,1.0
2000-02-28,38.5,38.69,37.31,37.31,18.0063316741943,4883600,0.0,1.0
2000-02-29,40.0,42.19,39.0,42.0,20.2697917533144,10078267,0.0,1.0
2000-03-01,43.13,46.5,42.31,46.5,22.4415551554552,9346667,0.0,1.0
2000-03-02,46.38,46.44,43.69,45.13,21.7803738530257,4773800,0.0,1.0
2000-03-03,45.5,48.0,45.25,48.0,23.1654762895022,5188400,0.0,1.0
2000-03-06,48.0,48.5,47.06,47.69,23.0158659217991,4166067,0.0,1.0
2000-03-07,47.56,47.94,45.75,46.31,22.3498584784759,3283667,0.0,1.0
2000-03-08,46.38,46.38,43.44,45.0,21.7176340214083,2584867,0.0,1.0
2000-03-09,44.5,47.0,43.81,45.5,21.9589410660906,2299400,0.0,1.0
2000-03-10,47.94,54.19,47.13,53.0,25.5785467363253,10713067,0.0,1.0
2000-03-13,49.56,54.5,48.0,50.88,24.5554048668723,5083267,0.0,1.0
2000-03-14,50.38,51.0,48.0,48.63,23.4695231658019,4363600,0.0,1.0
2000-03-15,48.0,49.75,47.13,48.5,23.4067833341845,2534867,0.0,1.0
2000-03-16,48.5,50.25,48.13,50.0,24.1307044682314,5446867,0.0,1.0
2000-03-17,51.25,56.0,51.0,55.25,26.6644284373957,8166600,0.0,1.0
2000-03-20,55.88,57.44,53.81,54.0,26.0611608256899,5321467,0.0,1.0
2000-03-21,54.13,54.44,52.38,54.44,26.2735110250104,4264200,0.0,1.0
2000-03-22,55.94,59.0,55.38,57.56,27.779266983828,3913200,0.0,1.0
2000-03-23,57.0,62.0,55.69,61.25,29.5601129735835,5707200,0.0,1.0
2000-03-24,62.0,67.12,61.44,65.0,31.3699158087008,8828467,0.0,1.0
2000-03-27,63.81,63.81,59.31,60.0,28.9568453618777,4522867,0.0,1.0
2000-03-28,59.5,61.5,58.5,60.13,29.0195851934951,3390600,0.0,1.0
2000-03-29,61.94,63.0,58.75,59.44,28.6865814718335,3782467,0.0,1.0
2000-03-30,58.56,60.38,58.06,59.0,28.4742312725131,4020600,0.0,1.0
2000-03-31,58.25,58.75,55.31,57.0,27.5090030937838,4140800,0.0,1.0
2000-04-03,59.25,60.88,55.38,56.94,27.4800462484219,5924267,0.0,1.0
2000-04-04,57.38,57.38,44.44,50.5,24.3720115129137,12551067,0.0,1.0
2000-04-05,47.75,55.75,47.25,53.25,25.6992002586665,7770400,0.0,1.0
2000-04-06,54.5,58.25,53.69,58.13,28.0543570147658,4593400,0.0,1.0
2000-04-07,58.25,58.25,53.75,55.13,26.606514746672,4375400,0.0,1.0
2000-04-10,54.19,57.19,53.81,55.81,26.9346923274399,3090067,0.0,1.0
2000-04-11,55.81,56.75,53.0,54.13,26.1239006573073,2965200,0.0,1.0
2000-04-12,53.88,55.0,50.0,50.0,24.1307044682314,4380000,0.0,1.0
2000-04-13,50.75,50.75,48.0,49.0,23.6480903788668,3251000,0.0,1.0
2000-04-14,44.25,45.0,38.5,40.5,19.5458706192674,10021000,0.0,1.0
2000-04-17,39.69,43.25,39.13,42.0,20.2697917533144,9016800,0.0,1.0
2000-04-18,40.75,47.75,40.0,44.88,21.6597203306845,8008800,0.0,1.0
