date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,22.25,22.56,21.63,22.0,4.92553480942198,714900,0.0,1.0
1999-11-02,22.13,23.13,22.13,22.63,5.06658421532815,890000,0.0,1.0
1999-11-03,22.63,23.0,22.31,22.56,5.05091205911635,664800,0.0,1.0
1999-11-04,22.63,23.06,22.19,22.38,5.01061222885745,446100,0.0,1.0
1999-11-05,22.31,22.69,22.06,22.06,4.93896808617495,659100,0.0,1.0
1999-11-08,22.19,22.63,22.19,22.5,5.03747878236339,227500,0.0,1.0
1999-11-09,22.5,23.13,22.38,22.81,5.10688404558706,467300,0.0,1.0
1999-11-10,22.63,22.94,22.44,22.88,5.12255620179886,370000,0.0,1.0
1999-11-11,22.81,23.13,22.19,22.19,4.96807351913971,302700,0.0,1.0
1999-11-12,22.38,22.75,21.75,22.0,4.92553480942198,712200,0.0,1.0
1999-11-15,22.0,22.63,21.25,22.25,4.98150679589268,731000,0.0,1.0
1999-11-16,22.25,22.38,21.75,21.75,4.86956282295127,918400,0.0,1.0
1999-11-17,21.75,22.0,21.31,21.38,4.78672428297463,1138200,0.0,1.0
1999-11-18,21.5,21.63,20.88,21.0,4.70164686353916,741900,0.0,1.0
1999-11-19,21.0,21.75,21.0,21.5,4.81359083648057,588600,0.0,1.0
1999-11-22,21.5,22.0,21.25,21.56,4.82702411323354,659300,0.0,1.0
1999-11-23,21.63,22.0,21.13,21.94,4.91210153266901,905500,0.0,1.0
1999-11-24,22.0,22.0,21.31,21.38,4.78672428297463,1172600,0.0,1.0
1999-11-26,21.44,21.94,21.06,21.56,4.82702411323354,281100,0.0,1.0
1999-11-29,21.63,21.81,20.94,21.44,4.8001575597276,716600,0.0,1.0
1999-11-30,21.38,21.75,21.0,21.25,4.75761885000987,622800,0.0,1.0
1999-12-01,21.25,21.31,20.31,20.31,4.54716418088002,1018800,0.0,1.0
1999-12-02,20.38,21.13,20.31,20.94,4.68821358678619,954600,0.0,1.0
1999-12-03,21.19,21.94,21.19,21.94,4.91210153266901,750000,0.0,1.0
1999-12-06,21.5,21.56,21.06,21.13,4.73075229650393,910900,0.0,1.0
1999-12-07,21.0,21.56,21.0,21.13,4.73075229650393,592300,0.0,1.0
1999-12-08,21.25,21.75,21.06,21.06,4.71508014029213,854700,0.0,1.0
1999-12-09,21.19,21.19,20.44,20.44,4.57626961384478,600200,0.0,1.0
1999-12-10,20.38,20.38,19.63,20.0,4.47775891765634,745700,0.0,1.0
1999-12-13,19.75,20.0,18.88,19.0,4.25387097177353,1063800,0.0,1.0
1999-12-14,19.25,20.0,18.88,19.56,4.3792482214679,888600,0.0,1.0
1999-12-15,20.13,20.31,19.25,19.81,4.43522020793861,1188700,0.0,1.0
1999-12-16,19.81,20.06,19.13,20.06,4.49119219440931,981100,0.0,1.0
1999-12-17,19.81,20.38,19.81,19.88,4.4508923641504,1478500,0.0,1.0
1999-12-20,20.13,20.13,19.5,19.5,4.36581494471494,593900,0.0,1.0
1999-12-21,19.31,19.94,19.25,19.63,4.3949203776797,513100,0.0,1.0
1999-12-22,19.63,19.69,18.75,19.06,4.26730424852649,1129500,0.0,1.0
1999-12-23,19.63,20.19,19.5,20.06,4.49119219440931,462400,0.0,1.0
1999-12-27,20.06,21.25,19.94,20.19,4.52029762737408,1075100,0.0,1.0
1999-12-28,20.19,20.94,20.19,20.19,4.52029762737408,453800,0.0,1.0
1999-12-29,20.19,20.88,20.19,20.56,4.60313616735072,284900,0.0,1.0
1999-12-30,20.75,20.75,20.13,20.19,4.52029762737408,388300,0.0,1.0
1999-12-31,20.31,21.0,20.25,21.0,4.70164686353916,307400,0.0,1.0
2000-01-03,20.75,20.81,20.13,20.13,4.50686435062111,574100,0.0,1.0
2000-01-04,20.0,20.06,18.88,19.38,4.338948391209,646800,0.0,1.0
2000-01-05,19.44,19.81,19.38,19.56,4.3792482214679,622800,0.0,1.0
2000-01-06,20.06,20.25,19.56,19.75,4.42178693118564,583600,0.0,1.0
2000-01-07,19.63,20.06,19.13,19.5,4.36581494471494,949500,0.0,1.0
2000-01-10,19.5,20.0,19.06,19.06,4.26730424852649,1067900,0.0,1.0
2000-01-11,19.38,19.69,19.25,19.31,4.3232762349972,1181500,0.0,1.0
2000-01-12,19.38,19.75,19.25,19.31,4.3232762349972,709000,0.0,1.0
2000-01-13,19.31,19.38,19.0,19.13,4.28297640473829,813500,0.0,1.0
2000-01-14,19.31,19.38,18.75,18.88,4.22700441826759,937800,0.0,1.0
2000-01-18,18.63,18.88,18.25,18.56,4.15536027558509,691400,0.0,1.0
2000-01-19,18.56,18.69,18.31,18.38,4.11506044532618,642000,0.0,1.0
2000-01-20,18.38,18.38,17.38,17.63,3.94714448591407,858700,0.0,1.0
2000-01-21,18.0,18.25,17.69,17.88,4.00311647238477,1121300,0.0,1.0
2000-01-24,17.88,18.31,17.66,17.94,4.01654974913774,651600,0.0,1.0
