date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,19.88,20.25,19.75,20.25,9.69190417109829,15450,0.0,1.0
1999-11-02,20.25,20.25,20.12,20.25,9.69190417109829,9101,0.0,1.0
1999-11-03,20.12,20.12,20.0,20.12,9.62968453938259,14392,0.0,1.0
1999-11-04,20.12,20.25,20.12,20.25,9.69190417109829,22222,0.0,1.0
1999-11-05,20.25,20.88,20.12,20.88,9.99343007864356,32169,0.0,1.0
1999-11-08,20.88,20.88,20.75,20.75,9.93121044692787,15026,0.0,1.0
1999-11-09,20.75,21.0,20.62,20.88,9.99343007864356,9947,0.0,1.0
1999-11-10,20.88,21.0,20.62,20.88,9.99343007864356,8889,0.0,1.0
1999-11-11,20.88,21.0,20.75,20.88,9.99343007864356,8677,0.0,1.0
1999-11-12,20.88,21.38,20.88,21.12,10.1082970910418,15026,0.0,1.0
1999-11-15,21.12,21.25,21.0,21.12,10.1800889737906,8042,0.15,1.0
1999-11-16,21.12,21.25,21.0,21.0,10.1222475591668,12063,0.0,1.0
1999-11-17,21.0,21.12,20.88,21.0,10.1222475591668,27937,0.0,1.0
1999-11-18,21.0,21.0,19.88,20.25,9.76073871776802,64762,0.0,1.0
1999-11-19,20.25,20.25,19.75,20.25,9.76073871776802,17566,0.0,1.0
1999-11-22,20.25,20.5,20.25,20.38,9.82340025027715,7619,0.0,1.0
1999-11-23,20.38,20.38,20.12,20.25,9.76073871776802,38307,0.0,1.0
1999-11-24,20.25,20.62,20.25,20.38,9.82340025027715,29841,0.0,1.0
1999-11-26,20.25,20.25,20.12,20.25,9.76073871776802,9735,0.0,1.0
1999-11-29,20.25,20.25,20.0,20.0,9.64023577063508,34286,0.0,1.0
1999-11-30,20.0,20.12,19.88,20.12,9.69807718525889,42751,0.0,1.0
1999-12-01,20.12,20.25,19.75,20.0,9.64023577063508,56508,0.0,1.0
1999-12-02,20.0,20.0,19.75,19.75,9.51973282350214,23492,0.0,1.0
1999-12-03,19.75,20.25,19.75,19.75,9.51973282350214,21376,0.0,1.0
1999-12-06,19.75,20.0,19.62,19.62,9.45707129099301,9101,0.0,1.0
1999-12-07,19.62,19.62,19.5,19.62,9.45707129099301,11005,0.0,1.0
1999-12-08,19.62,19.88,19.38,19.5,9.3992298763692,7619,0.0,1.0
1999-12-09,19.5,19.62,19.5,19.5,9.3992298763692,9101,0.0,1.0
1999-12-10,19.5,19.75,19.5,19.5,9.3992298763692,5926,0.0,1.0
1999-12-13,19.5,20.12,19.25,20.0,9.64023577063508,22434,0.0,1.0
1999-12-14,20.0,20.25,19.88,20.12,9.69807718525889,10159,0.0,1.0
1999-12-15,20.12,20.12,19.88,19.88,9.58239435601127,17143,0.0,1.0
1999-12-16,19.88,20.0,19.75,19.88,9.58239435601127,17354,0.0,1.0
1999-12-17,19.88,20.12,19.5,20.12,9.69807718525889,33228,0.0,1.0
1999-12-20,20.0,20.0,19.5,19.5,9.3992298763692,15873,0.0,1.0
1999-12-21,19.5,19.75,19.5,19.75,9.51973282350214,10582,0.0,1.0
1999-12-22,19.75,19.75,19.25,19.25,9.27872692923626,15450,0.0,1.0
1999-12-23,19.25,19.38,19.12,19.25,9.27872692923626,8889,0.0,1.0
1999-12-27,19.12,19.12,19.0,19.12,9.21606539672714,9312,0.0,1.0
1999-12-28,19.12,19.25,19.0,19.0,9.15822398210332,13122,0.0,1.0
1999-12-29,19.0,19.38,18.38,19.38,9.34138846174539,24127,0.0,1.0
1999-12-30,19.38,19.62,19.38,19.38,9.34138846174539,23280,0.0,1.0
1999-12-31,19.38,19.5,19.38,19.5,9.3992298763692,18836,0.0,1.0
2000-01-03,19.5,19.62,19.12,19.12,9.21606539672714,22222,0.0,1.0
2000-01-04,19.12,19.25,18.62,18.88,9.10038256747951,10370,0.0,1.0
2000-01-05,18.88,18.88,18.62,18.75,9.03772103497039,20317,0.0,1.0
2000-01-06,18.75,19.12,18.5,19.12,9.21606539672714,26667,0.0,1.0
2000-01-07,19.12,19.25,19.12,19.25,9.27872692923626,4444,0.0,1.0
