date,open,high,low,close,adjClose,volume,dividend,split
2007-03-29,8.85,9.31,8.66,8.76,0.876,6079800,0.0,1.0
2007-03-30,8.83,9.0,8.55,8.99,0.899,419500,0.0,1.0
2007-04-02,9.0,10.59,8.99,10.38,1.038,749100,0.0,1.0
2007-04-03,10.7,11.66,10.4,10.58,1.058,835700,0.0,1.0
2007-04-04,10.4,10.99,10.03,10.16,1.016,309500,0.0,1.0
2007-04-05,10.02,10.25,9.52,9.8,0.98,424900,0.0,1.0
2007-04-09,9.95,10.36,9.88,10.0,1.0,174300,0.0,1.0
2007-04-10,9.96,10.12,9.66,9.8,0.98,106800,0.0,1.0
2007-04-11,9.71,9.86,9.5,9.54,0.954,107000,0.0,1.0
2007-04-12,9.5,9.97,9.5,9.85,0.985,88800,0.0,1.0
2007-04-13,9.98,9.98,9.66,9.74,0.974,60200,0.0,1.0
2007-04-16,9.7,10.25,9.6,10.15,1.015,135400,0.0,1.0
2007-04-17,10.25,10.4,10.06,10.25,1.025,89100,0.0,1.0
2007-04-18,10.43,10.5,10.04,10.37,1.037,100800,0.0,1.0
2007-04-19,10.19,10.29,9.82,9.89,0.989,71900,0.0,1.0
2007-04-20,10.07,10.07,9.79,9.86,0.986,139700,0.0,1.0
2007-04-23,9.77,10.0699,9.77,9.85,0.985,77400,0.0,1.0
2007-04-24,9.9,10.0,9.73,9.83,0.983,70800,0.0,1.0
2007-04-25,9.8,10.49,9.8,10.35,1.035,160000,0.0,1.0
2007-04-26,10.47,10.47,10.12,10.19,1.019,73400,0.0,1.0
2007-04-27,10.11,10.4,9.991,10.2,1.02,112200,0.0,1.0
2007-04-30,10.2,11.06,10.2,10.41,1.041,271900,0.0,1.0
2007-05-01,10.5,10.9,10.1,10.49,1.049,124000,0.0,1.0
2007-05-02,10.53,10.64,10.4,10.4,1.04,60900,0.0,1.0
2007-05-03,10.412,10.5,10.31,10.43,1.043,84300,0.0,1.0
2007-05-04,10.4,10.6,10.37,10.58,1.058,72200,0.0,1.0
2007-05-07,10.76,11.05,10.4,10.57,1.057,174100,0.0,1.0
2007-05-08,10.5,10.6,10.45,10.5,1.05,146900,0.0,1.0
2007-05-09,10.89,11.35,10.5,11.24,1.124,408200,0.0,1.0
2007-05-10,10.87,10.87,9.96,10.15,1.015,491000,0.0,1.0
2007-05-11,10.22,10.5,10.0,10.4,1.04,271700,0.0,1.0
2007-05-14,10.44,10.5,10.2,10.43,1.043,209800,0.0,1.0
2007-05-15,10.2,10.43,10.2,10.24,1.024,133600,0.0,1.0
2007-05-16,10.2,10.3899,10.0,10.1,1.01,86100,0.0,1.0
