date,open,high,low,close,adjClose,volume,dividend,split
2024-03-26,91.05,96.05,79.1,80.0,80.0,353600,0.0,1.0
2024-03-27,80.0,80.0,74.18,75.0,75.0,454600,0.0,1.0
2024-03-28,78.0,78.0,69.0,69.55,69.55,2869600,0.0,1.0
2024-04-01,69.15,72.4,65.0,69.1,69.1,14074945,0.0,1.0
2024-04-02,67.67,68.59,64.4653,66.9,66.9,9372234,0.0,1.0
2024-04-03,65.53,67.77,63.86,63.89,63.89,5169524,0.0,1.0
2024-04-04,63.05,68.165,62.33,67.0,67.0,5237588,0.0,1.0
2024-04-05,65.97,70.15,65.175,70.06,70.06,4215696,0.0,1.0
2024-04-08,70.06,71.655,66.25,67.01,67.01,4466873,0.0,1.0
2024-04-09,65.48,68.0,65.01,65.52,65.52,2711199,0.0,1.0
2024-04-10,64.68,64.93,63.59,63.89,63.89,2114791,0.0,1.0
2024-04-11,63.57,64.3,62.3,63.17,63.17,2396618,0.0,1.0
2024-04-12,62.5,63.25,61.87,62.75,62.75,1795364,0.0,1.0
2024-04-15,62.1,63.79,61.56,61.69,61.69,2043059,0.0,1.0
2024-04-16,62.0,62.99,61.6581,61.95,61.95,1583249,0.0,1.0
2024-04-17,61.82,62.67,61.5,61.75,61.75,1849789,0.0,1.0
2024-04-18,61.84,64.11,61.38,64.03,64.03,2070485,0.0,1.0
2024-04-19,63.58,64.06,61.9875,62.2,62.2,1469197,0.0,1.0
2024-04-22,62.25,62.76,61.825,62.07,62.07,1380397,0.0,1.0
2024-04-23,62.03,64.19,61.851,63.5,63.5,1505935,0.0,1.0
2024-04-24,62.85,64.175,62.78,63.54,63.54,1055100,0.0,1.0
2024-04-25,62.75,63.067,60.72,61.83,61.83,2938475,0.0,1.0
2024-04-26,61.46,64.69,61.32,64.43,64.43,1641165,0.0,1.0
2024-04-29,63.49,66.67,63.0402,65.91,65.91,2163617,0.0,1.0
2024-04-30,65.21,65.86,63.75,65.01,65.01,2132558,0.0,1.0
2024-05-01,64.95,66.85,64.285,65.15,65.15,1612395,0.0,1.0
2024-05-02,65.0,66.23,64.7,65.14,65.14,1697552,0.0,1.0
2024-05-03,65.43,65.56,63.8,64.65,64.65,1724999,0.0,1.0
2024-05-06,64.7,65.11,64.3,64.69,64.69,1200293,0.0,1.0
2024-05-07,64.79,65.895,64.46,65.56,65.56,2270340,0.0,1.0
2024-05-08,65.23,66.965,65.15,66.43,66.43,1910630,0.0,1.0
2024-05-09,65.52,67.5,63.489,64.83,64.83,3088693,0.0,1.0
2024-05-10,63.8,64.81,63.03,63.74,63.74,1916241,0.0,1.0
2024-05-13,64.0,64.435,63.1166,63.14,63.14,1510912,0.0,1.0
2024-05-14,63.61,65.4012,63.46,65.1,65.1,1627518,0.0,1.0
2024-05-15,64.83,65.18,62.23,62.44,62.44,2812481,0.0,1.0
2024-05-16,62.0,62.03,60.57,61.56,61.56,2653989,0.0,1.0
2024-05-17,61.8,62.42,61.0,62.38,62.38,1711108,0.0,1.0
2024-05-20,62.46,62.82,61.85,62.03,62.03,1459022,0.0,1.0
2024-05-21,61.8,62.25,61.14,61.22,61.22,1319804,0.0,1.0
2024-05-22,61.07,62.24,60.92,61.89,61.89,1403793,0.0,1.0
2024-05-23,61.28,61.6,59.885,59.93,59.93,1733174,0.0,1.0
2024-05-24,59.81,60.78,59.06,60.45,60.45,1269448,0.0,1.0
2024-05-28,60.2,60.25,59.34,59.86,59.86,1705111,0.0,1.0
2024-05-29,59.23,60.12,59.23,59.72,59.72,1050386,0.0,1.0
2024-05-30,59.11,59.16,56.72,58.35,58.35,3253706,0.0,1.0
2024-05-31,58.06,59.4,57.19,59.34,59.34,5801420,0.0,1.0
2024-06-03,59.34,59.87,56.81,57.05,57.05,1680845,0.0,1.0
2024-06-04,56.82,57.25,55.5,55.61,55.61,2111514,0.0,1.0
2024-06-05,55.61,56.005,54.75,55.73,55.73,1342648,0.0,1.0
2024-06-06,55.38,55.44,54.47,55.05,55.05,1806251,0.0,1.0
2024-06-07,54.5,56.78,54.47,56.41,56.41,1534965,0.0,1.0
2024-06-10,56.05,57.28,56.05,56.71,56.71,1733769,0.0,1.0
2024-06-11,56.6,56.79,56.18,56.54,56.54,1363209,0.0,1.0
2024-06-12,56.87,57.14,56.13,56.16,56.16,1040591,0.0,1.0
2024-06-13,55.83,56.7,54.0,54.13,54.13,1408545,0.0,1.0
2024-06-14,52.96,54.78,52.5817,54.56,54.56,1372090,0.0,1.0
2024-06-17,54.42,54.79,53.19,54.63,54.63,1406367,0.0,1.0
2024-06-18,54.12,55.07,52.96,53.32,53.32,1852703,0.0,1.0
2024-06-20,52.94,54.085,52.4382,53.8,53.8,1720999,0.0,1.0
2024-06-21,53.83,54.77,52.2,52.35,52.35,7696882,0.0,1.0
2024-06-24,52.35,53.0,51.26,51.3,51.3,2581723,0.0,1.0
2024-06-25,51.24,51.62,50.63,51.25,51.25,1628301,0.0,1.0
2024-06-26,50.9,51.23,50.5,50.75,50.75,1141091,0.0,1.0
2024-06-27,50.5,51.39,50.49,51.33,51.33,1634482,0.0,1.0
2024-06-28,51.48,53.11,51.18,52.88,52.88,4809448,0.0,1.0
2024-07-01,53.0,53.56,51.205,51.45,51.45,1360295,0.0,1.0
2024-07-02,51.4,51.83,51.25,51.6,51.6,1309792,0.0,1.0
2024-07-03,51.63,51.77,50.61,50.85,50.85,891107,0.0,1.0
2024-07-05,50.5,51.0,49.53,49.9,49.9,2060388,0.0,1.0
2024-07-08,50.0,50.42,49.58,49.64,49.64,1194388,0.0,1.0
2024-07-09,49.39,49.735,47.98,48.02,48.02,1714301,0.0,1.0
2024-07-10,48.1,48.53,47.35,48.18,48.18,1218128,0.0,1.0
2024-07-11,48.45,49.75,48.24,49.36,49.36,1327699,0.0,1.0
2024-07-12,49.49,50.36,48.98,49.0,49.0,1089566,0.0,1.0
2024-07-15,48.78,49.19,48.12,48.22,48.22,905602,0.0,1.0
2024-07-16,47.26,50.26,47.16,50.04,50.04,1488125,0.0,1.0
2024-07-17,49.86,53.39,49.64,53.0,53.0,2496657,0.0,1.0
2024-07-18,52.71,55.1,52.4,54.98,54.98,2776256,0.0,1.0
2024-07-19,55.0,56.0,54.5,54.6,54.6,2602402,0.0,1.0
2024-07-22,54.84,55.11,53.0329,54.13,54.13,1806251,0.0,1.0
2024-07-23,56.31,56.74,55.55,56.64,56.64,2073910,0.0,1.0
2024-07-24,56.78,59.97,56.64,58.09,58.09,2204515,0.0,1.0
2024-07-25,57.5,58.84,56.69,57.55,57.55,1540666,0.0,1.0
2024-07-26,58.06,59.0,57.3775,57.63,57.63,1122368,0.0,1.0
2024-07-29,57.31,57.745,55.9,57.34,57.34,1001946,0.0,1.0
2024-07-30,57.58,59.3,57.14,58.95,58.95,1379478,0.0,1.0
2024-07-31,58.66,59.82,58.09,58.88,58.88,1124958,0.0,1.0
2024-08-01,58.81,59.38,57.38,58.06,58.06,1049922,0.0,1.0
2024-08-02,57.68,58.19,56.71,57.31,57.31,1058480,0.0,1.0
2024-08-05,55.06,56.37,54.26,56.14,56.14,1136145,0.0,1.0
2024-08-06,56.0,58.06,55.85,57.45,57.45,916594,0.0,1.0
2024-08-07,57.81,58.28,55.81,55.9,55.9,1519334,0.0,1.0
2024-08-08,55.9,58.97,55.62,58.66,58.66,1333920,0.0,1.0
2024-08-09,60.0,62.2399,59.5,60.59,60.59,2411871,0.0,1.0
2024-08-12,60.59,60.675,57.43,57.71,57.71,1174914,0.0,1.0
2024-08-13,57.26,58.69,56.69,58.22,58.22,978574,0.0,1.0
2024-08-14,58.41,59.0,57.48,57.78,57.78,867011,0.0,1.0
2024-08-15,58.25,59.2,57.86,58.84,58.84,1013219,0.0,1.0
2024-08-16,58.96,59.99,58.61,59.4,59.4,842937,0.0,1.0
2024-08-19,59.42,60.35,59.24,59.45,59.45,1084316,0.0,1.0
2024-08-20,59.21,60.07,59.21,59.45,59.45,771139,0.0,1.0
2024-08-21,59.58,59.82,58.76,59.66,59.66,936431,0.0,1.0
2024-08-22,59.91,60.68,59.48,59.77,59.77,710438,0.0,1.0
2024-08-23,60.17,61.64,59.9,61.4,61.4,642626,0.0,1.0
2024-08-26,61.38,61.88,59.67,60.18,60.18,938404,0.0,1.0
2024-08-27,59.83,61.0,59.61,60.55,60.55,770083,0.0,1.0
