date,open,high,low,close,adjClose,volume,dividend,split
2001-01-02,58.5,58.5,56.38,56.75,18.5289886584825,296500,0.0,1.0
2001-01-03,56.56,57.88,55.81,57.25,18.6922396598788,783700,0.0,1.0
2001-01-04,58.38,61.69,57.5,60.88,19.8774419300161,717100,0.0,1.0
2001-01-05,60.75,60.88,59.69,59.88,19.5509399272234,526700,0.0,1.0
2001-01-08,59.75,60.13,58.88,59.94,19.570530047391,692500,0.0,1.0
2001-01-09,59.38,60.0,57.88,58.25,19.0187416626714,939700,0.0,1.0
2001-01-10,58.31,59.56,58.31,59.0,19.2636181647659,471000,0.0,1.0
2001-01-11,58.88,60.0,58.88,59.81,19.5280847870279,456500,0.0,1.0
2001-01-12,59.81,60.0,59.06,60.0,19.5901201675585,600400,0.0,1.0
2001-01-16,60.0,61.19,59.75,60.56,19.7729612891224,1114200,0.0,1.0
2001-01-17,61.75,62.94,61.63,62.25,20.324749673842,784800,0.0,1.0
2001-01-18,62.13,62.5,61.63,61.94,20.2235340529763,877300,0.0,1.0
2001-01-19,62.13,62.44,60.94,62.06,20.2627142933114,553800,0.0,1.0
2001-01-22,61.88,62.63,59.25,60.31,19.6913357884243,834700,0.0,1.0
2001-01-23,60.38,62.63,60.38,61.75,20.1614986724457,512200,0.0,1.0
2001-01-24,61.5,62.38,60.75,61.5,20.0798731717475,471200,0.0,1.0
2001-01-25,61.63,63.0,60.44,62.75,20.4880006752383,831700,0.0,1.0
2001-01-26,62.0,62.13,59.75,61.75,20.1614986724457,512100,0.0,1.0
2001-01-29,61.75,61.99,61.15,61.45,20.0635480716079,615400,0.0,1.0
2001-01-30,61.21,61.5,59.78,61.14,19.9623324507422,718200,0.0,1.0
2001-01-31,62.2,64.0,61.6,63.85,20.8471528783102,710300,0.0,1.0
2001-02-01,63.61,63.85,62.78,63.16,20.6218664963833,624900,0.0,1.0
2001-02-02,63.25,64.6,63.23,64.08,20.9222483389525,539700,0.0,1.0
2001-02-05,63.65,64.74,63.12,64.38,21.0201989397903,634500,0.0,1.0
2001-02-06,64.38,64.65,63.55,63.66,20.7851174977796,880900,0.0,1.0
2001-02-07,63.25,63.33,61.3,61.66,20.1321134921943,785900,0.0,1.0
2001-02-08,61.56,62.01,61.5,61.69,20.1419085522781,609400,0.0,1.0
2001-02-09,62.25,62.8,61.0,62.34,20.3541348540933,437400,0.0,1.0
2001-02-12,62.75,63.09,62.37,62.86,20.5239158955455,514000,0.0,1.0
2001-02-13,61.5,62.73,61.5,62.55,20.4227002746798,1062300,0.0,1.0
2001-02-14,61.6,61.6,57.25,58.15,18.9860914623922,2533100,0.0,1.0
2001-02-15,58.25,59.43,58.23,59.25,19.3452436654641,1367800,0.0,1.0
2001-02-16,59.2,60.05,59.02,59.75,19.5084946668604,585700,0.0,1.0
2001-02-20,59.75,60.44,58.8,59.15,19.3125934651848,709600,0.0,1.0
2001-02-21,59.3,61.87,59.12,61.11,19.9525373906584,850400,0.0,1.0
2001-02-22,61.0,61.25,58.9,59.64,19.5525724372374,806500,0.245,1.0
2001-02-23,59.5,59.75,57.76,58.76,19.2640703623754,648500,0.0,1.0
2001-02-26,58.6,59.2,57.35,58.07,19.0378585082223,569800,0.0,1.0
2001-02-27,59.0,60.35,58.2,59.85,19.621419523284,615100,0.0,1.0
2001-02-28,60.2,60.23,58.81,58.96,19.3296390157531,403900,0.0,1.0
2001-03-01,58.98,59.98,58.92,59.36,19.4607763225086,401800,0.0,1.0
2001-03-02,59.45,61.2,59.4,60.68,19.8935294348016,440400,0.0,1.0
2001-03-05,60.9,60.9,58.56,59.25,19.4247135631508,418800,0.0,1.0
2001-03-06,59.25,60.25,59.0,59.83,19.6148626579462,298600,0.0,1.0
2001-03-07,59.75,59.75,58.0,58.1,19.0476938062289,506700,0.0,1.0
2001-03-08,58.3,59.28,58.25,59.24,19.4214351304819,591700,0.0,1.0
2001-03-09,59.24,59.6,58.6,59.42,19.4804469185219,425200,0.0,1.0
2001-03-12,59.1,59.11,56.09,56.09,18.3887288397828,645200,0.0,1.0
2001-03-13,56.15,57.48,55.44,57.1,18.7198505393403,604400,0.0,1.0
2001-03-14,56.75,57.55,56.0,57.08,18.7132936740025,814500,0.0,1.0
2001-03-15,56.8,59.0,56.13,58.68,19.2378429010243,579400,0.0,1.0
2001-03-16,57.5,58.05,56.74,57.34,18.7985329233936,1013200,0.0,1.0
2001-03-19,57.34,57.49,55.7,56.83,18.6313328572804,401200,0.0,1.0
2001-03-20,56.7,57.75,55.85,56.6,18.555928905896,359700,0.0,1.0
2001-03-21,56.68,56.7,55.41,55.62,18.2346425043451,542500,0.0,1.0
2001-03-22,55.62,56.0,54.09,55.83,18.3034895903917,683900,0.0,1.0
2001-03-23,55.65,56.44,55.01,56.38,18.4838033871805,411800,0.0,1.0
2001-03-26,56.55,57.94,56.35,57.91,18.9854035855201,339600,0.0,1.0
2001-03-27,57.75,57.85,57.0,57.8,18.9493408261623,491800,0.0,1.0
2001-03-28,57.85,57.9,56.94,56.95,18.670674049307,593800,0.0,1.0
2001-03-29,56.9,58.64,56.8,58.64,19.2247291703488,826500,0.0,1.0
2001-03-30,58.83,59.65,57.58,59.65,19.5558508699063,519400,0.0,1.0
2001-04-02,59.05,59.75,58.5,58.97,19.332917448422,642200,0.0,1.0
2001-04-03,58.97,59.09,57.84,57.95,18.9985173161956,580200,0.0,1.0
2001-04-04,58.15,59.9,57.95,58.85,19.2935762563954,708500,0.0,1.0
2001-04-05,59.5,61.8,59.49,61.52,20.168917778988,800700,0.0,1.0
2001-04-06,59.85,60.09,58.8,59.04,19.3558664771042,732000,0.0,1.0
2001-04-09,59.5,60.4,59.4,59.56,19.5263449758863,417200,0.0,1.0
2001-04-10,59.8,61.29,59.75,60.98,19.9918824148681,792700,0.0,1.0
2001-04-11,62.5,62.5,60.3,60.3,19.7689489933839,904700,0.0,1.0
2001-04-12,60.35,62.74,60.35,62.74,20.5688865645921,708200,0.0,1.0
2001-04-16,62.6,62.69,61.72,62.32,20.4311923924989,442400,0.0,1.0
2001-04-17,62.32,63.4,61.35,63.35,20.7688709573942,751300,0.0,1.0
2001-04-18,63.45,64.99,62.88,64.89,21.2737495884027,762800,0.0,1.0
2001-04-19,64.98,65.0,63.23,63.96,20.9688553501962,721000,0.0,1.0
2001-04-20,63.9,64.7,63.13,64.5,21.1458907143161,1477400,0.0,1.0
2001-04-23,64.5,64.75,64.09,64.2,21.0475377342495,763800,0.0,1.0
2001-04-24,64.3,65.81,64.25,64.73,21.2212946657005,685600,0.0,1.0
2001-04-25,64.65,66.1,64.6,66.1,21.6704399413379,760500,0.0,1.0
2001-04-26,64.75,65.8,64.75,65.26,21.3950515971514,806100,0.0,1.0
2001-04-27,65.3,65.76,64.82,65.75,21.5556947979269,293300,0.0,1.0
2001-04-30,65.95,65.98,64.45,64.78,21.2376868290449,458500,0.0,1.0
2001-05-01,64.53,65.75,64.35,65.64,21.5196320385691,423100,0.0,1.0
