date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,13.63,13.69,12.94,13.19,2.10464889604434,78100,0.0,1.0
1999-11-02,13.19,13.63,13.19,13.56,2.16368756863997,180100,0.0,1.0
1999-11-03,13.75,14.5,13.75,14.25,2.27378671483183,116400,0.0,1.0
1999-11-04,14.25,14.38,14.06,14.38,2.2945300322303,184800,0.0,1.0
1999-11-05,14.63,14.63,13.75,13.94,2.22432188103549,95400,0.0,1.0
1999-11-08,13.94,14.0,13.25,13.5,2.15411372984068,66300,0.0,1.0
1999-11-09,13.47,13.63,13.31,13.38,2.1349660522421,135300,0.0,1.0
1999-11-10,13.5,13.5,13.25,13.31,2.12379657364292,203500,0.0,1.0
1999-11-11,13.31,13.5,13.31,13.5,2.15411372984068,62300,0.0,1.0
1999-11-12,13.44,13.5,13.25,13.25,2.11422273484363,36500,0.0,1.0
1999-11-15,13.25,13.75,13.25,13.44,2.14453989104139,214000,0.0,1.0
1999-11-16,13.31,13.75,13.31,13.63,2.17485704723915,57500,0.0,1.0
1999-11-17,13.63,13.75,13.5,13.5,2.15411372984068,266000,0.0,1.0
1999-11-18,13.44,13.75,13.44,13.75,2.19400472483773,242400,0.0,1.0
1999-11-19,13.75,14.13,13.75,13.88,2.2147480422362,133300,0.0,1.0
1999-11-22,13.75,14.0,13.56,13.63,2.17485704723915,173300,0.0,1.0
1999-11-23,13.88,14.25,13.63,14.25,2.27378671483183,115300,0.0,1.0
1999-11-24,14.06,14.88,13.94,14.69,2.34399486602664,98300,0.0,1.0
1999-11-26,14.63,14.88,14.31,14.31,2.28336055363112,22900,0.0,1.0
1999-11-29,14.31,14.44,13.94,14.0,2.23389571983478,110700,0.0,1.0
1999-11-30,13.94,14.25,13.56,13.75,2.19400472483773,137800,0.0,1.0
1999-12-01,14.0,14.0,13.63,14.0,2.23389571983478,144100,0.0,1.0
1999-12-02,14.13,14.31,13.56,14.31,2.28336055363112,128000,0.0,1.0
1999-12-03,14.63,15.69,14.56,15.69,2.50355884601484,111800,0.0,1.0
1999-12-06,16.88,18.0,16.63,17.69,2.82268680599123,774500,0.0,1.0
1999-12-07,17.69,17.75,16.81,17.0,2.71258765979938,261100,0.0,1.0
1999-12-08,17.06,17.13,16.13,16.5,2.63280566980528,129400,0.0,1.0
1999-12-09,16.75,16.88,16.0,16.5,2.63280566980528,134500,0.0,1.0
1999-12-10,16.5,16.88,16.0,16.25,2.59291467480823,201100,0.0,1.0
1999-12-13,16.25,16.25,15.81,16.13,2.57376699720964,139700,0.0,1.0
1999-12-14,16.38,16.63,16.25,16.56,2.64237950860457,113100,0.0,1.0
1999-12-15,16.5,16.69,15.88,15.88,2.53387600221259,163400,0.0,1.0
1999-12-16,16.13,16.13,15.38,16.06,2.56259751861047,144500,0.0,1.0
1999-12-17,16.19,16.44,15.88,16.31,2.60248851360752,330500,0.0,1.0
1999-12-20,16.5,16.75,16.13,16.38,2.61365799220669,261300,0.0,1.0
1999-12-21,16.38,16.56,16.25,16.34,2.60727543300717,518300,0.0,1.0
1999-12-22,16.31,16.5,15.75,15.88,2.53387600221259,64400,0.0,1.0
1999-12-23,16.03,16.19,15.63,15.69,2.50355884601484,100300,0.0,1.0
1999-12-27,15.69,16.38,15.69,15.94,2.54344984101189,196700,0.0,1.0
1999-12-28,16.06,16.19,15.69,16.19,2.58334083600894,65200,0.0,1.0
1999-12-29,16.44,16.75,16.0,16.13,2.57376699720964,137100,0.0,1.0
1999-12-30,16.25,16.38,16.06,16.25,2.59291467480823,63700,0.0,1.0
1999-12-31,16.13,16.31,15.75,15.94,2.54344984101189,96100,0.0,1.0
2000-01-03,16.06,16.13,15.94,15.94,2.54344984101189,66600,0.0,1.0
2000-01-04,15.75,15.88,14.75,15.06,2.40303353862227,267600,0.0,1.0
2000-01-05,15.19,16.31,15.06,16.31,2.60248851360752,226600,0.0,1.0
2000-01-06,16.13,16.44,16.13,16.38,2.61365799220669,260500,0.0,1.0
2000-01-07,16.44,16.94,16.38,16.94,2.70301382100009,410100,0.0,1.0
2000-01-10,17.06,17.56,16.94,17.5,2.79236964979348,227600,0.0,1.0
2000-01-11,17.38,17.56,16.75,16.75,2.67269666480233,65800,0.0,1.0
2000-01-12,18.5,19.0,17.56,17.63,2.81311296719194,1016300,0.0,1.0
2000-01-13,17.5,17.94,16.69,17.81,2.84183448358982,1782900,0.0,1.0
2000-01-14,17.5,18.06,17.5,17.88,2.85300396218899,458900,0.0,1.0
2000-01-18,18.0,18.19,17.75,17.94,2.86257780098828,315000,0.0,1.0
2000-01-19,18.0,18.0,17.25,17.28,2.75726557419607,360900,0.0,1.0
2000-01-20,17.5,17.75,17.19,17.44,2.78279581099418,184600,0.0,1.0
2000-01-21,17.44,17.5,17.13,17.44,2.78279581099418,178300,0.0,1.0
2000-01-24,17.13,17.63,16.94,17.0,2.71258765979938,147300,0.0,1.0
2000-01-25,16.88,17.06,16.0,16.19,2.58334083600894,161400,0.0,1.0
2000-01-26,16.19,17.0,16.06,16.63,2.65354898720374,181000,0.0,1.0
2000-01-27,16.56,17.0,16.38,16.5,2.63280566980528,88200,0.0,1.0
2000-01-28,16.5,16.63,16.0,16.44,2.62323183100599,110000,0.0,1.0
2000-01-31,16.25,16.31,15.5,15.56,2.48281552861637,213000,0.0,1.0
2000-02-01,15.69,17.31,15.56,17.19,2.74290481599713,165100,0.0,1.0
2000-02-02,17.25,17.44,16.94,17.25,2.75247865479643,247200,0.0,1.0
2000-02-03,17.0,17.25,16.38,16.63,2.65354898720374,119800,0.0,1.0
2000-02-04,16.63,16.75,16.25,16.63,2.65354898720374,71700,0.0,1.0
2000-02-07,16.25,16.94,16.13,16.88,2.69343998220079,227900,0.0,1.0
2000-02-08,16.88,16.88,16.0,16.44,2.62323183100599,128700,0.0,1.0
2000-02-09,16.38,16.44,16.13,16.19,2.58334083600894,172900,0.0,1.0
2000-02-10,16.31,16.5,16.13,16.5,2.63280566980528,122400,0.0,1.0
2000-02-11,16.38,16.63,15.25,15.56,2.48281552861637,115700,0.0,1.0
2000-02-14,15.63,15.75,14.88,15.06,2.40303353862227,389300,0.0,1.0
2000-02-15,14.94,16.0,14.94,15.63,2.49398500721554,296100,0.0,1.0
2000-02-16,15.75,17.13,15.5,16.88,2.69343998220079,572300,0.0,1.0
2000-02-17,16.59,17.38,16.56,16.88,2.69343998220079,383000,0.0,1.0
