date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,75.88,76.5,75.25,75.31,23.1825187728884,357000,0.0,1.0
1999-11-02,75.19,77.5,74.75,76.06,23.4133896941428,360500,0.0,1.0
1999-11-03,75.81,75.88,73.75,74.06,22.7977339041311,249300,0.0,1.0
1999-11-04,75.0,75.06,73.56,73.94,22.7607945567305,449200,0.0,1.0
1999-11-05,74.5,75.88,73.69,73.69,22.683837582979,633300,0.0,1.0
1999-11-08,73.69,74.69,73.56,74.5,22.9331781779337,457700,0.0,1.0
1999-11-09,75.5,75.5,74.13,75.0,23.0870921254366,496500,0.0,1.0
1999-11-10,73.5,74.38,72.69,73.81,22.7207769303797,316600,0.0,1.0
1999-11-11,73.81,74.19,73.06,74.0,22.7792642304308,254100,0.0,1.0
1999-11-12,74.25,77.31,74.13,76.94,23.6842782417479,469800,0.0,1.0
1999-11-15,77.19,77.25,76.13,77.25,23.7797048891997,290300,0.0,1.0
1999-11-16,77.25,78.44,76.94,78.38,24.1275504105563,470700,0.0,1.0
1999-11-17,77.5,77.75,76.19,76.25,23.4718769941939,174400,0.0,1.0
1999-11-18,76.25,76.75,75.31,76.69,23.6073212679965,192400,0.0,1.0
1999-11-19,76.69,76.69,75.56,75.88,23.3579806730417,150700,0.0,1.0
1999-11-22,74.88,75.0,72.81,73.0,22.471436335425,350600,0.0,1.0
1999-11-23,72.5,72.88,71.63,72.63,22.3575400142728,254700,0.0,1.0
1999-11-24,72.19,73.75,70.81,73.5,22.6253502829279,300000,0.0,1.0
1999-11-26,73.13,73.81,72.69,73.63,22.6653679092786,130800,0.0,1.0
1999-11-29,73.0,73.06,71.0,71.25,21.9327375191648,354000,0.0,1.0
1999-11-30,70.5,74.13,70.38,73.44,22.6068806092275,567300,0.0,1.0
1999-12-01,72.25,73.13,71.63,71.88,22.1266690930185,396600,0.0,1.0
1999-12-02,71.69,72.44,71.25,71.38,21.9727551455155,280000,0.0,1.0
1999-12-03,72.13,75.0,72.13,74.5,22.9331781779337,581800,0.0,1.0
1999-12-06,74.75,74.75,72.06,72.56,22.3359920616224,589500,0.0,1.0
1999-12-07,72.81,72.81,70.13,71.38,21.9727551455155,470200,0.0,1.0
1999-12-08,73.13,73.13,68.75,69.06,21.258594429102,752600,0.0,1.0
1999-12-09,69.56,71.63,69.31,71.25,21.9327375191648,421400,0.0,1.0
1999-12-10,72.5,74.38,71.81,73.88,22.7423248830301,518300,0.0,1.0
1999-12-13,73.69,73.88,72.25,73.03,22.4806711722752,368500,0.0,1.0
1999-12-14,73.06,73.25,72.13,72.5,22.3175223879221,369700,0.0,1.0
1999-12-15,72.25,72.38,71.0,71.25,21.9327375191648,262700,0.0,1.0
1999-12-16,71.0,71.06,67.5,67.88,20.8953575129952,640500,0.0,1.0
1999-12-17,69.38,69.38,69.38,69.38,21.3570993555039,596300,0.0,1.0
1999-12-20,69.63,71.25,68.88,69.81,21.4894653503564,380600,0.0,1.0
1999-12-21,70.0,71.5,69.56,71.13,21.8957981717641,431600,0.0,1.0
1999-12-22,70.5,70.63,69.69,69.69,21.4525260029557,472000,0.0,1.0
1999-12-23,70.5,71.0,70.0,70.31,21.6433792978593,311900,0.0,1.0
1999-12-27,70.0,71.0,69.56,70.0,21.5479526504075,391200,0.0,1.0
1999-12-28,69.75,72.06,69.75,71.25,21.9327375191648,321000,0.0,1.0
1999-12-29,71.88,73.69,71.88,73.0,22.471436335425,266100,0.0,1.0
1999-12-30,72.56,74.25,72.56,73.38,22.6376633987281,201000,0.16,1.0
1999-12-31,73.88,74.13,73.06,73.06,22.538943689167,115900,0.0,1.0
2000-01-03,73.0,73.0,68.44,69.75,21.5178116933945,647700,0.0,1.0
2000-01-04,69.5,69.5,65.13,65.88,20.32392020589,658000,0.0,1.0
2000-01-05,65.88,68.13,65.25,67.5,20.823688735543,519700,0.0,1.0
2000-01-06,67.0,70.38,66.81,69.88,21.5579165754037,678100,0.0,1.0
2000-01-07,70.63,72.69,70.13,72.38,22.3291643063497,581200,0.0,1.0
2000-01-10,71.75,72.81,71.63,71.94,22.1934247057032,518300,0.0,1.0
2000-01-11,72.0,74.19,71.81,73.38,22.6376633987281,690500,0.0,1.0
2000-01-12,72.38,75.0,72.38,74.56,23.0016923277347,643900,0.0,1.0
2000-01-13,75.75,76.81,75.19,76.38,23.5631606758634,708000,0.0,1.0
2000-01-14,77.25,79.38,76.38,79.06,24.3899382434375,610900,0.0,1.0
2000-01-18,78.88,78.88,75.0,76.5,23.6001805669488,987500,0.0,1.0
2000-01-19,76.5,77.5,75.88,76.38,23.5631606758634,541000,0.0,1.0
2000-01-20,76.38,76.38,74.5,75.94,23.4274210752169,533600,0.0,1.0
2000-01-21,76.44,77.25,75.19,76.94,23.7359201675953,659100,0.0,1.0
2000-01-24,77.0,77.38,74.75,75.19,23.1960467559331,476400,0.0,1.0
2000-01-25,75.19,78.0,75.06,77.94,24.0444192599737,583600,0.0,1.0
2000-01-26,77.5,80.81,77.06,80.81,24.9298116550997,404400,0.0,1.0
2000-01-27,81.44,82.75,80.75,82.75,25.5282998943139,631500,0.0,1.0
2000-01-28,80.88,81.13,78.38,78.75,24.2943035248002,638000,0.0,1.0
2000-01-31,77.88,80.5,77.5,80.19,24.7385422178251,742800,0.0,1.0
2000-02-01,80.0,82.44,79.06,82.13,25.3370304570393,527500,0.0,1.0
2000-02-02,81.88,82.5,80.31,82.25,25.3740503481247,604000,0.0,1.0
2000-02-03,82.25,83.69,80.56,83.69,25.8182890411496,509400,0.0,1.0
2000-02-04,80.81,84.44,80.06,80.81,24.9298116550997,570000,0.0,1.0
2000-02-07,81.06,81.25,79.69,80.06,24.6984373358159,238700,0.0,1.0
2000-02-08,81.0,84.19,80.63,84.19,25.9725385873388,613500,0.0,1.0
2000-02-09,82.75,82.75,80.38,80.5,24.8341769364624,322200,0.0,1.0
2000-02-10,80.25,80.69,78.25,79.13,24.411533179904,372300,0.0,1.0
2000-02-11,79.38,80.75,78.13,78.56,24.2356886972483,296800,0.0,1.0
2000-02-14,78.31,79.0,76.88,78.75,24.2943035248002,460800,0.0,1.0
2000-02-15,79.0,80.44,78.13,80.19,24.7385422178251,483100,0.0,1.0
2000-02-16,79.5,80.0,78.75,79.31,24.4670630165321,286700,0.0,1.0
2000-02-17,79.63,80.19,76.81,77.69,23.9672944868791,323300,0.0,1.0
2000-02-18,77.0,77.19,73.5,74.06,22.8474427815454,700300,0.0,1.0
2000-02-22,74.0,76.75,73.75,76.63,23.640285448958,687900,0.0,1.0
2000-02-23,75.5,75.69,74.13,74.13,22.8690377180119,503400,0.0,1.0
2000-02-24,73.0,73.5,71.0,72.63,22.4062890794443,693200,0.0,1.0
2000-02-25,72.63,74.5,71.0,71.75,22.1348098781513,812900,0.0,1.0
2000-02-28,71.75,75.44,71.75,73.69,22.7332981173654,674700,0.0,1.0
2000-02-29,73.44,74.0,71.75,72.88,22.4834138525389,484500,0.0,1.0
2000-03-01,72.63,72.75,71.25,72.25,22.2890594243405,419900,0.0,1.0
2000-03-02,72.38,72.63,71.44,72.19,22.2705494787978,208900,0.0,1.0
2000-03-03,73.38,73.94,72.06,72.13,22.2520395332551,502600,0.0,1.0
2000-03-06,70.5,72.13,70.25,70.44,21.7306760671356,403600,0.0,1.0
2000-03-07,69.25,69.63,65.88,65.88,20.32392020589,803500,0.0,1.0
2000-03-08,65.63,65.69,62.44,63.38,19.552672474944,1360500,0.0,1.0
2000-03-09,63.38,66.69,63.38,66.63,20.5552945251738,527900,0.0,1.0
2000-03-10,67.13,68.0,66.19,67.63,20.8637936175522,594700,0.0,1.0
2000-03-13,65.88,70.25,65.56,67.31,20.7650739079911,623000,0.0,1.0
2000-03-14,67.13,68.44,65.69,66.31,20.4565748156127,300400,0.0,1.0
2000-03-15,67.25,74.63,67.25,72.81,22.4618189160724,1303600,0.0,1.0
2000-03-16,75.0,86.0,74.94,85.81,26.4723071169918,2437700,0.0,1.0
2000-03-17,85.56,88.31,84.38,86.38,26.6481515996475,1688200,0.0,1.0
2000-03-20,86.0,86.0,80.81,84.88,26.1854029610799,1116900,0.0,1.0
2000-03-21,82.38,88.75,82.13,87.25,26.9165458100167,1067800,0.0,1.0
2000-03-22,88.25,93.25,87.5,92.5,28.5361660450034,785500,0.0,1.0
2000-03-23,91.19,101.5,90.63,100.4,30.9733088747929,1343000,0.0,1.0
2000-03-24,99.25,99.25,92.0,93.62,28.8816850284672,1591400,0.0,1.0
2000-03-27,94.63,94.69,89.31,92.06,28.4004264443569,685900,0.0,1.0
2000-03-28,94.0,99.5,94.0,94.56,29.171674175303,858600,0.0,1.0
2000-03-29,96.88,98.94,95.56,96.75,29.8472871876117,686000,0.0,1.0
2000-03-30,96.63,98.0,93.25,93.31,28.8354101646105,592400,0.16,1.0
2000-03-31,95.0,99.69,95.0,96.88,29.9386404109684,793300,0.0,1.0
2000-04-03,97.25,108.6,97.25,106.1,32.7878793105259,1204500,0.0,1.0
2000-04-04,103.0,106.3,97.44,102.3,31.6135726057191,1541400,0.0,1.0
2000-04-05,101.9,102.9,98.81,100.9,31.1809332934219,715100,0.0,1.0
2000-04-06,100.9,101.3,94.75,96.94,29.9571820957812,685900,0.0,1.0
2000-04-07,96.5,96.56,92.06,93.75,28.9713825199039,635000,0.0,1.0
2000-04-10,93.63,98.75,92.63,97.5,30.1302378207001,786700,0.0,1.0
2000-04-11,97.75,99.44,96.19,97.88,30.2476684911807,444100,0.0,1.0
2000-04-12,99.5,106.5,99.5,101.4,31.3354473335281,964900,0.0,1.0
2000-04-13,101.4,101.4,96.81,97.06,29.9942654654066,591200,0.0,1.0
2000-04-14,96.81,96.81,85.19,87.13,26.9256166288984,1365900,0.0,1.0
2000-04-17,88.13,92.38,88.13,90.19,27.8712425543481,1074100,0.0,1.0
2000-04-18,92.0,97.94,91.63,97.5,30.1302378207001,930900,0.0,1.0
2000-04-19,97.0,97.0,92.88,93.63,28.9342991502784,404500,0.0,1.0
2000-04-20,93.75,96.13,93.5,95.94,29.6481540155689,373900,0.0,1.0
2000-04-24,94.13,99.75,94.13,99.56,30.7668356659374,756100,0.0,1.0
2000-04-25,99.63,104.3,99.0,103.9,32.1080175340588,789600,0.0,1.0
2000-04-26,103.9,103.9,99.5,99.94,30.8842663364181,798200,0.0,1.0
2000-04-27,96.5,99.31,95.06,98.94,30.5752382562058,994800,0.0,1.0
2000-04-28,98.13,99.5,95.81,96.88,29.9386404109684,524200,0.0,1.0
2000-05-01,96.13,104.4,95.31,101.3,31.3045445255068,1153100,0.0,1.0
2000-05-02,100.5,107.8,100.0,103.4,31.9535034939527,1328700,0.0,1.0
2000-05-03,103.4,108.6,102.4,106.1,32.7878793105259,1357200,0.0,1.0
2000-05-04,106.0,106.5,103.3,105.6,32.6333652704198,729300,0.0,1.0
2000-05-05,104.6,107.5,103.2,103.7,32.0462119180164,683700,0.0,1.0
2000-05-08,103.4,107.9,102.5,106.8,33.0041989666745,907800,0.0,1.0
2000-05-09,107.1,107.8,103.0,104.3,32.2316287661438,779400,0.0,1.0
2000-05-10,104.3,104.8,102.4,103.8,32.0771147260376,729700,0.0,1.0
2000-05-11,105.5,110.3,105.5,109.0,33.6840607431416,1025200,0.0,1.0
2000-05-12,108.8,113.9,107.9,110.2,34.0548944393964,1102200,0.0,1.0
2000-05-15,111.0,116.0,110.9,116.0,35.8472573046278,985000,0.0,1.0
2000-05-16,116.0,117.4,110.3,111.8,34.5493393677361,1017600,0.0,1.0
2000-05-17,110.4,113.1,109.0,112.4,34.7347562158635,811100,0.0,1.0
2000-05-18,112.4,117.2,112.4,112.9,34.8892702559696,694600,0.0,1.0
2000-05-19,112.0,113.7,109.8,113.1,34.9510758720121,808900,0.0,1.0
2000-05-22,113.1,116.0,112.1,116.0,35.8472573046278,910900,0.0,1.0
2000-05-23,116.0,121.3,115.5,119.3,36.8670499693284,1002200,0.0,1.0
2000-05-24,123.0,123.0,117.5,119.0,36.7743415452647,1284300,0.0,1.0
2000-05-25,117.0,117.0,105.4,109.4,33.8076719752265,1915200,0.0,1.0
2000-05-26,109.4,113.9,108.0,111.9,34.5802421757573,919000,0.0,1.0
2000-05-30,112.5,112.9,108.1,110.9,34.271214095545,933200,0.0,1.0
2000-05-31,112.0,114.9,111.8,111.8,34.5493393677361,821300,0.0,1.0
2000-06-01,111.3,112.0,105.2,108.5,33.5295467030355,1192700,0.0,1.0
2000-06-02,111.0,114.9,110.0,110.6,34.1785056714813,1212200,0.0,1.0
2000-06-05,110.5,110.5,104.1,106.6,32.9423933506321,1482700,0.0,1.0
2000-06-06,106.1,106.1,101.5,104.9,32.4170456142711,799700,0.0,1.0
2000-06-07,105.0,109.4,105.0,107.9,33.3441298549081,772400,0.0,1.0
2000-06-08,106.0,106.7,104.1,106.0,32.7569765025047,432800,0.0,1.0
2000-06-09,105.9,106.6,103.1,103.5,31.9844063019739,474100,0.0,1.0
2000-06-12,103.8,104.9,102.0,103.8,32.0771147260376,368300,0.0,1.0
2000-06-13,103.9,105.5,102.1,104.4,32.262531574165,374900,0.0,1.0
2000-06-14,106.0,108.7,105.1,107.6,33.2514214308444,606700,0.0,1.0
2000-06-15,106.5,109.6,102.6,109.0,33.6840607431416,1000800,0.0,1.0
2000-06-16,108.3,108.3,102.7,102.8,31.7680866458253,1100500,0.0,1.0
2000-06-19,103.0,106.5,103.0,104.1,32.1698231501013,877200,0.0,1.0
2000-06-20,104.4,105.4,101.7,103.8,32.0771147260376,489900,0.0,1.0
2000-06-21,102.8,102.8,99.13,100.0,30.9028080212308,623700,0.0,1.0
2000-06-22,99.81,103.8,99.0,103.8,32.0771147260376,808300,0.0,1.0
2000-06-23,103.3,104.7,101.8,102.6,31.7062810297828,656200,0.0,1.0
2000-06-26,102.1,106.6,102.1,105.9,32.7260736944835,636400,0.0,1.0
2000-06-27,107.3,108.5,104.8,106.8,33.0041989666745,573600,0.0,1.0
2000-06-28,105.0,108.8,104.4,107.0,33.066004582717,715600,0.0,1.0
2000-06-29,106.8,106.8,104.1,106.1,32.840414084162,484000,0.17,1.0
2000-06-30,107.0,107.4,104.6,106.1,32.840414084162,734500,0.0,1.0
2000-07-03,105.3,105.4,104.9,105.1,32.5308908599946,690700,0.0,1.0
2000-07-05,106.4,110.5,106.4,109.3,33.8308884014977,640700,0.0,1.0
2000-07-06,109.2,109.6,107.6,108.9,33.7070791118307,636600,0.0,1.0
2000-07-07,109.5,113.0,109.5,112.4,34.7904103964167,583700,0.0,1.0
2000-07-10,112.6,114.9,112.5,113.5,35.1308859430008,701000,0.0,1.0
2000-07-11,112.9,117.9,112.9,117.5,36.3689788396705,817700,0.0,1.0
2000-07-12,116.5,117.8,109.3,109.6,33.9237453687479,1596300,0.0,1.0
2000-07-13,109.5,110.5,102.8,105.3,32.5927955048281,1377200,0.0,1.0
2000-07-14,104.5,109.9,104.5,108.6,33.6142221445805,732200,0.0,1.0
2000-07-17,110.3,110.7,108.3,109.5,33.8927930463312,729200,0.0,1.0
2000-07-18,109.5,109.7,106.7,107.9,33.3975558876633,502900,0.0,1.0
2000-07-19,105.0,109.0,103.5,107.1,33.1499373083294,833000,0.0,1.0
2000-07-20,107.3,112.1,107.3,109.9,34.0166023359982,1177300,0.0,1.0
2000-07-21,110.1,110.8,105.8,106.4,32.9332710514122,673700,0.0,1.0
2000-07-24,108.0,108.0,105.1,105.9,32.7785094393285,514100,0.0,1.0
2000-07-25,105.9,106.0,101.4,102.1,31.6023211874924,607600,0.0,1.0
2000-07-26,102.0,102.0,99.38,100.4,31.0761317064078,558700,0.0,1.0
