date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,27.88,28.0,27.44,27.5,13.7208200499143,317400,0.0,1.0
1999-11-02,27.38,27.69,27.0,27.0,13.4713505944613,316500,0.0,1.0
1999-11-03,27.25,27.5,26.31,27.19,13.5661489875334,321200,0.0,1.0
1999-11-04,27.44,27.5,27.06,27.25,13.5960853221878,136700,0.0,1.0
1999-11-05,27.5,28.88,27.31,27.5,13.7208200499143,188000,0.0,1.0
1999-11-08,27.25,28.38,27.13,27.69,13.8156184429864,303900,0.0,1.0
1999-11-09,27.63,29.5,27.13,29.44,14.6887615370719,451300,0.0,1.0
1999-11-10,31.25,32.0,30.0,30.38,15.1577641133235,635700,0.0,1.0
1999-11-11,30.44,31.13,30.06,30.44,15.1877004479779,300200,0.0,1.0
1999-11-12,30.44,31.38,30.25,31.13,15.531968296503,270100,0.0,1.0
1999-11-15,31.06,31.06,30.25,30.25,15.0929020549057,214200,0.0,1.0
1999-11-16,30.25,33.63,30.25,32.94,16.4350477252428,437300,0.0,1.0
1999-11-17,32.88,33.44,32.38,32.69,16.3103129975163,476000,0.0,1.0
1999-11-18,32.75,33.19,32.38,32.81,16.370185666825,298900,0.0,1.0
1999-11-19,32.56,33.0,32.06,32.06,15.9959814836455,339800,0.0,1.0
1999-11-22,31.81,32.13,31.31,31.56,15.7465120281925,224000,0.0,1.0
1999-11-23,31.31,31.44,30.75,31.0,15.5768727984845,210400,0.22,1.0
1999-11-24,30.81,31.75,30.5,31.25,15.7024927404078,234600,0.0,1.0
1999-11-26,31.25,31.31,30.75,30.75,15.4512528565613,56100,0.0,1.0
1999-11-29,30.0,31.5,30.0,30.94,15.5467240124229,238200,0.0,1.0
1999-11-30,30.75,31.63,30.63,31.13,15.6421951682846,122600,0.0,1.0
1999-12-01,30.88,31.25,30.69,31.06,15.6070215845461,254000,0.0,1.0
1999-12-02,31.13,31.25,30.69,30.94,15.5467240124229,87300,0.0,1.0
1999-12-03,31.13,31.88,31.13,31.38,15.7678151102079,303200,0.0,1.0
1999-12-06,31.13,32.38,31.13,32.13,16.1446749359777,291600,0.0,1.0
1999-12-07,31.5,32.5,31.31,31.44,15.7979638962695,124500,0.0,1.0
1999-12-08,31.56,31.94,31.38,31.75,15.9537326242543,89300,0.0,1.0
1999-12-09,31.69,32.0,31.25,31.31,15.7326415264694,134700,0.0,1.0
1999-12-10,31.5,31.75,30.0,31.13,15.6421951682846,144900,0.0,1.0
1999-12-13,31.31,31.44,30.81,31.19,15.6723439543462,238100,0.0,1.0
1999-12-14,31.19,31.88,30.94,30.94,15.5467240124229,320600,0.0,1.0
1999-12-15,30.75,30.81,29.75,29.88,15.0140954586683,166700,0.0,1.0
1999-12-16,30.0,30.0,29.38,29.75,14.9487730888682,278400,0.0,1.0
1999-12-17,29.81,29.81,29.81,29.81,14.9789218749298,305300,0.0,1.0
1999-12-20,29.31,29.38,28.31,28.94,14.5417644770368,112400,0.0,1.0
1999-12-21,28.94,29.75,28.63,29.69,14.9186243028066,168300,0.0,1.0
1999-12-22,29.69,30.44,29.69,30.06,15.1045418168531,271900,0.0,1.0
1999-12-23,30.0,30.25,29.56,29.88,15.0140954586683,122900,0.0,1.0
1999-12-27,29.94,29.94,29.25,29.38,14.7628555748218,242200,0.0,1.0
1999-12-28,29.44,30.13,29.38,30.06,15.1045418168531,234600,0.0,1.0
