date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,53.0,56.25,53.0,53.75,21.4870418421688,190800,0.0,1.0
1999-11-02,53.75,55.38,53.75,54.19,21.6629357660861,137500,0.0,1.0
1999-11-03,55.63,58.25,55.38,57.0,22.7862583256488,418700,0.0,1.0
1999-11-04,56.75,60.13,56.75,59.0,23.5857761616364,278600,0.0,1.0
1999-11-05,59.5,61.5,57.25,57.88,23.1380461734833,126400,0.0,1.0
1999-11-08,58.13,60.56,57.75,60.19,24.0614892740491,312300,0.0,1.0
1999-11-09,61.13,63.0,60.88,61.75,24.6851131861195,531800,0.0,1.0
1999-11-10,61.81,63.94,61.5,63.19,25.2607660280306,240800,0.0,1.0
1999-11-11,64.0,64.62,60.25,61.81,24.7090987211991,185600,0.0,1.0
1999-11-12,61.81,62.13,60.13,62.06,24.8090384506976,69400,0.0,1.0
1999-11-15,61.25,62.19,57.5,58.5,23.3858967026395,59300,0.0,1.0
1999-11-16,58.84,63.88,58.75,63.75,25.4846310221072,260200,0.0,1.0
1999-11-17,64.0,65.62,63.69,63.94,25.560585216526,296400,0.0,1.0
1999-11-18,65.5,66.0,64.37,64.56,25.8084357456822,219900,0.0,1.0
1999-11-19,65.12,67.62,64.5,66.0,26.3840885875933,284500,0.0,1.0
1999-11-22,67.12,67.62,65.56,66.25,26.4840283170918,213200,0.0,1.0
1999-11-23,66.87,66.87,64.12,65.5,26.1842091285964,183700,0.0,1.0
1999-11-24,65.44,65.75,62.13,62.94,25.1608262985322,86700,0.0,1.0
1999-11-26,66.44,67.5,65.0,65.5,26.1842091285964,70000,0.0,1.0
1999-11-29,65.75,66.62,63.88,64.0,25.5845707516056,132800,0.0,1.0
1999-11-30,63.63,65.0,60.5,60.5,24.1854145386272,207700,0.0,1.0
1999-12-01,60.5,61.75,60.13,60.38,24.1374434684679,189700,0.0,1.0
1999-12-02,59.19,61.0,59.19,60.19,24.0614892740491,137800,0.0,1.0
1999-12-03,60.44,62.94,60.22,61.88,24.7370818454587,90600,0.0,1.0
1999-12-06,62.03,65.31,61.63,64.53,25.7964429781424,267300,0.0,1.0
1999-12-07,65.56,66.0,64.56,65.0,25.9843296695995,115600,0.0,1.0
1999-12-08,65.87,66.12,62.69,65.0,25.9843296695995,120300,0.0,1.0
1999-12-09,66.0,66.25,62.44,63.25,25.2847515631103,242300,0.0,1.0
1999-12-10,63.63,65.0,62.5,63.75,25.4846310221072,44400,0.0,1.0
1999-12-13,64.75,65.5,62.0,62.38,24.9369613044556,53400,0.0,1.0
1999-12-14,62.44,62.88,58.13,58.13,23.2379859029818,136900,0.0,1.0
1999-12-15,58.69,58.69,54.25,56.06,22.4104849427346,278400,0.0,1.0
