date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,52.0,53.0,51.31,53.0,9.3998749821198,5985500,0.0,1.0
1999-11-02,53.0,53.0,50.5,50.75,9.00082368570906,7057100,0.0,1.0
1999-11-03,50.75,51.13,49.63,50.56,8.96712602067882,7647100,0.0,1.0
1999-11-04,50.31,50.81,49.5,49.81,8.83410892187524,5442700,0.0,1.0
1999-11-05,51.0,51.44,50.5,51.25,9.08950175157811,4816700,0.0,1.0
1999-11-08,50.63,51.69,50.63,51.0,9.04516271864359,3490600,0.0,1.0
1999-11-09,51.19,51.31,50.75,50.81,9.01146505361335,3747700,0.0,1.0
1999-11-10,50.75,51.38,50.44,50.88,9.02387998283501,5801200,0.0,1.0
1999-11-11,51.06,51.38,50.69,51.13,9.06821901576954,4774000,0.0,1.0
1999-11-12,51.44,51.81,50.75,51.06,9.05580408654787,3773000,0.0,1.0
1999-11-15,50.94,51.31,50.25,50.94,9.0345213507393,3558300,0.0,1.0
1999-11-16,50.94,51.06,49.88,50.69,8.99018231780477,6193000,0.0,1.0
1999-11-17,50.56,52.44,50.5,51.63,9.1568970816386,5154600,0.0,1.0
1999-11-18,51.88,52.0,50.63,51.34,9.10546380343454,5313700,0.0,1.0
1999-11-19,50.0,51.94,50.0,51.5,9.13384078451264,5277500,0.0,1.0
1999-11-22,51.44,52.31,50.38,51.38,9.11255804870407,6078000,0.0,1.0
1999-11-23,51.31,51.69,50.75,51.13,9.06821901576954,4710500,0.0,1.0
1999-11-24,52.0,52.0,50.75,50.94,9.0345213507393,4564500,0.0,1.0
1999-11-26,51.0,52.88,50.94,52.0,9.22251885038169,2666300,0.0,1.0
1999-11-29,52.0,52.25,51.44,52.0,9.22251885038169,5189500,0.0,1.0
1999-11-30,52.06,53.88,51.75,51.88,9.20123611457312,7482200,0.0,1.0
1999-12-01,52.06,52.75,51.56,52.13,9.24557514750765,5089900,0.0,1.0
1999-12-02,51.88,52.63,51.0,51.56,9.14448215241693,3891500,0.0,1.0
1999-12-03,52.88,53.94,52.38,53.5,9.48855304798886,5235100,0.0,1.0
1999-12-06,53.88,54.0,52.56,53.06,9.41051635002409,3561300,0.0,1.0
1999-12-07,53.0,55.5,52.19,54.94,9.74394587769174,8251100,0.0,1.0
1999-12-08,54.06,54.56,53.56,54.07,9.58964604307958,4589000,0.0,1.0
1999-12-09,54.19,54.94,53.63,54.0,9.57723111385791,4709800,0.0,1.0
1999-12-10,54.19,54.31,53.06,53.5,9.48855304798886,3171600,0.0,1.0
1999-12-13,52.94,53.31,51.63,53.31,9.45485538295862,4399300,0.0,1.0
1999-12-14,53.0,54.38,52.31,53.25,9.44421401505433,5476400,0.0,1.0
1999-12-15,53.5,53.56,51.88,52.06,9.23316021828598,5143000,0.0,1.0
1999-12-16,51.81,52.0,50.75,51.5,9.13384078451264,7701200,0.0,1.0
1999-12-17,51.12,51.69,50.94,51.38,9.11255804870407,8651100,0.0,1.0
1999-12-20,51.0,51.25,50.0,50.56,8.96712602067882,5554000,0.0,1.0
1999-12-21,50.06,51.06,50.06,50.5,8.95648465277453,4530900,0.0,1.0
1999-12-22,50.75,51.25,50.06,50.25,8.91214561984,4351800,0.0,1.0
1999-12-23,50.75,51.13,50.38,50.81,9.01146505361335,2918500,0.0,1.0
1999-12-27,50.81,51.0,48.5,48.94,8.67980908726308,4761800,0.0,1.0
1999-12-28,49.69,49.94,48.94,49.25,8.73478948810189,2941400,0.0,1.0
1999-12-29,49.38,49.63,47.38,47.5,8.4244162575602,3560700,0.0,1.0
1999-12-30,48.0,48.5,47.5,47.69,8.45811392259044,3127000,0.0,1.0
1999-12-31,48.06,49.0,48.0,48.75,8.64611142223284,2021800,0.0,1.0
2000-01-03,48.56,49.0,46.62,47.0,8.33573819169115,5791900,0.0,1.0
2000-01-04,47.06,47.75,43.5,44.25,7.84800882941135,7173600,0.0,1.0
2000-01-05,45.0,45.13,44.44,44.75,7.9366868952804,9090000,0.0,1.0
2000-01-06,44.56,45.0,43.13,43.75,7.80256132065346,7153600,0.2437,1.0
2000-01-07,44.56,44.75,43.38,44.13,7.87033213898142,5885600,0.0,1.0
2000-01-10,44.75,45.0,44.25,44.75,7.98090557941125,7118700,0.0,1.0
2000-01-11,44.69,44.94,43.81,44.13,7.87033213898142,6472800,0.0,1.0
2000-01-12,43.5,43.56,41.5,41.81,7.45657345866334,8920000,0.0,1.0
2000-01-13,42.38,42.94,40.75,40.81,7.27822919990554,8250000,0.0,1.0
2000-01-14,41.25,42.0,40.0,42.0,7.49045886782732,9888300,0.0,1.0
2000-01-18,42.13,43.06,40.88,41.13,7.33529936270804,9824500,0.0,1.0
2000-01-19,41.0,41.0,40.0,40.56,7.2336431352161,10212300,0.0,1.0
2000-01-20,40.81,41.56,40.06,41.0,7.31211460906952,10080400,0.0,1.0
2000-01-21,42.88,43.38,42.0,43.0,7.66880312658511,15950400,0.0,1.0
2000-01-24,43.44,43.5,40.94,42.0,7.49045886782732,9980400,0.0,1.0
2000-01-25,41.0,41.13,38.56,40.0,7.13377035031173,15943100,0.0,1.0
2000-01-26,40.5,40.5,39.69,40.0,7.13377035031173,7662100,0.0,1.0
2000-01-27,40.06,40.31,39.0,39.0,6.95542609155394,6920100,0.0,1.0
2000-01-28,39.31,40.44,39.0,39.25,7.00001215624339,8650600,0.0,1.0
2000-01-31,39.5,43.5,39.06,42.88,7.64740181553418,11255300,0.0,1.0
2000-02-01,43.0,43.0,41.75,42.38,7.55822968615528,8949600,0.0,1.0
2000-02-02,43.0,43.13,42.5,42.5,7.57963099720621,6675100,0.0,1.0
2000-02-03,43.0,43.19,41.31,42.0,7.49045886782732,7703800,0.0,1.0
2000-02-04,42.0,42.38,41.56,42.0,7.49045886782732,6773000,0.0,1.0
2000-02-07,41.38,42.31,41.06,41.88,7.46905755677638,5804500,0.0,1.0
2000-02-08,42.5,43.0,42.0,42.06,7.50115952335279,5669800,0.0,1.0
2000-02-09,42.31,42.81,42.0,42.63,7.60281575084473,6809500,0.0,1.0
2000-02-10,42.38,42.44,41.94,42.13,7.51364362146583,5151200,0.0,1.0
2000-02-11,42.0,42.06,39.75,40.44,7.21224182416516,5575700,0.0,1.0
2000-02-14,39.5,41.5,39.44,40.88,7.29071329801859,8459100,0.0,1.0
2000-02-15,40.0,41.0,39.56,40.69,7.25682788885461,8191900,0.0,1.0
2000-02-16,40.38,40.69,38.75,39.06,6.96612674707941,8475100,0.0,1.0
2000-02-17,38.94,40.0,38.0,40.0,7.13377035031173,9273600,0.0,1.0
2000-02-18,38.06,38.25,36.0,38.25,6.82166789748559,13922400,0.0,1.0
2000-02-22,37.25,37.31,35.56,36.5,6.50956544465945,14056000,0.0,1.0
2000-02-23,36.0,36.5,34.81,35.75,6.37580725059111,12876300,0.0,1.0
2000-02-24,35.44,35.88,34.81,35.5,6.33122118590166,12888000,0.0,1.0
2000-02-25,36.0,36.69,34.94,35.44,6.32052053037619,11357400,0.0,1.0
2000-02-28,35.75,37.5,35.75,37.0,6.59873757403835,11264900,0.0,1.0
2000-02-29,37.19,38.13,37.13,37.75,6.7324957681067,8579000,0.0,1.0
2000-03-01,40.06,42.0,39.75,42.0,7.49045886782732,15273600,0.0,1.0
2000-03-02,43.0,46.0,42.81,45.25,8.07007770879015,14977200,0.0,1.0
2000-03-03,45.5,46.0,44.19,45.56,8.12536442900506,8890700,0.0,1.0
2000-03-06,44.56,44.56,42.75,43.38,7.73657394491307,6434200,0.0,1.0
2000-03-07,43.56,44.44,41.88,41.88,7.46905755677638,6848900,0.0,1.0
2000-03-08,41.88,42.06,41.38,41.63,7.42447149208693,6801600,0.0,1.0
2000-03-09,41.38,41.63,40.63,41.56,7.41198739397389,5970700,0.0,1.0
2000-03-10,41.56,42.5,41.44,42.0,7.49045886782732,7409900,0.0,1.0
2000-03-13,41.25,44.0,41.06,43.69,7.79186066512799,6477800,0.0,1.0
2000-03-14,43.75,43.75,42.0,42.13,7.51364362146583,6635300,0.0,1.0
2000-03-15,42.63,43.0,42.31,42.5,7.57963099720621,7035600,0.0,1.0
2000-03-16,43.94,45.5,42.94,45.13,8.04867639773921,9511100,0.0,1.0
2000-03-17,45.38,46.81,45.13,45.75,8.15924983816904,9068200,0.0,1.0
2000-03-20,45.13,45.75,44.19,44.44,7.92561885919633,4634400,0.0,1.0
2000-03-21,44.56,45.38,43.81,45.25,8.07007770879015,4397500,0.0,1.0
2000-03-22,44.38,44.94,43.0,43.31,7.72408984680003,5046800,0.0,1.0
2000-03-23,42.44,44.0,42.38,43.56,7.76867591148948,5530300,0.0,1.0
2000-03-24,43.06,43.69,42.56,43.0,7.66880312658511,5129800,0.0,1.0
2000-03-27,43.13,43.63,42.44,43.19,7.70268853574909,5878800,0.0,1.0
2000-03-28,42.69,43.38,42.44,42.5,7.57963099720621,6264600,0.0,1.0
2000-03-29,42.94,43.88,41.94,42.25,7.53504493251677,6818400,0.0,1.0
2000-03-30,43.0,43.38,41.56,41.63,7.42447149208693,8871800,0.0,1.0
2000-03-31,42.5,43.0,42.0,42.13,7.51364362146583,7637900,0.0,1.0
2000-04-03,42.5,44.88,42.44,44.75,7.98090557941125,7712000,0.0,1.0
2000-04-04,45.0,47.19,44.75,46.0,8.20383590285849,10787700,0.0,1.0
2000-04-05,46.0,47.13,45.88,46.31,8.25912262307341,8541900,0.0,1.0
2000-04-06,46.06,47.31,46.0,46.6,8.35609731377296,5801500,0.2537,1.0
2000-04-07,47.0,47.19,45.31,46.38,8.31664792731308,5166700,0.0,1.0
2000-04-10,46.0,46.44,45.56,46.25,8.29333692622316,4222800,0.0,1.0
2000-04-11,46.31,48.25,46.06,47.25,8.47265231922258,6522900,0.0,1.0
2000-04-12,47.94,49.0,47.5,47.69,8.55155109214232,7787600,0.0,1.0
2000-04-13,47.31,47.31,46.0,47.0,8.42782347097272,5746000,0.0,1.0
2000-04-14,45.63,46.63,42.0,42.63,7.64421520356526,7487000,0.0,1.0
2000-04-17,43.5,43.56,40.88,41.88,7.5097286588157,7506700,0.0,1.0
2000-04-18,41.13,41.94,40.44,41.5,7.44158880947592,6746600,0.0,1.0
2000-04-19,41.44,42.63,41.13,41.94,7.52048758239566,7169800,0.0,1.0
2000-04-20,42.0,42.38,40.94,41.19,7.3860010376461,3875900,0.0,1.0
2000-04-24,41.19,42.44,41.0,42.25,7.57607535422548,4906400,0.0,1.0
2000-04-25,42.81,45.44,42.44,44.94,8.05843376139392,9328400,0.0,1.0
2000-04-26,45.0,45.19,43.5,44.0,7.88987729197446,7447300,0.0,1.0
2000-04-27,43.75,44.25,43.0,43.25,7.7553907472249,7162000,0.0,1.0
2000-04-28,43.5,44.31,43.25,43.81,7.85580736730458,7246500,0.0,1.0
2000-05-01,44.13,45.13,43.69,44.63,8.0028459895641,7139300,0.0,1.0
2000-05-02,44.5,44.5,41.75,42.38,7.59938635531541,7203000,0.0,1.0
2000-05-03,42.31,42.69,41.69,41.94,7.52048758239566,4745300,0.0,1.0
2000-05-04,42.0,42.0,40.81,41.06,7.36269003655617,4526200,0.0,1.0
2000-05-05,41.06,43.19,41.06,43.0,7.71056189897504,4670100,0.0,1.0
2000-05-08,42.63,42.94,41.88,42.88,7.68904405181511,3999300,0.0,1.0
2000-05-09,42.38,43.5,41.88,42.31,7.58683427780545,4813900,0.0,1.0
2000-05-10,42.5,46.0,42.25,45.13,8.09250368606381,8298300,0.0,1.0
2000-05-11,45.31,45.94,45.19,45.57,8.17140245898355,5161300,0.0,1.0
2000-05-12,44.69,45.0,44.19,44.84,8.04050222209398,3479800,0.0,1.0
2000-05-15,44.38,46.75,44.0,46.0,8.2485080779733,4819000,0.0,1.0
