date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,55.5,55.81,53.81,54.31,15.5136742884331,71300,0.0,1.0
1999-11-02,54.19,55.75,54.19,55.25,15.7821856828564,39900,0.0,1.0
1999-11-03,55.44,56.0,55.13,55.63,15.8907328423041,43100,0.0,1.0
1999-11-04,55.88,57.0,55.81,56.44,16.1221096821794,73400,0.0,1.0
1999-11-05,56.88,57.19,56.06,56.06,16.0135625227317,63600,0.0,1.0
1999-11-08,56.0,56.13,53.38,53.38,15.2480193982059,104000,0.0,1.0
1999-11-09,53.5,53.5,51.25,51.5,14.7109966093593,85800,0.0,1.0
1999-11-10,51.5,52.88,51.5,52.44,14.9795080037826,150200,0.0,1.0
1999-11-11,52.38,52.63,52.0,52.19,14.9080953988828,33500,0.0,1.0
1999-11-12,53.0,53.0,51.94,51.94,14.836682793983,49500,0.0,1.0
1999-11-15,52.0,53.0,51.94,52.81,15.0851986590343,54200,0.0,1.0
1999-11-16,53.0,53.0,51.88,52.0,14.853821819159,82900,0.0,1.0
1999-11-17,52.25,52.75,52.13,52.13,14.8909563737068,68100,0.0,1.0
1999-11-18,52.06,52.38,51.38,51.5,14.7109966093593,162800,0.0,1.0
1999-11-19,51.5,52.13,51.22,52.0,14.853821819159,157700,0.0,1.0
1999-11-22,52.0,52.19,51.56,51.56,14.7281356345353,127900,0.0,1.0
1999-11-23,51.5,52.25,51.31,51.75,14.7824092142591,93400,0.0,1.0
1999-11-24,51.63,52.25,51.63,52.13,14.8909563737068,306200,0.0,1.0
1999-11-26,52.13,52.13,51.06,51.06,14.6324427439696,23200,0.165,1.0
1999-11-29,51.0,51.63,50.69,51.19,14.6696972985468,131600,0.0,1.0
1999-11-30,51.25,51.56,49.63,49.75,14.2570314632293,102200,0.0,1.0
1999-12-01,49.75,50.44,48.38,50.19,14.3831238017985,249700,0.0,1.0
1999-12-02,51.5,51.75,50.25,51.44,14.7413406727339,191300,0.0,1.0
1999-12-03,53.31,53.88,52.44,52.5,15.0451085792872,174800,0.0,1.0
1999-12-06,52.13,52.25,51.06,51.25,14.6868917083517,46900,0.0,1.0
1999-12-07,51.25,52.0,51.25,51.44,14.7413406727339,226000,0.0,1.0
1999-12-08,51.56,52.0,51.0,51.0,14.6152483341647,69400,0.0,1.0
1999-12-09,50.75,50.75,47.94,48.63,13.9360691468711,119800,0.0,1.0
1999-12-10,48.75,49.44,48.63,49.13,14.0793558952453,146900,0.0,1.0
1999-12-13,49.94,51.13,48.13,48.88,14.0077125210582,324700,0.0,1.0
1999-12-14,48.88,50.69,48.88,50.06,14.3458692472212,224000,0.0,1.0
1999-12-15,49.94,51.13,49.63,51.06,14.6324427439696,106700,0.0,1.0
1999-12-16,51.06,51.63,51.06,51.44,14.7413406727339,122400,0.0,1.0
1999-12-17,51.0,52.38,50.75,51.0,14.6152483341647,251900,0.0,1.0
1999-12-20,52.25,52.38,51.44,51.94,14.8846274211081,159500,0.0,1.0
1999-12-21,51.94,52.63,51.31,51.69,14.812984046921,194200,0.0,1.0
1999-12-22,51.75,52.56,51.75,51.88,14.8674330113032,97600,0.0,1.0
1999-12-23,53.63,53.63,50.75,50.81,14.5607993697825,200100,0.0,1.0
1999-12-27,50.94,51.81,50.25,50.31,14.4175126214083,91600,0.0,1.0
1999-12-28,50.31,51.81,50.13,51.69,14.812984046921,78300,0.0,1.0
1999-12-29,51.81,51.88,51.56,51.69,14.812984046921,39900,0.0,1.0
