date,open,high,low,close,adjClose,volume,dividend,split
2006-03-15,23.95,24.69,23.45,24.1,8.85186666118235,7251200,0.0,1.0
2006-03-16,24.1,24.35,23.89,24.27,8.91430721439401,649100,0.0,1.0
2006-03-17,24.25,25.12,24.15,25.01,9.18610726955064,287000,0.0,1.0
2006-03-20,25.17,25.61,24.75,24.9,9.14570455864898,282800,0.0,1.0
2006-03-21,24.89,24.89,24.0,24.2,8.88859639836568,274700,0.0,1.0
2006-03-22,24.05,24.3,24.0,24.16,8.87390450349234,103000,0.0,1.0
2006-03-23,24.09,24.2,23.99,24.1,8.85186666118235,106200,0.0,1.0
2006-03-24,24.3,24.99,24.24,24.5,8.99878560991566,101300,0.0,1.0
2006-03-27,24.65,25.75,24.45,24.75,9.09060995287399,111700,0.0,1.0
2006-03-28,24.73,24.86,24.55,24.7,9.07224508428232,115400,0.0,1.0
2006-03-29,24.95,25.05,24.75,24.9,9.14570455864898,81900,0.0,1.0
2006-03-30,24.95,25.45,24.95,25.45,9.34771811315729,132400,0.0,1.0
2006-03-31,25.5,25.96,25.5,25.75,9.45790732470728,100100,0.0,1.0
2006-04-03,25.8,25.8,24.8,24.9,9.14570455864898,291800,0.0,1.0
2006-04-04,24.89,24.9,24.7,24.8,9.10897482146565,220200,0.0,1.0
2006-04-05,24.75,24.76,24.63,24.68,9.06489913684566,122200,0.0,1.0
2006-04-06,24.5,24.68,24.05,24.25,8.90696126695734,130100,0.0,1.0
2006-04-07,24.25,24.25,23.9,24.11,8.85553963490068,33700,0.0,1.0
2006-04-10,24.05,24.35,24.01,24.31,8.92899910926734,43800,0.0,1.0
2006-04-11,24.28,24.28,23.95,24.1,8.85186666118235,163800,0.0,1.0
2006-04-12,25.35,25.35,24.07,24.1,8.85186666118235,664800,0.0,1.0
2006-04-13,24.15,24.45,24.01,24.38,8.95470992529567,214700,0.0,1.0
2006-04-17,24.39,24.7,24.39,24.6,9.03551534709899,203100,0.0,1.0
2006-04-18,24.52,24.58,23.98,24.25,8.90696126695734,186400,0.0,1.0
2006-04-19,24.25,25.0,24.25,24.75,9.09060995287399,241600,0.0,1.0
2006-04-20,24.8,25.94,24.73,25.6,9.40281271893229,166400,0.0,1.0
2006-04-21,25.7,26.1,25.21,25.45,9.34771811315729,401800,0.0,1.0
2006-04-24,25.45,25.9,25.3,25.51,9.36975595546729,92400,0.0,1.0
2006-04-25,25.48,26.2,25.48,25.8,9.47627219329894,232500,0.0,1.0
2006-04-26,25.65,26.0,25.5,25.75,9.45790732470728,145000,0.0,1.0
2006-04-27,25.76,25.85,25.26,25.39,9.32568027084729,52300,0.0,1.0
2006-04-28,25.39,25.4,24.13,24.73,9.08326400543732,232200,0.0,1.0
2006-05-01,24.73,25.17,24.73,25.14,9.23385592788897,151000,0.0,1.0
2006-05-02,25.15,25.2,24.74,24.75,9.09060995287399,124000,0.0,1.0
2006-05-03,24.75,24.76,24.56,24.62,9.04286129453566,110100,0.0,1.0
2006-05-04,24.52,24.61,24.11,24.58,9.02816939966233,95500,0.0,1.0
2006-05-05,24.5,24.64,24.22,24.55,9.01715047850733,104900,0.0,1.0
2006-05-08,24.5,25.0,24.46,24.86,9.13101266377565,106200,0.0,1.0
2006-05-09,24.88,25.0,24.65,24.92,9.15305050608565,85400,0.0,1.0
2006-05-10,25.05,25.1,24.78,24.99,9.17876132211398,74200,0.0,1.0
2006-05-11,25.09,25.8,25.0,25.8,9.47627219329894,57100,0.0,1.0
2006-05-12,25.4,25.5,24.94,25.47,9.35506406059396,49300,0.0,1.0
2006-05-15,25.39,25.4,25.14,25.28,9.28527755994563,72200,0.0,1.0
2006-05-16,25.25,25.74,25.24,25.54,9.38077487662229,84600,0.0,1.0
2006-05-17,25.45,25.45,25.25,25.4,9.32935324456563,98200,0.0,1.0
2006-05-18,25.33,25.68,25.33,25.41,9.33302621828396,68800,0.0,1.0
2006-05-19,25.31,25.4,25.05,25.4,9.32935324456563,165700,0.0,1.0
2006-05-22,25.36,25.53,25.06,25.51,9.36975595546729,66100,0.0,1.0
2006-05-23,25.35,25.45,25.22,25.25,9.27425863879063,47300,0.0,1.0
2006-05-24,25.2,25.4,24.89,25.3,9.2926235073823,37600,0.0,1.0
2006-05-25,25.25,25.31,24.91,25.08,9.21181808557897,50200,0.0,1.0
2006-05-26,25.0,25.05,24.94,25.0,9.18243429583231,44200,0.0,1.0
2006-05-30,24.98,25.08,24.78,24.98,9.17508834839564,68500,0.0,1.0
2006-05-31,25.0,25.29,24.95,25.19,9.25222079648064,69000,0.0,1.0
2006-06-01,25.09,26.0,25.02,26.0,9.5497316676656,40100,0.0,1.0
2006-06-02,25.9,26.5,25.8,26.5,9.73338035358225,69500,0.0,1.0
2006-06-05,26.4,26.53,26.19,26.48,9.72603440614558,67400,0.0,1.0
2006-06-06,26.48,26.48,25.97,26.05,9.56809653625727,62300,0.0,1.0
2006-06-07,26.05,26.15,25.65,25.87,9.50198300932727,52700,0.0,1.0
2006-06-08,25.77,25.82,25.35,25.82,9.48361814073561,40600,0.0,1.0
2006-06-09,25.85,25.91,24.8,24.8,9.10897482146565,145000,0.0,1.0
2006-06-12,24.85,24.85,23.75,24.01,8.81880989771735,55300,0.0,1.0
2006-06-13,23.89,24.01,23.02,23.04,8.46253144703906,301500,0.0,1.0
2006-06-14,23.0,23.0,21.42,22.23,8.16502057585409,230800,0.0,1.0
2006-06-15,22.33,22.59,22.18,22.45,8.24582599765741,185600,0.0,1.0
2006-06-16,22.51,23.6,22.5,23.45,8.61312336949071,90600,0.0,1.0
2006-06-19,23.65,23.9,21.85,22.9,8.4111098149824,105100,0.0,1.0
2006-06-20,23.13,23.78,22.82,23.67,8.69392879129403,62300,0.0,1.0
2006-06-21,23.62,24.6,23.45,24.44,8.97674776760567,49000,0.0,1.0
2006-06-22,24.53,24.85,24.51,24.63,9.04653426825399,35900,0.0,1.0
2006-06-23,24.7,25.89,24.62,25.38,9.32200729712896,86700,0.0,1.0
2006-06-26,25.4,26.13,25.34,26.06,9.5717695099756,36400,0.0,1.0
2006-06-27,25.83,26.73,25.83,26.11,9.59013437856726,118100,0.0,1.0
2006-06-28,26.16,26.16,25.43,25.47,9.35506406059396,106100,0.0,1.0
2006-06-29,25.47,26.0,25.47,25.88,9.50565598304561,91600,0.0,1.0
2006-06-30,25.9,25.9,23.95,23.95,8.79677205540735,765000,0.0,1.0
2006-07-03,24.2,24.4,23.3,23.53,8.64250715923737,173500,0.0,1.0
2006-07-05,23.43,23.53,23.1,23.48,8.62414229064571,54900,0.0,1.0
2006-07-06,23.48,23.5,22.93,23.04,8.46253144703906,83100,0.0,1.0
2006-07-07,22.96,23.3,22.88,23.0,8.44783955216572,72800,0.0,1.0
2006-07-10,23.0,23.24,22.97,23.16,8.50660713165905,42200,0.0,1.0
2006-07-11,23.12,23.48,23.05,23.47,8.62046931692737,51200,0.0,1.0
2006-07-12,23.46,23.67,23.1,23.55,8.64985310667404,60800,0.0,1.0
2006-07-13,23.43,23.76,23.29,23.48,8.62414229064571,52400,0.0,1.0
2006-07-14,23.22,23.34,22.74,23.11,8.48824226306739,42300,0.0,1.0
2006-07-17,23.1,23.35,23.08,23.19,8.51762605281405,28900,0.0,1.0
2006-07-18,23.2,23.65,23.19,23.65,8.68658284385736,21700,0.0,1.0
2006-07-19,23.63,24.99,23.63,24.98,9.17508834839564,90400,0.0,1.0
2006-07-20,24.94,25.3,24.88,25.01,9.18610726955064,45800,0.0,1.0
2006-07-21,25.01,25.1,24.66,25.02,9.18978024326898,49900,0.0,1.0
2006-07-24,25.2,25.59,25.14,25.58,9.39546677149562,64400,0.0,1.0
2006-07-25,25.54,26.31,25.45,26.14,9.60115329972226,43300,0.0,1.0
2006-07-26,26.04,26.1,25.1,25.11,9.22283700673397,40800,0.0,1.0
2006-07-27,25.18,25.4,24.9,25.0,9.18243429583231,22000,0.0,1.0
2006-07-28,25.1,25.54,25.1,25.5,9.36608298174896,12800,0.0,1.0
2006-07-31,26.3,27.46,25.5,25.6,9.40281271893229,151200,0.0,1.0
2006-08-01,25.45,25.45,24.96,25.1,9.21916403301564,105600,0.0,1.0
2006-08-02,25.15,25.37,24.84,25.19,9.25222079648064,42600,0.0,1.0
2006-08-03,25.0,25.6,24.97,25.53,9.37710190290396,32800,0.0,1.0
2006-08-04,25.63,25.63,24.8,24.99,9.17876132211398,65400,0.0,1.0
2006-08-07,24.9,24.9,24.55,24.77,9.09795590031065,43900,0.0,1.0
2006-08-08,24.75,24.96,24.31,24.32,8.93267208298567,45200,0.0,1.0
2006-08-09,24.36,24.4,23.16,23.18,8.51395307909572,20500,0.0,1.0
2006-08-10,23.1,23.75,22.96,23.7,8.70494771244903,21200,0.0,1.0
2006-08-11,23.65,23.65,23.16,23.56,8.65352608039237,15200,0.0,1.0
2006-08-14,23.71,24.01,23.71,23.95,8.79677205540735,47500,0.0,1.0
2006-08-15,24.05,24.3,23.9,24.0,8.81513692399902,16800,0.0,1.0
2006-08-16,24.0,24.19,23.85,23.86,8.76371529194236,28600,0.0,1.0
2006-08-17,23.93,24.17,23.82,23.82,8.74902339706902,18500,0.0,1.0
2006-08-18,23.9,23.96,23.65,23.82,8.74902339706902,18300,0.0,1.0
2006-08-21,23.65,23.65,23.4,23.46,8.61679634320904,13700,0.0,1.0
2006-08-22,23.45,23.57,23.2,23.27,8.54700984256071,8800,0.0,1.0
2006-08-23,23.2,23.32,22.55,22.6,8.30092060343241,59000,0.0,1.0
2006-08-24,22.55,22.55,22.25,22.36,8.21276923419242,10500,0.0,1.0
2006-08-25,22.33,22.65,22.31,22.61,8.30459357715074,17300,0.0,1.0
2006-08-28,22.82,22.95,22.8,22.8,8.37438007779907,33400,0.0,1.0
2006-08-29,22.76,22.76,22.39,22.48,8.25684491881241,23800,0.0,1.0
