date,open,high,low,close,adjClose,volume,dividend,split
2007-06-14,37.0,39.26,37.0,38.85,23.9225311700018,662600,0.0,1.0
2007-06-15,39.1,39.1,38.25,38.8,23.8917428415977,1150000,0.0,1.0
2007-06-18,39.05,39.1,37.15,37.15,22.8757280042617,853600,0.0,1.0
2007-06-19,37.15,37.7,36.1,36.7,22.5986330486246,951000,0.0,1.0
2007-06-20,36.83,36.83,35.33,35.95,22.1368081225628,1721800,0.0,1.0
2007-06-21,36.0,36.7,35.75,36.7,22.5986330486246,537700,0.0,1.0
2007-06-22,37.0,39.5,36.8,38.95,23.9841078268101,250300,0.0,1.0
2007-06-25,39.1,40.0,38.25,39.25,24.1688377972348,203200,0.0,1.0
2007-06-26,39.31,39.8,39.2,39.5,24.3227794392554,119600,0.0,1.0
2007-06-27,39.5,39.8,39.0,39.75,24.476721081276,270700,0.0,1.0
2007-06-28,39.75,39.95,39.5,39.6,24.3843560960636,151200,0.0,1.0
2007-06-29,39.83,39.9,38.75,39.06,24.0518421492991,1701900,0.0,1.0
2007-07-02,39.2,40.63,38.98,39.97,24.6121897262541,2000500,0.0,1.0
2007-07-03,39.98,40.61,39.08,39.66,24.4213020901486,3752400,0.0,1.0
2007-07-05,39.6,41.28,39.24,39.45,24.2919911108513,4277800,0.0,1.0
2007-07-06,39.4,39.92,38.8,39.82,24.5198247410418,3950700,0.0,1.0
2007-07-09,39.55,40.4,38.48,40.3,24.8153926937213,5369500,0.0,1.0
2007-07-10,39.5,39.5,38.48,39.0,24.0148961552142,5483200,0.0,1.0
2007-07-11,39.0,39.25,38.7,39.06,24.0518421492991,5964800,0.0,1.0
2007-07-12,38.95,39.06,38.31,39.01,24.021053820895,4094400,0.0,1.0
2007-07-13,38.3,39.89,38.0,39.47,24.3043064422129,2064600,0.0,1.0
2007-07-16,38.0,39.85,37.07,39.3,24.1996261256389,2514800,0.0,1.0
2007-07-17,39.02,39.5,38.27,38.86,23.9286888356827,3913400,0.0,1.0
2007-07-18,36.95,38.86,36.6,37.94,23.3621835930468,4909400,0.0,1.0
2007-07-19,38.04,38.45,37.63,38.1,23.46070624394,2078400,0.0,1.0
2007-07-20,38.1,38.18,37.87,38.03,23.4176025841742,3406800,0.0,1.0
2007-07-23,35.1,39.0,35.1,38.91,23.9594771640868,2164400,0.0,1.0
2007-07-24,38.72,39.22,38.13,38.4,23.6454362143647,2119000,0.0,1.0
2007-07-25,38.25,38.57,38.0,38.47,23.6885398741305,2421500,0.0,1.0
2007-07-26,38.0,38.3,36.72,37.56,23.1281922971755,3610800,0.0,1.0
2007-07-27,36.0,38.13,35.73,36.95,22.7525746906452,2912600,0.0,1.0
2007-07-30,36.4,36.45,35.58,36.05,22.1983847793711,2915500,0.0,1.0
2007-07-31,36.05,36.08,35.7,35.82,22.0567584687121,2148800,0.0,1.0
2007-08-01,34.92,36.0,34.76,35.22,21.6872985278627,3771700,0.0,1.0
2007-08-02,34.61,35.5,34.09,35.27,21.7180868562668,2519100,0.0,1.0
2007-08-03,35.1,35.43,35.0,35.09,21.607248874012,2445000,0.0,1.0
