date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,38.88,39.75,37.88,38.06,35.0377623841544,1912800,0.0,1.0
1999-11-02,38.0,40.44,37.56,39.94,36.7684768687106,2178800,0.0,1.0
1999-11-03,41.0,41.56,39.75,40.06,36.8789480060227,1696000,0.0,1.0
1999-11-04,40.12,40.44,38.62,39.81,36.6487998032892,1611200,0.0,1.0
1999-11-05,40.94,42.5,40.69,42.5,39.1251944647021,1988600,0.0,1.0
1999-11-08,42.25,43.0,41.0,41.12,37.8547763856129,782000,0.0,1.0
1999-11-09,43.94,44.5,43.19,43.44,39.9905517069802,2400800,0.0,1.0
1999-11-10,43.44,45.94,43.38,45.81,42.1723566688942,1736300,0.0,1.0
1999-11-11,46.44,48.69,46.38,48.06,44.243690493496,2272500,0.0,1.0
1999-11-12,48.06,49.06,46.0,48.56,44.7039868989631,10842000,0.0,1.0
1999-11-15,48.56,48.88,47.75,48.38,44.538280192995,2566400,0.0,1.0
1999-11-16,48.38,49.69,47.75,48.56,44.7039868989631,2241700,0.0,1.0
1999-11-17,50.19,50.69,47.44,48.0,44.18845492484,2314200,0.0,1.0
1999-11-18,47.81,48.44,46.5,47.31,43.5532458852954,2031200,0.0,1.0
1999-11-19,48.5,50.0,48.0,48.5,44.6487513303071,1849600,0.0,1.0
1999-11-22,48.0,48.12,46.31,46.44,42.7523301397827,1258800,0.0,1.0
1999-11-23,46.25,47.56,45.06,45.69,42.0618855315821,2022600,0.0,1.0
1999-11-24,45.5,45.81,44.69,45.0,41.4266764920375,1112600,0.0,1.0
1999-11-26,44.88,46.25,44.69,44.94,41.3714409233814,359500,0.0,1.0
1999-11-29,44.75,45.31,43.0,43.69,40.2206999097137,1084700,0.0,1.0
1999-11-30,42.38,44.44,42.06,43.56,40.1010228442923,1277900,0.0,1.0
1999-12-01,43.81,45.31,43.75,44.38,40.8559089492583,879300,0.0,1.0
1999-12-02,46.94,49.0,46.56,49.0,45.1090477357741,1525000,0.0,1.0
1999-12-03,50.0,50.56,48.88,50.06,46.0848761153644,1808600,0.0,1.0
1999-12-06,50.12,56.0,49.88,55.69,51.2678136409237,2047100,0.0,1.0
1999-12-07,55.0,55.0,51.94,53.88,49.6015406531329,1688500,0.0,1.0
1999-12-08,52.0,53.12,50.56,51.88,47.7603550312645,1876500,0.0,1.0
1999-12-09,52.75,52.88,47.44,49.06,45.1642833044302,1687600,0.0,1.0
1999-12-10,50.06,50.06,47.25,47.75,43.9583067221064,1187500,0.0,1.0
1999-12-13,47.88,49.12,45.88,46.25,42.5774175057052,1256100,0.0,1.0
1999-12-14,46.19,46.94,41.62,42.62,39.2356656020142,2381600,0.0,1.0
1999-12-15,42.62,46.44,42.62,46.12,42.4577404402837,2402900,0.0,1.0
1999-12-16,49.0,49.44,47.38,49.31,45.3944315071637,1430200,0.0,1.0
1999-12-17,50.25,50.44,48.31,49.19,45.2839603698516,1349800,0.0,1.0
