date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,43.63,43.87,43.25,43.87,2.27893376465941,2500,0.0,1.0
1999-11-02,43.63,43.75,43.38,43.63,2.26646638140165,4200,0.0,1.0
1999-11-03,43.87,43.87,42.38,42.56,2.2108826310441,7100,0.0,1.0
1999-11-04,42.44,43.0,42.44,42.94,2.23062265453557,8400,0.0,1.0
1999-11-05,42.75,42.87,42.25,42.25,2.19477892766948,6000,0.0,1.0
1999-11-08,42.13,43.12,42.13,43.12,2.23997319197889,3300,0.0,1.0
1999-11-09,43.0,43.12,43.0,43.0,2.23373950035001,8000,0.0,1.0
1999-11-10,42.87,42.94,42.5,42.69,2.21763579697539,3800,0.0,1.0
1999-11-11,42.5,42.5,42.0,42.13,2.1885452360406,5300,0.0,1.0
1999-11-12,42.25,42.25,41.25,41.25,2.14283149742879,3600,0.0,1.0
1999-11-15,40.62,40.62,39.75,39.87,2.07114404369662,15800,0.0,1.0
1999-11-16,39.75,40.88,39.75,40.62,2.11010461637715,7800,0.0,1.0
1999-11-17,40.88,45.88,40.88,45.25,2.35062121839158,80300,0.0,1.0
1999-11-18,45.5,46.37,44.88,44.88,2.33140066920252,12400,0.0,1.0
1999-11-19,45.0,45.0,44.25,44.25,2.29867378815088,4900,0.0,1.0
1999-11-22,44.12,44.12,43.12,43.12,2.23997319197889,8200,0.0,1.0
1999-11-23,43.0,43.12,42.62,42.62,2.21399947685854,4000,0.0,1.0
1999-11-24,42.75,42.87,42.5,42.87,2.22698633441872,2900,0.0,1.0
1999-11-26,42.75,42.87,42.62,42.75,2.22075264278983,1700,0.0,1.0
1999-11-29,42.62,43.0,42.5,43.0,2.23373950035001,7000,0.0,1.0
1999-11-30,42.5,42.62,42.13,42.13,2.1885452360406,6100,0.0,1.0
1999-12-01,41.88,41.88,41.37,41.75,2.16880521254913,6700,0.0,1.0
1999-12-02,42.0,42.0,41.31,41.31,2.14594834324323,4600,0.0,1.0
1999-12-03,41.44,41.44,40.44,40.5,2.10387092474826,10000,0.0,1.0
1999-12-06,40.25,40.5,39.87,40.37,2.09711775881697,16900,0.0,1.0
1999-12-07,40.25,40.62,40.0,40.0,2.07789720962791,6600,0.0,1.0
1999-12-08,39.75,40.25,39.38,39.5,2.05192349450756,12700,0.0,1.0
1999-12-09,39.75,40.25,39.12,39.19,2.03581979113295,7100,0.0,1.0
1999-12-10,39.0,39.0,38.19,38.56,2.00309291008131,12800,0.0,1.0
