date,open,high,low,close,adjClose,volume,dividend,split
2010-12-07,24.1,25.2,23.5,24.7,12.9749725306851,10577600,0.0,1.0
2010-12-08,24.51,26.0,24.4,25.65,13.4740099357114,865200,0.0,1.0
2010-12-09,25.35,26.25,25.34,25.57,13.4319857331829,877800,0.0,1.0
2010-12-10,25.37,25.79,25.29,25.64,13.4687569103953,436900,0.0,1.0
2010-12-13,25.5,26.69,25.49,26.52,13.9310231382092,397800,0.0,1.0
2010-12-14,26.4,26.6,25.79,26.54,13.9415291888414,250500,0.0,1.0
2010-12-15,26.56,27.14,25.48,26.06,13.6893839736702,396100,0.0,1.0
2010-12-16,25.96,26.93,25.95,26.81,14.0833608723752,133000,0.0,1.0
2010-12-17,26.99,27.55,26.9,27.31,14.3460121381785,101600,0.0,1.0
2010-12-20,27.21,28.4,27.19,27.53,14.461578695132,149300,0.0,1.0
2010-12-21,27.63,27.7,26.6,27.05,14.2094334799608,139200,0.0,1.0
2010-12-22,26.85,26.88,26.21,26.88,14.1201320495876,157500,0.0,1.0
2010-12-23,26.73,26.86,26.7,26.86,14.1096259989555,135200,0.0,1.0
2010-12-27,26.75,26.75,26.43,26.51,13.9257701128932,97000,0.0,1.0
2010-12-28,26.45,26.85,26.4,26.8,14.0781078470591,204000,0.0,1.0
2010-12-29,26.54,27.15,26.5,27.15,14.2619637331214,75200,0.0,1.0
2010-12-30,27.01,27.19,26.85,27.03,14.1989274293286,298000,0.0,1.0
2010-12-31,27.0,27.05,26.79,26.81,14.0833608723752,49800,0.0,1.0
2011-01-03,26.92,27.05,26.51,27.0,14.1831683533804,253500,0.0,1.0
2011-01-04,27.0,27.19,26.63,27.16,14.2672167584375,232300,0.0,1.0
2011-01-05,27.01,27.37,26.87,27.34,14.3617712141267,61800,0.0,1.0
2011-01-06,27.28,28.16,26.95,27.99,14.703217859671,116100,0.0,1.0
2011-01-07,27.9,28.13,27.41,27.8,14.6034103786658,288300,0.0,1.0
2011-01-10,27.5,27.97,27.07,27.4,14.3932893660231,121100,0.0,1.0
2011-01-11,27.43,27.64,27.12,27.59,14.4930968470284,188900,0.0,1.0
2011-01-12,27.68,28.48,27.43,28.35,14.8923267710495,172300,0.0,1.0
2011-01-13,28.11,28.46,27.89,28.03,14.7242299609353,130200,0.0,1.0
2011-01-14,28.09,28.47,27.96,28.31,14.8713146697852,249000,0.0,1.0
2011-01-18,28.6,30.25,28.42,29.34,15.4123762773401,692000,0.0,1.0
2011-01-19,29.69,29.85,28.8,28.87,15.1654840874849,227700,0.0,1.0
2011-01-20,28.89,30.04,27.27,29.41,15.4491474545525,354600,0.0,1.0
2011-01-21,29.5,29.58,28.21,29.41,15.4491474545525,118100,0.0,1.0
2011-01-24,29.4,30.23,28.51,30.1,15.8116062013612,129400,0.0,1.0
2011-01-25,30.04,30.98,29.86,30.19,15.8588834292058,204000,0.0,1.0
