date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,55.81,55.88,53.69,54.13,8.11513445230918,760300,0.0,1.0
1999-11-02,53.88,54.88,53.69,54.0,8.09564493672078,441600,0.0,1.0
1999-11-03,53.75,53.88,52.5,52.75,7.90824574837076,594200,0.0,1.0
1999-11-04,52.94,52.94,52.5,52.69,7.89925058732996,611800,0.0,1.0
1999-11-05,53.0,53.19,51.81,52.06,7.80480139640155,728900,0.0,1.0
1999-11-08,52.06,53.31,52.06,53.31,7.99220058475157,375300,0.0,1.0
1999-11-09,55.0,55.0,52.94,53.13,7.96521510162916,607000,0.0,1.0
1999-11-10,53.06,53.44,51.63,52.19,7.82429091198995,566800,0.0,1.0
1999-11-11,52.19,52.44,51.0,51.69,7.74933123664994,464700,0.0,1.0
1999-11-12,51.94,52.5,51.69,52.5,7.87076591070076,582700,0.0,1.0
1999-11-15,52.25,53.0,52.19,52.63,7.89025542628916,649500,0.0,1.0
1999-11-16,52.56,53.19,52.06,53.06,7.95472074708156,464700,0.0,1.0
1999-11-17,53.06,53.06,51.56,51.63,7.74033607560914,896600,0.0,1.0
1999-11-18,51.63,52.0,51.38,51.44,7.71185139897994,528900,0.0,1.0
1999-11-19,51.38,51.5,50.0,50.06,7.50496269504152,464100,0.0,1.0
1999-11-22,49.75,49.75,48.63,48.75,7.3085683456507,1041300,0.0,1.0
1999-11-23,48.88,49.56,48.44,49.19,7.37453285994991,556500,0.0,1.0
1999-11-24,49.13,49.25,48.56,48.81,7.3175635066915,528400,0.0,1.0
1999-11-26,48.69,48.94,48.38,48.69,7.2995731846099,153400,0.0,1.0
1999-11-29,48.56,48.63,47.25,47.38,7.10317883521908,567700,0.0,1.0
1999-11-30,47.44,47.69,47.06,47.06,7.05520464300148,825100,0.0,1.0
1999-12-01,47.0,47.19,46.69,46.69,6.99973448324987,674000,0.0,1.0
1999-12-02,46.94,47.0,46.13,46.19,6.92477480790986,706400,0.0,1.0
1999-12-03,46.0,46.81,45.75,46.75,7.00872964429067,918700,0.0,1.0
1999-12-06,46.31,46.81,46.0,46.81,7.04770867546748,554800,0.2,1.0
1999-12-07,46.63,47.0,45.25,45.31,6.82186883327134,719300,0.0,1.0
1999-12-08,45.75,46.44,45.5,46.06,6.93478875436941,742100,0.0,1.0
1999-12-09,46.06,46.06,44.63,44.94,6.76616167219629,701500,0.0,1.0
1999-12-10,44.81,44.88,44.5,44.56,6.70894891217327,485600,0.0,1.0
1999-12-13,44.38,44.5,44.0,44.3,6.66980333952594,727400,0.0,1.0
1999-12-14,43.63,44.25,43.38,43.69,6.57796180369951,757900,0.0,1.0
1999-12-15,43.88,43.94,42.88,43.63,6.56892821001167,1633600,0.0,1.0
1999-12-16,43.75,43.94,43.38,43.81,6.5960289910752,860300,0.0,1.0
1999-12-17,44.31,44.31,44.31,44.31,6.67130893847391,907200,0.0,1.0
1999-12-20,45.0,45.13,42.5,42.63,6.41836831521424,999300,0.0,1.0
1999-12-21,42.63,42.63,39.0,40.63,6.11724852561939,2038600,0.0,1.0
1999-12-22,40.5,40.63,40.0,40.63,6.11724852561939,1246200,0.0,1.0
1999-12-23,41.13,42.44,41.13,41.94,6.31448198780402,797200,0.0,1.0
1999-12-27,41.81,42.25,41.75,42.0,6.32351558149186,957000,0.0,1.0
1999-12-28,42.25,43.69,42.06,42.88,6.4560082889136,907300,0.0,1.0
