date,open,high,low,close,adjClose,volume,dividend,split
2017-10-17,18.55,18.55,18.55,18.55,12.3514688508341,100000,0.0,1.0
2017-10-18,18.5,18.52,18.5,18.5,12.3181764819639,8227502,0.0,1.0
2017-10-19,18.5,18.57,18.5,18.5,12.3181764819639,550484,0.0,1.0
2017-10-20,18.25,19.0,18.0,18.0,11.9852527932622,155577,0.0,1.0
2017-10-23,18.0,18.0,18.0,18.0,11.9852527932622,349,0.0,1.0
2017-10-24,18.7,18.7,18.65,18.65,12.4180535885744,287571,0.0,1.0
2017-10-25,18.6,18.65,18.6,18.65,12.4180535885744,100127,0.0,1.0
2017-10-26,18.6,18.65,18.5,18.5,12.3181764819639,160091,0.0,1.0
2017-10-27,18.0,18.585,18.0,18.54,12.3448103770601,2133104,0.0,1.0
2017-10-30,18.54,18.54,18.54,18.54,12.3448103770601,0,0.0,1.0
2017-10-31,18.5,18.5,18.4,18.5,12.3181764819639,43330,0.0,1.0
2017-11-01,18.25,18.5,18.25,18.5,12.3181764819639,57558,0.0,1.0
2017-11-02,18.5,18.5,18.25,18.5,12.3181764819639,14760,0.0,1.0
2017-11-03,18.52,18.54,18.52,18.54,12.3448103770601,370000,0.0,1.0
2017-11-06,18.55,18.55,18.52,18.55,12.3514688508341,2745114,0.0,1.0
2017-11-07,18.5,18.61,18.5,18.58,12.3714442721562,410946,0.0,1.0
2017-11-08,18.55,18.6,18.5,18.55,12.3514688508341,24316,0.0,1.0
2017-11-09,18.55,18.55,18.55,18.55,12.3514688508341,679,0.0,1.0
2017-11-10,18.5,18.75,18.45,18.5,12.3181764819639,3621672,0.0,1.0
2017-11-13,18.45,18.75,18.45,18.5,12.3181764819639,76362,0.0,1.0
2017-11-14,18.5,18.5,18.35,18.35,12.2182993753534,218457,0.0,1.0
2017-11-15,18.25,18.5,18.25,18.5,12.3181764819639,677508,0.0,1.0
2017-11-16,18.5,18.6,18.5,18.5,12.3181764819639,152501,0.0,1.0
2017-11-17,18.65,18.7,18.5,18.55,12.3514688508341,373494,0.0,1.0
2017-11-20,18.65,18.65,18.55,18.6,12.3847612197043,312873,0.0,1.0
2017-11-21,18.75,18.75,18.65,18.75,12.4846383263148,872552,0.0,1.0
2017-11-22,18.65,18.75,18.65,18.75,12.4846383263148,1140544,0.0,1.0
2017-11-24,18.75,18.75,18.75,18.75,12.4846383263148,0,0.0,1.0
2017-11-27,18.75,18.8,18.75,18.8,12.517930695185,6972,0.0,1.0
2017-11-28,18.8,19.0,18.8,19.0,12.6511001706657,874646,0.0,1.0
2017-11-29,19.05,19.05,19.05,19.05,12.6843925395358,230115,0.0,1.0
2017-11-30,19.0,19.75,19.0,19.75,13.1504857037182,317469,0.0,1.0
2017-12-01,19.75,20.5,19.75,19.78,13.1704611250403,600841,0.0,1.0
2017-12-04,20.0,20.75,19.5,20.0,13.3169475480691,633824,0.0,1.0
2017-12-05,20.05,21.0,19.85,21.0,13.9827949254726,301513,0.0,1.0
2017-12-06,19.85,19.92,19.85,19.85,13.2170704414586,1035005,0.0,1.0
2017-12-07,20.0,20.0,19.65,19.8,13.1837780725884,591002,0.0,1.0
2017-12-08,19.8,19.88,19.8,19.8,13.1837780725884,385096,0.0,1.0
2017-12-11,19.8,19.81,19.75,19.81,13.1904365463624,347860,0.0,1.0
2017-12-12,19.75,19.81,19.75,19.81,13.1904365463624,144448,0.0,1.0
2017-12-13,19.82,19.85,19.7,19.85,13.2170704414586,29863,0.0,1.0
2017-12-14,19.9,20.0,19.85,20.0,13.3169475480691,343450,0.0,1.0
2017-12-15,19.95,20.0,19.95,20.0,13.3169475480691,18468,0.0,1.0
2017-12-18,20.0,20.1,19.95,20.0,13.3169475480691,15757,0.0,1.0
2017-12-19,19.95,20.0,19.95,19.975,13.300301363634,15001,0.0,1.0
2017-12-20,20.0,20.4,20.0,20.0,13.3169475480691,29359,0.0,1.0
2017-12-21,20.0,20.5,20.0,20.5,13.6498712367708,5647,0.0,1.0
2017-12-22,20.5,20.75,20.0,20.2,13.4501170235498,26936,0.0,1.0
2017-12-26,20.0,20.0,20.0,20.0,13.3169475480691,1096,0.0,1.0
2017-12-27,20.5,20.5,20.5,20.5,13.6498712367708,120,0.0,1.0
2017-12-28,20.5,20.5,20.5,20.5,13.6498712367708,0,0.0,1.0
2017-12-29,20.5,21.0,19.95,20.5,13.6498712367708,48885,0.0,1.0
2018-01-02,20.0,20.6,19.95,20.1,13.3835322858095,427922,0.0,1.0
2018-01-03,20.5,20.6,20.0,20.16,13.4234831284537,231268,0.0,1.0
2018-01-04,20.15,20.5,20.1,20.2,13.4501170235498,447786,0.0,1.0
2018-01-05,20.2,20.2,20.15,20.2,13.4501170235498,78258,0.0,1.0
2018-01-08,20.2,20.2,20.05,20.2,13.4501170235498,59242,0.0,1.0
2018-01-09,20.2,20.21,20.0,20.21,13.4567754973238,224708,0.0,1.0
2018-01-10,19.9,20.2,19.9,20.0,13.3169475480691,367502,0.0,1.0
2018-01-11,20.0,20.0,19.85,20.0,13.3169475480691,37766,0.0,1.0
2018-01-12,20.0,20.0,19.5,19.99,13.3102890742951,1109293,0.0,1.0
2018-01-16,20.5,22.99,20.5,21.5,14.3157186141743,2005023,0.0,1.0
2018-01-17,21.25,21.3,21.25,21.28,14.1692321911455,211433,0.0,1.0
2018-01-18,21.25,21.35,20.984,21.0,13.9827949254726,634443,0.0,1.0
2018-01-19,20.85,21.0,20.75,20.75,13.8163330811217,955651,0.0,1.0
2018-01-22,20.75,22.99,20.3,22.99,15.3078312065054,3600,0.0,1.0
2018-01-23,21.0,21.5,21.0,21.0,13.9827949254726,127347,0.0,1.0
2018-01-24,20.75,21.1,19.5,21.0,13.9827949254726,19989,0.0,1.0
2018-01-25,21.15,21.15,20.93,20.93,13.9361856090543,73454,0.0,1.0
2018-01-26,21.0,21.1,21.0,21.1,14.0493796632129,5008,0.0,1.0
2018-01-29,20.6,21.1,20.6,21.1,14.0493796632129,24891,0.0,1.0
2018-01-30,21.05,21.1,21.0,21.05,14.0160872943427,40088,0.0,1.0
2018-01-31,21.05,22.97,20.9,22.0,14.648642302876,643180,0.0,1.0
2018-02-01,21.08,21.33,20.67,20.89,13.9095517139582,24638298,0.0,1.0
2018-02-02,20.75,21.1,20.4,21.01,13.9894533992466,4923075,0.0,1.0
2018-02-05,20.78,21.1,18.49,20.61,13.7231144482852,4454079,0.0,1.0
2018-02-06,20.24,20.91,19.5,20.5,13.6498712367708,9323010,0.0,1.0
2018-02-07,20.31,20.93,20.31,20.76,13.8229915548957,15743168,0.0,1.0
2018-02-08,20.55,20.7,19.9,20.0,13.3169475480691,7726191,0.0,1.0
2018-02-09,20.0,20.3,19.01,19.91,13.2570212841028,5664444,0.0,1.0
2018-02-12,19.96,20.0,19.35,19.58,13.0372916495597,2149115,0.0,1.0
2018-02-13,19.7,19.75,19.4,19.7,13.1171933348481,1396357,0.0,1.0
2018-02-14,19.67,19.78,19.32,19.65,13.0839009659779,2311469,0.0,1.0
2018-02-15,19.81,19.95,19.46,19.85,13.2170704414586,2318701,0.0,1.0
2018-02-16,19.9,20.01,19.65,19.99,13.3102890742951,1168647,0.0,1.0
2018-02-20,19.85,20.08,19.85,20.0,13.3169475480691,2273521,0.0,1.0
2018-02-21,19.99,20.0,19.6,19.67,13.097217913526,2484507,0.0,1.0
2018-02-22,19.72,20.0,19.68,19.84,13.2104119676846,2713626,0.0,1.0
2018-02-23,19.85,19.95,19.65,19.82,13.1970950201365,2631499,0.0,1.0
