date,open,high,low,close,adjClose,volume,dividend,split
2016-10-04,15.6,16.0,15.6,16.0,11.7760929456015,353338,0.0,1.0
2016-10-05,16.0,16.5,15.5,15.5,11.4080900410514,569726,0.0,1.0
2016-10-06,15.5,15.9,15.5,15.75,11.5920914933265,264911,0.0,1.0
2016-10-07,15.9,15.9,15.7,15.9,11.7024923646915,110902,0.0,1.0
2016-10-10,15.95,25.24,15.9,16.0,11.7760929456015,6253,0.0,1.0
2016-10-11,16.1,16.5,16.0,16.35,12.0336949787865,158436,0.0,1.0
2016-10-12,16.35,17.0,16.0,16.35,12.0336949787865,160545,0.0,1.0
2016-10-13,16.5,16.5,16.0,16.1,11.8496935265115,265820,0.0,1.0
2016-10-14,16.05,16.1,16.05,16.1,11.8496935265115,45516,0.0,1.0
2016-10-17,16.15,16.15,16.1,16.1,11.8496935265115,20563,0.0,1.0
2016-10-18,16.14,16.14,15.96,16.0,11.7760929456015,464291,0.0,1.0
2016-10-19,15.75,16.0,15.75,15.99,11.7687328875105,140446,0.0,1.0
2016-10-20,15.9,16.0,15.75,15.9,11.7024923646915,653858,0.0,1.0
2016-10-21,15.65,15.8,15.5,15.7,11.5552912028715,27538,0.0,1.0
2016-10-24,15.75,15.75,15.5,15.68,11.5405710866895,130314,0.0,1.0
2016-10-25,15.51,15.58,15.25,15.58,11.4669705057794,6159,0.0,1.0
2016-10-26,15.5,15.5,15.35,15.45,11.3712897505964,52294,0.0,1.0
2016-10-27,15.35,15.35,15.16,15.2,11.1872882983214,271128,0.0,1.0
2016-10-28,15.2,15.45,15.0,15.2,11.1872882983214,2185191,0.0,1.0
2016-10-31,15.25,15.25,15.0,15.2,11.1872882983214,25864,0.0,1.0
2016-11-01,15.0,15.0,14.9,15.0,11.0400871365014,11800,0.0,1.0
2016-11-02,14.8,14.8,13.5,13.6,10.0096790037613,509897,0.0,1.0
2016-11-03,13.75,13.8,13.6,13.6,10.0096790037613,122275,0.0,1.0
2016-11-04,13.6,14.0,13.6,14.0,10.3040813274013,603640,0.0,1.0
2016-11-07,14.1,14.25,14.1,14.1,10.3776819083113,2250,0.0,1.0
2016-11-08,14.0,14.25,13.9,14.2,10.4512824892213,335116,0.0,1.0
2016-11-09,13.9,14.15,13.9,14.05,10.3408816178563,106276,0.0,1.0
2016-11-10,14.1,14.23,14.1,14.23,10.4733626634943,2629003,0.0,1.0
2016-11-11,14.4,14.9,14.4,14.71,10.8266454518624,13372,0.0,1.0
2016-11-14,14.7,14.95,14.4,14.4,10.5984836510413,121500,0.0,1.0
2016-11-15,14.4,14.45,14.32,14.32,10.5396031863133,798608,0.0,1.0
2016-11-16,14.35,14.35,14.1,14.1,10.3776819083113,65584,0.0,1.0
2016-11-17,14.1,14.1,14.0,14.05,10.3408816178563,60400,0.0,1.0
