date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,5.0,5.375,4.938,5.188,1.09249609871621,299700,0.0,1.0
1999-11-02,5.125,5.188,5.0,5.125,1.07922947299934,64300,0.0,1.0
1999-11-03,5.063,5.125,5.0,5.125,1.07922947299934,61600,0.0,1.0
1999-11-04,5.063,5.125,5.063,5.063,1.06617342864306,54000,0.0,1.0
1999-11-05,5.063,5.125,5.063,5.063,1.06617342864306,41600,0.0,1.0
1999-11-08,5.063,5.125,5.063,5.125,1.07922947299934,79800,0.0,1.0
1999-11-09,5.063,5.125,5.0,5.063,1.06617342864306,153900,0.0,1.0
1999-11-10,5.0,5.063,5.0,5.063,1.06617342864306,96700,0.0,1.0
1999-11-11,4.938,5.063,4.875,4.875,1.02658413285304,50100,0.0,1.0
1999-11-12,4.875,4.875,4.75,4.813,1.01352808849675,28500,0.0,1.0
1999-11-15,4.875,5.0,4.875,4.938,1.03985075856991,43400,0.0,1.0
1999-11-16,4.875,4.938,4.625,4.625,0.973938792706726,149200,0.0,1.0
1999-11-17,4.688,4.688,4.5,4.5,0.947616122633571,53400,0.0,1.0
1999-11-18,4.375,4.563,4.375,4.5,0.947616122633571,42100,0.0,1.0
1999-11-19,4.438,4.5,4.25,4.313,0.908237408204131,125900,0.0,1.0
1999-11-22,4.313,4.313,4.125,4.188,0.881914738130977,40600,0.0,1.0
1999-11-23,3.938,4.125,3.938,4.125,0.868648112414107,45900,0.0,1.0
1999-11-24,4.0,4.25,4.0,4.125,0.868648112414107,59300,0.0,1.0
1999-11-26,4.125,4.313,4.125,4.25,0.894970782487261,18900,0.0,1.0
1999-11-29,4.25,4.5,4.25,4.5,0.947616122633571,53100,0.0,1.0
1999-11-30,4.375,4.938,4.25,4.938,1.03985075856991,102500,0.0,1.0
1999-12-01,4.875,4.875,4.5,4.75,1.00026146277988,122200,0.0,1.0
1999-12-02,4.688,4.75,4.5,4.5,0.947616122633571,144600,0.0,1.0
1999-12-03,4.563,4.625,4.188,4.188,0.881914738130977,69900,0.0,1.0
1999-12-06,4.25,4.438,4.188,4.375,0.921293452560416,68600,0.0,1.0
1999-12-07,4.25,4.313,4.188,4.25,0.894970782487261,44000,0.0,1.0
1999-12-08,4.25,4.375,4.188,4.25,0.894970782487261,73700,0.0,1.0
1999-12-09,4.25,4.313,4.188,4.313,0.908237408204131,66800,0.0,1.0
1999-12-10,4.25,4.313,4.188,4.25,0.894970782487261,51300,0.0,1.0
1999-12-13,4.25,4.313,4.188,4.25,0.894970782487261,31000,0.0,1.0
1999-12-14,4.25,4.375,4.188,4.188,0.881914738130977,65800,0.0,1.0
1999-12-15,4.188,4.188,4.0,4.0,0.842325442340952,222700,0.0,1.0
1999-12-16,4.0,4.125,3.813,3.875,0.816002772267797,69700,0.0,1.0
1999-12-17,3.938,3.938,3.938,3.938,0.829269397984667,235500,0.0,1.0
1999-12-20,3.875,3.938,3.75,3.938,0.829269397984667,94600,0.0,1.0
1999-12-21,3.813,3.875,3.688,3.75,0.789680102194642,139400,0.0,1.0
1999-12-22,3.75,3.875,3.75,3.75,0.789680102194642,67300,0.0,1.0
1999-12-23,3.813,3.875,3.75,3.75,0.789680102194642,47200,0.0,1.0
1999-12-27,3.75,3.938,3.75,3.813,0.802946727911512,589200,0.0,1.0
1999-12-28,3.75,3.875,3.75,3.75,0.789680102194642,155400,0.0,1.0
1999-12-29,3.75,3.875,3.75,3.875,0.816002772267797,362700,0.0,1.0
1999-12-30,3.813,3.938,3.688,3.75,0.789680102194642,193400,0.0,1.0
1999-12-31,3.75,4.313,3.75,4.188,0.881914738130977,916700,0.0,1.0
2000-01-03,4.25,4.25,4.0,4.0,0.842325442340952,17100,0.0,1.0
2000-01-04,4.0,4.0,3.938,4.0,0.842325442340952,39800,0.0,1.0
2000-01-05,3.938,4.063,3.938,4.0,0.842325442340952,30400,0.0,1.0
2000-01-06,3.938,4.125,3.938,4.0,0.842325442340952,27500,0.0,1.0
2000-01-07,3.938,4.0,3.875,3.938,0.829269397984667,84500,0.0,1.0
2000-01-10,3.938,4.125,3.938,4.0,0.842325442340952,54100,0.0,1.0
2000-01-11,3.875,3.938,3.875,3.938,0.829269397984667,52300,0.0,1.0
2000-01-12,3.875,3.938,3.875,3.875,0.816002772267797,15600,0.0,1.0
2000-01-13,3.875,4.063,3.875,3.938,0.829269397984667,31000,0.0,1.0
2000-01-14,3.938,4.0,3.938,4.0,0.842325442340952,36200,0.0,1.0
2000-01-18,4.0,4.063,3.938,4.063,0.855592068057822,20600,0.0,1.0
2000-01-19,4.0,4.063,3.938,4.063,0.855592068057822,28300,0.0,1.0
2000-01-20,4.063,4.063,4.0,4.0,0.842325442340952,32100,0.0,1.0
2000-01-21,4.0,4.0,3.938,3.938,0.829269397984667,40600,0.0,1.0
2000-01-24,3.938,4.0,3.688,3.688,0.776624057838358,104500,0.0,1.0
