date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,65.19,65.31,64.44,64.44,16.6754861322312,4260300,0.0,1.0
1999-11-02,64.31,64.87,63.0,63.0,16.3028495706171,2668800,0.0,1.0
1999-11-03,62.75,63.75,62.56,63.5,16.432237265622,2965100,0.0,1.0
1999-11-04,63.56,63.69,62.63,62.63,16.2071026763134,2207800,0.0,1.0
1999-11-05,62.81,63.5,62.31,62.31,16.1242945515103,4171900,0.0,1.0
1999-11-08,62.38,64.5,62.38,64.44,16.6754861322312,3440800,0.0,1.0
1999-11-09,64.31,64.31,62.5,62.88,16.2717965238159,2853700,0.0,1.0
1999-11-10,62.75,63.69,62.56,63.63,16.4658780663232,2528200,0.0,1.0
1999-11-11,64.12,64.12,62.94,63.5,16.432237265622,2714600,0.0,1.0
1999-11-12,63.38,63.69,62.88,62.88,16.2717965238159,2531700,0.0,1.0
1999-11-15,63.25,63.56,62.81,63.38,16.4011842188208,2036000,0.0,1.0
1999-11-16,63.5,64.81,63.38,64.44,16.6754861322312,2261300,0.0,1.0
1999-11-17,64.19,65.44,64.12,65.19,16.8695676747385,2598900,0.0,1.0
1999-11-18,64.94,65.12,63.94,64.0,16.5616249606269,2016500,0.0,1.0
1999-11-19,64.19,65.12,64.12,64.81,16.7712330265348,1780900,0.0,1.0
1999-11-22,64.12,64.25,63.0,63.58,16.4529392968227,2267600,0.0,1.0
1999-11-23,63.63,63.63,61.63,61.88,16.0130211338061,2441800,0.0,1.0
1999-11-24,61.56,62.56,61.56,62.13,16.0777149813085,2378700,0.0,1.0
1999-11-26,62.63,63.63,62.5,62.88,16.2717965238159,1168700,0.0,1.0
1999-11-29,63.63,63.63,62.13,62.63,16.2071026763134,4198600,0.0,1.0
1999-11-30,63.0,64.5,63.0,63.78,16.5046943748247,4334800,0.0,1.0
1999-12-01,63.25,64.87,62.56,64.44,16.6754861322312,4393500,0.0,1.0
1999-12-02,64.19,65.87,63.94,64.83,16.776408534335,3414700,0.0,1.0
1999-12-03,64.75,66.31,64.69,66.0,17.0791757406464,4208100,0.0,1.0
1999-12-06,65.0,65.94,63.69,64.37,16.6573718549305,3198900,0.0,1.0
1999-12-07,65.19,65.69,63.75,64.0,16.5616249606269,3565800,0.0,1.0
1999-12-08,64.12,64.75,63.56,64.05,16.5745637301273,2088600,0.0,1.0
1999-12-09,64.06,64.37,63.5,64.37,16.6573718549305,2545500,0.0,1.0
1999-12-10,64.75,64.75,63.13,63.25,16.3675434181195,2074900,0.0,1.0
1999-12-13,63.06,65.56,62.75,65.31,16.9006207215397,3323100,0.0,1.0
1999-12-14,64.5,65.56,64.19,64.81,16.7712330265348,3276400,0.0,1.0
1999-12-15,64.5,65.19,64.44,64.69,16.7401799797336,3204600,0.0,1.0
1999-12-16,64.5,64.75,63.44,64.31,16.6418453315299,4029400,0.0,1.0
1999-12-17,64.87,65.44,64.37,64.94,16.8048738272361,6575800,0.0,1.0
1999-12-20,64.94,65.0,64.0,64.87,16.7867595499354,2725000,0.0,1.0
1999-12-21,65.37,67.25,64.87,65.56,16.9653145690421,5252600,0.0,1.0
1999-12-22,67.0,67.25,64.31,64.5,16.6910126556318,5084200,0.0,1.0
1999-12-23,64.44,65.5,63.69,63.94,16.5460984372263,3487600,0.0,1.0
1999-12-27,62.63,62.69,59.19,60.13,15.560164201289,8822500,0.0,1.0
1999-12-28,61.0,62.44,60.69,62.19,16.0932415047091,4197600,0.0,1.0
1999-12-29,62.5,62.75,61.38,61.75,15.9793803331048,1798400,0.0,1.0
1999-12-30,61.31,61.63,61.06,61.5,15.9146864856024,1575100,0.0,1.0
1999-12-31,61.56,62.19,61.44,61.56,15.930213009003,993000,0.0,1.0
2000-01-03,60.63,61.63,59.63,59.94,15.5109968771871,4663700,0.0,1.0
2000-01-04,59.69,60.44,57.25,58.0,15.0089726205681,5005800,0.0,1.0
2000-01-05,59.0,60.81,58.5,59.94,15.5109968771871,6368500,0.0,1.0
2000-01-06,59.69,59.69,58.38,59.25,15.4320703832341,4705600,0.385,1.0
2000-01-07,58.88,59.06,57.81,58.81,15.3174693542278,5043800,0.0,1.0
2000-01-10,58.81,59.31,57.81,58.5,15.2367277201552,4487800,0.0,1.0
2000-01-11,57.75,58.38,57.25,57.95,15.0934764338973,3694400,0.0,1.0
2000-01-12,56.38,57.63,56.0,56.0,14.5855855098921,4288100,0.0,1.0
2000-01-13,57.0,57.19,55.56,55.56,14.4709844808859,3783700,0.0,1.0
2000-01-14,55.94,56.63,55.56,56.31,14.6663271439648,3180500,0.0,1.0
2000-01-18,57.0,59.94,56.81,58.75,15.3018419411815,4861700,0.0,1.0
2000-01-19,57.5,58.5,57.5,57.63,15.0101302309837,2962300,0.0,1.0
2000-01-20,58.06,59.25,57.81,57.81,15.0570124701226,2711000,0.0,1.0
2000-01-21,59.88,61.31,59.0,60.06,15.6430404593593,5706500,0.0,1.0
2000-01-24,60.31,60.81,59.94,60.13,15.6612724412467,3908300,0.0,1.0
2000-01-25,60.06,60.25,58.19,58.5,15.2367277201552,4420200,0.0,1.0
2000-01-26,58.75,58.94,57.56,57.75,15.0413850570763,4054100,0.0,1.0
2000-01-27,58.0,58.75,57.13,58.25,15.1716134991289,3124900,0.0,1.0
2000-01-28,57.94,58.88,57.06,57.63,15.0101302309837,3357400,0.0,1.0
2000-01-31,57.56,63.0,57.06,61.94,16.1326994014771,5373000,0.0,1.0
2000-02-01,60.75,61.38,59.25,59.56,15.5128120173067,4674000,0.0,1.0
2000-02-02,60.06,60.13,59.13,59.31,15.4476977962804,2948400,0.0,1.0
2000-02-03,59.75,60.13,58.0,58.44,15.2211003071089,2589900,0.0,1.0
2000-02-04,58.75,59.69,58.31,58.56,15.2523551332015,3401800,0.0,1.0
2000-02-07,58.56,59.94,57.94,59.75,15.5622988252867,3313900,0.0,1.0
2000-02-08,59.81,60.5,58.69,59.0,15.3669561622078,3069200,0.0,1.0
2000-02-09,59.0,59.19,57.5,57.81,15.0570124701226,3224600,0.0,1.0
2000-02-10,57.69,57.75,56.88,57.06,14.8616698070437,2851600,0.0,1.0
2000-02-11,56.94,57.0,54.44,56.0,14.5855855098921,3436700,0.0,1.0
2000-02-14,56.0,56.31,54.88,55.31,14.4058702598595,2905400,0.0,1.0
2000-02-15,55.13,55.13,54.0,54.25,14.129785962708,3995700,0.0,1.0
2000-02-16,54.06,55.31,54.06,55.06,14.3407560388332,3747200,0.0,1.0
2000-02-17,55.81,55.94,53.5,53.75,13.9995575206554,3358400,0.0,1.0
2000-02-18,53.56,53.81,51.56,51.88,13.5125031473787,4291100,0.0,1.0
2000-02-22,52.5,52.81,51.19,52.25,13.6088721944976,3589500,0.0,1.0
2000-02-23,51.13,52.06,50.06,50.25,13.0879584262872,4013600,0.0,1.0
2000-02-24,50.06,50.5,47.88,48.0,12.5019304370504,6266600,0.0,1.0
2000-02-25,47.5,49.38,47.38,47.56,12.3873294080441,5269300,0.0,1.0
2000-02-28,47.81,50.94,47.69,49.88,12.9915893791682,4322400,0.0,1.0
2000-02-29,50.0,50.13,48.19,48.94,12.7467599081093,5199300,0.0,1.0
2000-03-01,53.13,55.0,52.13,54.94,14.3095012127406,7936600,0.0,1.0
2000-03-02,54.13,55.38,54.06,55.25,14.3902428468132,4752100,0.0,1.0
2000-03-03,55.38,56.13,55.13,55.31,14.4058702598595,4411300,0.0,1.0
2000-03-06,56.19,57.0,54.69,57.0,14.8460423939974,4410300,0.0,1.0
2000-03-07,57.0,57.75,55.56,55.63,14.4892164627732,3890400,0.0,1.0
2000-03-08,54.81,57.06,54.81,56.5,14.7158139519448,3478000,0.0,1.0
2000-03-09,56.38,58.63,55.81,58.63,15.2705871150889,4054300,0.0,1.0
2000-03-10,58.44,58.44,56.81,57.31,14.92678402807,3984000,0.0,1.0
2000-03-13,56.63,57.31,55.94,57.19,14.8955292019774,3737700,0.0,1.0
2000-03-14,56.38,56.69,55.88,56.06,14.6012129229385,3694200,0.0,1.0
2000-03-15,56.13,56.56,55.0,56.06,14.6012129229385,4239700,0.0,1.0
2000-03-16,56.06,58.13,55.31,57.88,15.07524445201,5223100,0.0,1.0
2000-03-17,58.06,59.81,57.75,59.19,15.4164429701878,5038500,0.0,1.0
2000-03-20,59.0,59.94,58.25,59.13,15.4008155571415,3379700,0.0,1.0
2000-03-21,59.13,59.69,58.25,58.88,15.3357013361152,3240700,0.0,1.0
2000-03-22,58.38,58.81,57.25,57.88,15.07524445201,4342100,0.0,1.0
2000-03-23,58.75,60.13,58.25,59.63,15.5310439991941,6167200,0.0,1.0
2000-03-24,59.75,60.44,59.06,59.5,15.4971846042604,3602100,0.0,1.0
2000-03-27,59.5,60.88,59.13,60.63,15.7915008832993,3862800,0.0,1.0
2000-03-28,60.56,60.94,59.69,60.5,15.7576414883656,3661300,0.0,1.0
2000-03-29,60.5,62.0,60.25,62.0,16.1483268145234,3688700,0.0,1.0
2000-03-30,61.88,62.38,61.25,61.25,15.9529841514445,4356600,0.0,1.0
2000-03-31,62.5,63.19,61.13,61.13,15.9217293253519,5141000,0.0,1.0
2000-04-03,61.75,63.06,61.06,63.06,16.424411111675,3683600,0.0,1.0
2000-04-04,64.94,66.0,62.44,63.75,16.6041263617076,7770100,0.0,1.0
2000-04-05,63.88,64.75,63.0,63.19,16.4582705066087,3569000,0.0,1.0
2000-04-06,63.5,65.25,63.31,65.19,17.0794601751996,3068300,0.385,1.0
2000-04-07,64.5,64.94,64.12,64.62,16.9301229716429,4906200,0.0,1.0
2000-04-10,63.63,64.19,62.75,63.19,16.5554699872812,3733900,0.0,1.0
2000-04-11,64.0,64.69,63.75,64.06,16.7834057190257,3090500,0.0,1.0
2000-04-12,64.25,65.25,63.81,64.37,16.8646241981531,4545500,0.0,1.0
2000-04-13,64.25,64.25,63.06,63.06,16.5214106250665,3273200,0.0,1.0
2000-04-14,62.81,63.75,60.44,61.13,16.0157600937253,4372400,0.0,1.0
2000-04-17,61.06,61.5,59.19,60.63,15.8847625467457,3963300,0.0,1.0
2000-04-18,60.38,61.63,60.25,60.69,15.9004822523832,3324700,0.0,1.0
2000-04-19,60.88,61.88,60.63,61.75,16.17819705198,2446100,0.0,1.0
2000-04-20,61.25,61.38,59.81,60.25,15.7852044110412,2282700,0.0,1.0
2000-04-24,60.5,61.94,60.31,61.94,16.2279761198322,2671800,0.0,1.0
2000-04-25,62.19,62.94,60.94,62.94,16.4899712137914,3411400,0.0,1.0
2000-04-26,61.63,62.45,60.75,61.5,16.1126982784902,3387100,0.0,1.0
2000-04-27,61.06,61.19,59.88,60.0,15.7197056375514,3754200,0.0,1.0
2000-04-28,60.38,60.44,58.5,60.0,15.7197056375514,4946900,0.0,1.0
2000-05-01,59.25,59.63,58.0,58.0,15.195715449633,6393700,0.0,1.0
2000-05-02,57.5,57.63,53.88,55.0,14.4097301677555,7476600,0.0,1.0
2000-05-03,54.94,55.69,54.69,55.44,14.5250080090975,6879100,0.0,1.0
2000-05-04,55.38,55.38,53.81,53.81,14.097956005944,4768300,0.0,1.0
2000-05-05,53.56,54.31,53.5,53.94,14.1320153681587,2548300,0.0,1.0
2000-05-08,54.06,54.75,53.19,54.47,14.2708727679571,4120900,0.0,1.0
2000-05-09,53.88,55.0,53.63,53.97,14.1398752209775,4703200,0.0,1.0
2000-05-10,53.75,54.88,53.13,53.63,14.0507968890314,3991600,0.0,1.0
2000-05-11,54.63,55.13,53.94,54.73,14.3389914923865,3808800,0.0,1.0
2000-05-12,54.13,54.25,52.63,53.0,13.8857399798371,6211500,0.0,1.0
2000-05-15,53.38,55.06,52.88,55.06,14.425449873393,4175500,0.0,1.0
2000-05-16,55.88,55.88,54.88,55.25,14.4752289412453,3051500,0.0,1.0
2000-05-17,54.25,54.44,53.94,54.25,14.2132338472861,2806500,0.0,1.0
2000-05-18,53.88,54.38,53.69,53.88,14.1162956625212,2739200,0.0,1.0
2000-05-19,52.88,53.31,50.56,52.63,13.7888017950722,5550700,0.0,1.0
2000-05-22,52.69,52.88,51.44,52.31,13.7049633650052,2541800,0.0,1.0
2000-05-23,52.31,52.38,50.69,50.81,13.3119707240664,3363500,0.0,1.0
2000-05-24,50.88,51.75,50.63,51.56,13.5084670445358,4397700,0.0,1.0
2000-05-25,51.38,51.38,50.19,50.63,13.2648116071538,3079000,0.0,1.0
2000-05-26,50.13,52.63,50.13,51.69,13.5425264067505,2457500,0.0,1.0
2000-05-30,51.94,52.63,51.88,52.56,13.770462138495,3039900,0.0,1.0
2000-05-31,52.5,53.19,52.19,52.88,13.854300568562,2686200,0.0,1.0
2000-06-01,52.81,53.75,52.31,53.52,14.0219774286959,2660000,0.0,1.0
2000-06-02,54.63,54.63,53.0,53.63,14.0507968890314,3482300,0.0,1.0
2000-06-05,53.63,54.0,52.81,53.0,13.8857399798371,2553700,0.0,1.0
2000-06-06,53.25,54.31,52.94,54.06,14.1634547794338,2814200,0.0,1.0
2000-06-07,54.19,54.69,53.88,54.06,14.1634547794338,3932100,0.0,1.0
2000-06-08,53.75,54.69,53.5,54.63,14.3127919829906,4093400,0.0,1.0
2000-06-09,54.63,54.69,53.81,53.94,14.1320153681587,2870500,0.0,1.0
2000-06-12,54.0,54.63,53.75,53.81,14.097956005944,2569000,0.0,1.0
2000-06-13,54.0,56.63,53.94,55.44,14.5250080090975,3795900,0.0,1.0
2000-06-14,56.13,57.44,55.81,57.38,15.0332784913783,4294700,0.0,1.0
2000-06-15,57.5,58.63,56.31,56.56,14.8184425143318,5563500,0.0,1.0
2000-06-16,55.75,56.38,54.94,55.06,14.425449873393,5447500,0.0,1.0
2000-06-19,55.13,57.69,54.94,57.0,14.9337203556738,4819300,0.0,1.0
2000-06-20,56.5,57.81,55.69,57.44,15.0489981970159,5193400,0.0,1.0
2000-06-21,57.5,58.13,56.56,56.81,14.8839412878216,4551900,0.0,1.0
2000-06-22,57.31,58.44,56.94,58.19,15.2454945174853,3952900,0.0,1.0
2000-06-23,58.25,58.25,57.06,57.38,15.0332784913783,2096300,0.0,1.0
2000-06-26,57.0,57.38,55.25,55.5,14.540727714735,3385600,0.0,1.0
2000-06-27,55.5,55.75,53.31,53.63,14.0507968890314,5394100,0.0,1.0
2000-06-28,53.88,54.13,51.63,52.61,13.783561893193,4525400,0.0,1.0
2000-06-29,52.63,52.94,51.38,51.5,13.4927473388983,5729000,0.0,1.0
2000-06-30,51.63,51.69,49.5,50.81,13.3119707240664,12598300,0.0,1.0
2000-07-03,50.63,55.13,50.63,55.0,14.4984055512471,3678300,0.3385,1.0
2000-07-05,55.75,56.88,54.13,54.44,14.350785421998,6478400,0.0,1.0
2000-07-06,54.5,56.19,53.5,53.81,14.1969805365482,4175200,0.0465,1.0
2000-07-07,54.06,56.0,54.06,55.38,14.6112020463489,4561200,0.0,1.0
2000-07-10,55.0,55.63,54.56,54.69,14.4291556503218,4281200,0.0,1.0
2000-07-11,53.5,54.06,52.31,52.56,13.8671863408469,5150200,0.0,1.0
2000-07-12,52.94,53.25,51.94,52.13,13.7537371375257,4965500,0.0,1.0
2000-07-13,52.0,52.38,51.0,51.5,13.5875208628922,6625700,0.0,1.0
2000-07-14,49.25,50.13,49.0,49.5,13.0598501497702,9555600,0.0,1.0
2000-07-17,49.75,49.94,48.63,49.5,13.0598501497702,6375900,0.0,1.0
2000-07-18,48.63,49.0,48.25,48.81,12.8778037537431,7755800,0.0,1.0
2000-07-19,48.38,48.81,46.94,47.0,12.4002617583677,8176000,0.0,1.0
2000-07-20,46.25,46.63,43.25,44.25,11.6747145278249,17728600,0.0,1.0
2000-07-21,45.88,48.5,45.88,48.0,12.6640971149287,16942100,0.0,1.0
2000-07-24,48.5,49.19,48.25,48.75,12.8619736323494,8015100,0.0,1.0
2000-07-25,49.25,49.25,48.38,48.56,12.8118449146028,5652400,0.0,1.0
2000-07-26,49.13,49.13,47.0,47.0,12.4002617583677,6466700,0.0,1.0
2000-07-27,47.38,48.5,46.63,47.0,12.4002617583677,6432500,0.0,1.0
2000-07-28,47.5,47.81,46.63,47.0,12.4002617583677,5584200,0.0,1.0
2000-07-31,47.0,47.69,46.75,46.75,12.3343029192274,5132200,0.0,1.0
2000-08-01,47.5,48.13,47.06,47.94,12.648266993535,5166200,0.0,1.0
2000-08-02,47.88,48.94,47.5,47.88,12.6324368721413,4283700,0.0,1.0
2000-08-03,47.63,48.25,47.0,48.0,12.6640971149287,5081800,0.0,1.0
2000-08-04,47.0,47.13,45.69,46.94,12.384431636974,8272700,0.0,1.0
2000-08-07,47.19,48.31,46.56,47.88,12.6324368721413,5941800,0.0,1.0
2000-08-08,44.88,44.88,41.25,42.5,11.2130026538431,37191500,0.0,1.0
2000-08-09,42.25,42.5,39.06,40.38,10.6536716979337,24668400,0.0,1.0
2000-08-10,40.38,42.13,39.69,42.13,11.1153835719155,9989800,0.0,1.0
2000-08-11,41.38,42.5,40.75,41.5,10.9491672972821,9234100,0.0,1.0
2000-08-14,41.0,43.25,41.0,42.5,11.2130026538431,6881500,0.0,1.0
2000-08-15,41.56,42.31,41.5,42.0,11.0810849755626,6960700,0.0,1.0
2000-08-16,41.75,41.94,41.19,41.75,11.0151261364223,9271300,0.0,1.0
2000-08-17,41.19,41.44,40.0,40.75,10.7512907798613,12344300,0.0,1.0
2000-08-18,40.06,42.75,40.06,42.44,11.1971725324494,17813000,0.0,1.0
2000-08-21,43.5,43.81,42.75,42.81,11.294791614377,11642600,0.0,1.0
2000-08-22,43.06,43.25,41.13,41.75,11.0151261364223,8332800,0.0,1.0
2000-08-23,41.19,41.63,40.5,40.5,10.6853319407211,8176200,0.0,1.0
2000-08-24,41.44,41.88,40.81,41.63,10.983465893635,7333200,0.0,1.0
2000-08-25,42.25,43.31,42.06,43.13,11.3792189284765,7144900,0.0,1.0
2000-08-28,44.0,44.94,43.06,43.81,11.558626970938,9847200,0.0,1.0
2000-08-29,44.13,44.19,42.63,42.88,11.3132600893363,6001300,0.0,1.0
2000-08-30,42.75,44.38,42.69,44.25,11.6747145278249,6372100,0.0,1.0
2000-08-31,44.25,44.5,43.38,43.52,11.4821147175353,4975000,0.0,1.0
2000-09-01,43.5,44.31,43.5,44.06,11.6245858100783,4301000,0.0,1.0
2000-09-05,44.0,44.25,42.25,43.5,11.4768380104041,4340300,0.0,1.0
2000-09-06,43.19,43.88,42.63,42.63,11.247301250196,3898100,0.0,1.0
2000-09-07,42.88,43.94,42.75,43.63,11.511136606757,3990900,0.0,1.0
