date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,3.25,3.313,3.0,3.125,1.89316539443835,1632500,0.0,1.0
1999-11-02,3.125,3.25,3.0,3.125,1.89316539443835,1453000,0.0,1.0
1999-11-03,3.125,3.125,2.938,2.938,1.77987837723515,1850500,0.0,1.0
1999-11-04,3.125,3.125,2.813,2.813,1.70415176145762,3088400,0.0,1.0
1999-11-05,2.875,2.938,2.75,2.813,1.70415176145762,3408700,0.0,1.0
1999-11-08,2.875,3.188,2.875,2.938,1.77987837723515,3718500,0.0,1.0
1999-11-09,3.0,3.25,2.938,3.25,1.96889201021588,2215500,0.0,1.0
1999-11-10,3.25,4.5,3.25,4.25,2.57470493643615,17818300,0.0,1.0
1999-11-11,4.25,4.563,3.75,3.875,2.34752508910355,6015200,0.0,1.0
1999-11-12,3.875,3.938,3.438,3.75,2.27179847332601,3723400,0.0,1.0
1999-11-15,3.813,3.875,3.5,3.75,2.27179847332601,2263000,0.0,1.0
1999-11-16,3.75,3.875,3.625,3.688,2.23423807190036,1956400,0.0,1.0
1999-11-17,3.688,4.313,3.625,3.938,2.38569130345543,3526100,0.0,1.0
1999-11-18,4.0,4.125,3.875,3.938,2.38569130345543,2390800,0.0,1.0
1999-11-19,4.0,4.063,3.688,3.875,2.34752508910355,2440600,0.0,1.0
1999-11-22,3.938,4.0,3.813,3.875,2.34752508910355,1622000,0.0,1.0
1999-11-23,3.938,3.938,3.625,3.688,2.23423807190036,2106900,0.0,1.0
1999-11-24,3.75,3.75,3.5,3.688,2.23423807190036,2135600,0.0,1.0
1999-11-26,3.75,3.75,3.625,3.688,2.23423807190036,553400,0.0,1.0
1999-11-29,3.75,4.188,3.688,4.188,2.53714453501049,4073900,0.0,1.0
1999-11-30,4.063,4.5,3.875,3.875,2.34752508910355,4469600,0.0,1.0
1999-12-01,3.75,4.188,3.75,3.813,2.30996468767789,2318100,0.0,1.0
1999-12-02,3.938,3.938,3.75,3.813,2.30996468767789,1541400,0.0,1.0
1999-12-03,3.938,3.938,3.75,3.75,2.27179847332601,1681900,0.0,1.0
1999-12-06,3.813,3.813,3.625,3.75,2.27179847332601,1670700,0.0,1.0
1999-12-07,3.75,3.75,3.5,3.688,2.23423807190036,1458700,0.0,1.0
1999-12-08,3.625,3.625,3.5,3.563,2.15851145612282,1966800,0.0,1.0
1999-12-09,3.563,3.75,3.5,3.5,2.12034524177095,2215000,0.0,1.0
1999-12-10,3.688,3.75,3.5,3.625,2.19607185754848,2629000,0.0,1.0
1999-12-13,3.625,3.688,3.438,3.438,2.08278484034529,1934800,0.0,1.0
1999-12-14,3.563,3.688,3.563,3.625,2.19607185754848,1771600,0.0,1.0
1999-12-15,3.688,3.75,3.5,3.5,2.12034524177095,1637800,0.0,1.0
1999-12-16,3.625,4.125,3.563,4.0,2.42325170488108,1158700,0.0,1.0
1999-12-17,4.06,4.5,3.94,4.19,2.53835616086293,7914200,0.0,1.0
1999-12-20,4.25,4.375,3.875,3.938,2.38569130345543,2345600,0.0,1.0
1999-12-21,3.875,4.063,3.813,3.875,2.34752508910355,1485600,0.0,1.0
1999-12-22,3.875,3.938,3.75,3.875,2.34752508910355,1448000,0.0,1.0
1999-12-23,3.813,3.938,3.625,3.75,2.27179847332601,2078700,0.0,1.0
1999-12-27,3.875,3.875,3.625,3.688,2.23423807190036,2146500,0.0,1.0
1999-12-28,3.75,3.938,3.5,3.563,2.15851145612282,2855400,0.0,1.0
1999-12-29,3.563,3.688,3.5,3.688,2.23423807190036,2321900,0.0,1.0
1999-12-30,3.625,3.813,3.625,3.813,2.30996468767789,3317300,0.0,1.0
1999-12-31,3.875,4.188,3.813,4.188,2.53714453501049,4214300,0.0,1.0
2000-01-03,4.25,4.25,3.94,3.94,2.38690292930787,2461900,0.0,1.0
2000-01-04,3.938,5.0,3.875,4.688,2.84005099812063,7660300,0.0,1.0
2000-01-05,4.75,4.75,4.125,4.625,2.80188478376875,3944600,0.0,1.0
2000-01-06,4.5,4.688,4.313,4.563,2.76432438234309,2468400,0.0,1.0
2000-01-07,4.625,5.625,4.625,5.625,3.40769770998902,9783000,0.0,1.0
2000-01-10,5.5,5.563,5.0,5.0,3.02906463110135,4961300,0.0,1.0
