date,open,high,low,close,adjClose,volume,dividend,split
2001-01-02,16.25,16.38,16.06,16.06,4.20726847917942,124000,0.0,1.0
2001-01-03,16.13,16.69,16.13,16.69,4.37231076696791,127700,0.0,1.0
2001-01-04,16.81,16.81,16.56,16.69,4.37231076696791,132000,0.0,1.0
2001-01-05,16.69,16.69,16.25,16.25,4.25704313740135,113500,0.0,1.0
2001-01-08,16.25,16.88,16.25,16.81,4.40374739321333,161300,0.0,1.0
2001-01-09,16.94,17.63,16.88,17.44,4.56878968100181,122200,0.0,1.0
2001-01-10,17.25,17.88,17.25,17.88,4.68405731056837,137900,0.0,1.0
2001-01-11,17.75,17.81,17.5,17.63,4.61856433922374,152400,0.0,1.0
2001-01-12,17.69,17.69,17.5,17.56,4.60022630724724,48400,0.0,1.0
2001-01-16,17.63,17.88,17.5,17.69,4.63428265234645,112700,0.0,1.0
2001-01-17,17.75,17.75,17.5,17.56,4.60022630724724,98900,0.0,1.0
2001-01-18,17.5,17.69,17.38,17.69,4.63428265234645,87900,0.0,1.0
2001-01-19,17.69,18.19,17.69,18.0,4.7154939368138,93900,0.0,1.0
2001-01-22,18.13,18.81,18.13,18.69,4.896254537725,124700,0.0,1.0
2001-01-23,18.56,19.06,18.56,19.0,4.97746582219234,105100,0.0,1.0
2001-01-24,19.13,19.44,19.13,19.25,5.04295879353698,138600,0.0,1.0
2001-01-25,19.19,19.38,19.06,19.06,4.99318413531506,111000,0.0,1.0
2001-01-26,19.0,19.44,18.75,19.31,5.05867710665969,133800,0.0,1.0
2001-01-29,18.65,19.06,18.58,19.06,5.1464376882615,141500,0.585,1.0
2001-01-30,19.06,19.16,18.87,19.0,5.13023694002983,121000,0.0,1.0
2001-01-31,19.0,19.0,18.5,18.5,4.99523070476589,94200,0.0,1.0
2001-02-01,18.6,18.78,18.5,18.74,5.06003369769258,86800,0.0,1.0
2001-02-02,18.75,18.75,18.38,18.38,4.96282920830254,65700,0.0,1.0
2001-02-05,18.31,18.55,18.2,18.28,4.93582796124975,78200,0.0,1.0
2001-02-06,18.35,18.82,18.3,18.82,5.08163469533481,124900,0.0,1.0
2001-02-07,18.85,18.99,18.75,18.85,5.08973506945065,68200,0.0,1.0
2001-02-08,18.85,18.85,18.71,18.84,5.08703494474537,61000,0.0,1.0
2001-02-09,18.8,18.9,18.62,18.65,5.03573257534507,78500,0.0,1.0
2001-02-12,18.66,18.91,18.64,18.7,5.04923319887147,76700,0.0,1.0
2001-02-13,18.65,18.98,18.65,18.9,5.10323569297704,58600,0.0,1.0
2001-02-14,18.98,19.0,18.87,18.99,5.12753681532455,75600,0.0,1.0
