date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,37.27,37.7,36.96,37.52,10.6259578424051,1320400,0.0,1.0
1999-11-02,37.64,37.77,37.08,37.33,10.5721483543972,1821800,0.0,1.0
1999-11-03,36.46,36.77,35.29,35.66,10.0991912755908,3178600,0.0,1.0
1999-11-04,36.22,36.59,35.29,35.66,10.0991912755908,2580700,0.0,1.0
1999-11-05,35.53,36.09,34.48,34.73,9.83580799218362,2316900,0.0,1.0
1999-11-08,33.74,35.97,33.67,35.53,10.0623742574801,2269100,0.0,1.0
1999-11-09,35.91,36.22,34.67,34.79,9.85280046208086,1524500,0.0,1.0
1999-11-10,34.54,34.98,34.11,34.48,9.76500603427847,1394800,0.0,1.0
1999-11-11,34.67,35.16,34.17,34.6,9.79899097407294,1197300,0.0,1.0
1999-11-12,36.09,36.15,34.79,35.66,10.0991912755908,1528200,0.0,1.0
1999-11-15,35.6,36.4,35.35,35.35,10.0113968477884,1739900,0.0,1.0
1999-11-16,35.35,36.22,34.85,36.22,10.2577876612983,2263600,0.0,1.0
1999-11-17,36.22,36.84,35.16,35.47,10.0453817875829,1870200,0.0,1.0
1999-11-18,35.72,35.84,34.17,35.72,10.116183745488,3994400,0.0,1.0
1999-11-19,35.53,35.84,34.98,35.66,10.0991912755908,1867600,0.0,1.0
1999-11-22,35.41,35.6,33.86,33.92,9.60640964857093,1939500,0.0,1.0
1999-11-23,33.74,33.86,32.0,32.49,9.20142244935347,2742600,0.0,1.0
1999-11-24,32.99,33.74,32.8,33.74,9.55543223887922,2156800,0.0,1.0
1999-11-26,33.86,33.86,32.74,32.87,9.30904142536929,704900,0.0,1.0
1999-11-29,32.93,34.05,32.31,33.74,9.55543223887922,2395900,0.0,1.0
1999-11-30,33.49,34.05,33.11,33.49,9.48463028097407,1443300,0.0,1.0
1999-12-01,33.24,33.49,32.8,32.87,9.30904142536929,1127600,0.0,1.0
1999-12-02,33.74,33.92,33.18,33.67,9.53560769066578,1869400,0.0,1.0
1999-12-03,33.98,34.48,33.24,33.43,9.46763781107683,1921100,0.0,1.0
1999-12-06,33.74,33.86,33.18,33.43,9.46763781107683,1757900,0.0,1.0
1999-12-07,33.24,33.3,30.76,31.5,8.92104669604907,3812600,0.0,1.0
1999-12-08,30.9,31.47,30.16,31.03,8.83042018993047,3536300,0.15,1.0
1999-12-09,31.53,32.21,30.78,31.78,9.04385284034774,1881500,0.0,1.0
1999-12-10,31.53,31.59,30.16,30.78,8.75927597312472,1389300,0.0,1.0
1999-12-13,30.16,31.22,29.53,30.9,8.79342519719148,5055500,0.0,1.0
1999-12-14,30.78,31.4,29.91,30.47,8.67105714428558,2859000,0.0,1.0
