date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,53.62,53.75,53.12,53.56,8.52972434165553,292900,0.0,1.0
1999-11-02,53.5,54.31,53.38,54.12,8.61890741916351,153000,0.0,1.0
1999-11-03,54.25,55.62,54.25,55.06,8.76860758498046,183400,0.0,1.0
1999-11-04,55.56,56.75,55.56,55.94,8.90875242106442,146100,0.0,1.0
1999-11-05,55.81,57.88,55.81,57.5,9.15719099412235,417700,0.0,1.0
1999-11-08,57.69,57.69,55.56,56.5,8.9979354985724,206700,0.0,1.0
1999-11-09,57.25,57.38,56.44,56.44,8.9883801688394,83200,0.0,1.0
1999-11-10,56.5,58.12,56.31,57.38,9.13808033465636,140500,0.0,1.0
1999-11-11,57.38,58.81,54.5,58.38,9.29733583020631,324400,0.0,1.0
1999-11-12,58.25,59.5,56.0,56.25,8.95812162468491,972700,0.0,1.0
1999-11-15,56.5,56.62,53.31,53.38,8.50105835245654,637300,0.0,1.0
1999-11-16,56.75,56.94,52.88,54.81,8.72879371109297,934700,0.0,1.0
1999-11-17,54.81,56.62,54.81,55.25,8.79886612913495,269100,0.0,1.0
1999-11-18,55.5,56.19,55.12,55.25,8.79886612913495,179400,0.0,1.0
1999-11-19,55.62,55.81,55.12,55.44,8.82912467328945,319400,0.0,1.0
1999-11-22,53.94,55.06,52.44,54.69,8.70968305162698,281000,0.0,1.0
1999-11-23,54.56,54.69,51.25,53.06,8.45009659388056,515800,0.0,1.0
1999-11-24,53.31,55.0,53.0,54.81,8.72879371109297,299500,0.0,1.0
1999-11-26,54.94,55.0,54.81,55.0,8.75905225524747,51400,0.0,1.0
1999-11-29,55.5,56.69,54.5,54.5,8.67942450747249,485900,0.0,1.0
1999-11-30,55.0,55.94,53.75,54.5,8.67942450747249,186700,0.0,1.0
1999-12-01,54.69,55.31,54.0,54.5,8.67942450747249,140100,0.0,1.0
1999-12-02,55.0,56.5,55.0,55.81,8.88804920664293,264900,0.0,1.0
1999-12-03,56.06,58.38,55.75,56.0,8.91830775079742,284900,0.0,1.0
1999-12-06,56.0,57.81,55.75,56.69,9.02819404272689,206800,0.0,1.0
1999-12-07,57.88,59.19,57.75,59.19,9.42633278160177,214200,0.0,1.0
1999-12-08,59.19,59.19,57.81,58.62,9.3355571491383,175200,0.0,1.0
1999-12-09,58.88,60.31,57.19,57.19,9.10782179050186,174900,0.0,1.0
1999-12-10,57.44,57.62,56.5,57.06,9.08711857608037,220300,0.0,1.0
1999-12-13,56.94,57.25,56.81,56.94,9.06800791661438,193000,0.0,1.0
1999-12-14,56.94,57.25,55.69,57.0,9.07756324634737,185400,0.0,1.0
1999-12-15,56.5,56.5,54.38,55.75,8.87849387690993,176500,0.0,1.0
1999-12-16,56.5,57.12,54.56,55.0,8.75905225524747,245400,0.0,1.0
1999-12-17,54.94,57.12,54.94,55.0,8.75905225524747,176800,0.0,1.0
1999-12-20,55.25,55.25,51.12,51.19,8.15228881720214,395500,0.0,1.0
1999-12-21,49.0,49.25,43.12,47.12,7.50411895031383,2377800,0.0,1.0
