date,open,high,low,close,adjClose,volume,dividend,split
2002-10-25,13.05,13.15,12.85,13.01,7.00789016874644,13965800,0.0,1.0
2002-10-28,13.01,13.05,12.96,13.01,7.00789016874644,5505900,0.0,1.0
2002-10-29,13.0,13.01,12.04,12.64,6.80858814242544,2235800,0.0,1.0
2002-10-30,12.61,12.62,12.13,12.5,6.73317656489858,905800,0.0,1.0
2002-10-31,12.56,13.02,12.5,12.61,6.79242851866968,298900,0.0,1.0
2002-11-01,12.59,12.7,12.57,12.61,6.79242851866968,268800,0.0,1.0
2002-11-04,12.66,12.95,12.65,12.91,6.95402475622725,1307600,0.0,1.0
2002-11-05,12.92,13.24,12.89,13.02,7.01327670999836,2384700,0.0,1.0
2002-11-06,13.03,13.2,13.0,13.0,7.00250362749452,204300,0.0,1.0
2002-11-07,13.08,13.16,12.36,13.05,7.02943633375411,724200,0.0,1.0
2002-11-08,13.02,13.04,12.83,12.93,6.96479783873109,106400,0.0,1.0
2002-11-11,13.0,13.0,12.65,12.71,6.84629393118887,110500,0.0,1.0
2002-11-12,12.73,12.74,11.86,11.96,6.44230333729496,540700,0.0,1.0
2002-11-13,12.05,12.09,10.76,11.1,5.97906078962994,685600,0.0,1.0
2002-11-14,11.13,11.25,10.88,11.09,5.97367424837802,462800,0.0,1.0
2002-11-15,11.1,11.56,11.08,11.55,6.22145514596629,460700,0.0,1.0
2002-11-18,11.58,13.05,11.57,12.18,6.56080724483717,325400,0.0,1.0
2002-11-19,12.36,12.8,12.02,12.6,6.78704197741777,211400,0.0,1.0
2002-11-20,12.56,12.6,12.23,12.41,6.68469769363131,92700,0.0,1.0
2002-11-21,12.54,12.85,12.54,12.85,6.92170550871574,91300,0.0,1.0
2002-11-22,12.85,12.86,12.5,12.65,6.81397468367736,55300,0.0,1.0
2002-11-25,12.8,13.0,12.66,12.93,6.96479783873109,111000,0.0,1.0
2002-11-26,12.94,12.94,12.74,12.74,6.86245355494463,59300,0.0,1.0
2002-11-27,12.9,12.9,12.5,12.5,6.73317656489858,94300,0.0,1.0
2002-11-29,12.78,12.89,12.6,12.82,6.90554588495998,35400,0.0,1.0
2002-12-02,12.94,12.95,12.35,12.41,6.68469769363131,93600,0.0,1.0
2002-12-03,12.5,12.5,12.31,12.37,6.66315152862363,31100,0.0,1.0
2002-12-04,12.45,12.6,12.31,12.6,6.78704197741777,42300,0.0,1.0
2002-12-05,12.85,13.3,12.76,13.28,7.15332678254825,366100,0.0,1.0
2002-12-06,13.15,13.38,12.99,13.18,7.09946137002906,129300,0.0,1.0
2002-12-09,13.29,13.3,12.87,13.0,7.00250362749452,106900,0.0,1.0
2002-12-10,13.0,13.19,12.93,13.0,7.00250362749452,48300,0.0,1.0
2002-12-11,13.1,13.35,13.02,13.25,7.13716715879249,189700,0.0,1.0
2002-12-12,13.39,13.8,13.27,13.74,7.40110768013652,361400,0.0,1.0
2002-12-13,13.73,14.39,13.53,13.6,7.32569610260965,615500,0.0,1.0
2002-12-16,13.75,14.07,13.66,13.68,7.368788432625,170900,0.0,1.0
2002-12-17,13.91,13.91,13.31,13.49,7.26644414883854,95100,0.0,1.0
2002-12-18,13.5,13.59,13.06,13.32,7.17487294755592,110800,0.0,1.0
2002-12-19,13.5,13.5,12.5,12.75,6.86784009619655,233700,0.0,1.0
2002-12-20,12.8,13.4,12.69,13.09,7.05098249876179,134900,0.0,1.0
2002-12-23,13.09,13.59,13.01,13.45,7.24489798383087,65300,0.0,1.0
2002-12-24,13.6,13.91,13.32,13.51,7.27721723134238,52300,0.0,1.0
2002-12-26,13.66,13.66,12.97,13.25,7.13716715879249,16300,0.0,1.0
2002-12-27,13.29,13.29,12.95,13.0,7.00250362749452,42500,0.0,1.0
2002-12-30,13.1,13.37,13.0,13.1,7.05636904001371,26700,0.0,1.0
2002-12-31,13.35,13.5,13.1,13.11,7.06175558126563,72000,0.0,1.0
2003-01-02,13.01,13.5,13.0,13.5,7.27183069009046,89700,0.0,1.0
2003-01-03,13.5,13.6,13.32,13.4,7.21796527757127,73200,0.0,1.0
2003-01-06,13.4,13.56,13.29,13.29,7.15871332380017,90700,0.0,1.0
2003-01-07,13.36,13.52,13.2,13.31,7.16948640630401,99300,0.0,1.0
2003-01-08,13.11,13.2,12.76,13.03,7.01866325125028,159100,0.0,1.0
2003-01-09,13.08,13.13,12.85,13.0,7.00250362749452,125900,0.0,1.0
2003-01-10,13.08,13.1,12.95,13.0,7.00250362749452,70500,0.0,1.0
2003-01-13,13.1,13.33,13.0,13.33,7.18025948880784,194700,0.0,1.0
2003-01-14,13.33,13.61,13.291,13.45,7.24489798383087,131200,0.0,1.0
2003-01-15,13.6,13.67,13.44,13.67,7.36340189137308,80300,0.0,1.0
2003-01-16,13.67,13.91,13.45,13.91,7.49267888141914,95500,0.0,1.0
2003-01-17,13.81,14.01,13.47,13.48,7.26105760758663,71300,0.0,1.0
2003-01-21,13.53,13.91,13.46,13.72,7.39033459763268,107700,0.0,1.0
2003-01-22,13.73,14.3,13.58,14.26,7.6812078252363,121500,0.0,1.0
2003-01-23,14.3,14.8,14.2,14.25,7.67582128398438,185500,0.0,1.0
2003-01-24,14.4,14.4,13.95,14.0,7.54115775268641,130500,0.0,1.0
2003-01-27,14.0,14.49,13.97,14.13,7.61118278896135,74000,0.0,1.0
2003-01-28,14.21,14.4,14.0,14.26,7.6812078252363,65700,0.0,1.0
2003-01-29,14.21,14.4,14.0,14.26,7.6812078252363,102800,0.0,1.0
2003-01-30,14.0,14.17,13.76,13.77,7.41726730389227,62600,0.0,1.0
2003-01-31,13.91,13.96,13.66,13.75,7.40649422138844,184000,0.0,1.0
2003-02-03,13.78,13.87,13.63,13.64,7.34724226761733,120100,0.0,1.0
2003-02-04,13.5,13.59,13.35,13.58,7.31492302010581,121800,0.0,1.0
2003-02-05,13.6,13.71,13.35,13.55,7.29876339635006,60200,0.0,1.0
2003-02-06,13.76,14.65,13.6,14.4,7.75661940276316,110600,0.0,1.0
2003-02-07,14.4,14.56,13.79,13.95,7.51422504642681,129500,0.0,1.0
2003-02-10,14.06,14.14,13.7,13.71,7.38494805638076,54600,0.0,1.0
2003-02-11,13.79,14.54,13.71,14.31,7.70814053149589,231000,0.0,1.0
2003-02-12,14.31,14.31,13.94,13.94,7.50883850517489,190500,0.0,1.0
2003-02-13,14.04,14.17,13.95,13.98,7.53038467018257,107800,0.0,1.0
2003-02-14,13.96,14.49,13.86,14.33,7.71891361399973,61100,0.0,1.0
2003-02-18,14.35,14.49,14.06,14.45,7.78355210902275,91100,0.0,1.0
2003-02-19,14.39,14.49,13.96,14.29,7.69736744899205,93500,0.0,1.0
2003-02-20,14.15,14.39,14.0,14.06,7.57347700019792,46800,0.0,1.0
2003-02-21,14.18,14.35,13.93,14.06,7.57347700019792,71500,0.0,1.0
2003-02-24,14.18,14.23,13.98,14.0,7.54115775268641,38800,0.0,1.0
2003-02-25,14.05,14.24,13.78,14.18,7.63811549522095,121100,0.0,1.0
2003-02-26,14.2,14.2,13.81,13.95,7.51422504642681,47600,0.0,1.0
2003-02-27,14.0,14.05,13.85,13.95,7.51422504642681,36500,0.0,1.0
2003-02-28,14.0,14.29,13.85,14.22,7.65966166022862,42700,0.0,1.0
2003-03-03,14.1,14.34,13.96,14.08,7.58425008270176,248400,0.0,1.0
2003-03-04,14.12,14.14,13.95,14.05,7.568090458946,258400,0.0,1.0
2003-03-05,14.15,14.15,13.85,13.92,7.49806542267106,45500,0.0,1.0
2003-03-06,13.86,14.05,13.85,14.0,7.54115775268641,31300,0.0,1.0
2003-03-07,14.01,14.2,13.95,14.16,7.62734241271711,45300,0.0,1.0
2003-03-10,14.15,14.3,14.08,14.16,7.62734241271711,26700,0.0,1.0
2003-03-11,14.27,14.27,14.02,14.09,7.58963662395368,93400,0.0,1.0
2003-03-12,14.11,14.14,13.82,13.83,7.44958655140379,175200,0.0,1.0
2003-03-13,13.87,14.13,13.86,14.07,7.57886354144984,40800,0.0,1.0
2003-03-14,14.0,14.2,14.0,14.05,7.568090458946,193100,0.0,1.0
2003-03-17,14.18,14.19,13.85,14.12,7.60579624770943,119900,0.0,1.0
2003-03-18,13.96,14.2,13.96,14.14,7.61656933021327,101900,0.0,1.0
2003-03-19,14.18,14.2,14.1,14.12,7.60579624770943,24100,0.0,1.0
2003-03-20,14.16,14.29,14.1,14.2,7.64888857772478,50400,0.0,1.0
2003-03-21,14.25,14.59,14.1,14.57,7.84819060404578,358200,0.0,1.0
2003-03-24,14.48,14.48,14.11,14.31,7.70814053149589,135100,0.0,1.0
2003-03-25,14.34,15.5,14.33,15.4,8.29527352795505,150200,0.0,1.0
2003-03-26,14.9,15.37,14.9,15.0,8.07981187787829,64500,0.0,1.0
2003-03-27,15.07,15.07,14.35,14.63,7.88050985155729,129500,0.0,1.0
2003-03-28,14.6,15.25,14.55,15.04,8.10135804288597,65500,0.0,1.0
2003-03-31,15.01,15.5,14.92,15.4,8.29527352795505,163100,0.0,1.0
2003-04-01,15.25,15.4,14.68,14.91,8.03133300661102,172600,0.0,1.0
2003-04-02,15.02,15.31,14.92,15.01,8.08519841913021,115400,0.0,1.0
2003-04-03,15.0,15.05,14.76,14.85,7.99901375909951,601900,0.0,1.0
2003-04-04,15.01,15.4,14.99,15.34,8.26295428044353,53500,0.0,1.0
2003-04-07,15.35,15.89,15.33,15.87,8.54844096679523,131200,0.0,1.0
2003-04-08,15.789,16.29,15.63,16.25,8.75312953436815,128400,0.0,1.0
2003-04-09,16.289,17.27,16.25,16.53,8.90395268942188,231300,0.0,1.0
2003-04-10,16.669,16.67,16.0,16.12,8.68310449809321,160500,0.0,1.0
2003-04-11,16.14,16.22,15.77,16.22,8.73696991061239,84100,0.0,1.0
2003-04-14,16.09,16.3,15.88,16.15,8.69926412184896,78500,0.0,1.0
2003-04-15,16.13,16.41,15.9,16.3,8.78006224062774,93500,0.0,1.0
2003-04-16,16.4,16.4,15.97,16.11,8.67771795684129,93700,0.0,1.0
2003-04-17,16.12,16.22,15.8,16.01,8.6238525443221,95200,0.0,1.0
2003-04-21,16.0,16.0,15.34,15.62,8.41377743549726,208700,0.0,1.0
2003-04-22,15.91,15.91,14.71,15.52,8.35991202297807,236700,0.0,1.0
2003-04-23,15.49,17.11,15.49,16.92,9.11402779824672,390300,0.0,1.0
2003-04-24,16.87,16.91,16.4,16.6,8.94165847818531,62500,0.0,1.0
2003-04-25,16.499,17.4,16.4,17.02,9.1678932107659,81100,0.0,1.0
2003-04-28,16.96,17.4,16.8,17.37,9.35642215458306,211900,0.0,1.0
2003-04-29,17.15,17.42,17.07,17.24,9.28639711830812,68200,0.0,1.0
2003-04-30,17.43,17.43,16.85,17.0,9.15712012826206,99400,0.0,1.0
2003-05-01,17.0,17.29,16.38,17.16,9.24330478829277,170900,0.0,1.0
2003-05-02,17.071,17.17,16.94,17.15,9.23791824704085,173000,0.0,1.0
2003-05-05,17.2,17.25,17.1,17.25,9.29178365956004,98000,0.0,1.0
2003-05-06,17.2,17.69,17.19,17.57,9.46415297962144,196400,0.0,1.0
2003-05-07,17.489,17.6,17.39,17.549,9.45284124299241,182700,0.0,1.0
2003-05-08,17.6,17.63,17.11,17.21,9.27023749455236,326800,0.0,1.0
2003-05-09,17.26,17.5,16.75,16.9,9.10325471574288,168800,0.0,1.0
2003-05-12,16.9,17.55,16.88,17.3,9.31871636581963,252200,0.0,1.0
2003-05-13,17.33,17.4,17.13,17.4,9.37258177833882,184700,0.0,1.0
2003-05-14,17.43,17.93,17.13,17.9,9.64190884093476,167400,0.0,1.0
2003-05-15,17.91,17.97,17.54,17.96,9.67422808844628,265100,0.0,1.0
2003-05-16,17.92,19.1,17.79,19.01,10.2398149198978,580300,0.0,1.0
2003-05-19,18.909,19.11,18.85,18.95,10.2074956723862,219100,0.0,1.0
2003-05-20,18.95,19.05,18.81,19.0,10.2344283786458,303300,0.0,1.0
2003-05-21,19.04,19.04,18.41,18.82,10.1374706361113,187600,0.0,1.0
2003-05-22,18.71,19.0,18.61,18.98,10.223655296142,168800,0.0,1.0
2003-05-23,18.3,18.76,18.15,18.64,10.0405128935768,427500,0.0,1.0
2003-05-27,18.55,18.8,18.4,18.63,10.0351263523248,136700,0.0,1.0
2003-05-28,18.65,18.7,18.5,18.53,9.98126093980565,99800,0.0,1.0
2003-05-29,18.7,18.71,18.47,18.65,10.0458994348287,79000,0.0,1.0
2003-05-30,18.65,18.9,18.61,18.83,10.1428571773632,113100,0.0,1.0
2003-06-02,18.9,19.0,18.81,18.95,10.2074956723862,145800,0.0,1.0
2003-06-03,18.99,18.99,18.45,18.51,9.97048785730181,161900,0.0,1.0
2003-06-04,18.56,18.56,18.05,18.25,9.83043778475192,260500,0.0,1.0
2003-06-05,18.24,18.5,18.05,18.33,9.87353011476727,81600,0.0,1.0
2003-06-06,18.5,18.7,18.41,18.6,10.0189667285691,202100,0.0,1.0
2003-06-09,18.6,18.6,18.0,18.27,9.84121086725576,63900,0.0,1.0
2003-06-10,18.4,18.45,17.96,18.0,9.69577425345395,148800,0.0,1.0
2003-06-11,18.05,18.12,17.8,18.0,9.69577425345395,530800,0.0,1.0
2003-06-12,18.14,18.14,17.721,17.96,9.67422808844628,212900,0.0,1.0
2003-06-13,18.1,18.19,17.86,17.92,9.6526819234386,428000,0.0,1.0
2003-06-16,18.0,18.1,17.85,17.99,9.69038771220203,263900,0.0,1.0
2003-06-17,17.97,18.0,17.86,17.92,9.6526819234386,137900,0.0,1.0
2003-06-18,17.94,18.15,17.9,17.99,9.69038771220203,179700,0.0,1.0
2003-06-19,18.109,18.11,17.91,18.0,9.69577425345395,230900,0.0,1.0
2003-06-20,17.99,18.0,17.82,18.0,9.69577425345395,228300,0.0,1.0
2003-06-23,17.99,17.99,17.43,17.48,9.41567410835417,179100,0.0,1.0
2003-06-24,17.5,17.55,17.45,17.48,9.41567410835417,181100,0.0,1.0
2003-06-25,17.53,17.61,17.2,17.26,9.29717020081196,178300,0.0,1.0
2003-06-26,17.299,17.5,17.05,17.42,9.38335486084266,221500,0.0,1.0
2003-06-27,17.499,17.79,17.441,17.75,9.56111072215598,295000,0.0,1.0
2003-06-30,17.75,18.07,17.43,17.69,9.52879147464447,989000,0.0,1.0
2003-07-01,16.4,17.78,15.9,17.57,9.46415297962144,8665700,0.0,1.0
2003-07-02,17.92,18.0,17.32,17.7,9.53417801589639,1350700,0.0,1.0
2003-07-03,17.39,17.75,17.25,17.38,9.36180869583498,302500,0.0,1.0
2003-07-07,17.5,17.85,17.37,17.51,9.43183373210993,385900,0.0,1.0
2003-07-08,17.5,17.97,17.46,17.9,9.64190884093476,1057800,0.0,1.0
2003-07-09,17.95,17.95,17.51,17.82,9.59881651091941,284200,0.0,1.0
2003-07-10,17.73,17.8,17.63,17.7,9.53417801589639,118500,0.0,1.0
2003-07-11,17.75,17.75,17.46,17.49,9.42106064960609,72400,0.0,1.0
2003-07-14,17.49,17.8,17.2,17.29,9.31332982456771,143000,0.0,1.0
2003-07-15,17.28,17.6,17.28,17.55,9.4533798971176,74800,0.0,1.0
2003-07-16,17.5,17.63,16.8,16.87,9.08709509198712,149500,0.0,1.0
2003-07-17,16.95,17.52,16.27,16.89,9.09786817449096,352400,0.0,1.0
2003-07-18,16.9,17.0,16.5,16.66,8.97397772569682,169000,0.0,1.0
2003-07-21,16.6,17.08,16.6,16.71,9.00091043195642,319000,0.0,1.0
2003-07-22,16.89,16.89,16.4,16.55,8.91472577192572,266900,0.0,1.0
2003-07-23,16.42,16.59,16.0,16.26,8.75851607562007,79700,0.0,1.0
2003-07-24,16.3,16.48,16.25,16.35,8.80699494688734,74300,0.0,1.0
2003-07-25,16.34,16.53,16.22,16.4,8.83392765314693,87700,0.0,1.0
2003-07-28,16.5,16.62,16.32,16.5,8.88779306566612,101600,0.0,1.0
2003-07-29,16.57,16.96,16.32,16.95,9.13018742200247,270300,0.0,1.0
2003-07-30,17.0,17.14,16.84,16.98,9.14634704575823,167400,0.0,1.0
2003-07-31,17.02,17.16,16.9,17.05,9.18405283452166,424500,0.0,1.0
2003-08-01,17.09,17.27,16.7,16.72,9.00629697320834,95100,0.0,1.0
2003-08-04,16.91,17.09,16.69,16.8,9.04938930322369,278600,0.0,1.0
2003-08-05,16.8,16.89,16.23,16.23,8.74235645186431,323800,0.0,1.0
2003-08-06,16.2,16.39,16.1,16.39,8.82854111189502,172600,0.0,1.0
2003-08-07,16.26,16.31,15.85,16.03,8.63462562682594,583700,0.0,1.0
2003-08-08,15.99,16.09,15.5,15.5,8.34913894047424,238200,0.0,1.0
2003-08-11,15.65,16.0,15.47,15.63,8.41916397674918,266100,0.0,1.0
2003-08-12,15.71,15.75,15.48,15.57,8.38684472923767,500400,0.0,1.0
2003-08-13,15.75,15.8,15.25,15.29,8.23602157418394,365000,0.0,1.0
2003-08-14,15.3,15.44,14.99,15.31,8.24679465668778,561100,0.0,1.0
2003-08-15,15.27,15.65,15.2,15.6,8.40300435299342,98300,0.0,1.0
2003-08-18,15.51,15.75,15.4,15.49,8.34375239922232,408700,0.0,1.0
2003-08-19,15.579,15.58,15.31,15.58,8.39223127048959,257300,0.0,1.0
2003-08-20,15.499,15.75,15.364,15.6,8.40300435299342,318800,0.0,1.0
2003-08-21,15.56,15.64,15.5,15.51,8.35452548172615,185200,0.0,1.0
2003-08-22,15.6,16.808,15.51,16.66,8.97397772569682,589200,0.0,1.0
2003-08-25,16.73,16.99,16.28,16.37,8.81776802939118,258600,0.0,1.0
2003-08-26,16.3,16.7,16.25,16.35,8.80699494688734,240400,0.0,1.0
2003-08-27,16.27,16.3,15.99,16.04,8.64001216807785,344800,0.0,1.0
2003-08-28,16.0,16.21,15.75,16.16,8.70465066310088,802800,0.0,1.0
2003-08-29,16.25,16.7,16.25,16.65,8.9685911844449,293800,0.0,1.0
2003-09-02,16.7,16.84,16.32,16.65,8.9685911844449,202700,0.0,1.0
2003-09-03,16.65,16.79,16.461,16.5,8.88779306566612,236500,0.0,1.0
2003-09-04,16.64,16.83,16.26,16.29,8.77467569937583,244400,0.0,1.0
2003-09-05,16.5,16.5,16.24,16.32,8.79083532313158,195500,0.0,1.0
2003-09-08,16.5,17.29,16.28,16.96,9.13557396325439,270600,0.0,1.0
2003-09-09,16.7,16.96,16.67,16.67,8.97936426694874,437300,0.0,1.0
2003-09-10,16.81,16.92,16.46,16.64,8.96320464319299,1050300,0.0,1.0
2003-09-11,16.57,16.74,16.51,16.66,8.97397772569682,227000,0.0,1.0
2003-09-12,16.54,16.97,16.42,16.97,9.14096050450631,231000,0.0,1.0
2003-09-15,16.85,17.21,16.85,17.14,9.23253170578893,670900,0.0,1.0
2003-09-16,17.23,17.45,16.95,17.35,9.34564907207923,484100,0.0,1.0
2003-09-17,17.3,18.07,17.22,17.94,9.66345500594244,299400,0.0,1.0
2003-09-18,18.04,18.05,17.73,17.76,9.5664972634079,340100,0.0,1.0
2003-09-19,17.73,17.97,17.63,17.93,9.65806846469052,337300,0.0,1.0
2003-09-22,17.98,17.98,17.64,17.66,9.51263185088871,597200,0.0,1.0
2003-09-23,17.65,18.5,17.41,18.4,9.9112359035307,249100,0.0,1.0
2003-09-24,18.5,18.5,18.15,18.31,9.86275703226343,136300,0.0,1.0
2003-09-25,18.35,18.45,18.18,18.31,9.86275703226343,216000,0.0,1.0
2003-09-26,18.2,18.3,18.07,18.08,9.7388665834693,703600,0.0,1.0
2003-09-29,18.06,18.47,18.06,18.28,9.84659740850768,458500,0.0,1.0
2003-09-30,18.4,18.48,18.0,18.18,9.79273199598849,198000,0.0,1.0
2003-10-01,18.19,18.62,18.19,18.6,10.0189667285691,163300,0.0,1.0
2003-10-02,18.48,19.04,18.33,18.95,10.2074956723862,392700,0.0,1.0
2003-10-03,18.99,19.21,18.85,19.0,10.2344283786458,126200,0.0,1.0
2003-10-06,19.17,19.31,18.979,19.1,10.288293791165,152600,0.0,1.0
2003-10-07,19.11,19.29,18.78,19.04,10.2559745436535,231600,0.0,1.0
2003-10-08,19.16,19.2,18.64,18.8,10.1266975536075,370000,0.0,1.0
2003-10-09,18.91,19.03,18.54,18.91,10.1859495073786,388300,0.0,1.0
2003-10-10,19.02,19.04,18.64,18.85,10.1536302598671,169100,0.0,1.0
2003-10-13,18.99,19.11,18.75,19.01,10.2398149198978,81300,0.0,1.0
2003-10-14,19.119,19.26,18.93,19.25,10.3690919099438,263400,0.0,1.0
2003-10-15,19.3,19.77,18.86,19.49,10.4983688999899,318100,0.0,1.0
2003-10-16,19.6,19.99,19.35,19.88,10.7084440088147,386600,0.0,1.0
2003-10-17,19.99,20.24,19.74,20.05,10.8000152100973,233000,0.0,1.0
2003-10-20,20.22,20.22,19.77,20.0,10.7730825038377,158000,0.0,1.0
2003-10-21,19.8,19.99,19.76,19.85,10.6922843850589,61500,0.0,1.0
2003-10-22,19.97,20.0,19.69,19.89,10.7138305500666,76500,0.0,1.0
2003-10-23,19.77,20.02,19.68,19.77,10.6491920550436,175800,0.0,1.0
2003-10-24,19.809,20.21,19.71,20.21,10.886199870128,383000,0.0,1.0
2003-10-27,20.229,20.65,20.12,20.65,11.1232076852124,117100,0.0,1.0
2003-10-28,20.669,21.48,20.51,21.46,11.5595175266179,889000,0.0,1.0
2003-10-29,21.4,22.9,21.33,22.49,12.1143312755655,610800,0.0,1.0
2003-10-30,22.28,22.28,20.8,21.05,11.3386693352892,1249800,0.0,1.0
2003-10-31,21.05,21.1,20.12,20.16,10.8592671638684,256000,0.0,1.0
2003-11-03,20.25,20.3,19.26,19.75,10.6384189725398,480800,0.0,1.0
2003-11-04,19.78,20.17,19.75,19.99,10.7676959625858,449800,0.0,1.0
2003-11-05,20.01,20.01,19.78,19.85,10.6922843850589,296300,0.0,1.0
2003-11-06,19.94,20.07,19.82,19.91,10.7246036325705,258600,0.0,1.0
2003-11-07,19.97,20.1,19.95,20.0,10.7730825038377,154500,0.0,1.0
2003-11-10,20.04,20.05,19.6,19.96,10.75153633883,107700,0.0,1.0
2003-11-11,19.99,20.25,19.95,20.01,10.7784690450896,121300,0.0,1.0
2003-11-12,20.05,20.05,19.9,19.95,10.7461497975781,442500,0.0,1.0
2003-11-13,19.9,20.35,19.63,19.99,10.7676959625858,176400,0.0,1.0
2003-11-14,20.03,20.28,19.97,20.0,10.7730825038377,209600,0.0,1.0
2003-11-17,19.95,20.1,19.86,19.871,10.703596121688,127100,0.0,1.0
2003-11-18,19.94,20.23,19.68,20.15,10.8538806226165,733400,0.0,1.0
2003-11-19,20.149,20.24,19.76,20.18,10.8700402463723,470600,0.0,1.0
2003-11-20,20.24,22.0,20.06,21.5,11.5810636916256,1730300,0.0,1.0
2003-11-21,21.62,21.88,21.38,21.5,11.5810636916256,519400,0.0,1.0
2003-11-24,21.38,21.8,21.23,21.57,11.618769480389,754300,0.0,1.0
2003-11-25,21.68,23.63,21.57,23.5,12.6583719420093,1659400,0.0,1.0
2003-11-26,23.49,24.51,23.45,24.31,13.0946817834148,791800,0.0,1.0
2003-11-28,24.38,24.99,24.19,24.89,13.407101176026,219700,0.0,1.0
2003-12-01,24.99,24.99,24.499,24.69,13.2993703509877,459500,0.0,1.0
2003-12-02,24.84,24.9,24.46,24.77,13.342462681003,384600,0.0,1.0
2003-12-03,24.761,26.8,24.761,26.0,14.005007254989,883200,0.0,1.0
