date,open,high,low,close,adjClose,volume,dividend,split
1999-11-01,40.19,41.25,40.19,40.56,4.60178999320392,430100,0.0,1.0
1999-11-02,40.56,40.75,39.88,39.94,4.53144704952082,528900,0.0,1.0
1999-11-03,40.0,40.0,39.0,39.25,4.45316216058318,419500,0.0,1.0
1999-11-04,39.06,40.0,38.94,39.25,4.45316216058318,1591900,0.0,1.0
1999-11-05,39.44,40.5,39.44,40.44,4.58817522991041,451600,0.0,1.0
1999-11-08,39.94,40.75,39.88,40.56,4.60178999320392,520300,0.0,1.0
1999-11-09,40.63,41.63,39.75,41.63,4.72318829923765,608300,0.0,1.0
1999-11-10,42.44,44.06,42.06,43.56,4.94215907554149,1042000,0.0,1.0
1999-11-11,43.5,45.0,43.5,44.19,5.01363658283238,1019300,0.0,1.0
1999-11-12,44.19,44.25,42.19,43.13,4.89337284040643,719400,0.0,1.0
1999-11-15,44.13,46.25,44.06,45.13,5.12028556196481,1566100,0.0,1.0
1999-11-16,44.38,44.38,42.56,42.75,4.85025942331034,1798500,0.0,1.0
1999-11-17,42.13,42.88,41.25,42.31,4.8003386245675,599800,0.0,1.0
1999-11-18,42.38,43.25,42.06,43.13,4.89337284040643,461500,0.0,1.0
1999-11-19,43.0,43.0,42.44,42.5,4.82189533311555,666000,0.0,1.0
1999-11-22,42.44,42.5,41.75,41.81,4.7436104441779,575500,0.0,1.0
1999-11-23,41.63,41.69,41.0,41.13,4.66646011884806,724500,0.0,1.0
1999-11-24,40.94,40.94,39.75,40.13,4.55300375806887,435900,0.0,1.0
1999-11-26,40.25,40.38,40.06,40.19,4.55981113971562,97200,0.0,1.0
1999-11-29,40.06,40.69,40.06,40.5,4.59498261155717,635900,0.0,1.0
1999-11-30,40.06,41.75,40.06,41.5,4.70843897233636,611900,0.0,1.0
1999-12-01,41.31,41.38,40.56,40.69,4.61653932010521,371600,0.0,1.0
1999-12-02,40.75,40.88,40.13,40.25,4.56661852136237,276100,0.0,1.0
1999-12-03,40.38,41.38,40.0,40.0,4.53825443116757,453000,0.0,1.0
1999-12-06,40.0,40.38,39.63,40.06,4.54506181281432,419400,0.0,1.0
1999-12-07,40.06,40.63,40.0,40.25,4.56661852136237,459200,0.0,1.0
1999-12-08,40.13,40.75,40.13,40.5,4.59498261155717,374500,0.0,1.0
1999-12-09,40.25,40.94,40.19,40.63,4.60973193845846,495900,0.0,1.0
1999-12-10,40.13,40.75,39.69,40.13,4.55300375806887,551100,0.0,1.0
1999-12-13,39.25,39.25,38.81,39.06,4.43160545203513,2911800,0.0,1.0
1999-12-14,38.88,39.88,38.75,39.81,4.51669772261953,1465700,0.0,1.0
1999-12-15,39.63,39.88,39.31,39.5,4.48152625077798,495200,0.0,1.0
1999-12-16,39.5,39.56,38.88,38.88,4.41118330709488,1425900,0.0,1.0
1999-12-17,39.44,39.44,39.44,39.44,4.47471886913123,2301500,0.0,1.0
1999-12-20,39.25,39.31,38.63,38.88,4.41118330709488,349500,0.0,1.0
1999-12-21,38.69,38.75,37.56,37.69,4.27617023776764,498100,0.0,1.0
1999-12-22,37.69,38.94,37.63,38.63,4.38281921690008,463400,0.0,1.0
1999-12-23,38.63,38.69,37.88,37.94,4.30453432796244,310900,0.0,1.0
1999-12-27,37.94,38.63,37.63,38.63,4.38281921690008,433600,0.0,1.0
1999-12-28,38.56,39.56,38.0,38.25,4.33970579980399,225200,0.0,1.0
1999-12-29,38.25,38.25,37.75,38.13,4.32609103651049,433900,0.0,1.0
1999-12-30,37.88,38.63,37.75,38.44,4.36126250835204,410200,0.0,1.0
1999-12-31,38.19,38.94,38.13,38.63,4.38281921690008,250800,0.0,1.0
2000-01-03,38.56,38.56,37.06,37.31,4.23305682067155,545200,0.0,1.0
2000-01-04,37.0,37.5,36.0,36.56,4.14796455008716,595800,0.0,1.0
2000-01-05,36.75,36.88,36.56,36.81,4.17632864028196,834400,0.0,1.0
2000-01-06,36.5,36.81,36.38,36.44,4.13434978679366,709500,0.0,1.0
2000-01-07,36.44,36.5,35.38,35.63,4.04245013456252,1089800,0.0,1.0
2000-01-10,35.56,37.5,35.5,37.06,4.20469273047676,994100,0.0,1.0
2000-01-11,36.75,37.5,36.31,36.81,4.17632864028196,759300,0.0,1.0
2000-01-12,37.0,37.5,36.44,36.44,4.13434978679366,1766400,0.0,1.0
2000-01-13,36.88,37.94,36.75,37.0,4.19788534883,992600,0.0,1.0
2000-01-14,37.0,37.06,35.81,36.0,4.08442898805081,573000,0.0,1.0
2000-01-18,35.5,35.75,34.63,34.94,3.96416524562487,1347500,0.0,1.0
2000-01-19,34.69,34.75,33.38,33.63,3.81553741300414,1749400,0.0,1.0
2000-01-20,33.44,33.44,31.69,31.81,3.60904683638601,1624600,0.0,1.0
2000-01-21,31.81,32.19,31.75,31.88,3.61698878164055,1289900,0.0,1.0
2000-01-24,32.13,32.38,31.06,31.19,3.53870389270291,1003100,0.0,1.0
2000-01-25,31.19,31.19,29.63,30.38,3.44680424047177,1308600,0.0,1.0
2000-01-26,30.38,30.56,30.0,30.06,3.41049820502243,817600,0.0,1.0
2000-01-27,30.13,30.56,30.0,30.13,3.41844015027697,975500,0.0,1.0
2000-01-28,30.38,30.38,28.75,28.88,3.27661969930299,708600,0.0,1.0
2000-01-31,29.25,29.38,28.5,28.63,3.24825560910819,508100,0.0,1.0
2000-02-01,29.38,32.25,29.38,30.75,3.48878309396007,2220900,0.0,1.0
2000-02-02,30.0,30.44,28.44,28.94,3.28342708094974,1844200,0.0,1.0
2000-02-03,29.31,29.88,29.13,29.69,3.36851935153413,744400,0.0,1.0
2000-02-04,29.69,29.75,29.31,29.63,3.36171196988738,783800,0.0,1.0
2000-02-07,29.44,30.0,29.0,29.44,3.34015526133933,759900,0.0,1.0
2000-02-08,29.44,29.94,29.38,29.88,3.39007606008218,782700,0.0,1.0
2000-02-09,29.56,31.0,29.06,30.0,3.40369082337568,968000,0.0,1.0
2000-02-10,30.0,30.69,26.94,28.5,3.23350628220689,3407700,0.0,1.0
2000-02-11,27.13,28.38,26.88,27.94,3.16997072017055,1376100,0.0,1.0
2000-02-14,28.38,28.38,27.5,28.06,3.18358548346405,923600,0.0,1.0
2000-02-15,27.88,28.56,27.06,28.38,3.21989151891339,860800,0.0,1.0
2000-02-16,28.25,28.63,27.69,27.94,3.16997072017055,359400,0.0,1.0
2000-02-17,28.25,29.94,27.75,29.38,3.33334787969258,944700,0.0,1.0
2000-02-18,29.0,29.0,27.94,28.0,3.1767781018173,775100,0.0,1.0
2000-02-22,28.19,28.19,26.25,27.0,3.06332174103811,860500,0.0,1.0
2000-02-23,27.13,27.5,26.81,26.81,3.04176503249007,317100,0.0,1.0
2000-02-24,26.56,26.56,25.81,26.0,2.94986538025892,768000,0.0,1.0
2000-02-25,26.0,26.19,25.75,25.88,2.93625061696542,624900,0.0,1.0
2000-02-28,25.94,26.63,25.25,25.69,2.91469390841737,586600,0.0,1.0
2000-02-29,26.06,27.0,26.0,26.63,3.02134288754981,737800,0.0,1.0
2000-03-01,26.56,28.44,26.56,28.19,3.19833481036535,915600,0.0,1.0
2000-03-02,28.06,28.13,27.31,27.69,3.14160662997575,512200,0.0,1.0
2000-03-03,28.19,28.19,26.0,26.13,2.96461470716022,859700,0.0,1.0
2000-03-06,26.63,27.94,26.13,27.69,3.14160662997575,572200,0.0,1.0
2000-03-07,27.0,27.19,26.25,26.44,2.99978617900177,665200,0.0,1.0
2000-03-08,26.5,26.88,26.0,26.44,2.99978617900177,488700,0.0,1.0
2000-03-09,26.69,28.13,26.5,27.94,3.16997072017055,626000,0.0,1.0
2000-03-10,27.88,28.25,27.5,27.75,3.1484140116225,448600,0.0,1.0
2000-03-13,27.31,28.13,27.25,27.5,3.12004992142771,466600,0.0,1.0
2000-03-14,27.56,27.56,26.31,26.5,3.00659356064852,811000,0.0,1.0
2000-03-15,26.75,29.0,26.44,28.5,3.23350628220689,1724700,0.0,1.0
2000-03-16,27.75,33.0,27.56,32.88,3.73044514241974,2112900,0.0,1.0
2000-03-17,32.88,32.88,31.25,31.25,3.54551127434967,1386100,0.0,1.0
2000-03-20,30.75,31.25,29.81,30.13,3.41844015027697,679000,0.0,1.0
2000-03-21,30.13,31.06,30.13,30.69,3.48197571231332,504300,0.0,1.0
2000-03-22,29.75,30.5,29.06,29.19,3.31179117114454,563200,0.0,1.0
2000-03-23,28.94,29.31,28.19,29.19,3.31179117114454,719000,0.0,1.0
2000-03-24,29.5,30.13,29.06,29.81,3.38213411482763,520700,0.0,1.0
2000-03-27,29.94,30.31,29.69,29.69,3.36851935153413,998900,0.0,1.0
2000-03-28,29.69,29.75,28.75,29.5,3.34696264298608,634700,0.0,1.0
2000-03-29,29.31,29.63,29.0,29.0,3.29023446259649,680000,0.0,1.0
2000-03-30,28.5,31.44,28.44,31.31,3.55231865599642,1242800,0.0,1.0
2000-03-31,31.06,32.0,30.06,31.06,3.52395456580162,689400,0.0,1.0
2000-04-03,31.19,31.44,29.5,30.31,3.43886229521723,698300,0.0,1.0
2000-04-04,30.81,32.63,30.31,31.19,3.53870389270291,1217200,0.0,1.0
2000-04-05,30.94,32.75,30.94,32.25,3.65896763512885,1020400,0.0,1.0
2000-04-06,32.25,32.25,31.25,31.56,3.58068274619121,1244900,0.0,1.0
2000-04-07,31.75,31.81,31.44,31.63,3.58862469144576,497100,0.0,1.0
2000-04-10,31.38,32.19,31.31,31.56,3.58068274619121,458200,0.0,1.0
2000-04-11,31.5,32.75,31.5,32.5,3.68733172532365,408300,0.0,1.0
2000-04-12,32.75,34.25,32.63,32.88,3.73044514241974,762100,0.0,1.0
2000-04-13,33.31,33.38,31.75,31.75,3.60223945473926,583500,0.0,1.0
2000-04-14,31.5,31.5,28.75,30.5,3.46041900376527,1225200,0.0,1.0
2000-04-17,29.63,31.88,29.63,30.31,3.43886229521723,754300,0.0,1.0
2000-04-18,30.13,30.75,30.0,30.25,3.43205491357048,279600,0.0,1.0
2000-04-19,30.06,30.63,29.56,29.63,3.36171196988738,375300,0.0,1.0
2000-04-20,29.38,32.38,29.38,32.06,3.63741092658081,654900,0.0,1.0
2000-04-24,31.19,33.13,31.19,33.06,3.75086728736,905900,0.0,1.0
2000-04-25,32.94,33.31,32.06,33.25,3.77242399590804,600900,0.0,1.0
2000-04-26,33.13,35.13,33.0,34.44,3.90743706523528,1235500,0.0,1.0
2000-04-27,33.44,35.56,32.38,35.56,4.03450818930797,1931600,0.0,1.0
2000-04-28,35.56,35.56,33.19,33.88,3.84390150319893,788800,0.0,1.0
2000-05-01,33.94,34.19,33.56,33.69,3.82234479465089,671600,0.0,1.0
2000-05-02,33.63,34.38,33.63,33.81,3.83595955794439,685500,0.0,1.0
2000-05-03,33.44,33.94,32.06,33.19,3.76561661426129,441100,0.0,1.0
2000-05-04,33.0,33.5,30.25,31.06,3.52395456580162,885700,0.0,1.0
2000-05-05,31.56,32.75,31.06,32.31,3.66577501677561,485400,0.0,1.0
