F_bin,n_rising,n_falling,p_rise,p_fall,diff,chi2,p_value,cohens_h,significant
1,334,77,0.11077844311377245,0.1038961038961039,0.006882339217668551,0.0,1.0,0.02223664407983139,False
2,343,68,0.15160349854227406,0.07352941176470588,0.07807408677756818,2.2791588551439435,0.13112297033073297,0.2506773570983738,False
3,334,77,0.08982035928143713,0.11688311688311688,-0.027062757601679754,0.2650178378218267,0.6066936013680695,-0.08907980459009346,False
4,349,62,0.09169054441260745,0.12903225806451613,-0.03734171365190868,0.4646274957964291,0.4954692106424041,-0.11957601452842703,False
5,290,121,0.1,0.04132231404958678,0.05867768595041323,3.1392316704418888,0.07642980431738293,0.23408992613116902,False
6,267,144,0.08239700374531835,0.013888888888888888,0.06850811485642946,6.787691216436094,0.009178854440430016,0.34603776744013454,True
7,127,284,0.1732283464566929,0.0528169014084507,0.12041144504824221,14.096861996677665,0.00017363321162244523,0.39475591157823975,True
8,107,304,0.09345794392523364,0.10526315789473684,-0.011805213969503195,0.025976775730927458,0.8719570487088641,-0.03947948237407328,False
9,87,324,0.16091954022988506,0.08641975308641975,0.07449978714346531,3.3766894560365963,0.06612475150773539,0.22877863097072093,False
10,80,331,0.1125,0.1299093655589124,-0.017409365558912385,0.054276003004802585,0.8157830646386871,-0.05337519470952401,False
