RMSE,MAE,R2,Tail_RMSE,Tail_MAE,LogLikelihood,AIC,BIC,N_Params,Model,Sample
0.024552167113990157,0.01777268241408954,0.03535994447096402,0.0789813292301151,0.07511845924506004,9356.356528282144,-18698.713056564287,-18655.474379486706,7.0,GAMLSS_Linear_Interaction,In-Sample
0.024929663957550422,0.017952147338203717,0.005468650512808315,0.08032872117546326,0.07743340156179118,9304.864358532457,-18595.728717064914,-18552.490039987333,7.0,GAMLSS_Threshold_Like,In-Sample
0.024827081301333515,0.017990377595952806,0.013636571594312752,0.07938414321595419,0.07629558168257881,9300.271190100182,-18588.542380200364,-18551.48065699101,6.0,GAMLSS_Simple,In-Sample
0.02457981538516207,0.01777042169113198,0.033186152914890354,0.07833929818223666,0.0745723278681106,8136.758720389742,-16261.517440779484,-16224.455717570128,6.0,Threshold_Regression,In-Sample
0.024805263590020395,0.01806245671345935,0.015369416179557116,0.07839302267773506,0.07523081544999762,8104.273188245656,-16202.546376491311,-16184.015514886634,3.0,Linear_OLS,In-Sample
0.024566038634038806,0.017810839402160304,0.03426962899508079,0.0783404651919136,0.0746890431792106,8138.7535043957905,-16269.507008791581,-16244.799193318679,4.0,Linear_Interaction,In-Sample
0.05059318250049676,0.03307755023405783,-0.32530582697208277,0.16022624471218055,0.1514759120329439,9356.356528282144,-18698.713056564287,-18655.474379486706,7.0,GAMLSS_Linear_Interaction,OOS
0.05375599143763154,0.03571489272400847,-0.49618694708054756,0.16507755028092747,0.1573300826400382,9304.864358532457,-18595.728717064914,-18552.490039987333,7.0,GAMLSS_Threshold_Like,OOS
0.05201168570197272,0.034005658251071776,-0.4006640061809177,0.1630524628128276,0.15493980293548765,9300.271190100182,-18588.542380200364,-18551.48065699101,6.0,GAMLSS_Simple,OOS
0.050450674404190037,0.03336232483529562,-0.31785024476601853,0.15743282236108028,0.14853467752176575,8136.758720389742,-16261.517440779484,-16224.455717570128,6.0,Threshold_Regression,OOS
0.051029555104062846,0.03317296666536653,-0.3482662812462829,0.16163939948434997,0.1532805734160721,8104.273188245656,-16202.546376491311,-16184.015514886634,3.0,Linear_OLS,OOS
0.04998706391355347,0.03254536204220459,-0.2937410731349499,0.1595648712605211,0.15068781185704447,8138.7535043957905,-16269.507008791581,-16244.799193318679,4.0,Linear_Interaction,OOS
