date,AGG
2025-12-23,99.805
2025-12-22,99.8
2025-12-19,99.84
2025-12-18,99.99
2025-12-17,99.74
2025-12-16,99.77
2025-12-15,99.58
2025-12-12,99.48
2025-12-11,99.79
2025-12-10,99.77
2025-12-09,99.45
2025-12-08,99.54
2025-12-05,99.7
2025-12-04,99.81
2025-12-03,100.05
2025-12-02,99.86
2025-12-01,99.73
2025-11-28,100.16
2025-11-26,100.3
2025-11-25,100.14
2025-11-24,99.98
2025-11-21,99.78
2025-11-20,99.54
2025-11-19,99.42
2025-11-18,99.42
2025-11-17,99.36
2025-11-14,99.35
2025-11-13,99.46
2025-11-12,99.76
2025-11-11,99.8
2025-11-10,99.5
2025-11-07,99.54
2025-11-06,99.58
2025-11-05,99.22
2025-11-04,99.48
2025-11-03,99.43
2025-10-31,99.56
2025-10-30,99.62
2025-10-29,99.81
2025-10-28,100.28
2025-10-27,100.22
2025-10-24,100.15
2025-10-23,100.05
2025-10-22,100.23
2025-10-21,100.24
2025-10-20,100.14
2025-10-17,99.98
2025-10-16,100.11
2025-10-15,99.76
2025-10-14,99.8
2025-10-13,99.64
2025-10-10,99.45
2025-10-09,99.04
2025-10-08,99.16
2025-10-07,99.15
2025-10-06,98.99
2025-10-03,99.2
2025-10-02,99.31
2025-10-01,99.2
2025-09-30,98.95
2025-09-29,98.96
2025-09-26,98.77
2025-09-25,98.7
2025-09-24,98.84
2025-09-23,99.03
2025-09-22,98.87
2025-09-19,98.99
2025-09-18,98.99
2025-09-17,99.27
2025-09-16,99.44
2025-09-15,99.4
2025-09-12,99.24
2025-09-11,99.32
2025-09-10,99.14
2025-09-09,98.94
2025-09-08,99.14
2025-09-05,98.8
2025-09-04,98.34
2025-09-03,97.94
2025-09-02,97.59
2025-08-29,97.85
2025-08-28,97.98
2025-08-27,97.86
2025-08-26,97.76
2025-08-25,97.64
2025-08-22,97.79
2025-08-21,97.25
2025-08-20,97.48
2025-08-19,97.42
2025-08-18,97.23
2025-08-15,97.34
2025-08-14,97.49
2025-08-13,97.76
2025-08-12,97.41
2025-08-11,97.41
2025-08-08,97.34
2025-08-07,97.53
2025-08-06,97.6
2025-08-05,97.64
2025-08-04,97.61
2025-08-01,97.53
2025-07-31,96.7
2025-07-30,96.65
2025-07-29,96.93
2025-07-28,96.41
2025-07-25,96.53
2025-07-24,96.38
2025-07-23,96.44
2025-07-22,96.65
2025-07-21,96.46
2025-07-18,96.2
2025-07-17,96.02
2025-07-16,95.98
2025-07-15,95.85
2025-07-14,96.13
2025-07-11,96.14
2025-07-10,96.54
2025-07-09,96.57
2025-07-08,96.17
2025-07-07,96.21
2025-07-03,96.55
2025-07-02,96.75
2025-07-01,96.87
2025-06-30,96.96
2025-06-27,96.57
2025-06-26,96.84
2025-06-25,96.58
2025-06-24,96.59
2025-06-23,96.2
2025-06-20,96.0
2025-06-18,95.91
2025-06-17,95.85
2025-06-16,95.55
2025-06-13,95.75
2025-06-12,96.09
2025-06-11,95.74
2025-06-10,95.42
2025-06-09,95.2
2025-06-06,95.08
2025-06-05,95.57
2025-06-04,95.82
2025-06-03,95.25
2025-06-02,95.32
2025-05-30,95.57
2025-05-29,95.34
2025-05-28,94.99
2025-05-27,95.16
2025-05-23,94.73
2025-05-22,94.6
2025-05-21,94.32
2025-05-20,94.95
2025-05-19,95.11
2025-05-16,95.14
2025-05-15,95.08
2025-05-14,94.55
2025-05-13,94.82
2025-05-12,94.92
2025-05-09,95.24
2025-05-08,95.14
2025-05-07,95.64
2025-05-06,95.49
2025-05-05,95.26
2025-05-02,95.42
2025-05-01,95.89
2025-04-30,96.15
2025-04-29,96.24
2025-04-28,96.0
2025-04-25,95.74
2025-04-24,95.39
2025-04-23,94.87
2025-04-22,94.64
2025-04-21,94.46
2025-04-17,95.03
2025-04-16,95.28
2025-04-15,94.98
2025-04-14,94.78
2025-04-11,94.23
2025-04-10,94.32
2025-04-09,95.07
2025-04-08,94.86
2025-04-07,95.35
2025-04-04,96.58
2025-04-03,96.49
2025-04-02,95.99
2025-04-01,96.09
2025-03-31,95.74
2025-03-28,95.56
2025-03-27,95.0
2025-03-26,95.05
2025-03-25,95.28
2025-03-24,95.2
2025-03-21,95.57
2025-03-20,95.68
2025-03-19,95.62
2025-03-18,95.34
2025-03-17,95.25
2025-03-14,95.12
2025-03-13,95.31
2025-03-12,95.02
2025-03-11,95.3
2025-03-10,95.64
2025-03-07,95.19
2025-03-06,95.3
2025-03-05,95.4
2025-03-04,95.73
2025-03-03,95.97
2025-02-28,95.76
2025-02-27,95.34
2025-02-26,95.48
2025-02-25,95.33
2025-02-24,94.74
2025-02-21,94.57
2025-02-20,94.17
2025-02-19,94.02
2025-02-18,93.89
2025-02-14,94.26
2025-02-13,93.92
2025-02-12,93.36
2025-02-11,93.85
2025-02-10,94.06
2025-02-07,94.03
2025-02-06,94.33
2025-02-05,94.43
2025-02-04,93.93
2025-02-03,93.75
2025-01-31,93.66
2025-01-30,93.85
2025-01-29,93.72
2025-01-28,93.78
2025-01-27,93.8
2025-01-24,93.28
2025-01-23,93.13
2025-01-22,93.28
2025-01-21,93.51
2025-01-17,93.2
2025-01-16,93.2
2025-01-15,93.0
2025-01-14,92.2
2025-01-13,92.17
2025-01-10,92.26
2025-01-08,92.78
2025-01-07,92.67
2025-01-06,93.0
2025-01-03,93.09
2025-01-02,93.19
2024-12-31,93.18
2024-12-30,93.29
2024-12-27,92.93
2024-12-26,93.12
2024-12-24,93.05
2024-12-23,92.95
2024-12-20,93.24
2024-12-19,92.99
2024-12-18,93.23
2024-12-17,93.94
2024-12-16,93.94
2024-12-13,93.85
2024-12-12,94.21
2024-12-11,94.59
2024-12-10,94.81
2024-12-09,94.93
2024-12-06,95.2
2024-12-05,94.94
2024-12-04,94.92
2024-12-03,94.61
2024-12-02,94.79
2024-11-29,94.78
2024-11-27,94.41
2024-11-26,94.15
2024-11-25,94.29
2024-11-22,93.45
2024-11-21,93.38
2024-11-20,93.43
2024-11-19,93.53
2024-11-18,93.39
2024-11-15,93.31
2024-11-14,93.3
2024-11-13,93.34
2024-11-12,93.36
2024-11-11,93.9
2024-11-08,94.11
2024-11-07,93.95
2024-11-06,93.24
2024-11-05,93.98
2024-11-04,93.76
2024-11-01,93.37
2024-10-31,93.74
2024-10-30,93.76
2024-10-29,93.85
2024-10-28,93.75
2024-10-25,93.9
2024-10-24,94.09
2024-10-23,93.91
2024-10-22,94.15
2024-10-21,94.13
2024-10-18,94.79
2024-10-17,94.72
2024-10-16,95.19
2024-10-15,95.06
2024-10-14,94.68
2024-10-11,94.77
2024-10-10,94.74
2024-10-09,94.8
2024-10-08,95.04
2024-10-07,94.88
2024-10-04,95.21
2024-10-03,95.83
2024-10-02,96.22
2024-10-01,96.42
2024-09-30,96.16
2024-09-27,96.38
2024-09-26,96.1
2024-09-25,96.08
2024-09-24,96.45
2024-09-23,96.32
2024-09-20,96.36
2024-09-19,96.44
2024-09-18,96.44
2024-09-17,96.74
2024-09-16,96.83
2024-09-13,96.61
2024-09-12,96.41
2024-09-11,96.49
2024-09-10,96.52
2024-09-09,96.23
2024-09-06,96.08
2024-09-05,95.96
2024-09-04,95.71
2024-09-03,95.3
2024-08-30,94.9
2024-08-29,95.13
2024-08-28,95.25
2024-08-27,95.34
2024-08-26,95.31
2024-08-23,95.39
2024-08-22,94.96
2024-08-21,95.34
2024-08-20,95.16
2024-08-19,94.88
2024-08-16,94.78
2024-08-15,94.55
2024-08-14,94.95
2024-08-13,94.78
2024-08-12,94.4
2024-08-09,94.24
2024-08-08,93.91
2024-08-07,94.05
2024-08-06,94.33
2024-08-05,94.9
2024-08-02,94.98
2024-08-01,93.92
2024-07-31,93.53
2024-07-30,93.03
2024-07-29,92.94
2024-07-26,92.78
2024-07-25,92.45
2024-07-24,92.2
2024-07-23,92.48
2024-07-22,92.49
2024-07-19,92.53
2024-07-18,92.72
2024-07-17,92.97
2024-07-16,92.91
2024-07-15,92.53
2024-07-12,92.85
2024-07-11,92.6
2024-07-10,92.12
2024-07-09,92.03
2024-07-08,92.11
2024-07-05,92.09
2024-07-03,91.62
2024-07-02,91.13
2024-07-01,90.83
2024-06-28,91.32
2024-06-27,91.77
2024-06-26,91.62
2024-06-25,92.03
2024-06-24,92.04
2024-06-21,91.97
2024-06-20,91.96
2024-06-18,92.12
2024-06-17,91.79
2024-06-14,92.12
2024-06-13,92.03
2024-06-12,91.56
2024-06-11,91.13
2024-06-10,90.82
2024-06-07,90.9
2024-06-06,91.71
2024-06-05,91.68
2024-06-04,91.39
2024-06-03,91.07
2024-05-31,90.52
2024-05-30,90.23
2024-05-29,89.81
2024-05-28,90.15
2024-05-24,90.58
2024-05-23,90.47
2024-05-22,90.73
2024-05-21,90.84
2024-05-20,90.67
2024-05-17,90.75
2024-05-16,91.05
2024-05-15,91.15
2024-05-14,90.55
2024-05-13,90.3
2024-05-10,90.26
2024-05-09,90.45
2024-05-08,90.28
2024-05-07,90.46
2024-05-06,90.28
2024-05-03,90.21
2024-05-02,89.75
2024-05-01,89.35
2024-04-30,89.03
2024-04-29,89.39
2024-04-26,89.12
2024-04-25,88.93
2024-04-24,89.18
2024-04-23,89.41
2024-04-22,89.23
2024-04-19,89.17
2024-04-18,89.08
2024-04-17,89.33
2024-04-16,88.92
2024-04-15,89.17
2024-04-12,89.71
2024-04-11,89.54
2024-04-10,89.53
2024-04-09,90.61
2024-04-08,90.3
2024-04-05,90.39
2024-04-04,90.83
2024-04-03,90.62
2024-04-02,90.56
2024-04-01,90.63
2024-03-28,91.29
2024-03-27,91.4
2024-03-26,91.1
2024-03-25,91.01
2024-03-22,91.18
2024-03-21,90.89
2024-03-20,90.82
2024-03-19,90.64
2024-03-18,90.41
2024-03-15,90.51
2024-03-14,90.52
2024-03-13,91.09
2024-03-12,91.26
2024-03-11,91.49
2024-03-08,91.6
2024-03-07,91.51
2024-03-06,91.32
2024-03-05,91.18
2024-03-04,90.68
2024-03-01,90.91
2024-02-29,90.47
2024-02-28,90.32
2024-02-27,90.15
2024-02-26,90.27
2024-02-23,90.46
2024-02-22,90.13
2024-02-21,90.05
2024-02-20,90.32
2024-02-16,90.24
2024-02-15,90.53
2024-02-14,90.31
2024-02-13,89.91
2024-02-12,90.75
2024-02-09,90.73
2024-02-08,90.76
2024-02-07,91.04
2024-02-06,91.22
2024-02-05,90.75
2024-02-02,91.5
2024-02-01,92.35
2024-01-31,91.82
2024-01-30,91.4
2024-01-29,91.23
2024-01-26,90.87
2024-01-25,90.97
2024-01-24,90.56
2024-01-23,90.76
2024-01-22,90.99
2024-01-19,90.82
