date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1990-01-02,17.2399998,17.2399998,17.2399998,17.2399998,17.2399998,0,0,0.0,0.0,0.0,"January 02, 90",0.0
1990-01-03,18.19,18.19,18.19,18.19,18.19,0,0,0.0,0.0,18.19,"January 03, 90",0.0
1990-01-04,19.22,19.22,19.22,19.22,19.22,0,0,0.0,0.0,19.22,"January 04, 90",0.0
1990-01-05,20.11,20.11,20.11,20.11,20.11,0,0,0.0,0.0,20.11,"January 05, 90",0.0
1990-01-08,20.26,20.26,20.26,20.26,20.26,0,0,0.0,0.0,20.26,"January 08, 90",0.0
1990-01-09,22.2,22.2,22.2,22.2,22.2,0,0,0.0,0.0,22.2,"January 09, 90",0.0
1990-01-10,22.44,22.44,22.44,22.44,22.44,0,0,0.0,0.0,22.44,"January 10, 90",0.0
1990-01-11,20.05,20.05,20.05,20.05,20.05,0,0,0.0,0.0,20.05,"January 11, 90",0.0
1990-01-12,24.64,24.64,24.64,24.64,24.64,0,0,0.0,0.0,24.64,"January 12, 90",0.0
1990-01-15,26.34,26.34,26.34,26.34,26.34,0,0,0.0,0.0,26.34,"January 15, 90",0.0
1990-01-16,24.18,24.18,24.18,24.18,24.18,0,0,0.0,0.0,24.18,"January 16, 90",0.0
1990-01-17,24.16,24.16,24.16,24.16,24.16,0,0,0.0,0.0,24.16,"January 17, 90",0.0
1990-01-18,24.34,24.34,24.34,24.34,24.34,0,0,0.0,0.0,24.34,"January 18, 90",0.0
1990-01-19,22.5,22.5,22.5,22.5,22.5,0,0,0.0,0.0,22.5,"January 19, 90",0.0
1990-01-22,26.7,26.7,26.7,26.7,26.7,0,0,0.0,0.0,26.7,"January 22, 90",0.0
1990-01-23,24.72,24.72,24.72,24.72,24.72,0,0,0.0,0.0,24.72,"January 23, 90",0.0
1990-01-24,25.39,25.39,25.39,25.39,25.39,0,0,0.0,0.0,25.39,"January 24, 90",0.0
1990-01-25,25.63,25.63,25.63,25.63,25.63,0,0,0.0,0.0,25.63,"January 25, 90",0.0
1990-01-26,26.28,26.28,26.28,26.28,26.28,0,0,0.0,0.0,26.28,"January 26, 90",0.0
1990-01-29,26.44,26.44,26.44,26.44,26.44,0,0,0.0,0.0,26.44,"January 29, 90",0.0
1990-01-30,27.25,27.25,27.25,27.25,27.25,0,0,0.0,0.0,27.25,"January 30, 90",0.0
1990-01-31,25.36,25.36,25.36,25.36,25.36,0,0,0.0,0.0,25.36,"January 31, 90",0.0
1990-02-01,24.87,24.87,24.87,24.87,24.87,0,0,0.0,0.0,24.87,"February 01, 90",0.0
1990-02-02,24.32,24.32,24.32,24.32,24.32,0,0,0.0,0.0,24.32,"February 02, 90",0.0
1990-02-05,24.54,24.54,24.54,24.54,24.54,0,0,0.0,0.0,24.54,"February 05, 90",0.0
1990-02-06,24.69,24.69,24.69,24.69,24.69,0,0,0.0,0.0,24.69,"February 06, 90",0.0
1990-02-07,24.29,24.29,24.29,24.29,24.29,0,0,0.0,0.0,24.29,"February 07, 90",0.0
1990-02-08,23.77,23.77,23.77,23.77,23.77,0,0,0.0,0.0,23.77,"February 08, 90",0.0
1990-02-09,23.69,23.69,23.69,23.69,23.69,0,0,0.0,0.0,23.69,"February 09, 90",0.0
1990-02-12,24.38,24.38,24.38,24.38,24.38,0,0,0.0,0.0,24.38,"February 12, 90",0.0
1990-02-13,23.76,23.76,23.76,23.76,23.76,0,0,0.0,0.0,23.76,"February 13, 90",0.0
1990-02-14,22.05,22.05,22.05,22.05,22.05,0,0,0.0,0.0,22.05,"February 14, 90",0.0
1990-02-15,19.71,19.71,19.71,19.71,19.71,0,0,0.0,0.0,19.71,"February 15, 90",0.0
1990-02-16,20.78,20.78,20.78,20.78,20.78,0,0,0.0,0.0,20.78,"February 16, 90",0.0
1990-02-20,22.78,22.78,22.78,22.78,22.78,0,0,0.0,0.0,22.78,"February 20, 90",0.0
